IL_NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),SORT_of_total,Predicted_LnRLU
0.998429902,0.742579545,0.049312575,0.554905512,0.131745841,0.417981923
0.014011677,0.982417244,0.442693341,0.087460925,0.933192818,0.417061627
0.58903793,1.027570657,0.259461937,0.390468982,0.139616861,0.416490495
0.835891618,1.161627354,0.869117721,0.470580875,1.02081109,0.419563562
0.505478409,0.547969492,0.148342292,1.183015619,0.011447874,0.420156479
1.155348511,0.138885608,0.039314104,0.909550952,0.213523814,0.420172572
1.127879376,0.31042514,0.077339491,0.830717637,1.042653533,0.420172572
0.268703362,0.607842263,0.284224817,0.26986591,0.364325273,0.420261562
1.006889756,0.554412696,0.576442012,0.097610936,0.16852797,0.420334667
0.763947793,0.972908599,0.936403598,0.49610604,0.629158212,0.415064394
0.996156911,0.779591477,0.360135845,0.529376024,0.267072055,0.421387374
0.995895291,0.694280179,0.061631442,0.724402466,0.719841886,0.421487421
