Formula_label,Iter,Lipid_Formula_label,Opt_Method,Ionizable_Lipid,Helper_lipid,SORT_lipid,IL_NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),SORT_of_total,RLU_HEPG2,on_target,Unnamed: 14
205,0,203,,SM-102,DSPC,18PG,7.0,47.36842105,0.0,1.0,5.0,7.320717,5.01134241,
206,0,204,,SM-102,DSPC,18PG,4.0,47.36842105,0.0,1.0,5.0,6.751475,4.80680441,
207,0,205,,SM-102,DSPC,18PG,10.0,47.36842105,0.0,0.2,5.0,8.890518,4.63245641,
208,0,206,,SM-102,DSPC,18PG,7.0,47.36842105,0.0,0.2,5.0,8.48247412,5.287407325,
209,0,207,,SM-102,DSPC,18PG,4.0,47.36842105,0.0,0.2,5.0,7.57516,4.45333641,
210,0,208,,SM-102,DSPC,18PG,10.0,18.36734694,0.0,5.0,2.0,5.827666,2.89139741,
211,0,209,,SM-102,DSPC,18PG,7.0,18.36734694,0.0,5.0,2.0,5.854633,3.49560241,
212,0,210,,SM-102,DSPC,18PG,4.0,18.36734694,0.0,5.0,2.0,6.302315,4.10927441,
213,0,211,,SM-102,DSPC,18PG,10.0,18.36734694,0.0,1.0,2.0,8.508581,4.94644841,
214,0,212,,SM-102,DSPC,18PG,7.0,18.36734694,0.0,1.0,2.0,8.660481,5.03078741,
215,0,213,,SM-102,DSPC,18PG,4.0,18.36734694,0.0,1.0,2.0,7.1494548,4.32811981,
216,0,214,,SM-102,DSPC,18PG,10.0,18.36734694,0.0,0.2,2.0,7.636335,4.45016441,
217,0,215,,SM-102,DSPC,18PG,7.0,18.36734694,0.0,0.2,2.0,8.021228,4.16659241,
218,0,216,,SM-102,DSPC,18PG,4.0,18.36734694,0.0,0.2,2.0,5.845434434,3.971190691,
219,0,217,,SM-102,DSPC,18PG,10.0,79.83870968,0.0,5.0,0.8,2.247769,1.24330641,
220,0,218,,SM-102,DSPC,18PG,7.0,79.83870968,0.0,5.0,0.8,5.066832571,3.784414592,
221,0,219,,SM-102,DSPC,18PG,4.0,79.83870968,0.0,5.0,0.8,2.269399,0.00858541,
222,0,220,,SM-102,DSPC,18PG,10.0,79.83870968,0.0,1.0,0.8,3.820894,1.16021041,
