Iter (CV Fold),Valid Score (MAE),Test Score (MAE),Spearmans Rank,Pearsons Correlation,Model HyperParms,Formulation_Index (Hold out set),Experimental_Transfection,Predicted_Transfection,Score_difference
1,0.0845846541303017,0.07139588334303322,"SignificanceResult(statistic=np.float64(0.746975546975547), pvalue=np.float64(1.67198863229255e-07))","PearsonRResult(statistic=np.float64(0.7850937740962501), pvalue=np.float64(1.4365853347953775e-08))","{'subsample': 0.9, 'reg_lambda': 0.001, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 2.0, 'max_depth': 8, 'max_delta_step': 8, 'learning_rate': 0.05, 'gamma': 0}","[142  27 154 126  92  36  14 171  79 158  47  18 102 100 192 160 129 187
  17 162 191 189 180  33 146  86  66 115  78   6  15   9  61 137  48 134]","[[0.43426416]
 [0.69303664]
 [0.59913303]
 [0.39229069]
 [0.49077548]
 [0.28633187]
 [0.46378764]
 [0.35911312]
 [0.62064917]
 [0.35360329]
 [0.52474003]
 [0.37412891]
 [0.44567729]
 [0.67667157]
 [0.41381183]
 [0.26840743]
 [0.27269529]
 [0.28157107]
 [0.39597604]
 [0.74918151]
 [0.44653814]
 [0.42326663]
 [0.84776005]
 [0.40068976]
 [0.78097425]
 [0.43860548]
 [0.60510232]
 [0.28731109]
 [0.66196072]
 [0.54933872]
 [0.6033208 ]
 [0.49785161]
 [0.2494188 ]
 [0.82676451]
 [0.54013018]
 [0.19526608]]","[0.51879114 0.6922432  0.66804254 0.630412   0.48649836 0.25268677
 0.52113914 0.69367963 0.7407422  0.2852609  0.4910436  0.42037937
 0.49351016 0.3124765  0.3505162  0.26281774 0.2188033  0.49889567
 0.41198805 0.7644312  0.4958684  0.50596344 0.8575536  0.40366614
 0.7562163  0.44674447 0.60451555 0.39370173 0.6409875  0.52198076
 0.5269924  0.43226323 0.34797496 0.7621302  0.50849634 0.22180891]",0.013188770787268475
2,0.09503533554410167,0.07648465213563611,"SignificanceResult(statistic=np.float64(0.906821106821107), pvalue=np.float64(2.6096527611005087e-14))","PearsonRResult(statistic=np.float64(0.895348670630991), pvalue=np.float64(1.715745903945893e-13))","{'subsample': 0.7, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 1.0, 'max_depth': 8, 'max_delta_step': 10, 'learning_rate': 0.1, 'gamma': 0}","[185 121  12  89  46   3  20 183  52  67  24 117 106  13 173 131   5 166
 168  81 143  65 152  29  54 148  93  85  38 151  43 188 190 119 139  10]","[[0.8342939 ]
 [0.18593112]
 [0.46258051]
 [0.42377375]
 [0.28809493]
 [0.53280921]
 [0.49830714]
 [0.86145594]
 [0.75985236]
 [0.60034744]
 [0.72127678]
 [0.48285809]
 [0.45855193]
 [0.39248487]
 [0.66327544]
 [0.1573496 ]
 [0.53662549]
 [0.93120022]
 [0.96337896]
 [0.61255104]
 [0.79368142]
 [0.59951245]
 [0.65975316]
 [0.35275971]
 [0.70423762]
 [0.25944184]
 [0.46790054]
 [0.19063014]
 [0.54550884]
 [0.17297168]
 [0.67050882]
 [0.47820047]
 [0.31277429]
 [0.76258439]
 [0.73041723]
 [0.22533936]]","[0.8171274  0.31937042 0.48961976 0.40752637 0.48997015 0.5236531
 0.51505107 0.77688384 0.7131216  0.6062247  0.71016276 0.39747626
 0.3208886  0.46386504 0.6916031  0.29686996 0.504196   0.8090811
 0.8014451  0.7806897  0.69189084 0.59706295 0.67125213 0.3844038
 0.7497095  0.22364509 0.51564425 0.32075885 0.57936126 0.24162772
 0.6483678  0.28102413 0.39130458 0.5131352  0.76977205 0.36624616]",0.01855068340846555
3,0.08794219790432511,0.09480291537878908,"SignificanceResult(statistic=np.float64(0.7734877734877736), pvalue=np.float64(3.187272979896057e-08))","PearsonRResult(statistic=np.float64(0.7963803959544825), pvalue=np.float64(6.307802661782184e-09))","{'subsample': 0.8, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 5.0, 'max_depth': 5, 'max_delta_step': 6, 'learning_rate': 0.3, 'gamma': 0}","[ 80 155  98 157 204 202  68  76 144 109 133 113  96 141 196  62  83 178
  94  35 186 136 120  84 128  82  97  74  55  28 156 200  87  63   4  90]","[[0.80406423]
 [0.66175563]
 [0.70721177]
 [0.28151448]
 [0.17886297]
 [0.39506602]
 [0.77665117]
 [0.55923052]
 [0.42810948]
 [0.39035439]
 [0.16388842]
 [0.74478577]
 [0.65710258]
 [0.31094412]
 [0.31367015]
 [0.26465666]
 [0.33549585]
 [0.96125261]
 [0.4537259 ]
 [0.27839381]
 [0.50587861]
 [0.37851814]
 [0.20202675]
 [0.27690141]
 [0.67334645]
 [0.78118698]
 [0.22142345]
 [0.48323393]
 [0.78209431]
 [0.62324757]
 [0.66539648]
 [0.60691181]
 [0.43697112]
 [0.22982281]
 [0.42208626]
 [0.40684573]]","[0.6326641  0.61504745 0.6944383  0.19781864 0.19878536 0.52340305
 0.75493366 0.52599525 0.5651061  0.4760307  0.43351534 0.43546665
 0.61666787 0.38592133 0.3361202  0.4592193  0.37582684 0.86547506
 0.4785663  0.26221105 0.466115   0.45967236 0.26922092 0.31992358
 0.65013    0.61492187 0.58510655 0.5508661  0.59221035 0.593729
 0.7412109  0.6677181  0.3829072  0.4464698  0.32602516 0.4160593 ]",0.00686071747446397
4,0.09454817489687516,0.09268039180469861,"SignificanceResult(statistic=np.float64(0.7750700280112045), pvalue=np.float64(4.602362488089311e-08))","PearsonRResult(statistic=np.float64(0.8082236167444923), pvalue=np.float64(4.3278671215096975e-09))","{'subsample': 0.5, 'reg_lambda': 0.01, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 2.0, 'max_depth': 6, 'max_delta_step': 6, 'learning_rate': 0.1, 'gamma': 0}","[116 135 125 122  91  42  34 163 149   7 124 153   8 194  71 193  75  23
  41 140  77 118 203  64  31 176 177  30 172 145   2  99 161 199 181]","[[0.79562393]
 [0.20822843]
 [0.50101226]
 [0.16204605]
 [0.30533285]
 [0.75354222]
 [0.34707725]
 [0.77148171]
 [0.22521786]
 [0.37212957]
 [0.51196387]
 [0.65665844]
 [0.45616721]
 [0.48789967]
 [0.7633499 ]
 [0.13159306]
 [0.53229679]
 [0.76127683]
 [0.74908542]
 [0.63298356]
 [0.66749511]
 [0.28542675]
 [0.52143031]
 [0.3096042 ]
 [0.36789703]
 [0.91622216]
 [1.        ]
 [0.34682046]
 [0.81100315]
 [0.77488052]
 [0.52207258]
 [0.69485248]
 [0.72087391]
 [0.6073484 ]
 [0.86398201]]","[0.36009616 0.16236801 0.47656456 0.3971054  0.2277159  0.63750243
 0.3761007  0.7999356  0.18727583 0.39993715 0.21758081 0.7058579
 0.4158335  0.46078205 0.7266173  0.3867823  0.5117301  0.7036276
 0.58602804 0.5113922  0.71355593 0.383237   0.3550561  0.28195187
 0.3738238  0.8488404  0.597578   0.37701216 0.6940066  0.71852034
 0.47979018 0.6776407  0.7262928  0.6438653  0.86237407]",0.001867783092176542
5,0.08515142668132214,0.12498044377373055,"SignificanceResult(statistic=np.float64(0.584593837535014), pvalue=np.float64(0.00022625626475598177))","PearsonRResult(statistic=np.float64(0.5830777065657791), pvalue=np.float64(0.00023704032714146086))","{'subsample': 0.9, 'reg_lambda': 0.01, 'reg_alpha': 0.001, 'n_estimators': 400, 'min_child_weight': 4.0, 'max_depth': 3, 'max_delta_step': 2, 'learning_rate': 0.05, 'gamma': 0}","[ 44  69 103 182 164 111 147 114  11  25  70  72 108 207 170 169  32  19
  49  50 112 197  37 101  21  16 174  60 159  26  40  73 206 210 107]","[[0.39482713]
 [0.73251329]
 [0.46662238]
 [0.54916195]
 [0.78331447]
 [0.41698057]
 [0.69607063]
 [0.24371359]
 [0.40708604]
 [0.63894524]
 [0.70076162]
 [0.75330887]
 [0.47276111]
 [0.52606759]
 [0.75494117]
 [0.78826657]
 [0.4022882 ]
 [0.30321848]
 [0.52428459]
 [0.76575056]
 [0.        ]
 [0.39817172]
 [0.2754217 ]
 [0.48989487]
 [0.51670721]
 [0.47415617]
 [0.91798508]
 [0.40234144]
 [0.20933466]
 [0.74754497]
 [0.55245809]
 [0.72915496]
 [0.48688278]
 [0.50587861]
 [0.46697632]]","[0.5799113  0.69189054 0.32147655 0.8192863  0.75776154 0.77983177
 0.72597665 0.72985995 0.4440738  0.6987673  0.55097026 0.63874125
 0.6131952  0.7488705  0.5326332  0.5559986  0.4238984  0.25055924
 0.62367517 0.77206093 0.47567904 0.31459433 0.2075342  0.40466765
 0.54777676 0.38997874 0.8598884  0.37085557 0.11756072 0.6855647
 0.5552184  0.58412504 0.51532465 0.4732525  0.65709305]",0.03982901709240841
