Formula_label,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_RAMOS
0,DSPC,0.43731778425655987,0.5704349499777951,0.2117567567567568,0.42998670708480446,3.625105266
1,DSPC,0.43731778425655987,0.5116079956018872,0.05405405405405406,0.42998670708480446,2.59513491
2,DSPC,0.43731778425655987,0.6450223968033227,0.3918918918918919,0.42998670708480446,4.750642258
3,DSPC,0.43731778425655987,0.7793531057053181,0.6621621621621622,0.42998670708480446,5.129182663
4,DSPC,0.43731778425655987,0.9483202456884549,0.9324324324324326,0.42998670708480446,4.262640824
5,DSPC,0.43731778425655987,0.9999999999999999,1.0,0.42998670708480446,4.084637596
6,DSPC,0.402332361516035,0.5926095963313304,0.3764864864864865,0.9543989365667844,3.446166609
7,DSPC,0.43148688046647243,0.6091031349413979,0.21689189189189192,0.968079255596749,3.821622286
8,DSPC,0.9999999999999998,0.38717340986593285,0.0,1.0,2.445695971
9,DSPC,0.4139941690962099,0.8189375983694801,0.3295945945945946,0.5257489402945574,2.703656216
10,DSPC,0.0,0.38717340986593285,0.6621621621621622,1.0,2.983898735
11,DSPC,0.4482504326530612,0.17951452170015003,0.21359428391891894,0.04647498729343469,3.352312934
12,DSPC,0.44687582069970855,0.0,0.2131703260810811,0.0,2.392363976
13,DSPC,0.9999999999999998,0.38717340986593285,0.0,1.0,1.955136355
14,DSPC,0.4130768620991254,0.8189995178623454,0.3296485724324325,0.5258687361122389,3.99458102
15,DSPC,0.43731778425655987,0.515733241275344,0.05405405405405406,0.42998670708480446,3.075091347
16,DSPC,0.43731778425655987,0.9510728057986578,0.9324324324324326,0.42998670708480446,3.879298806
