Formula_label,Helper_lipid,IL_NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),SORT_of_total,on_target
HB_C72,DOPE,0.20253164556962022,0.5,0.18367346938775508,0.0,0.0,7.845994034
HB_C73,DOPE,0.8860759493670884,0.0,0.18367346938775508,0.3333514211203397,0.0,8.442219738
HB_C74,DOPE,0.5443037974683542,0.0,0.18367346938775508,0.3333514211203397,0.0,8.137820625
HB_C75,DOPE,0.20253164556962022,0.0,0.18367346938775508,0.3333514211203397,0.0,7.913840017
HB_C76,DOPE,0.8860759493670884,0.0,0.18367346938775508,0.05555857018672329,0.0,7.756774132
HB_C77,DOPE,0.5443037974683542,0.0,0.18367346938775508,0.05555857018672329,0.0,7.649318588
HB_C78,DOPE,0.20253164556962022,0.0,0.18367346938775508,0.05555857018672329,0.0,7.706764252
HB_C79,DOPE,0.8860759493670884,0.0,0.18367346938775508,0.0,0.0,7.484547381
HB_C80,DOPE,0.5443037974683542,0.0,0.18367346938775508,0.0,0.0,7.024058797
HB_C81,DOPE,0.20253164556962022,0.0,0.18367346938775508,0.0,0.0,7.225157037
HB_C82,DOPE,0.9999999999999998,1.0,0.0,0.3333514211203397,0.0,6.638992486
HB_C83,DOPE,0.6240506329113922,1.0,0.0,0.3333514211203397,0.0,6.414959904
HB_C84,DOPE,0.24810126582278474,1.0,0.0,0.3333514211203397,0.0,6.669919503
HB_C85,DOPE,0.9999999999999998,1.0,0.0,0.05555857018672329,0.0,6.54783189
HB_C86,DOPE,0.6240506329113922,1.0,0.0,0.05555857018672329,0.0,6.110183554
HB_C87,DOPE,0.24810126582278474,1.0,0.0,0.05555857018672329,0.0,6.385637404
HB_C88,DOPE,0.9999999999999998,1.0,0.0,0.0,0.0,6.421624389
HB_C89,DOPE,0.6240506329113922,1.0,0.0,0.0,0.0,6.610326048
HB_C90,DOPE,0.24810126582278474,1.0,0.0,0.0,0.0,6.797343142
HB_C91,DOPE,0.9999999999999998,0.5,0.0,0.3333514211203397,0.0,8.465904757
HB_C92,DOPE,0.6240506329113922,0.5,0.0,0.3333514211203397,0.0,7.944830031
HB_C93,DOPE,0.24810126582278474,0.5,0.0,0.3333514211203397,0.0,7.945351608
HB_C94,DOPE,0.9999999999999998,0.5,0.0,0.05555857018672329,0.0,7.59708001
HB_C95,DOPE,0.6240506329113922,0.5,0.0,0.05555857018672329,0.0,7.911545404
HB_C96,DOPE,0.24810126582278474,0.5,0.0,0.05555857018672329,0.0,6.556392544
HB_C97,DOPE,0.9999999999999998,0.5,0.0,0.0,0.0,7.07891146
HB_C98,DOPE,0.6240506329113922,0.5,0.0,0.0,0.0,7.136542886
HB_C99,DOPE,0.24810126582278474,0.5,0.0,0.0,0.0,7.654655861
HB_C100,DOPE,0.9999999999999998,0.0,0.0,0.3333514211203397,0.0,8.056365791
HB_C101,DOPE,0.6240506329113922,0.0,0.0,0.3333514211203397,0.0,8.019543808
HB_C102,DOPE,0.24810126582278474,0.0,0.0,0.3333514211203397,0.0,7.861253489
HB_C103,DOPE,0.9999999999999998,0.0,0.0,0.05555857018672329,0.0,7.656740824
HB_C104,DOPE,0.6240506329113922,0.0,0.0,0.05555857018672329,0.0,7.661760588
HB_C105,DOPE,0.24810126582278474,0.0,0.0,0.05555857018672329,0.0,7.684798438
HB_C106,DOPE,0.9999999999999998,0.0,0.0,0.0,0.0,6.972137995
HB_C107,DOPE,0.6240506329113922,0.0,0.0,0.0,0.0,7.021074513
HB_C108,DOPE,0.24810126582278474,0.0,0.0,0.0,0.0,6.916135441
HB_C109,DOPE,0.35848601797468355,0.7645787745000001,0.32280348244897955,1.0,0.0,8.11931247
HB_C110,DOPE,0.3798584772151898,0.6321843713333333,0.4930320159183673,0.42152753371794927,0.0,9.456416476
HB_C111,DOPE,0.2907373721518987,0.586428116,0.2907121702040816,0.48792629327842035,0.0,9.219472982
HB_C112,DOPE,0.2628916743037974,0.6122819036666667,0.45772607632653056,0.9530378879273426,0.0,9.055069321
HB_C113,DOPE,0.285368764556962,0.5007239281666667,0.5703302695918366,0.6058456987178259,0.0,9.507554833
HB_C114,DOPE,0.38558855113924045,0.8738608509999999,0.40646313122448974,0.9219919165544445,0.0,7.405874908
HB_C115,DOPE,0.34189080354430373,0.9012910574999999,0.25227802999999993,0.5177191886033344,0.0,7.088362369
HB_C116,DOPE,0.3912099239240506,0.5564528703333333,0.40287061040816324,0.52873349027171,0.0,7.650275791
HB_C117,DOPE,0.4654937807594936,0.9384842035000001,0.18756694714285713,0.7499372405182554,0.0,6.473222177
HB_C118,DOPE,0.2563616905063291,0.9727613031666666,0.5307320208163264,0.8521534354226922,0.0,7.454598273
HB_C119,DOPE,0.1957356607594936,0.6032059193333332,0.48245877775510193,0.9189353861224964,0.0,7.898138959
HB_C120,DOPE,0.36114910012658225,0.8736683465000001,0.48988067734693874,0.9680781852701431,0.0,7.309809861
HB_C121,DOPE,0.20360823696202524,0.5441069568333332,0.588465583877551,0.3424583668642326,0.0,9.075474065
HB_C122,DOPE,0.20637876126582277,0.6244131748333333,0.5842208997959183,0.42443799698812124,0.0,9.009859038
HB_C123,DOPE,0.21694827822784807,0.6243528295,0.5886953175510203,0.3938421942082253,0.0,9.443133417
HB_C124,DOPE,0.22760457139240503,0.6145354853333334,0.5916437120408162,0.4713432919500809,0.0,9.284943261
HB_C125,DOPE,0.2279840686075949,0.5104557946666666,0.5760967879591836,0.4605964804208317,0.0,9.695342957
HB_C126,DOPE,0.21198604063291138,0.5981860906666667,0.5881953834693877,0.4816947579304936,0.0,9.731775419
HB_C127,DOPE,0.22672078341772145,0.554524418,0.5708849332653061,0.3627711875185672,0.0,9.285609517
HB_C128,DOPE,0.22978908974683543,0.5679358288333334,0.5847517251020408,0.3654878437449104,0.0,9.455052371
HB_C129,DOPE,0.2027391386075949,0.5406314613333334,0.5814441334693876,0.4083551577987879,0.0,9.710602673
HB_C130,DOPE,0.22591316797468353,0.5844826865000001,0.576702421632653,0.42572332089699877,0.0,9.455431828
HB_C131,DOPE,0.2217995598734177,0.5605736598333333,0.5722312528571428,0.4041394856518829,0.0,10.0878065
HB_C132,DOPE,0.22175147126582273,0.5925906775,0.5791064873469387,0.3929124107716775,0.0,9.654878279
