Formula_label,Helper_lipid,IL_NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),SORT_of_total,on_target
HB_C1,DOPE,0.37974683544303794,1.0,1.0,0.3333514211203397,0.0,7.928970649
HB_C2,DOPE,0.18987341772151894,1.0,1.0,0.3333514211203397,0.0,7.540828308
HB_C3,DOPE,0.0,1.0,1.0,0.3333514211203397,0.0,7.47292678
HB_C4,DOPE,0.37974683544303794,1.0,1.0,0.05555857018672329,0.0,7.569567061
HB_C5,DOPE,0.18987341772151894,1.0,1.0,0.05555857018672329,0.0,7.395699213
HB_C6,DOPE,0.0,1.0,1.0,0.05555857018672329,0.0,8.302215571
HB_C7,DOPE,0.37974683544303794,1.0,1.0,0.0,0.0,7.228167847
HB_C8,DOPE,0.18987341772151894,1.0,1.0,0.0,0.0,7.61219283
HB_C9,DOPE,0.0,1.0,1.0,0.0,0.0,8.564896823
HB_C10,DOPE,0.37974683544303794,0.5,1.0,0.3333514211203397,0.0,7.660311887
HB_C11,DOPE,0.18987341772151894,0.5,1.0,0.3333514211203397,0.0,7.294445792
HB_C12,DOPE,0.0,0.5,1.0,0.3333514211203397,0.0,7.211155356
HB_C13,DOPE,0.37974683544303794,0.5,1.0,0.05555857018672329,0.0,6.958337317
HB_C14,DOPE,0.18987341772151894,0.5,1.0,0.05555857018672329,0.0,7.095971191
HB_C15,DOPE,0.0,0.5,1.0,0.05555857018672329,0.0,7.287967283
HB_C16,DOPE,0.37974683544303794,0.5,1.0,0.0,0.0,7.067182723
HB_C17,DOPE,0.18987341772151894,0.5,1.0,0.0,0.0,7.447336109
HB_C18,DOPE,0.0,0.5,1.0,0.0,0.0,7.302837635
HB_C19,DOPE,0.37974683544303794,0.0,1.0,0.3333514211203397,0.0,7.732065649
HB_C20,DOPE,0.18987341772151894,0.0,1.0,0.3333514211203397,0.0,8.101431926
HB_C21,DOPE,0.0,0.0,1.0,0.3333514211203397,0.0,7.567538046
HB_C22,DOPE,0.37974683544303794,0.0,1.0,0.05555857018672329,0.0,7.280922256
HB_C23,DOPE,0.18987341772151894,0.0,1.0,0.05555857018672329,0.0,7.529661369
HB_C24,DOPE,0.0,0.0,1.0,0.05555857018672329,0.0,7.223315093
HB_C25,DOPE,0.37974683544303794,0.0,1.0,0.0,0.0,7.017770032
HB_C26,DOPE,0.18987341772151894,0.0,1.0,0.0,0.0,7.330702725
HB_C27,DOPE,0.0,0.0,1.0,0.0,0.0,7.121674578
HB_C28,DOPE,0.6329113924050631,1.0,0.5918367346938774,0.3333514211203397,0.0,7.109505121
HB_C29,DOPE,0.3670886075949367,1.0,0.5918367346938774,0.3333514211203397,0.0,7.078814632
HB_C30,DOPE,0.10126582278481011,1.0,0.5918367346938774,0.3333514211203397,0.0,7.944035199
HB_C31,DOPE,0.6329113924050631,1.0,0.5918367346938774,0.05555857018672329,0.0,7.914409988
HB_C32,DOPE,0.3670886075949367,1.0,0.5918367346938774,0.05555857018672329,0.0,7.541454979
HB_C33,DOPE,0.10126582278481011,1.0,0.5918367346938774,0.05555857018672329,0.0,7.543993478
HB_C34,DOPE,0.6329113924050631,1.0,0.5918367346938774,0.0,0.0,8.130926814
HB_C35,DOPE,0.3670886075949367,1.0,0.5918367346938774,0.0,0.0,7.278587656
HB_C36,DOPE,0.10126582278481011,1.0,0.5918367346938774,0.0,0.0,7.417213666
HB_C37,DOPE,0.6329113924050631,0.5,0.5918367346938774,0.3333514211203397,0.0,8.573177273
HB_C38,DOPE,0.3670886075949367,0.5,0.5918367346938774,0.3333514211203397,0.0,8.62735057
HB_C39,DOPE,0.10126582278481011,0.5,0.5918367346938774,0.3333514211203397,0.0,8.040043771
HB_C40,DOPE,0.6329113924050631,0.5,0.5918367346938774,0.05555857018672329,0.0,6.895691849
HB_C41,DOPE,0.3670886075949367,0.5,0.5918367346938774,0.05555857018672329,0.0,7.393281446
HB_C42,DOPE,0.10126582278481011,0.5,0.5918367346938774,0.05555857018672329,0.0,7.936089931
HB_C43,DOPE,0.6329113924050631,0.5,0.5918367346938774,0.0,0.0,7.82511799
HB_C44,DOPE,0.3670886075949367,0.5,0.5918367346938774,0.0,0.0,7.529638774
HB_C45,DOPE,0.10126582278481011,0.5,0.5918367346938774,0.0,0.0,8.24835768
HB_C46,DOPE,0.6329113924050631,0.0,0.5918367346938774,0.3333514211203397,0.0,8.876932549
HB_C47,DOPE,0.3670886075949367,0.0,0.5918367346938774,0.3333514211203397,0.0,8.031635205
HB_C48,DOPE,0.10126582278481011,0.0,0.5918367346938774,0.3333514211203397,0.0,8.346447938
HB_C49,DOPE,0.6329113924050631,0.0,0.5918367346938774,0.05555857018672329,0.0,7.586401912
HB_C50,DOPE,0.3670886075949367,0.0,0.5918367346938774,0.05555857018672329,0.0,7.712200347
HB_C51,DOPE,0.10126582278481011,0.0,0.5918367346938774,0.05555857018672329,0.0,8.005475563
HB_C52,DOPE,0.6329113924050631,0.0,0.5918367346938774,0.0,0.0,7.149803717
HB_C53,DOPE,0.3670886075949367,0.0,0.5918367346938774,0.0,0.0,7.230400369
HB_C54,DOPE,0.10126582278481011,0.0,0.5918367346938774,0.0,0.0,7.743119727
HB_C55,DOPE,0.8860759493670884,1.0,0.18367346938775508,0.3333514211203397,0.0,6.834594211
HB_C56,DOPE,0.5443037974683542,1.0,0.18367346938775508,0.3333514211203397,0.0,8.281399424
HB_C57,DOPE,0.20253164556962022,1.0,0.18367346938775508,0.3333514211203397,0.0,7.650432261
HB_C58,DOPE,0.8860759493670884,1.0,0.18367346938775508,0.05555857018672329,0.0,7.476731604
HB_C59,DOPE,0.5443037974683542,1.0,0.18367346938775508,0.05555857018672329,0.0,7.234132917
HB_C60,DOPE,0.20253164556962022,1.0,0.18367346938775508,0.05555857018672329,0.0,6.743811759
HB_C61,DOPE,0.8860759493670884,1.0,0.18367346938775508,0.0,0.0,7.114705431
HB_C62,DOPE,0.5443037974683542,1.0,0.18367346938775508,0.0,0.0,7.448891277
HB_C63,DOPE,0.20253164556962022,1.0,0.18367346938775508,0.0,0.0,7.737226394
HB_C64,DOPE,0.8860759493670884,0.5,0.18367346938775508,0.3333514211203397,0.0,8.861307754
HB_C65,DOPE,0.5443037974683542,0.5,0.18367346938775508,0.3333514211203397,0.0,9.094023207
HB_C66,DOPE,0.20253164556962022,0.5,0.18367346938775508,0.3333514211203397,0.0,9.313470674
HB_C67,DOPE,0.8860759493670884,0.5,0.18367346938775508,0.05555857018672329,0.0,7.72677108
HB_C68,DOPE,0.5443037974683542,0.5,0.18367346938775508,0.05555857018672329,0.0,7.215696401
HB_C69,DOPE,0.20253164556962022,0.5,0.18367346938775508,0.05555857018672329,0.0,8.06332782
HB_C70,DOPE,0.8860759493670884,0.5,0.18367346938775508,0.0,0.0,7.557301446
HB_C71,DOPE,0.5443037974683542,0.5,0.18367346938775508,0.0,0.0,7.358718824
