Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_T
0,CONTROL,0,SM-102,DSPC,5.0,60.0,16.66667,3.75,3.492784557
1,LIBRARY,0,SM-102,DSPC,5.0,40.0,10.0,3.75,3.870175169
2,LIBRARY,0,SM-102,DSPC,5.0,55.0,10.0,3.75,2.872275537
3,LIBRARY,0,SM-102,DSPC,5.0,70.0,10.0,3.75,1.06473641
4,LIBRARY,0,SM-102,DSPC,5.0,40.0,30.0,3.75,4.780611148
5,LIBRARY,0,SM-102,DSPC,5.0,55.0,30.0,3.75,3.958965629
6,LIBRARY,0,SM-102,DSPC,5.0,70.0,30.0,3.75,1.05347307
7,LIBRARY,0,SM-102,DSPC,5.0,40.0,50.0,3.75,4.156217502
8,LIBRARY,0,SM-102,DSPC,5.0,55.0,50.0,3.75,3.349034754
9,LIBRARY,0,SM-102,DSPC,5.0,70.0,50.0,3.75,1.675398304
10,LIBRARY,0,SM-102,DSPC,5.0,40.0,60.0,3.75,3.748453613
11,LIBRARY,0,SM-102,DSPC,5.0,55.0,60.0,3.75,3.127501239
12,LIBRARY,0,SM-102,DSPC,5.0,70.0,60.0,3.75,1.210789245
13,LIBRARY,0,SM-102,DSPC,8.0,40.0,10.0,3.75,2.498206604
14,LIBRARY,0,SM-102,DSPC,8.0,55.0,10.0,3.75,2.820305839
15,LIBRARY,0,SM-102,DSPC,8.0,70.0,10.0,3.75,0.738879638
16,LIBRARY,0,SM-102,DSPC,8.0,40.0,30.0,3.75,4.249038511
17,LIBRARY,0,SM-102,DSPC,8.0,55.0,30.0,3.75,2.568429265
18,LIBRARY,0,SM-102,DSPC,8.0,70.0,30.0,3.75,1.872403452
19,LIBRARY,0,SM-102,DSPC,8.0,40.0,50.0,3.75,3.87752774
20,LIBRARY,0,SM-102,DSPC,8.0,55.0,50.0,3.75,3.043354972
21,LIBRARY,0,SM-102,DSPC,8.0,70.0,50.0,3.75,1.972945034
22,LIBRARY,0,SM-102,DSPC,8.0,40.0,60.0,3.75,3.30543835
23,LIBRARY,0,SM-102,DSPC,8.0,55.0,60.0,3.75,3.387245534
24,LIBRARY,0,SM-102,DSPC,8.0,70.0,60.0,3.75,2.678898168
25,DA,1,SM-102,DSPC,6.324350953,31.2082224,44.60332734,3.914758226,5.124571702
26,DA,1,SM-102,DSPC,5.879832032,31.25941314,44.01879946,9.642407477,4.564856505
27,DA,1,SM-102,DSPC,4.683059845,45.23359377,41.25226137,2.62426339,1.256689234
28,DA,1,SM-102,DSPC,6.322055152,45.36384447,39.26790476,3.238514084,0.554689338
29,DA,1,SM-102,DSPC,7.758338467,44.47699964,46.96689549,7.083999008,3.784103098
30,DA,1,SM-102,DSPC,5.555543947,35.24528034,35.87996698,4.710013166,3.875044051
31,DA,1,SM-102,DSPC,4.472554723,49.97080609,36.7067211,2.576518372,0.739970517
32,DA,1,SM-102,DSPC,4.94244829,38.16619322,30.86941688,4.937801927,3.908598754
33,DA,1,SM-102,DSPC,4.343354343,52.95052886,45.96796053,4.333219156,2.694815708
34,DA,1,SM-102,DSPC,5.599815017,53.45884235,48.67940612,7.550825235,3.446779737
