Formula_label,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_RAMOS
1,DSPC,0.3770440741317552,0.590615125653368,0.3256444990137273,0.09827533704288127,3.751797919
2,DSPC,1.0,0.8859226884800521,0.9965782375910793,0.13287932895938875,0.636278186
3,DSPC,0.5327830555988163,0.8859226884800521,0.9965782375910793,0.13287932895938875,0.654339555
4,DSPC,0.06556611119763278,0.8859226884800521,0.9965782375910793,0.13287932895938875,0.559526938
5,DSPC,1.0,0.8859226884800521,0.9965782375910793,0.022146554826564795,0.693298294
6,DSPC,0.5327830555988163,0.8859226884800521,0.9965782375910793,0.022146554826564795,0.502543562
7,DSPC,0.06556611119763278,0.8859226884800521,0.9965782375910793,0.022146554826564795,0.581553842
8,DSPC,1.0,0.8859226884800521,0.9965782375910793,0.0,0.518872924
9,DSPC,0.5327830555988163,0.8859226884800521,0.9965782375910793,0.0,0.465799454
10,DSPC,0.06556611119763278,0.8859226884800521,0.9965782375910793,0.0,0.519472624
11,DSPC,1.0,0.442961344240026,0.9965782375910793,0.13287932895938875,1.737140194
12,DSPC,0.5327830555988163,0.442961344240026,0.9965782375910793,0.13287932895938875,2.160326321
13,DSPC,0.06556611119763278,0.442961344240026,0.9965782375910793,0.13287932895938875,0.868484388
14,DSPC,1.0,0.442961344240026,0.9965782375910793,0.022146554826564795,0.382165699
15,DSPC,0.5327830555988163,0.442961344240026,0.9965782375910793,0.022146554826564795,0.324845447
16,DSPC,0.06556611119763278,0.442961344240026,0.9965782375910793,0.022146554826564795,0.206698179
17,DSPC,1.0,0.442961344240026,0.9965782375910793,0.0,0.313000873
18,DSPC,0.5327830555988163,0.442961344240026,0.9965782375910793,0.0,0.116103639
19,DSPC,0.06556611119763278,0.442961344240026,0.9965782375910793,0.0,0.422051905
20,DSPC,1.0,0.0,0.9965782375910793,0.13287932895938875,0.841191131
21,DSPC,0.5327830555988163,0.0,0.9965782375910793,0.13287932895938875,0.734187468
22,DSPC,0.06556611119763278,0.0,0.9965782375910793,0.13287932895938875,0.565079317
23,DSPC,1.0,0.0,0.9965782375910793,0.022146554826564795,0.230724169
24,DSPC,0.5327830555988163,0.0,0.9965782375910793,0.022146554826564795,0.323509279
25,DSPC,0.06556611119763278,0.0,0.9965782375910793,0.022146554826564795,0.621861102
26,DSPC,1.0,0.0,0.9965782375910793,0.0,0.124147776
27,DSPC,0.5327830555988163,0.0,0.9965782375910793,0.0,0.191834156
28,DSPC,0.06556611119763278,0.0,0.9965782375910793,0.0,0.193496667
29,DSPC,1.0,0.8859226884800521,0.5940179541886397,0.13287932895938875,0.252882818
30,DSPC,0.5327830555988163,0.8859226884800521,0.5940179541886397,0.13287932895938875,0.491610024
31,DSPC,0.06556611119763278,0.8859226884800521,0.5940179541886397,0.13287932895938875,0.249092707
32,DSPC,1.0,0.8859226884800521,0.5940179541886397,0.022146554826564795,0.716457661
33,DSPC,0.5327830555988163,0.8859226884800521,0.5940179541886397,0.022146554826564795,0.590156045
34,DSPC,0.06556611119763278,0.8859226884800521,0.5940179541886397,0.022146554826564795,0.204373073
35,DSPC,1.0,0.8859226884800521,0.5940179541886397,0.0,0.407406131
36,DSPC,0.5327830555988163,0.8859226884800521,0.5940179541886397,0.0,0.588199006
37,DSPC,0.06556611119763278,0.8859226884800521,0.5940179541886397,0.0,0.062808878
