Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),LnRLU_T
44,i-optimal,1,SM-102,DSPC,7.11993770185746,84.34343683269,79.8060538044995,5.8036639606807,2.11859
45,i-optimal,1,SM-102,DSPC,5.24911765343394,71.5731310039267,81.1728084091577,7.31031285612793,3.135447
46,i-optimal,1,SM-102,DSPC,6.35319851987016,83.2434815177774,64.1040070418355,8.13212340222526,3.153581
47,DA,2,SM-102,DSPC,6.234071803643643,57.83414689891339,32.906925987067616,6.1334988335849046,
48,DA,2,SM-102,DSPC,4.514884914933896,61.834352900938335,32.855165272782564,5.852102624879019,
49,DA,2,SM-102,DSPC,6.950377827318396,57.06594992737038,33.05175819720354,8.322328439772706,
50,DA,2,SM-102,DSPC,6.219598337576395,61.24895792555314,32.989777053461076,3.271015125508317,
51,DA,2,SM-102,DSPC,7.4388470413349115,58.93781178333638,32.76043704919955,4.805705442875932,
52,DA,2,SM-102,DSPC,7.27143526138994,63.05258570858047,32.643700031394005,7.127536484350866,
53,DA,2,SM-102,DSPC,8.887264725987963,64.51727214203952,33.480982920331925,6.805780576311308,
54,DA,2,SM-102,DSPC,4.054685489190657,55.74939115521843,33.20091166538242,2.232644784814541,
55,DA,2,SM-102,DSPC,8.493095163219973,57.22551222917847,42.16947932115382,6.896645689844087,
56,DA,2,SM-102,DSPC,5.44155018630224,55.81329656090377,36.66253626281889,5.377586741767682,
57,DA,2,SM-102,DSPC,7.523280794345323,56.77673143292196,46.400240697179676,6.088936144459719,
58,DA,2,SM-102,DSPC,8.949251845715553,65.46618614682536,32.74755365128066,4.234118731297522,
59,i-optimal,2,SM-102,DSPC,7.709625621421619,29.29847078666985,29.193354895877572,7.848117574172741,
60,i-optimal,2,SM-102,DSPC,7.085975749665497,56.95876562765464,65.39236991227617,6.150478239818252,
61,i-optimal,2,SM-102,DSPC,6.16481032441928,85.74664223750115,25.690547304263987,8.673080750633563,
62,i-optimal,2,SM-102,DSPC,4.991848460294778,46.04917059544782,25.569920472354642,9.0682604553173,
63,i-optimal,2,SM-102,DSPC,8.77144651752391,88.45662593311116,21.68468073949324,6.3782213638251095,
64,i-optimal,2,SM-102,DSPC,5.767624719012101,60.53677583255505,52.50699971558165,8.040286946205036,
65,i-optimal,2,SM-102,DSPC,6.587420970465439,70.65559997412352,65.44609834716934,2.3493448364718637,
66,i-optimal,2,SM-102,DSPC,5.973262499547985,84.93170864682394,20.628894623413856,3.746848939626091,
67,i-optimal,2,SM-102,DSPC,9.671076818725588,37.239549297928505,25.986901416393728,6.774573379610234,
68,i-optimal,2,SM-102,DSPC,5.263047245827757,71.92219891826078,29.256818472184047,7.248647691193567,
69,i-optimal,2,SM-102,DSPC,7.370011539845374,79.5558037676332,38.7079556363282,5.331453383884209,
70,i-optimal,2,SM-102,DSPC,7.7401880417808036,26.37770615095781,10.259551758365943,5.456166008511906,
