Iter (CV Fold),Valid Score (MAE),Test Score (MAE),Spearmans Rank,Pearsons Correlation,Model HyperParms,Formulation_Index (Hold out set),Experimental_Transfection,Predicted_Transfection,Score_difference
1,0.06954941722862776,0.05513816775516922,"SignificanceResult(statistic=0.9574268036251365, pvalue=6.44866359011222e-26)","PearsonRResult(statistic=0.9647780990628733, pvalue=9.787034709625736e-28)","{'subsample': 0.5, 'reg_lambda': 0.01, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 2.0, 'max_depth': 6, 'max_delta_step': 6, 'learning_rate': 0.1, 'gamma': 0}","[156  70 256 124 230 248 208 153 233 103  92 213  10 241  25 196  77  54
 216 159 101  72   9 128  35 181 102 179 226 163 215 177  44 194 112 235
 243  65 126 135 232 222  76 100 172  71  38]","[[0.87386267]
 [0.        ]
 [0.74358499]
 [0.08458215]
 [0.33095583]
 [0.23444117]
 [0.97029503]
 [0.0661227 ]
 [0.25361435]
 [0.01653014]
 [0.95325954]
 [0.93568922]
 [0.        ]
 [0.26246335]
 [0.        ]
 [0.        ]
 [0.05933947]
 [0.        ]
 [0.70437052]
 [0.88063785]
 [0.37249942]
 [0.        ]
 [0.46092915]
 [0.35654515]
 [0.25866274]
 [0.03356124]
 [0.31269703]
 [0.        ]
 [0.35079334]
 [0.86821148]
 [0.11783809]
 [0.77689573]
 [0.        ]
 [0.        ]
 [0.47145987]
 [0.31735519]
 [0.25439407]
 [0.02557545]
 [0.        ]
 [0.23210292]
 [0.33334593]
 [0.59152913]
 [0.22252501]
 [0.38920589]
 [0.65851012]
 [0.        ]
 [0.329331  ]]","[ 8.73069465e-01  9.66568012e-03  7.35089839e-01  3.62544030e-01
  3.69683474e-01  2.22927809e-01  9.81153369e-01  7.20341280e-02
  2.11064428e-01  7.37812966e-02  8.87976050e-01  9.58359361e-01
  7.43920282e-02  2.19305828e-01  1.44121340e-02 -1.18121869e-04
  5.92779405e-02 -6.54824311e-03  7.30575979e-01  8.67291391e-01
  5.30080616e-01 -1.52999535e-02  3.53941947e-01  5.06628394e-01
  3.28004062e-01  8.95003602e-02  3.72162193e-01  4.43087220e-02
  3.29072833e-01  8.61462653e-01  2.76307404e-01  5.89740634e-01
  2.87105106e-02  4.76304106e-02  3.48117054e-01  3.25146437e-01
  2.21247971e-01  9.01473090e-02 -8.69992375e-02  2.65572667e-01
  3.17123383e-01  3.76252681e-01  1.47350952e-01  4.23011750e-01
  6.76484525e-01 -4.34386265e-03  2.89318770e-01]",0.014411249473458537
2,0.05861975391047543,0.06679202237851838,"SignificanceResult(statistic=0.9140015418859229, pvalue=3.0193455936602495e-19)","PearsonRResult(statistic=0.9420442456524611, pvalue=5.664848907220246e-23)","{'subsample': 0.5, 'reg_lambda': 0.001, 'reg_alpha': 0.001, 'n_estimators': 300, 'min_child_weight': 4.0, 'max_depth': 10, 'max_delta_step': 6, 'learning_rate': 0.1, 'gamma': 0}","[ 21 119 122 242 166  91  56 240  84 204  69  98 225  78 239 262 142 133
 266 185  87 111 129 132  11  58 130 227 258 224 104  86  75 201  42 173
 211 189 247  13 113  74 183 154 271 125  32]","[[0.04284834]
 [0.54330495]
 [0.57281152]
 [0.24821713]
 [0.83390228]
 [0.44860538]
 [0.14717263]
 [0.29304768]
 [0.74923729]
 [0.98331521]
 [0.        ]
 [0.48096631]
 [0.78296576]
 [0.        ]
 [0.03370406]
 [0.8297977 ]
 [0.        ]
 [0.21772953]
 [0.77636647]
 [0.24213487]
 [0.5137013 ]
 [0.88375465]
 [0.38647039]
 [0.11429352]
 [0.02363711]
 [0.5272743 ]
 [0.2311207 ]
 [0.28828163]
 [0.71384201]
 [0.7500654 ]
 [0.78695889]
 [0.3800643 ]
 [0.06560675]
 [0.        ]
 [0.07897429]
 [0.81240664]
 [0.96021869]
 [0.14701601]
 [0.18462488]
 [0.2349589 ]
 [0.26929473]
 [0.14407583]
 [0.04403382]
 [0.90598262]
 [0.76397618]
 [0.53577359]
 [0.70899808]]","[ 0.03300923  0.22621608  0.47312215  0.2430822   0.8775415   0.25888446
  0.18185961  0.27622262  0.76758915  0.9545781   0.08930375  0.4619425
  0.7624772   0.07297775  0.0831643   0.7551048  -0.00620265  0.26814297
  0.7729051   0.22227424  0.48170036  0.73705524 -0.03496529  0.22548974
  0.02253068  0.39418048  0.2606598   0.30192435  0.74206114  0.750605
  0.7842191   0.41522655  0.10347584 -0.00160961  0.07468975  0.96198297
  0.9665219   0.07131755  0.23234819  0.16196747  0.5374946   0.12733728
  0.03783785  0.8721242   0.8030499   0.4100692   0.5805736 ]",0.008172268468042948
3,0.06790436574753944,0.07424873774066106,"SignificanceResult(statistic=0.9209825156851692, pvalue=1.256742219580827e-19)","PearsonRResult(statistic=0.9459208947486367, pvalue=3.8742777953109747e-23)","{'subsample': 0.5, 'reg_lambda': 0.01, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 2.0, 'max_depth': 6, 'max_delta_step': 6, 'learning_rate': 0.1, 'gamma': 0}","[164 246 146  43 148  94 199   6  52  20 228 205 223  34 214 200 182  47
  62  96   8 188 121 209 109 219 191 143 117 273 145 139   3  36  28 114
 244  23  18 221  26 105 176 249 107 106]","[[0.84330123]
 [0.28617017]
 [0.12242933]
 [0.        ]
 [0.13979103]
 [0.35516335]
 [0.02503897]
 [0.4195508 ]
 [0.        ]
 [0.0397694 ]
 [0.31822013]
 [0.96101141]
 [0.29863607]
 [0.        ]
 [0.94500531]
 [0.        ]
 [0.17913224]
 [0.33850561]
 [0.00471764]
 [0.        ]
 [0.42618902]
 [0.09820209]
 [0.35756665]
 [0.97668532]
 [0.7887254 ]
 [0.86032141]
 [0.        ]
 [0.0826424 ]
 [0.17598052]
 [0.75409115]
 [0.06664008]
 [0.2369398 ]
 [0.        ]
 [0.40308631]
 [0.23353246]
 [0.06788219]
 [0.26536549]
 [0.20239832]
 [0.06417292]
 [0.79610512]
 [0.        ]
 [0.24729283]
 [0.8997686 ]
 [0.21091991]
 [0.55363174]
 [0.83029099]]","[ 0.83706015  0.21006384  0.15458603  0.09029383  0.1687258   0.2786646
  0.05684806  0.5443519   0.02354569  0.0201656   0.31662235  0.9722854
  0.3571199   0.17814831  0.944305    0.00310391  0.2563751   0.29977742
  0.05529604 -0.00350651  0.2758709   0.08592534  0.53424436  0.9690154
  0.6073084   0.7347235  -0.00855749  0.10113664  0.38761163  0.7715917
  0.1376052   0.2522543   0.17169805  0.3000339   0.32058504  0.22600806
  0.28522965  0.13366055  0.09607799  0.49300414  0.0273118   0.29601827
  0.9060686   0.18736574  0.33704954  0.6106352 ]",0.006344371993121614
4,0.06876179308173473,0.0782303955245133,"SignificanceResult(statistic=0.8928491407253467, pvalue=7.604200186314266e-17)","PearsonRResult(statistic=0.9401419636453497, pvalue=3.406843431649213e-22)","{'subsample': 0.5, 'reg_lambda': 0.01, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 2.0, 'max_depth': 6, 'max_delta_step': 6, 'learning_rate': 0.1, 'gamma': 0}","[268  81 252 120 265  39 218 206  37  55 192 260  60 149 251  49 197  66
 212  41  80 234 250 152 168  12 190 237 151 229 158  48  46  16  15  19
 207 108 245   2 178  85 264  51 236  63]","[[0.77439933]
 [0.        ]
 [0.65771956]
 [0.        ]
 [0.65098224]
 [0.25497278]
 [0.9193449 ]
 [0.95654426]
 [0.48149925]
 [0.0462726 ]
 [0.        ]
 [0.72603175]
 [0.57135952]
 [0.00239823]
 [0.76235615]
 [0.18483989]
 [0.        ]
 [0.04801786]
 [1.        ]
 [0.09257893]
 [0.        ]
 [0.33752567]
 [0.72887144]
 [0.        ]
 [0.69191606]
 [0.        ]
 [0.        ]
 [0.29444572]
 [0.1571443 ]
 [0.32064685]
 [0.82744191]
 [0.27030484]
 [0.45291077]
 [0.09527862]
 [0.17390275]
 [0.        ]
 [0.96835719]
 [0.43850629]
 [0.13443802]
 [0.        ]
 [0.26595293]
 [0.96117808]
 [0.69349253]
 [0.00242264]
 [0.33423915]
 [0.        ]]","[ 0.7488983  -0.01576914  0.7802226   0.3289642   0.81254095  0.15154502
  0.8626544   0.939656    0.22025986  0.18579231 -0.00303729  0.7699711
  0.5092488   0.01113793  0.8019246   0.26796916 -0.00325328  0.01059625
  0.9667588   0.2677223  -0.01653724  0.3238111   0.7633045   0.00536555
  0.26790953 -0.0350919   0.03557289  0.3120186   0.12401838  0.33143318
  0.8677721   0.22679628  0.29183638  0.0195432   0.12971519  0.08482398
  0.9599913   0.48933345  0.07701742  0.15018326  0.32361668  0.90596807
  0.7743191   0.18239653  0.31644753  0.14282253]",0.00946860244277857
5,0.07281868735841782,0.06069483225862779,"SignificanceResult(statistic=0.9310302725443798, pvalue=7.001487495678897e-21)","PearsonRResult(statistic=0.9605852731885242, pvalue=4.279537096967039e-26)","{'subsample': 0.5, 'reg_lambda': 0.01, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 2.0, 'max_depth': 6, 'max_delta_step': 6, 'learning_rate': 0.1, 'gamma': 0}","[ 14 131  93 170 186  61 160 259 155 238 193   7 203 136  24 144  64  97
 255  90   5 261  17 269 210  27  79 267  29 180 257  89  40  99  73 141
 147 140  30  68  82 138 134 217  83 220]","[[0.18197864]
 [0.29633182]
 [0.96095055]
 [0.73418789]
 [0.27040468]
 [0.        ]
 [0.83800425]
 [0.71042259]
 [0.84671942]
 [0.19790644]
 [0.        ]
 [0.01697924]
 [0.95339654]
 [0.24060982]
 [0.20811706]
 [0.06749152]
 [0.1505353 ]
 [0.20041728]
 [0.73764178]
 [0.43425751]
 [0.45062235]
 [0.71509987]
 [0.0389083 ]
 [0.69770554]
 [0.9738716 ]
 [0.        ]
 [0.        ]
 [0.81981549]
 [0.40112958]
 [0.02512681]
 [0.75016406]
 [0.67485329]
 [0.26705695]
 [0.43434235]
 [0.2625495 ]
 [0.24244272]
 [0.00988101]
 [0.24530553]
 [0.35038576]
 [0.07876095]
 [0.351081  ]
 [0.26329864]
 [0.21675535]
 [0.23859128]
 [0.28600734]
 [0.90709061]]","[ 0.16437979  0.20129716  0.8849272   0.87712806  0.3237969  -0.0397593
  0.84570456  0.7343955   0.86813754  0.21845509  0.01955992  0.2643412
  0.9788171   0.25805712  0.10298403  0.08072974  0.17015186  0.0284387
  0.72025466  0.34181112  0.4788165   0.7423859   0.06839539  0.8691147
  0.9582326   0.03952596  0.01804792  0.7961094   0.31708404  0.09621939
  0.7789194   0.4688199   0.23655117  0.569229    0.22382905  0.22562139
  0.03532358  0.26024076  0.31057265  0.02420019  0.33026645  0.22635277
  0.2095829   0.4694488   0.25785387  0.7659586 ]",0.012123855099790026
