Iter (CV Fold),Valid Score (MAE),Test Score (MAE),Spearmans Rank,Pearsons Correlation,Model HyperParms,Formulation_Index (Hold out set),Experimental_Transfection,Predicted_Transfection,Score_difference
1,0.09963676944438318,0.09367548902832487,"SignificanceResult(statistic=0.6215415019762845, pvalue=0.0015464515864157774)","PearsonRResult(statistic=0.8331310034256756, pvalue=8.043371892335474e-07)","{'subsample': 0.8, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 5.0, 'max_depth': 5, 'max_delta_step': 6, 'learning_rate': 0.3, 'gamma': 0}","[ 63  17  74   8 132  40  59  96  23 124 123   5  41  88  42 108  84  79
   9  67  28  15  18]","[[0.01775484]
 [0.08887024]
 [0.3372572 ]
 [0.16816056]
 [0.5506669 ]
 [0.20594658]
 [0.05427944]
 [0.30062422]
 [0.13589757]
 [0.49871492]
 [0.38176055]
 [0.17649195]
 [0.12416137]
 [0.16005703]
 [0.10629282]
 [0.04985178]
 [0.06537978]
 [0.03417663]
 [0.18033046]
 [0.08675784]
 [0.11988367]
 [0.10941172]
 [0.1582412 ]]","[ 0.06839947  0.27094156  0.26945952  0.27854472  0.7407948   0.11250704
  0.07362954  0.22147301  0.13969988  0.6189466   0.4661007   0.24105948
  0.02064359 -0.08151487 -0.06789829  0.01115232  0.05158342  0.12562275
  0.24596761  0.23504207  0.22829708  0.11885527  0.2518682 ]",0.005961280416058312
2,0.09709174184821072,0.10096336309992561,"SignificanceResult(statistic=0.849802371541502, pvalue=2.878161996176266e-07)","PearsonRResult(statistic=0.9102466670790808, pvalue=1.7027182362007006e-09)","{'subsample': 1.0, 'reg_lambda': 0.01, 'reg_alpha': 0.001, 'n_estimators': 150, 'min_child_weight': 5.0, 'max_depth': 6, 'max_delta_step': 2, 'learning_rate': 0.05, 'gamma': 0}","[ 21  66  68 110  53  54 101  76 114  73  22 100  69  51  78  26 113 117
  83  75  45  70  71]","[[0.19067136]
 [0.15144734]
 [0.12410331]
 [1.        ]
 [0.06571806]
 [0.02474609]
 [0.37236978]
 [0.53534553]
 [0.77362264]
 [0.31285681]
 [0.11485939]
 [0.34260281]
 [0.14163953]
 [0.20138851]
 [0.47026138]
 [0.10604144]
 [0.81665722]
 [0.88643241]
 [0.0558148 ]
 [0.31366358]
 [0.08644956]
 [0.15377711]
 [0.17605371]]","[0.22078373 0.16559309 0.19623947 0.7944965  0.0893217  0.08122367
 0.4596782  0.32203487 0.5456065  0.33839467 0.23147985 0.45373958
 0.21122141 0.24444765 0.31338233 0.02333507 0.463801   0.84082067
 0.10906119 0.22525768 0.09910915 0.01864127 0.07794784]",0.0038716212517148907
3,0.11538317024887812,0.07444029345666789,"SignificanceResult(statistic=0.708498023715415, pvalue=0.00015464629978681173)","PearsonRResult(statistic=0.7974574415929052, pvalue=5.2003731275955885e-06)","{'subsample': 0.9, 'reg_lambda': 0.001, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 2.0, 'max_depth': 8, 'max_delta_step': 8, 'learning_rate': 0.05, 'gamma': 0}","[125  86  12  48   4  56  65 118  81   7  33   6  25  89  98 107  61   2
  62  35  82  13  19]","[[0.42507433]
 [0.00243595]
 [0.25946567]
 [0.30970316]
 [0.21974383]
 [0.09096314]
 [0.27023293]
 [0.43376711]
 [0.05510746]
 [0.18019448]
 [0.10888453]
 [0.1944068 ]
 [0.09069418]
 [0.01789402]
 [0.17508196]
 [0.07076933]
 [0.00177464]
 [0.2109103 ]
 [0.05253466]
 [0.19591353]
 [0.05057568]
 [0.14919737]
 [0.25327717]]","[0.52410585 0.10450464 0.0945038  0.17085527 0.21729234 0.15209922
 0.42868125 0.67126465 0.08466977 0.19363707 0.18598373 0.18741749
 0.08931082 0.12924688 0.20791586 0.04721979 0.16990162 0.19219175
 0.13837427 0.15711652 0.04889989 0.17661619 0.3641707 ]",0.04094287679221023
4,0.09244804965674958,0.09472012282758538,"SignificanceResult(statistic=0.775691699604743, pvalue=1.3691109407221277e-05)","PearsonRResult(statistic=0.8333998852711149, pvalue=7.918250886076709e-07)","{'subsample': 0.9, 'reg_lambda': 0.001, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 2.0, 'max_depth': 8, 'max_delta_step': 8, 'learning_rate': 0.05, 'gamma': 0}","[ 31 112 116  39  11  93  14  43 134  46 111  47 115  80 135 120  97  27
  16  29  34   1  49]","[[0.22499501]
 [0.90404963]
 [0.89767188]
 [0.04260757]
 [0.55237897]
 [0.35886276]
 [0.13620053]
 [0.11166173]
 [0.74792619]
 [0.53085168]
 [0.85626496]
 [0.36994806]
 [0.66209686]
 [0.04603341]
 [0.78194086]
 [0.59888682]
 [0.10319409]
 [0.1064184 ]
 [0.13351488]
 [0.17401287]
 [0.15492041]
 [0.20681505]
 [0.34916345]]","[0.18785524 0.8949032  0.87573683 0.2395135  0.42277303 0.38808358
 0.09568959 0.12496366 0.9188358  0.28878084 0.18370463 0.28934464
 0.62228256 0.06664199 0.78335977 0.5028691  0.21277438 0.10520023
 0.11821422 0.17651035 0.16944748 0.1646746  0.15763526]",0.0022720731708358033
5,0.08471835739332648,0.11999013195236834,"SignificanceResult(statistic=0.8092885375494071, pvalue=2.923284859610032e-06)","PearsonRResult(statistic=0.7586258988130542, pvalue=2.7238063827120712e-05)","{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0.01, 'n_estimators': 100, 'min_child_weight': 5.0, 'max_depth': 8, 'max_delta_step': 2, 'learning_rate': 0.05, 'gamma': 0}","[ 64  37  95  91 121  77 119 102  90 130  85  10  60  92 127  99  30  32
  24  72 105  20 128]","[[0.29729447]
 [0.43029   ]
 [0.3400634 ]
 [0.63366714]
 [0.60410843]
 [0.48943467]
 [0.33378263]
 [0.21563199]
 [0.02955444]
 [0.72645531]
 [0.        ]
 [0.4564254 ]
 [0.06807198]
 [0.74941698]
 [0.95133157]
 [0.25731402]
 [0.11902429]
 [0.19635727]
 [0.2035461 ]
 [0.17542949]
 [0.27963642]
 [0.22901508]
 [0.6786538 ]]","[0.2799581  0.403073   0.16636023 0.29933268 0.9070824  0.3381565
 0.62736404 0.29838377 0.02585089 0.7218696  0.14758551 0.42100254
 0.0903836  0.31632403 0.7216664  0.15217915 0.08129561 0.16912176
 0.20170113 0.11888371 0.36670545 0.38417247 0.6491407 ]",0.03527177455904186
