Iter (CV Fold),Valid Score (MAE),Test Score (MAE),Spearmans Rank,Pearsons Correlation,Model HyperParms,Formulation_Index (Hold out set),Experimental_Transfection,Predicted_Transfection,Score_difference
1,0.101698136953199,0.10625596470146743,"SignificanceResult(statistic=0.8121775025799793, pvalue=4.239283893458809e-05)","PearsonRResult(statistic=0.7423073699035357, pvalue=0.0004191245579621076)","{'subsample': 0.7, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 1.0, 'max_depth': 8, 'max_delta_step': 10, 'learning_rate': 0.1, 'gamma': 0}",[88  2 77 46 51 44 11 50 26 92 24 65 25  0 83 66 73 15],"[[0.28870471]
 [0.73459228]
 [0.71280648]
 [0.41236421]
 [0.69851212]
 [0.67035041]
 [0.38387259]
 [0.50645698]
 [0.75973016]
 [0.28096629]
 [0.34758471]
 [0.49014129]
 [0.82385872]
 [0.68424804]
 [0.40217398]
 [0.325887  ]
 [0.26295505]
 [0.51719816]]","[0.34018925 0.67428786 0.7665684  0.6527364  0.74442905 0.40451282
 0.4043005  0.65992916 0.880548   0.27295968 0.33710134 0.38075608
 0.8188354  0.68635696 0.70203424 0.25333717 0.5263955  0.64655197]",0.004557827748268434
2,0.11615257771463786,0.11272309662033456,"SignificanceResult(statistic=0.7346118729812324, pvalue=0.0005163590764778829)","PearsonRResult(statistic=0.7946400980220609, pvalue=8.159895917819495e-05)","{'subsample': 0.5, 'reg_lambda': 0.001, 'reg_alpha': 0.001, 'n_estimators': 300, 'min_child_weight': 4.0, 'max_depth': 10, 'max_delta_step': 6, 'learning_rate': 0.1, 'gamma': 0}",[14 39 41 17 75  0 63 17 93 17  0 10 60 91 76 32 20 22],"[[0.58847344]
 [0.5724145 ]
 [0.6108404 ]
 [0.81273957]
 [0.39862865]
 [0.68424804]
 [1.        ]
 [0.81899128]
 [0.36203804]
 [0.8437942 ]
 [0.69050309]
 [0.36208281]
 [0.52236951]
 [0.55346435]
 [0.45004501]
 [0.81367969]
 [0.33801854]
 [0.        ]]","[0.6522616  0.7047071  0.4099282  0.6744433  0.35092685 0.6834277
 0.6621746  0.6744433  0.531664   0.6744433  0.6834277  0.1760122
 0.5317422  0.5433159  0.45213625 0.7462853  0.4193607  0.26035917]",0.0034294810943032994
3,0.0967709281764497,0.12227997966098865,"SignificanceResult(statistic=0.7110423116615068, pvalue=0.0009391049276515922)","PearsonRResult(statistic=0.7487049906105961, pvalue=0.0003504565410431013)","{'subsample': 0.5, 'reg_lambda': 0.01, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 2.0, 'max_depth': 6, 'max_delta_step': 6, 'learning_rate': 0.1, 'gamma': 0}",[ 7 37  5 29 21 84 49 69 28 30 16 59  3 58 57  6 78 40],"[[0.361574  ]
 [0.69404969]
 [0.78814267]
 [0.93441179]
 [0.1335201 ]
 [0.90541884]
 [0.69562925]
 [0.23868615]
 [0.62677334]
 [0.83426245]
 [0.58577959]
 [0.40015625]
 [0.52984484]
 [0.55084015]
 [0.35869204]
 [0.62381587]
 [0.76824512]
 [0.45408954]]","[0.5506914  0.6671508  0.5536855  0.6381727  0.39638144 0.7989621
 0.6026532  0.3604196  0.48190218 0.50289214 0.5994407  0.47021306
 0.52384114 0.6265443  0.38537028 0.50246745 0.74668646 0.51313645]",0.025509051484538955
4,0.12093406990706301,0.09612238529204603,"SignificanceResult(statistic=0.8284313725490197, pvalue=3.992311055905374e-05)","PearsonRResult(statistic=0.8215472947104568, pvalue=5.2497669610103384e-05)","{'subsample': 0.5, 'reg_lambda': 0.01, 'reg_alpha': 0.001, 'n_estimators': 400, 'min_child_weight': 4.0, 'max_depth': 3, 'max_delta_step': 2, 'learning_rate': 0.2, 'gamma': 0}",[79 64 36 48  4  0 71  8 82 85 45 62 68 56 33 74 94],"[[0.8946452 ]
 [0.4546349 ]
 [0.51675738]
 [0.60236418]
 [0.54433674]
 [0.68424804]
 [0.71501215]
 [0.62304747]
 [0.62936038]
 [0.57867057]
 [0.6579619 ]
 [0.4222048 ]
 [0.28995124]
 [0.33075219]
 [0.87314012]
 [0.38901866]
 [0.17617009]]","[0.8108642  0.43824124 0.52347136 0.48335367 0.7134222  0.68559366
 0.72474474 0.6527636  0.5887364  0.73615557 0.4553888  0.38177568
 0.43499488 0.21368189 0.9689896  0.1615006  0.34787905]",0.024811684615016982
5,0.12104366249958076,0.0995825587653751,"SignificanceResult(statistic=0.8627450980392157, pvalue=8.317125318327623e-06)","PearsonRResult(statistic=0.8605536630655823, pvalue=9.30415346615506e-06)","{'subsample': 1.0, 'reg_lambda': 0.01, 'reg_alpha': 0.001, 'n_estimators': 150, 'min_child_weight': 5.0, 'max_depth': 6, 'max_delta_step': 2, 'learning_rate': 0.05, 'gamma': 0}",[53 70 31 13 19 72 23 61 18 81 38 89 12 27 96 34 42],"[[0.71943485]
 [0.26291436]
 [0.94290461]
 [0.70244405]
 [0.15927332]
 [0.82113934]
 [0.14110809]
 [0.3063046 ]
 [0.69818372]
 [0.87242882]
 [0.66342662]
 [0.53785986]
 [0.40026726]
 [0.76116063]
 [0.48921818]
 [0.58077709]
 [0.41076737]]","[0.8866208  0.4452882  0.80206    0.58383644 0.12910432 0.52344733
 0.21471794 0.3855486  0.57946396 0.88580257 0.7193055  0.51646435
 0.37150824 0.8142926  0.3202978  0.65525    0.47929177]",0.021461103734205664
