Formula_label,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_HEPG2
1,DSPC,0.0650896737289366,0.5876158365023478,0.1823884381223802,0.09827533704288127,6.06930931
2,DSPC,0.17263147253758854,0.8814237547535217,0.5581681440449188,0.13287932895938875,6.247223542
3,DSPC,0.09197512343109958,0.8814237547535217,0.5581681440449188,0.13287932895938875,6.365180942
4,DSPC,0.01131877432461062,0.8814237547535217,0.5581681440449188,0.13287932895938875,5.148728952
5,DSPC,0.17263147253758854,0.8814237547535217,0.5581681440449188,0.022146554826564795,6.407108362
6,DSPC,0.09197512343109958,0.8814237547535217,0.5581681440449188,0.022146554826564795,6.546781612
7,DSPC,0.01131877432461062,0.8814237547535217,0.5581681440449188,0.022146554826564795,4.599882322
8,DSPC,0.17263147253758854,0.8814237547535217,0.5581681440449188,0.0,5.523157572
9,DSPC,0.09197512343109958,0.8814237547535217,0.5581681440449188,0.0,5.981121132
10,DSPC,0.01131877432461062,0.8814237547535217,0.5581681440449188,0.0,2.987179102
11,DSPC,0.17263147253758854,0.4407118773767609,0.5581681440449188,0.13287932895938875,4.983929802
12,DSPC,0.09197512343109958,0.4407118773767609,0.5581681440449188,0.13287932895938875,5.593616932
13,DSPC,0.01131877432461062,0.4407118773767609,0.5581681440449188,0.13287932895938875,4.823514752
14,DSPC,0.17263147253758854,0.4407118773767609,0.5581681440449188,0.022146554826564795,5.606879032
15,DSPC,0.09197512343109958,0.4407118773767609,0.5581681440449188,0.022146554826564795,7.139852992
16,DSPC,0.01131877432461062,0.4407118773767609,0.5581681440449188,0.022146554826564795,5.720792372
17,DSPC,0.17263147253758854,0.4407118773767609,0.5581681440449188,0.0,4.861870362
18,DSPC,0.09197512343109958,0.4407118773767609,0.5581681440449188,0.0,4.621847942
19,DSPC,0.01131877432461062,0.4407118773767609,0.5581681440449188,0.0,3.842794102
20,DSPC,0.17263147253758854,0.0,0.5581681440449188,0.13287932895938875,5.986125742
21,DSPC,0.09197512343109958,0.0,0.5581681440449188,0.13287932895938875,6.188277222
22,DSPC,0.01131877432461062,0.0,0.5581681440449188,0.13287932895938875,5.969794232
23,DSPC,0.17263147253758854,0.0,0.5581681440449188,0.022146554826564795,8.875228862
24,DSPC,0.09197512343109958,0.0,0.5581681440449188,0.022146554826564795,8.435770352
25,DSPC,0.01131877432461062,0.0,0.5581681440449188,0.022146554826564795,7.531239062
26,DSPC,0.17263147253758854,0.0,0.5581681440449188,0.0,8.724364452
27,DSPC,0.09197512343109958,0.0,0.5581681440449188,0.0,8.125511482
28,DSPC,0.01131877432461062,0.0,0.5581681440449188,0.0,7.358777462
29,DSPC,0.17263147253758854,0.8814237547535217,0.33270032046884884,0.13287932895938875,4.387076352
30,DSPC,0.09197512343109958,0.8814237547535217,0.33270032046884884,0.13287932895938875,4.321825062
31,DSPC,0.01131877432461062,0.8814237547535217,0.33270032046884884,0.13287932895938875,4.553381712
32,DSPC,0.17263147253758854,0.8814237547535217,0.33270032046884884,0.022146554826564795,4.931218562
33,DSPC,0.09197512343109958,0.8814237547535217,0.33270032046884884,0.022146554826564795,4.913657422
34,DSPC,0.01131877432461062,0.8814237547535217,0.33270032046884884,0.022146554826564795,4.324646242
35,DSPC,0.17263147253758854,0.8814237547535217,0.33270032046884884,0.0,3.570059132
36,DSPC,0.09197512343109958,0.8814237547535217,0.33270032046884884,0.0,3.657270202
37,DSPC,0.01131877432461062,0.8814237547535217,0.33270032046884884,0.0,3.537406252
38,DSPC,0.17263147253758854,0.4407118773767609,0.33270032046884884,0.13287932895938875,6.504704842
39,DSPC,0.09197512343109958,0.4407118773767609,0.33270032046884884,0.13287932895938875,6.805740172
40,DSPC,0.01131877432461062,0.4407118773767609,0.33270032046884884,0.13287932895938875,6.581052392
41,DSPC,0.17263147253758854,0.4407118773767609,0.33270032046884884,0.022146554826564795,8.741288542
