Dlin_15mg_ml,DSPC_15mg_ml,Chol_15mg_ml,PEG_5mg_ml,EtOH_HV,EtOH_LV,Dlin_5mg_ml,DSPC_0.1mg_ml,DSPC_5mg_ml,Chol_5mg_ml,PEG_15mg_ml,PEG_0.5mg_ml
5.012,4.802,3.718,2.395,34,0.072,0,0,0,0,0,0
5.46,2.401,3.191,0,37,0.533,0,0,0,0,1.416,0
11.557,5.167,6.208,0,13,0.282,0,0,0,0,13.786,0
11.23,5.962,8.504,0,22,0.019,0,0,0,0,2.285,0
11.011,5.755,5.866,0,25,0.453,0,0,0,0,1.914,0
9.997,4.151,5.972,0,26,0.977,0,0,0,0,2.903,0
6.932,9.708,7.613,0,23,0.439,0,0,0,0,2.308,0
7.263,14.634,8.307,0,17,0.492,0,0,0,0,2.304,0
13.928,4.753,7.911,2.484,20,0.923,0,0,0,0,0,0
4.234,1.912,2.681,0,39,0.917,0,0,0,0,1.257,0
2.761,3.241,2.552,1.98,39,0.465,0,0,0,0,0,0
8.086,12.585,6.803,0,21,0.362,0,0,0,0,1.164,0
3.343,1.421,2.433,0,38,0.641,0,0,0,0,0,4.161
3.312,1.449,2.427,0,38,0.327,0,0,0,0,0,4.486
3.346,1.416,2.431,0,38,0.341,0,0,0,0,0,4.465
3.33,1.417,2.432,0,39,0.921,0,0,0,0,0,2.9
3.325,1.424,2.428,0,38,0.313,0,0,0,0,0,4.508
3.332,1.448,2.445,0,38,0.245,0,0,0,0,0,4.53
3.314,1.435,2.438,0,39,0.692,0,0,0,0,0,3.123
3.322,1.409,2.424,0,39,0.22,0,0,0,0,0,3.625
3.295,1.438,2.413,0,38,0.402,0,0,0,0,0,4.452
3.284,1.448,2.413,0,38,0.4,0,0,0,0,0,4.455
3.307,1.451,2.426,0,38,0.317,0,0,0,0,0,4.499
3.33,1.439,2.441,0,39,0.821,0,0,0,0,0,2.969
0,3.84,1.011,0,29,0.869,1.915,0,0,0,0,13.365
0,2.397,0,4.874,38,0.292,2.743,0,0,1.694,0,0
3.259,0,0,2.328,38,0.599,0,3.011,0,2.803,0,0
3.405,1.497,2.577,0,39,0.291,0,0,0,0,0,3.23
1.125,1.798,0,2.309,43,0.15,0,0,0,1.617,0,0
1.183,1.71,1.266,2.71,43,0.13,0,0,0,0,0,0
1.437,3.724,2.366,1.402,41,0.072,0,0,0,0,0,0
3.298,1.455,2.263,0,41,0.804,0,0,0,0,1.18,0
0,2.46,0,0,41,0.791,2.568,0,0,1.852,1.329,0
0,3.833,1.797,1.791,40,0.678,1.902,0,0,0,0,0
1.579,2.287,1.65,1.634,42,0.849,0,0,0,0,0,0
0,2.537,0,2.927,40,0.138,2.39,0,0,2.008,0,0
2.129,0,0,0,35,0.583,0,0,1.621,2.974,0,7.692
