Formula_label,Helper_lipid,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),LnRLU_h19RAMOS
0,DSPC,0.018976501666713275,0.5677104717012367,0.08755623731191486,0.24706820272431573,-1.384697438
1,DSPC,0.018976501666713275,0.2680017460688687,0.0,0.24706820272431573,-0.862390509
2,DSPC,0.018976501666713275,0.49278329029314477,0.0,0.24706820272431573,-1.053458924
3,DSPC,0.018976501666713275,0.7175648345174208,0.0,0.24706820272431573,-0.474337306
4,DSPC,0.018976501666713275,0.2680017460688687,0.26266858060145426,0.24706820272431573,-1.499651954
5,DSPC,0.018976501666713275,0.49278329029314477,0.26266858060145426,0.24706820272431573,-1.494572429
6,DSPC,0.018976501666713275,0.7175648345174208,0.26266858060145426,0.24706820272431573,-0.980126851
7,DSPC,0.018976501666713275,0.2680017460688687,0.5253371612029086,0.24706820272431573,-1.426921608
8,DSPC,0.018976501666713275,0.49278329029314477,0.5253371612029086,0.24706820272431573,-0.66039868
9,DSPC,0.018976501666713275,0.7175648345174208,0.5253371612029086,0.24706820272431573,-0.927701536
10,DSPC,0.018976501666713275,0.2680017460688687,0.6566714515036357,0.24706820272431573,-1.13079603
11,DSPC,0.018976501666713275,0.49278329029314477,0.6566714515036357,0.24706820272431573,-0.980852489
12,DSPC,0.018976501666713275,0.7175648345174208,0.6566714515036357,0.24706820272431573,-0.921927356
13,DSPC,0.622241487476138,0.2680017460688687,0.0,0.24706820272431573,-0.975013148
14,DSPC,0.622241487476138,0.49278329029314477,0.0,0.24706820272431573,-0.97648036
15,DSPC,0.622241487476138,0.7175648345174208,0.0,0.24706820272431573,-0.547031175
16,DSPC,0.622241487476138,0.2680017460688687,0.26266858060145426,0.24706820272431573,-1.579454849
17,DSPC,0.622241487476138,0.49278329029314477,0.26266858060145426,0.24706820272431573,-1.057731709
18,DSPC,0.622241487476138,0.7175648345174208,0.26266858060145426,0.24706820272431573,-0.946150798
19,DSPC,0.622241487476138,0.2680017460688687,0.5253371612029086,0.24706820272431573,-1.57282708
20,DSPC,0.622241487476138,0.49278329029314477,0.5253371612029086,0.24706820272431573,-1.644177367
21,DSPC,0.622241487476138,0.7175648345174208,0.5253371612029086,0.24706820272431573,-1.046034906
22,DSPC,0.622241487476138,0.2680017460688687,0.6566714515036357,0.24706820272431573,-1.296496973
23,DSPC,0.622241487476138,0.49278329029314477,0.6566714515036357,0.24706820272431573,-1.602580001
24,DSPC,0.622241487476138,0.7175648345174208,0.6566714515036357,0.24706820272431573,-1.183429038
25,DSPC,0.0027516150685106266,0.6185408559280583,0.8140486557247392,0.2578094039511256,-0.828738118
26,DSPC,0.0007207665266855123,0.6187473597356499,0.9999999999999999,0.4290853968511935,-0.227911334
27,DSPC,0.8667386743460385,0.5001109733746214,0.8755721021007056,0.9927025464754905,-0.044158901
28,DSPC,0.8624839483529071,0.5682219589581776,0.7137013987597177,0.5618778359072873,-0.636555184
29,DSPC,0.5607645366268627,0.5921807308304694,0.8972277402065271,0.6616837047331071,-0.490555288
30,DSPC,0.7589549388968669,0.146408399853374,0.508882688146713,0.4140983983053266,-1.271982562
31,DSPC,0.969053118541937,0.2639118147020005,0.39077632202926427,0.18478229201712315,-1.729894179
32,DSPC,0.6389611110859382,0.3588618816555886,0.33086069735269186,0.9025155988939103,-1.107058183
33,DSPC,0.6930173459972641,0.09840751145796833,0.36793392941482195,0.7487071613814938,-0.636234672
34,DSPC,0.9648169491808575,0.0,0.5131256819486235,0.9351949864673389,-0.335685356
35,DSPC,0.6783402766830738,0.38148789483028284,0.34107939939327103,0.11777214091798188,-1.402072242
36,DSPC,0.6905696011325789,1.0,0.5685070148120758,0.21527937130192398,-0.03508137
37,DSPC,0.625134907218743,0.7184695126486058,0.6161714368649187,0.0,-0.282799244
38,DSPC,0.6246185526085556,0.40389595877071655,0.8098885471247718,0.11232240939413501,-1.00822552
39,DSPC,1.0,0.47681292257517,0.4648900074786827,0.012914273815535282,-0.521548083
40,DSPC,0.0,0.2146199272245744,0.31478976993720176,0.6539520265478871,-1.613734727
41,DSPC,0.9886765935524765,0.4217870714470496,0.7707609919738151,1.0,-0.981336037
42,DSPC,0.6249392074540813,0.5870359621658261,0.7695834350682127,0.8576552145432969,-0.440162292
43,DSPC,0.36208592628111413,0.5466095427110484,0.18830456437733387,0.6124921288465287,-0.629023471
44,DSPC,0.2776087136033726,0.11959095940143932,0.4926791857258819,0.9436364570822201,-1.554962584
