Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_T
0,CONTROL,0,SM-102,DSPC,5.0,60.0,16.66667,3.75,3.5555288
1,,0,SM-102,DSPC,5.0,40.0,10.0,3.75,3.932919413
2,,0,SM-102,DSPC,5.0,55.0,10.0,3.75,2.935019781
3,,0,SM-102,DSPC,5.0,70.0,10.0,3.75,1.127480654
4,,0,SM-102,DSPC,5.0,40.0,30.0,3.75,4.843355392
5,,0,SM-102,DSPC,5.0,55.0,30.0,3.75,4.021709872
6,,0,SM-102,DSPC,5.0,70.0,30.0,3.75,1.116217314
7,,0,SM-102,DSPC,5.0,40.0,50.0,3.75,4.218961745
8,,0,SM-102,DSPC,5.0,55.0,50.0,3.75,3.411778998
9,,0,SM-102,DSPC,5.0,70.0,50.0,3.75,1.738142548
10,,0,SM-102,DSPC,5.0,40.0,60.0,3.75,3.811197857
11,,0,SM-102,DSPC,5.0,55.0,60.0,3.75,3.190245482
12,,0,SM-102,DSPC,5.0,70.0,60.0,3.75,1.273533489
13,,0,SM-102,DSPC,8.0,40.0,10.0,3.75,2.560950848
14,,0,SM-102,DSPC,8.0,55.0,10.0,3.75,2.883050082
15,,0,SM-102,DSPC,8.0,70.0,10.0,3.75,0.801623882
16,,0,SM-102,DSPC,8.0,40.0,30.0,3.75,4.311782755
17,,0,SM-102,DSPC,8.0,55.0,30.0,3.75,2.631173509
18,,0,SM-102,DSPC,8.0,70.0,30.0,3.75,1.935147695
19,,0,SM-102,DSPC,8.0,40.0,50.0,3.75,3.940271984
20,,0,SM-102,DSPC,8.0,55.0,50.0,3.75,3.106099215
21,,0,SM-102,DSPC,8.0,70.0,50.0,3.75,2.035689278
22,,0,SM-102,DSPC,8.0,40.0,60.0,3.75,3.368182593
23,,0,SM-102,DSPC,8.0,55.0,60.0,3.75,3.449989777
24,,0,SM-102,DSPC,8.0,70.0,60.0,3.75,2.741642412
25,i-optimal,1,SM-102,DSPC,9.073844404010023,68.46508227225529,8.399639245852237,3.4874451040849697,
26,i-optimal,1,SM-102,DSPC,8.678035760137018,79.05523483792972,61.95578227913159,2.291000098053747,
27,i-optimal,1,SM-102,DSPC,9.30255624532344,56.560304587162854,25.150523810046298,4.704748180870844,
28,i-optimal,1,SM-102,DSPC,5.8455993364444625,57.738414306217514,9.171312118983177,2.561498910379171,
29,i-optimal,1,SM-102,DSPC,9.162253825516608,57.13327621836579,19.540364388720583,8.587812843474438,
30,i-optimal,1,SM-102,DSPC,8.444795687103806,63.268712542638276,48.92271685676332,8.360677362529731,
31,i-optimal,1,SM-102,DSPC,9.405599358951408,81.82581138004059,63.71501280873628,7.141697216822487,
32,i-optimal,1,SM-102,DSPC,9.41035251168873,85.92429849979618,73.3316314876638,3.469802151383865,
33,i-optimal,1,SM-102,DSPC,8.61678015418869,67.39558041156793,38.153590535928885,4.249632144773229,
34,i-optimal,1,SM-102,DSPC,8.794185677040423,81.76957255201536,62.2846777609797,4.283339491094082,
35,i-optimal,1,SM-102,DSPC,9.290246955867778,77.68538381945382,67.89283272193367,6.338218272925359,
36,i-optimal,1,SM-102,DSPC,9.892437967353464,75.53522792137343,82.64976400109906,2.3171497891535564,
37,DA,1,SM-102,DSPC,6.324350952994992,31.20822240274009,44.60332734257521,3.9147582255198063,
38,DA,1,SM-102,DSPC,5.879832031567745,31.25941313803196,44.018799458222425,9.642407476902008,
39,DA,1,SM-102,DSPC,4.683059845108607,45.233593768498224,41.25226137274228,2.6242633896484007,
40,DA,1,SM-102,DSPC,6.322055152320502,45.36384447477758,39.26790475766475,3.238514084368944,
41,DA,1,SM-102,DSPC,7.758338466651145,44.47699964046478,46.966895494102424,7.083999007940292,
42,DA,1,SM-102,DSPC,5.5555439470274575,35.24528034031391,35.879966982310954,4.710013166069984,
43,DA,1,SM-102,DSPC,4.472554723263457,49.97080609202385,36.70672109834372,2.5765183717012405,
44,DA,1,SM-102,DSPC,4.94244829042768,38.16619321703911,30.869416878072965,4.93780192732811,
45,DA,1,SM-102,DSPC,4.343354343145363,52.95052886009216,45.9679605315739,4.333219155669212,
46,DA,1,SM-102,DSPC,5.599815016934677,53.458842346344426,48.67940611582673,7.550825234727725,
47,DA,1,SM-102,DSPC,4.135187875717076,43.11939373612404,47.65885769363802,6.931666150689125,
48,DA,1,SM-102,DSPC,7.464279502362831,43.21741819381714,43.527531316723795,9.921279683709145,
