Formula_label,Helper_lipid,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,Fold_T
42,DSPC,0.5270592490058517,0.5620313112125033,0.08205508299583235,0.11476424350368786,-1.0904026411733483
43,DSPC,0.20537837534967385,0.4498289852649918,0.1506161326779643,0.2738884227341106,-0.07354585232815625
44,DSPC,0.3952211654146811,0.21986586514992973,0.03368041628147386,0.08138891535490365,-0.05541161908506931
0,DSPC,0.16254347817859904,0.009056239793606844,0.04333211755956422,0.029641960283804857,0.0
17,DSPC,0.6783828405917527,0.058542089910228745,0.12947551797733078,0.10395287332665847,0.6361310787571672
45,DSPC,0.37473774896646095,0.050983088233241325,0.08529799914293659,0.12797325821196207,-0.10480620588526213
46,DSPC,0.07912965945276407,0.0336958127586945,0.04429218316897472,0.06403965633407505,-1.0840358433584378
47,DSPC,0.4979040298148225,0.05859851209406845,0.09871036829980888,0.2148321822933613,-0.7088451330319918
48,DSPC,0.37224908779711474,0.051071985960046556,0.07394541298043976,0.04522741813285876,-0.326481482158556
49,DSPC,0.5818945791204011,0.0625314291457691,0.10166472517288486,0.11127230609701828,0.04537836093705305
50,DSPC,0.55310871717798,0.06048748546369205,0.0772045251199579,0.14107410279512145,-0.708875855470128
51,DSPC,0.8309448641068555,0.07982845062563251,0.093476256680299,0.15929558136151378,0.05687274036278911
52,DSPC,0.0,0.029744235153459714,0.05772425111317615,0.013927387040248729,-0.06885246528076605
53,DSPC,0.7631688054598857,0.11487330448729642,0.14988956670125014,0.2544754338316723,0.14029434850186107
54,DSPC,0.23846646703711782,0.05286191720114432,0.08658629571862973,0.10955135337199075,0.035211243581608986
55,DSPC,0.6284539958227551,0.0534496435175201,0.3839402779892158,0.7377903472237282,-2.719379828430315
56,DSPC,0.5212196117508479,0.2615052791902755,0.22181759435790688,0.3265214253904246,-0.3736904196580211
57,DSPC,0.3628284832054989,0.03210864441007624,0.0,0.018385081944807695,-1.298033701801284
58,DSPC,0.16114184983052193,0.02362369569624737,0.09844785102857669,0.23798225323539085,-0.5319144248729151
59,DSPC,0.8110303338368798,0.038168597896456616,0.0018222143965640342,0.008614745990411078,-0.11731059321470605
60,DSPC,0.29453382672119166,0.1186113069322378,0.10070722708393928,0.20982576536775382,-0.645430515126515
61,DSPC,0.43549488527398483,0.24291291741714896,0.10825997092950057,0.04297951943652123,-1.506909165948799
62,DSPC,0.5700585587204829,0.08352034990754138,0.027864496212281094,0.03510218314657138,-0.07535338204867781
63,DSPC,0.965718574163354,0.057870919051959416,0.32233109287653344,0.5266049192057808,1.2589437373991275
64,DSPC,0.20777351936937327,0.033031376171600124,0.02399330371290984,0.05205862211714049,-0.9154971560176759
0,DSPC,0.16254347817859904,0.009056239793606844,0.04333211755956422,0.029641960283804857,0.024939693259779183
17,DSPC,0.6783828405917527,0.058542089910228745,0.12947551797733078,0.10395287332665847,0.5133025174385133
65,DSPC,0.5146439373424523,0.15017555945317262,0.1663772590805302,0.176734289371057,-0.7739286054959518
66,DSPC,0.6372594363719624,0.152073458260887,0.14687775530472855,0.07093276441449625,-1.4288316219269
67,DSPC,0.4716877086787379,0.13260936534650097,0.09062260902501011,0.10170162192463297,-1.361177692370755
68,DSPC,0.4019583627374883,0.13566443905039108,0.11745134690865996,0.08412744672159823,-1.5721121177711028
69,DSPC,0.48158986553723593,0.1433650593509833,0.08467171976816336,0.04948076272022265,-1.776512617850681
70,DSPC,0.6143217042258544,0.157289064244228,0.1311939597703855,0.14344193334893496,-1.67991164914652
71,DSPC,0.7670294941280005,0.05625298943083819,0.08484513171459947,0.10985892258741672,0.12266048090079096
72,DSPC,0.10926583220803532,0.21918071887032262,0.054793420257990416,0.153096233982964,0.545803263421992
73,DSPC,0.9799240294036053,0.5816632439276234,0.9999999999999999,1.0,-1.679749403668756
74,DSPC,0.6919672183000665,0.2820773500485204,0.8803786369064661,0.9976860190604246,-1.177117542809296
75,DSPC,0.3569094406921747,0.1492397173591534,0.1946182668745086,0.12057563985995007,-1.138801261148453
76,DSPC,0.020850656898901976,0.029158139461601718,0.005796478119671704,0.0,-2.1826034243032804
0,DSPC,0.16254347817859904,0.009056239793606844,0.04333211755956422,0.029641960283804857,0.0
17,DSPC,0.6783828405917527,0.058542089910228745,0.12947551797733078,0.10395287332665847,0.5123123
77,DSPC,0.9058712613225661,0.06806760034119794,0.15308283230487177,0.2241950234907141,0.11386619135893739
78,DSPC,0.9763127038684423,0.040656526826712405,0.15948393448965764,0.23385240047792125,0.33490718378620254
79,DSPC,0.9271034636536688,0.02934308711524496,0.27567295399186487,0.40078310063229833,0.8388805725466755
80,DSPC,0.9134897067858094,0.05563417028429836,0.15055699695845395,0.12598496159475586,-2.0088962508423895
81,DSPC,0.9025897287163624,0.07442825049251033,0.21579150567030636,0.32110146734534767,0.7503010113725415
82,DSPC,0.9292361452728224,0.033056855045293335,0.295254246138784,0.20566771953554086,-0.21884416850823651
83,DSPC,0.9062120714669017,0.07165999681668517,0.23044142152179178,0.20409271246818508,-1.1246655783472703
84,DSPC,0.805651607441934,0.0327221400219089,0.14593966024533975,0.21195556529565704,0.8818364853087557
85,DSPC,0.9369961937320694,0.07360284513279297,0.17676598199227733,0.0751124145348254,-1.646195631032671
86,DSPC,0.7986018433788851,0.06743633135695641,0.1557474422499728,0.11787077881035787,-0.7398570387404284
87,DSPC,0.8533062356427217,0.04987155287651167,0.49608731425668123,0.5342070287048349,0.5829942915833275
88,DSPC,0.35226755488004136,0.042532478774034516,0.001224095777011481,0.005316628477799063,-1.5770821850079013
89,DSPC,0.32211493932278046,0.03487758779695806,0.15288713417240915,0.25157975134248867,0.5277233182487957
90,DSPC,0.13800858170835228,0.10239003518843459,0.20591406084284034,0.41121200571250993,-0.4433991909723365
91,DSPC,0.18053754120574983,0.005405939831207723,0.021129560396715024,0.03207356971075362,-2.238151045458326
92,DSPC,0.7083523306023929,0.15432779517183948,0.6026737212638502,0.3773805132707921,-1.6079362661028345
93,DSPC,0.3975598080237559,0.17963035008043565,0.1789786176669383,0.34733483103815826,-2.1023235577362103
94,DSPC,0.47131543625359007,0.11973073545680206,0.2920913221249089,0.15792830475094877,-2.0257722145526964
95,DSPC,0.9178658915987095,0.23983981865773343,0.14163356458454782,0.17027862292597817,0.20382279258290437
96,DSPC,0.7507455738920723,0.2386216389872559,0.37920438090507097,0.6977536881928446,-2.398724706027741
