Formula_label,Helper_lipid,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,Fold_T
0,DSPC,0.16254347817859904,0.009056239793606844,0.04333211755956422,0.029641960283804857,0.0
1,DSPC,0.16254347817859904,0.0,0.11309712015894832,0.08982417989035821,0.4681789026989849
2,DSPC,0.16254347817859904,0.0,0.052113724026673094,0.03721734262753806,0.20072897349207786
3,DSPC,0.16254347817859904,0.0,0.017266069093944392,0.007156292763069399,-1.2951379419097497
4,DSPC,0.16254347817859904,0.03234369608299929,0.15142954058494987,0.12289133474127373,-0.5578443792026415
5,DSPC,0.16254347817859904,0.03234369608299929,0.07302231698631031,0.05525397254621925,0.4142412933665689
6,DSPC,0.16254347817859904,0.03234369608299929,0.02821818921565913,0.0166040512919024,-0.24095081511553396
7,DSPC,0.16254347817859904,0.09056234903239803,0.2204278973517527,0.18241221347292164,-1.2865429439909897
8,DSPC,0.16254347817859904,0.09056234903239803,0.1106577843136573,0.0877199063998454,-0.24401454300218361
9,DSPC,0.16254347817859904,0.09056234903239803,0.04793200543474564,0.03361001664380181,-0.009339090500928293
10,DSPC,0.16254347817859904,0.1415036703631219,0.28080145952270513,0.23449298236311358,-1.2845142518012307
11,DSPC,0.16254347817859904,0.1415036703631219,0.14358881822508593,0.1161275985217683,-1.1976355800072036
12,DSPC,0.16254347817859904,0.1415036703631219,0.06518159462644635,0.048490236326713794,-1.1322679401752578
13,DSPC,0.6783828405917527,0.0067921761774298525,0.19359520305355163,0.15926520507728079,0.07254985761497856
14,DSPC,0.6783828405917527,0.0067921761774298525,0.09602176924191125,0.07509426545676855,-0.3818656600246957
15,DSPC,0.6783828405917527,0.0067921761774298525,0.040265521349545336,0.026996585673618713,-2.8146000874025194
16,DSPC,0.6783828405917527,0.058542089910228676,0.25492707573515405,0.21217265283874567,-0.39260639473550185
17,DSPC,0.6783828405917527,0.058542089910228745,0.12947551797733078,0.10395287332665847,0.5372386727677121
18,DSPC,0.6783828405917527,0.058542089910228676,0.05778891354428889,0.04211299931975152,0.05556335373158028
19,DSPC,0.6783828405917527,0.15169193462926667,0.36532444656203855,0.3074060588093823,-2.0931418229357757
20,DSPC,0.6783828405917527,0.15169193462926667,0.18969226570108597,0.15589836749246033,-1.3804615772148767
21,DSPC,0.6783828405917527,0.15169193462926667,0.08933101949482734,0.06932254388279056,-2.195823203761001
22,DSPC,0.6783828405917527,0.2331980487584249,0.46192214603556253,0.3907352890336894,-2.7281850416005677
23,DSPC,0.6783828405917527,0.2331980487584249,0.24238191995937178,0.2013506748875369,-2.1655689146418897
24,DSPC,0.6783828405917527,0.23319804875842484,0.11693036220154845,0.09313089537544973,-1.3423200361471017
0,DSPC,0.16254347817859904,0.009056239793606844,0.04333211755956422,0.029641960283804857,0.0
25,DSPC,0.8051177965909238,0.07480792692951321,0.12647613558165738,0.17722622633350563,1.417051382891426
26,DSPC,1.0,0.1150121628003312,0.17319183894638046,0.3279177004296384,0.3009569575168327
27,DSPC,0.9178132041524689,0.10248827469683064,0.1559273803738019,0.2910887989162628,0.30666039503070275
28,DSPC,0.9727829392161134,0.16330484258170477,0.17963355337516557,0.3726466785563571,-0.22915903201867516
29,DSPC,0.7591465960518187,0.10301346250651011,0.1583088256089903,0.09245725832842715,0.9974350952370177
30,DSPC,0.8935928392871879,0.12760144079126753,0.1671044460487176,0.23309570223755469,0.5981267671737238
31,DSPC,0.7442621047055897,0.07491861105409302,0.13427783046732886,0.20637725798266054,1.0312970578471936
32,DSPC,0.7126197438062758,0.11607300045439382,0.13742452408828973,0.32446761349547093,0.5160606492909499
33,DSPC,0.8669067897079914,0.08213485009355935,0.14404462118624964,0.36218141256341735,0.7531370531520598
34,DSPC,0.956824001065669,0.09230326967684081,0.14152415970223511,0.07129133808117573,0.2860707282423598
35,DSPC,0.5584324358912538,1.0,0.3202042269705043,0.2906117429613661,-1.170876600201229
36,DSPC,0.07385183345619917,0.19867293586722895,0.06721688957848114,0.13792718023861897,-0.6678068321760091
37,DSPC,0.9309184581976984,0.018925583794496752,0.053113710989996565,0.12848108013319082,-1.1001268789710172
38,DSPC,0.678573568343156,0.019460365287612358,0.05563935927189241,0.08568341136364101,-0.08301766461851123
39,DSPC,0.7574562384015506,0.02156210877895295,0.0672148531166354,0.06915755872980107,-0.44589473073531827
40,DSPC,0.08893128387117821,0.1874022007723726,0.0359365690912309,0.015780603594855412,-0.017312090942580127
41,DSPC,0.5509963511173135,0.36096428756594306,0.11044191212504195,0.28645547210846134,-0.2926857145593442
