Iter (CV Fold),Valid Score (MAE),Test Score (MAE),Spearmans Rank,Pearsons Correlation,Model HyperParms,Formulation_Index (Hold out set),Experimental_Transfection,Predicted_Transfection,Score_difference
1,0.06791071489711174,0.06642012404210336,"SignificanceResult(statistic=0.8147994667662338, pvalue=1.3520072319001917e-15)","PearsonRResult(statistic=0.8205218501457159, pvalue=5.838656870311869e-16)","{'subsample': 0.8, 'reg_lambda': 0.01, 'reg_alpha': 0.001, 'n_estimators': 150, 'min_child_weight': 5.0, 'max_depth': 5, 'max_delta_step': 2, 'learning_rate': 0.05, 'gamma': 0}","[336 255 279  89 340 301 116 117 122 221 112  43  48 128 271 259 213 266
   7 145  27 299 155 293  40  91 343 268 182 167 310 313 275 119  70 322
 349 147  15 217 284  16 345  66 315 168 159 132 287 309 262 138  25 321
  26  55 107 267 134 120 214]","[[0.42610739]
 [0.74274848]
 [0.65960178]
 [0.46057693]
 [0.66236947]
 [0.43421993]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.20739898]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.66112853]
 [0.77318882]
 [0.77759397]
 [0.72559716]
 [0.46057693]
 [0.14917535]
 [0.46057693]
 [0.12489986]
 [0.25005013]
 [0.23540251]
 [0.46057693]
 [0.46057693]
 [0.67824536]
 [0.70847207]
 [0.57475752]
 [0.21496848]
 [0.2684819 ]
 [0.83345007]
 [0.50661001]
 [0.46057693]
 [0.46057693]
 [0.77431821]
 [0.4915438 ]
 [0.24199772]
 [0.46057693]
 [0.73305508]
 [0.04350692]
 [0.46057693]
 [0.62188965]
 [0.46057693]
 [1.        ]
 [0.29587569]
 [0.21505421]
 [0.46057693]
 [0.24771686]
 [0.33396852]
 [0.71744102]
 [0.14730753]
 [0.46057693]
 [0.19918216]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.74387677]
 [0.46057693]
 [0.46057693]
 [0.79147602]]","[0.5789357  0.77034545 0.4407244  0.44956845 0.6047486  0.34479985
 0.45699525 0.4554277  0.45620155 0.31715837 0.47572628 0.45827827
 0.45700905 0.47285616 0.70839036 0.63922215 0.56916946 0.7439155
 0.45544416 0.1711711  0.4590949  0.36017925 0.19185024 0.17119084
 0.45951372 0.46093437 0.7622145  0.74633735 0.5194286  0.17909482
 0.19252537 0.69207406 0.40993753 0.4788205  0.4675017  0.74859047
 0.5119277  0.02988284 0.46585035 0.67831826 0.50188786 0.45993412
 0.5387336  0.48616824 0.52121097 0.24948905 0.20561835 0.5362885
 0.25812188 0.32174727 0.77212733 0.04857193 0.46402857 0.31542334
 0.46298218 0.46253237 0.47949013 0.76659817 0.45973736 0.45499974
 0.64574915]",0.0014905908550083835
2,0.06772923051737782,0.08902394843505854,"SignificanceResult(statistic=0.6720178479982772, pvalue=4.132555065706019e-09)","PearsonRResult(statistic=0.6989552001775052, pvalue=5.274732638570203e-10)","{'subsample': 0.6, 'reg_lambda': 0.01, 'reg_alpha': 0.001, 'n_estimators': 150, 'min_child_weight': 1.0, 'max_depth': 7, 'max_delta_step': 6, 'learning_rate': 0.2, 'gamma': 0}","[237 238 105 228 344 133 304 350 211 272 232 273 265  56 140 254 121 281
  17 248 342  47 330  34 319  75 347 339 100 234  33  80 278   6 242 186
 243  72 298  42 157 283  58 258  73 114 206 290 329 176 320 135  90  98
 311  10 250 166  35 129]","[[0.54300145]
 [0.61448604]
 [0.46057693]
 [0.76909394]
 [0.16151075]
 [0.46057693]
 [0.28096642]
 [0.41315178]
 [0.5350513 ]
 [0.73035297]
 [0.82815314]
 [0.77077349]
 [0.70396862]
 [0.46057693]
 [0.03261733]
 [0.24000451]
 [0.46057693]
 [0.70030972]
 [0.46057693]
 [0.16104793]
 [0.52148007]
 [0.46057693]
 [0.45276988]
 [0.46057693]
 [0.61685723]
 [0.46057693]
 [0.27875978]
 [0.76167428]
 [0.46057693]
 [0.81200153]
 [0.46057693]
 [0.46057693]
 [0.90770111]
 [0.46057693]
 [0.7957333 ]
 [0.59488813]
 [0.73406037]
 [0.46057693]
 [0.74434377]
 [0.46057693]
 [0.18696139]
 [0.11669693]
 [0.46057693]
 [0.71530763]
 [0.46057693]
 [0.46057693]
 [0.61701314]
 [0.65777198]
 [0.44095944]
 [0.33185669]
 [0.671475  ]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.295727  ]
 [0.46057693]
 [0.73448121]
 [0.30028833]
 [0.46057693]
 [0.46057693]]","[0.26045558 0.6291152  0.4523028  0.740079   0.2820676  0.59315324
 0.17856729 0.3731577  0.6550192  0.6456303  0.7641021  0.7512882
 0.7579768  0.45889834 0.22910349 0.5251047  0.48196203 0.44177774
 0.46113333 0.5577073  0.49791482 0.4576463  0.12284008 0.46171203
 0.80680543 0.45809963 0.47018456 0.3499431  0.48106092 0.97222453
 0.45888096 0.46011534 0.67670745 0.4625184  0.66536313 0.56768143
 0.32273623 0.49477828 0.7528063  0.4563281  0.11327855 0.27404168
 0.46076941 0.71891266 0.47931844 0.45994133 0.63845176 0.52292925
 0.42571324 0.3961707  0.8672481  0.53512704 0.44114825 0.4603861
 0.17841041 0.46188012 0.71649134 0.29337558 0.4604973  0.4601076 ]",0.021294717917680714
3,0.06697801622015029,0.061686070077593164,"SignificanceResult(statistic=0.8859036290548599, pvalue=5.247507357106909e-21)","PearsonRResult(statistic=0.9012753770561109, pvalue=9.828427472727538e-23)","{'subsample': 0.8, 'reg_lambda': 0.01, 'reg_alpha': 0.001, 'n_estimators': 150, 'min_child_weight': 5.0, 'max_depth': 5, 'max_delta_step': 2, 'learning_rate': 0.05, 'gamma': 0}","[ 97 337 261 139 285 222 308 302 236  94 346  83 144 142 325 219 196 163
 141 300 246 200   5 328 106 327 251 245  78 331 333  36  52  62 260  24
  92  44 231 288 189 353  67 263 294 274 227  85 276 205 296  60 355 149
  81 102 130 108 230  69]","[[0.46057693]
 [0.66599025]
 [0.62407059]
 [0.18135839]
 [0.41595878]
 [0.34918915]
 [0.82098584]
 [0.62685706]
 [0.71594306]
 [0.46057693]
 [0.49204724]
 [0.46057693]
 [0.12480098]
 [0.16648834]
 [0.22916153]
 [0.20542222]
 [0.33682636]
 [0.29443795]
 [0.0225708 ]
 [0.        ]
 [0.42432977]
 [0.30972264]
 [0.46057693]
 [0.55033252]
 [0.46057693]
 [0.1730808 ]
 [0.72702768]
 [0.75913021]
 [0.46057693]
 [0.31785401]
 [0.11397472]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.73349777]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.89564511]
 [0.39790344]
 [0.55415177]
 [0.02540154]
 [0.46057693]
 [0.67028392]
 [0.24481297]
 [0.80529757]
 [0.2850964 ]
 [0.46057693]
 [0.19936247]
 [0.66903581]
 [0.19079462]
 [0.46057693]
 [0.18606642]
 [0.11159037]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.66053084]
 [0.46057693]]","[0.47333768 0.6469146  0.76740676 0.09685429 0.47298405 0.38513595
 0.74709135 0.5416728  0.73066634 0.47681168 0.44995764 0.46772793
 0.23646837 0.16451398 0.3069144  0.40474302 0.4330025  0.2496485
 0.20428452 0.2418884  0.40748683 0.33448336 0.4489994  0.33121127
 0.46432495 0.24182841 0.6328027  0.68748415 0.4797495  0.251207
 0.284057   0.45830163 0.4575009  0.4555663  0.8098863  0.4657357
 0.45904884 0.45674014 0.72600585 0.55577797 0.56892073 0.3563119
 0.47129256 0.8131597  0.23544726 0.7240349  0.317967   0.47301152
 0.13088007 0.6931296  0.20559458 0.45794103 0.29434967 0.1324746
 0.4917397  0.45671013 0.46529332 0.48973656 0.6486134  0.46796623]",0.005291946142557125
4,0.06588114445915166,0.06524759051175553,"SignificanceResult(statistic=0.8161397235385675, pvalue=1.9431623949381527e-15)","PearsonRResult(statistic=0.8226287066264273, pvalue=7.544335199517711e-16)","{'subsample': 0.8, 'reg_lambda': 0.01, 'reg_alpha': 0.001, 'n_estimators': 150, 'min_child_weight': 5.0, 'max_depth': 5, 'max_delta_step': 2, 'learning_rate': 0.05, 'gamma': 0}","[136  30  39  61 247  77  14  65  76  11 104 224  54 158 269 190 101  29
 160 161  28 131 324 225 187 178 335 109 180  12 173 172 297 316 171 148
 215 277 164 203 233 156   9  19 185 113 193 291 124 170 174  84 192 351
  63 154 201  86  38 270]","[[0.46057693]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.32808213]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.26430386]
 [0.46057693]
 [0.1845721 ]
 [0.74352566]
 [0.51303551]
 [0.46057693]
 [0.46057693]
 [0.23129803]
 [0.11831087]
 [0.46057693]
 [0.46057693]
 [0.46541451]
 [0.33372606]
 [0.61994098]
 [0.51706075]
 [0.27991188]
 [0.46057693]
 [0.57578848]
 [0.46057693]
 [0.24896342]
 [0.31373153]
 [0.67644603]
 [0.87435523]
 [0.37177567]
 [0.07190754]
 [0.65338427]
 [0.33677792]
 [0.19132916]
 [0.54232827]
 [0.69263904]
 [0.04133917]
 [0.46057693]
 [0.46057693]
 [0.36541588]
 [0.46057693]
 [0.4280336 ]
 [0.11477593]
 [0.46057693]
 [0.18358765]
 [0.41691828]
 [0.46057693]
 [0.46709324]
 [0.50526783]
 [0.46057693]
 [0.18048754]
 [0.504687  ]
 [0.46057693]
 [0.46057693]
 [0.69137577]]","[0.4675439  0.46571392 0.46454027 0.45988798 0.46341968 0.4714647
 0.44668284 0.45825055 0.46399486 0.4433417  0.49997267 0.3160582
 0.46496466 0.2868794  0.682535   0.5882946  0.4710221  0.4301117
 0.32437176 0.3976017  0.46072617 0.46486548 0.49271044 0.39300662
 0.5807186  0.59417915 0.3251553  0.4706465  0.63817894 0.45506918
 0.38043502 0.4202561  0.57440263 0.7489781  0.41154802 0.19928578
 0.783224   0.12617911 0.39579648 0.5064143  0.760482   0.18880844
 0.46036112 0.47232234 0.5360799  0.4964221  0.32613254 0.41492137
 0.45190996 0.34363657 0.39621106 0.46201444 0.27200928 0.43073362
 0.4650614  0.23651138 0.5429628  0.4670882  0.4567732  0.70964575]",0.0006335539473961288
5,0.06368155201645061,0.08691369220537716,"SignificanceResult(statistic=0.5034769546484552, pvalue=4.122738932241626e-05)","PearsonRResult(statistic=0.5355368393246476, pvalue=1.038053592054266e-05)","{'subsample': 0.7, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 4.0, 'max_depth': 10, 'max_delta_step': 10, 'learning_rate': 0.3, 'gamma': 0}","[220  79 239 179  20 194 216 348 292 318   3 111 210 326 153  68 125 103
  64  41  87 143 197  21  37  32 235   2  49 183 118  13 264 352 240  71
  46  82  18 226 229 126 209 257   8 305 204 249 212 332 151 181 303 207
 317  93 282 286 252 338]","[[0.46305471]
 [0.46057693]
 [0.64994722]
 [0.42223166]
 [0.46057693]
 [0.27688945]
 [0.69787995]
 [0.08250198]
 [0.37249207]
 [0.43168409]
 [0.46057693]
 [0.46057693]
 [0.5325868 ]
 [0.25992859]
 [0.17567534]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.17460399]
 [0.31941732]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.79285746]
 [0.76563271]
 [0.46057693]
 [0.41804776]
 [0.46057693]
 [0.46057693]
 [0.70077873]
 [0.36953821]
 [0.25301361]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.46057693]
 [0.38341959]
 [0.68495914]
 [0.46057693]
 [0.6922892 ]
 [0.58115173]
 [0.46057693]
 [0.90682076]
 [0.58646011]
 [0.29983513]
 [0.57596468]
 [0.78839839]
 [0.22831033]
 [0.62676037]
 [0.52835447]
 [0.81249896]
 [0.22718085]
 [0.46057693]
 [0.23354584]
 [0.02016781]
 [0.52813386]
 [0.51141361]]","[0.27946243 0.4767415  0.57447696 0.53515947 0.45616227 0.34399205
 0.7082182  0.27605745 0.3362864  0.5572359  0.46464095 0.4448274
 0.49477702 0.2249056  0.19309142 0.4639439  0.4634389  0.45757952
 0.4598055  0.46272987 0.46493316 0.10704181 0.2839475  0.46976465
 0.46007532 0.46119863 0.7829067  0.46023905 0.4636668  0.34195155
 0.46183574 0.47024715 0.68323547 0.58335024 0.80416185 0.45829755
 0.4591686  0.46285656 0.46271276 0.32210556 0.7352767  0.46378657
 0.6023731  0.6934159  0.45031303 0.17139368 0.7127611  0.6101833
 0.5056257  0.7496913  0.12058021 0.53666294 0.24206553 0.66830707
 0.5572359  0.4681904  0.31737798 0.23959614 0.48904294 0.47463   ]",0.023232140188926553
