Formula_label,Helper_lipid,NP_ratio,PEG_PEG+Chol,IL+HL,HL_IL+HL,LnRLU_THP1
1,DSPC,0.0,0.3335101030255225,0.0,0.5163959489651009,3.018105317
2,DSPC,0.167125132547256,0.3335101030255225,0.0,0.5163959489651009,3.072704317
3,DSPC,0.33425026509451194,0.3335101030255225,0.0,0.5163959489651009,3.459140317
4,DSPC,0.0,0.3335101030255225,0.3937886618582515,0.5163959489651009,3.475476317
5,DSPC,0.167125132547256,0.3335101030255225,0.3937886618582515,0.5163959489651009,3.846260317
6,DSPC,0.33425026509451194,0.3335101030255225,0.3937886618582515,0.5163959489651009,4.192532317
7,DSPC,0.0,0.3335101030255225,0.7875773237165031,0.5163959489651009,3.343396317
8,DSPC,0.167125132547256,0.3335101030255225,0.7875773237165031,0.5163959489651009,4.189421317
9,DSPC,0.33425026509451194,0.3335101030255225,0.7875773237165031,0.5163959489651009,4.303124317
10,DSPC,0.0,0.3335101030255225,0.0,0.015264438338670725,2.5
11,DSPC,0.167125132547256,0.3335101030255225,0.0,0.015264438338670725,2.5
12,DSPC,0.33425026509451194,0.3335101030255225,0.0,0.015264438338670725,2.5
13,DSPC,0.0,0.3335101030255225,0.3937886618582515,0.015264438338670725,3.634274317
14,DSPC,0.167125132547256,0.3335101030255225,0.3937886618582515,0.015264438338670725,4.526698317
15,DSPC,0.33425026509451194,0.3335101030255225,0.3937886618582515,0.015264438338670725,4.281671317
16,DSPC,0.0,0.3335101030255225,0.7875773237165031,0.015264438338670725,2.5
17,DSPC,0.167125132547256,0.3335101030255225,0.7875773237165031,0.015264438338670725,2.652863317
18,DSPC,0.33425026509451194,0.3335101030255225,0.7875773237165031,0.015264438338670725,2.828509317
19,DSPC,0.0,0.3335101030255225,0.0,0.0,2.5
20,DSPC,0.167125132547256,0.3335101030255225,0.0,0.0,2.5
21,DSPC,0.33425026509451194,0.3335101030255225,0.0,0.0,2.5
22,DSPC,0.0,0.3335101030255225,0.3937886618582515,0.0,3.205764317
23,DSPC,0.167125132547256,0.3335101030255225,0.3937886618582515,0.0,4.007585317
24,DSPC,0.33425026509451194,0.3335101030255225,0.3937886618582515,0.0,4.340282317
25,DSPC,0.0,0.3335101030255225,0.7875773237165031,0.0,2.5
26,DSPC,0.167125132547256,0.3335101030255225,0.7875773237165031,0.0,2.5
27,DSPC,0.33425026509451194,0.3335101030255225,0.7875773237165031,0.0,2.5
28,DSPC,0.0,0.02965133267656129,0.0,0.5163959489651009,5.238111317
29,DSPC,0.167125132547256,0.02965133267656129,0.0,0.5163959489651009,5.422816317
30,DSPC,0.33425026509451194,0.02965133267656129,0.0,0.5163959489651009,5.549860317
31,DSPC,0.0,0.02965133267656129,0.3937886618582515,0.5163959489651009,5.341158317
32,DSPC,0.167125132547256,0.02965133267656129,0.3937886618582515,0.5163959489651009,6.600522317
33,DSPC,0.33425026509451194,0.02965133267656129,0.3937886618582515,0.5163959489651009,6.641625317
34,DSPC,0.0,0.02965133267656129,0.7875773237165031,0.5163959489651009,3.779904317
35,DSPC,0.167125132547256,0.02965133267656129,0.7875773237165031,0.5163959489651009,5.243432317
36,DSPC,0.33425026509451194,0.02965133267656129,0.7875773237165031,0.5163959489651009,5.055084317
37,DSPC,0.0,0.02965133267656129,0.0,0.015264438338670725,6.829194317
38,DSPC,0.167125132547256,0.02965133267656129,0.0,0.015264438338670725,6.577196317
39,DSPC,0.33425026509451194,0.02965133267656129,0.0,0.015264438338670725,6.465471317
40,DSPC,0.0,0.02965133267656129,0.3937886618582515,0.015264438338670725,6.474081317
41,DSPC,0.167125132547256,0.02965133267656129,0.3937886618582515,0.015264438338670725,6.423363317
42,DSPC,0.33425026509451194,0.02965133267656129,0.3937886618582515,0.015264438338670725,6.589555317
43,DSPC,0.0,0.02965133267656129,0.7875773237165031,0.015264438338670725,5.102878317
44,DSPC,0.167125132547256,0.02965133267656129,0.7875773237165031,0.015264438338670725,5.467208317
45,DSPC,0.33425026509451194,0.02965133267656129,0.7875773237165031,0.015264438338670725,5.862314317
46,DSPC,0.0,0.02965133267656129,0.0,0.0,6.695209317
47,DSPC,0.167125132547256,0.02965133267656129,0.0,0.0,6.861229317
48,DSPC,0.33425026509451194,0.02965133267656129,0.0,0.0,7.183156317
49,DSPC,0.0,0.02965133267656129,0.3937886618582515,0.0,6.545039317
50,DSPC,0.167125132547256,0.02965133267656129,0.3937886618582515,0.0,6.695804317
51,DSPC,0.33425026509451194,0.02965133267656129,0.3937886618582515,0.0,6.674743317
52,DSPC,0.0,0.02965133267656129,0.7875773237165031,0.0,4.824040317
53,DSPC,0.167125132547256,0.02965133267656129,0.7875773237165031,0.0,3.661103317
54,DSPC,0.33425026509451194,0.02965133267656129,0.7875773237165031,0.0,4.392217317
55,DSPC,0.0,0.0,0.0,0.5163959489651009,4.602684317
56,DSPC,0.167125132547256,0.0,0.0,0.5163959489651009,5.550638317
57,DSPC,0.33425026509451194,0.0,0.0,0.5163959489651009,6.463932317
58,DSPC,0.0,0.0,0.3937886618582515,0.5163959489651009,5.102518317
59,DSPC,0.167125132547256,0.0,0.3937886618582515,0.5163959489651009,7.039172317
60,DSPC,0.33425026509451194,0.0,0.3937886618582515,0.5163959489651009,7.959766317
61,DSPC,0.0,0.0,0.7875773237165031,0.5163959489651009,4.391687317
62,DSPC,0.167125132547256,0.0,0.7875773237165031,0.5163959489651009,5.676625317
63,DSPC,0.33425026509451194,0.0,0.7875773237165031,0.5163959489651009,5.623104317
64,DSPC,0.0,0.0,0.0,0.015264438338670725,5.470360317
65,DSPC,0.167125132547256,0.0,0.0,0.015264438338670725,5.414784317
66,DSPC,0.33425026509451194,0.0,0.0,0.015264438338670725,5.085137317
67,DSPC,0.0,0.0,0.3937886618582515,0.015264438338670725,6.932212317
68,DSPC,0.167125132547256,0.0,0.3937886618582515,0.015264438338670725,7.517568317
69,DSPC,0.33425026509451194,0.0,0.3937886618582515,0.015264438338670725,7.770556317
70,DSPC,0.0,0.0,0.7875773237165031,0.015264438338670725,4.960173317
71,DSPC,0.167125132547256,0.0,0.7875773237165031,0.015264438338670725,5.239679317
72,DSPC,0.33425026509451194,0.0,0.7875773237165031,0.015264438338670725,5.919189317
73,DSPC,0.0,0.0,0.0,0.0,4.923851317
74,DSPC,0.167125132547256,0.0,0.0,0.0,4.467491317
75,DSPC,0.33425026509451194,0.0,0.0,0.0,5.702410317
76,DSPC,0.0,0.0,0.3937886618582515,0.0,6.497381317
77,DSPC,0.167125132547256,0.0,0.3937886618582515,0.0,7.356063317
78,DSPC,0.33425026509451194,0.0,0.3937886618582515,0.0,7.715564317
79,DSPC,0.0,0.0,0.7875773237165031,0.0,4.223792317
80,DSPC,0.167125132547256,0.0,0.7875773237165031,0.0,4.510911317
81,DSPC,0.33425026509451194,0.0,0.7875773237165031,0.0,4.977726317
82,DSPC,0.5639130619539443,0.011767139833668687,0.7838318319995994,0.14401788668991736,6.177659641
83,DSPC,0.9584286343859221,0.009794278118955913,0.4945851031415995,0.04183642864675442,9.652874233
84,DSPC,0.724113274804346,0.009672910907513993,0.5495737648785115,0.3423414523219553,5.90360995
85,DSPC,0.41855134730135835,0.012667376397569647,0.4244112333830172,0.26805029269693187,7.230479989
86,DSPC,0.5250855764032302,0.019231846973238334,0.7598951844685444,0.2829552384564188,5.790882973
87,DSPC,0.9861931832113502,0.003141979984716872,0.675297636335918,0.41210147333879094,5.531092211
88,DSPC,0.8675664384091939,0.0054344219352109695,0.6132082682822959,0.23800797271381818,6.217221588
89,DSPC,0.9338402732179716,0.0032090591029116187,0.5624972080794071,0.15448043166050707,8.294280371
90,DSPC,0.7199400499420535,0.007474240261513099,0.7031086014443975,0.1287544972186802,6.462856914
91,DSPC,0.7270088146583041,0.008115530457521865,0.5929801333500644,0.07655031689682569,10.88715559
92,DSPC,1.0,0.022824024291550157,0.4237018384664372,0.2425640013991498,8.778360124
93,DSPC,0.8458734683538338,0.014832579934414473,0.4152172537816476,0.21008296302805332,9.070676858
94,DSPC,0.9037426872068948,0.004884972683183053,0.7092924024963263,0.03850035666330972,9.476936728
95,DSPC,0.39898545944580355,0.00029163173786791053,0.9345065370162897,0.43818710475886763,4.621885445
96,DSPC,0.04635317489172741,0.0014143285191246194,0.8200162446565125,0.001283501246174372,5.153694503
97,DSPC,0.44615820896828706,7.593545303437397e-05,0.4009348094175967,0.006395065500053748,8.656843698
98,DSPC,0.9973817324396972,0.0004578077845098609,0.6512369010095218,0.47096290350343006,5.127029188
99,DSPC,0.6425265884449796,0.011452014322158565,0.6847476508933463,0.23871314552758227,6.06445275
100,DSPC,0.8062805145997755,0.025057579837481962,0.7651309675385702,0.3909852780946578,5.508578731
101,DSPC,0.7687785114274914,0.0003787919617730638,0.40712695393243,0.10162205539533709,8.747374219
102,DSPC,0.40497709641559454,0.0064540586655772916,0.75034376171744,0.1740176225258746,6.285880171
103,DSPC,0.562730650387734,0.00515677279220292,0.7279538879599066,0.0052363785396200456,9.589321135
104,DSPC,0.9586963889032787,0.0070239278857384905,0.433280426597117,0.1860727783811904,9.434266169
105,DSPC,0.6266197307207834,0.002422960735444065,0.8716397001939011,0.5027120040910935,5.575538069
106,DSPC,0.11294748709986382,0.174143588257434,0.45291658730353895,0.7432286351413164,3.971928595
107,DSPC,0.12571242993532641,0.14462201637026792,0.6834917878374582,0.6623458057170384,4.316455201
108,DSPC,0.029231141178679115,0.11194787082783136,0.6382901251740969,0.5736305366694705,3.696369071
109,DSPC,0.11852296903603896,0.08849869956755234,0.41691847776896834,0.6903219104750389,4.621489954
110,DSPC,0.07856994217840596,0.2919616592966088,0.617893023534098,0.9333069309506802,2.816683294
111,DSPC,0.07386488599528584,0.2485409949798161,0.4084942855634643,0.5548811720338067,4.152461022
112,DSPC,0.0014946310203008961,0.23173059207573818,0.6225223741650683,0.601497587004474,3.218007562
113,DSPC,0.056519130348896995,0.10022053322521239,0.4750382202316507,0.862281194327296,3.047732354
114,DSPC,0.07633297821220317,0.18711234887140668,0.7051854126565738,0.8606348629157593,2.5
115,DSPC,0.127982633335579,0.12937430101035563,0.569723182244815,0.9505302350930465,3.517156777
116,DSPC,0.09496626604686118,0.18110432246487965,0.6298544612485584,1.0000000000000002,2.74230211
117,DSPC,0.04852362255380102,0.20349430847919853,0.5526889729021627,0.9128818708714805,2.912577318
118,DSPC,0.5189020191984145,0.7046558757511259,0.35068391108678515,0.05150498707268375,7.727055498
119,DSPC,0.04596077970395557,0.6678494214547465,0.17046369392141358,0.6050312338645158,3.875416715
120,DSPC,0.1381645327393,0.9649822741764271,0.5643868974826127,0.9246905105415834,2.51125305
121,DSPC,0.02941082396834216,0.9315346610501299,0.20522479040702502,0.19733304896811735,4.32273623
122,DSPC,0.1322743123136926,0.42770978149713157,0.3914254829369707,0.1927986180056767,5.64227922
123,DSPC,0.03296207297087564,0.38964450656349714,0.5438150762762857,0.7869643321484593,3.278781414
124,DSPC,0.02113955677985338,0.997646836784069,0.133553022873528,0.6308234804373513,2.934090158
125,DSPC,0.6347596363434328,0.4658555979596187,0.3063611473067684,0.17851466026793494,6.506076935
126,DSPC,0.002687174840140888,0.8054951170714065,1.0,0.87121264581401,2.777422282
127,DSPC,0.018091312352535,0.9999999999999998,0.7603629767835225,0.5820838197309056,2.912577318
128,DSPC,0.23902938382465247,0.6479622576542786,0.24511587141919527,0.2807010978286939,5.20155508
129,DSPC,0.22721976150473142,0.9757029048594326,0.13260572486856181,0.4878454656192121,4.264618435
130,DSPC,0.7516434953923655,0.008923708333766432,0.5951552630900758,0.03907047007672963,10.41603134
131,DSPC,0.7598332999836526,0.008415890022075672,0.6049785576645896,0.04966048896194026,10.3409517
132,DSPC,0.7674652066218444,0.005931407227098534,0.5702306268465733,0.00623168761785767,9.963586423
133,DSPC,0.7681162425756822,0.008467166538368218,0.6085747977030822,0.04379835192415917,10.19421663
134,DSPC,0.7583831919760691,0.008778092541450103,0.5713435611573305,0.040828037016414076,9.99861924
135,DSPC,0.7656943424501812,0.008207011833738077,0.5903088296335857,0.043112491410963794,10.19149578
136,DSPC,0.75582694831277,0.009630602842485911,0.5649607131943839,0.04641682890072847,10.16556718
137,DSPC,0.7493349804774156,0.009405177372626741,0.5802847145239209,0.0393532620889393,10.16411964
