Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),MAL_(PEG+MAL),IL%,HL%,Chol%,PEG%,MAL%,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,MAL_Mol_RNA,LnRLU_h19RAMOS,LnRLU_DeltaRAMOS
10,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,40.0,60.0,3.75,5.30962963,16.0,24.0,57.75,2.130533333,0.119466667,15.0,22.5,54.140625,1.997375,0.112,1.13079603,0.029998754
11,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,55.0,60.0,3.75,9.734320988,22.0,33.0,43.3125,1.523233333,0.164266667,15.0,22.5,29.53125,1.038568182,0.112,0.980852489,-0.064326632
12,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,70.0,60.0,3.75,18.5837037,28.0,42.0,28.875,0.915933333,0.209066667,15.0,22.5,15.46875,0.490678571,0.112,0.921927356,-0.031071825
13,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,40.0,10.0,3.75,7.466666667,36.0,4.0,57.75,2.082,0.168,24.0,2.666666667,38.5,1.388,0.112,0.975013148,0.107582587
14,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,55.0,10.0,3.75,13.68888889,49.5,5.5,43.3125,1.4565,0.231,24.0,2.666666667,21.0,0.706181818,0.112,0.97648036,0.147864672
15,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,70.0,10.0,3.75,26.13333333,63.0,7.0,28.875,0.831,0.294,24.0,2.666666667,11.0,0.316571429,0.112,0.547031175,0.227944233
16,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,40.0,30.0,3.75,5.807407407,28.0,12.0,57.75,2.119333333,0.130666667,24.0,10.28571429,49.5,1.816571429,0.112,1.579454849,-0.075741047
17,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,55.0,30.0,3.75,10.64691358,38.5,16.5,43.3125,1.507833333,0.179666667,24.0,10.28571429,27.0,0.939948052,0.112,1.057731709,-0.151881784
18,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,70.0,30.0,3.75,20.32592593,49.0,21.0,28.875,0.896333333,0.228666667,24.0,10.28571429,14.14285714,0.439020408,0.112,0.946150798,-0.326836938
19,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,40.0,50.0,3.75,4.148148148,20.0,20.0,57.75,2.156666667,0.093333333,24.0,24.0,69.3,2.588,0.112,1.57282708,-0.047581602
20,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,55.0,50.0,3.75,7.604938272,27.5,27.5,43.3125,1.559166667,0.128333333,24.0,24.0,37.8,1.360727273,0.112,1.644177367,-0.687393323
21,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,70.0,50.0,3.75,14.51851852,35.0,35.0,28.875,0.961666667,0.163333333,24.0,24.0,19.8,0.659428571,0.112,1.046034906,-1.039752056
22,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,40.0,60.0,3.75,3.318518519,16.0,24.0,57.75,2.175333333,0.074666667,24.0,36.0,86.625,3.263,0.112,1.296496973,-0.029603275
23,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,55.0,60.0,3.75,6.083950617,22.0,33.0,43.3125,1.584833333,0.102666667,24.0,36.0,47.25,1.728909091,0.112,1.602580001,-0.724104248
24,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,70.0,60.0,3.75,11.61481481,28.0,42.0,28.875,0.994333333,0.130666667,24.0,36.0,24.75,0.852285714,0.112,1.183429038,-0.587543482
25,i-opt,1,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.919314628,63.39198561,71.98294854,3.824576783,9.626965007,17.76056523,45.63142037,35.20791278,1.265314326,0.134787293,14.75794388,37.91692058,29.25562302,1.051398848,0.112,0.828738118,-0.186770102
26,i-opt,1,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.909215342,63.40576591,86.14157717,5.013755934,3.642096052,8.787039141,54.61872677,34.7594885,1.767922387,0.066823196,14.72764603,91.54451932,58.25915129,2.963152286,0.112,0.227911334,0.008535777
27,i-opt,1,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,9.215869606,55.48898697,76.66744078,8.926982488,1.319949933,12.94700074,42.54198622,40.53752269,3.921042255,0.052448083,27.64760882,90.84607445,86.5656527,8.373170326,0.112,0.044158901,0.006839425
28,i-opt,1,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,9.194711113,60.03413229,64.34235013,5.935741539,3.663915127,21.4067607,38.6273716,37.5935971,2.285352629,0.086917982,27.58413334,49.77411499,48.44202304,2.944839368,0.112,0.636555184,-0.085604358
29,i-opt,1,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,7.694278871,61.63293605,78.31633522,6.628699474,2.549690648,13.36427925,48.26865681,35.82382658,2.478392681,0.064844685,23.08283661,83.36981727,61.87505669,4.28068976,0.112,0.490555288,0.057851793
30,DA,1,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.67986766,31.88589882,48.74713047,4.909700334,2.101882807,16.34243812,15.5434607,64.76990293,3.273907125,0.070291128,26.03960298,24.76653377,103.2026277,5.216555884,0.112,1.271982562,-0.058256938
31,DA,1,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,9.7246731,39.72707292,39.75432548,3.31754531,4.595100872,23.93384305,15.79322987,58.27334542,1.907698871,0.091882795,29.1740193,19.25106604,71.03195673,2.325378484,0.112,1.729894179,-0.060491144
32,DA,1,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.083145669,46.06322925,35.19225532,8.300809281,3.07958556,29.85254,16.21068925,49.45958228,4.339309623,0.13787885,24.24943701,13.16806167,40.17638114,3.524853006,0.112,1.107058183,0.028333599
33,DA,1,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.35196403,28.68272959,38.01506968,7.23290838,1.540660939,17.77896995,10.90375964,66.15895759,5.078840717,0.079472111,25.05589209,15.36666217,93.23778075,7.157607292,0.112,0.636234672,0.007942695
34,DA,1,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,9.703606888,22.11585295,49.07019871,8.527704164,0.652466255,11.26355996,10.85229299,71.2424174,6.598394607,0.043335045,29.11082067,28.0478957,184.1269762,17.0536387,0.112,0.335685356,0.03564812
35,NSGAII,2,SM-102,DSPC,,,,,,,,,,8.278975858868616,47.573096078683214,35.9703234107561,2.8522899452643893,,,,,,,,,,,,,
36,NSGAII,2,SM-102,DSPC,,,,,,,,,,8.33979154387344,88.84731015989868,53.28702073564862,3.529288300199475,,,,,,,,,,,,,
37,NSGAII,2,SM-102,DSPC,,,,,,,,,,8.014388799868795,70.06037048984673,56.91626500639323,2.0345911412875335,,,,,,,,,,,,,
38,NSGAII,2,SM-102,DSPC,,,,,,,,,,8.01182099989422,49.068418844020535,71.66619131049015,2.814452143302889,,,,,,,,,,,,,
39,NSGAII,2,SM-102,DSPC,,,,,,,,,,9.878570054520322,53.934274086223255,45.397458376656154,2.1242556932688683,,,,,,,,,,,,,
40,NSGAII,2,SM-102,DSPC,,,,,,,,,,9.266979164503038,54.37903342127143,44.73468594830791,3.800892537081453,,,,,,,,,,,,,
41,i-optimal,2,SM-102,DSPC,,,,,,,,,,5.227704236749782,85.01224696753162,6.803755470089168,4.152426886255873,,,,,,,,,,,,,
42,i-optimal,2,SM-102,DSPC,,,,,,,,,,4.905631013870893,36.437753436712605,33.96858956471307,6.575017984054614,,,,,,,,,,,,,
43,i-optimal,2,SM-102,DSPC,,,,,,,,,,9.822259444929362,50.26231885681004,68.6869575497177,8.977649131262682,,,,,,,,,,,,,
44,i-optimal,2,SM-102,DSPC,,,,,,,,,,8.013415597382425,61.289618142771104,68.59729651181958,7.989341030664794,,,,,,,,,,,,,
45,i-optimal,2,SM-102,DSPC,,,,,,,,,,6.706262252891965,58.59190426176528,24.337806516514586,6.287159509600585,,,,,,,,,,,,,
46,i-optimal,2,SM-102,DSPC,,,,,,,,,,6.2861622237250465,30.09633193894951,47.51337024065679,8.586313783949445,,,,,,,,,,,,,
47,DA,2,SM-102,DSPC,,,,,,,,,,8.186921383726027,51.386857631863066,43.550684640923514,2.4708097077103277,,,,,,,,,,,,,
48,DA,2,SM-102,DSPC,,,,,,,,,,8.204277861557902,47.46478063862112,37.95576352094301,3.552346569767475,,,,,,,,,,,,,
49,DA,2,SM-102,DSPC,,,,,,,,,,8.103334280582072,53.550500714660046,37.76747459517539,3.663957763289084,,,,,,,,,,,,,
50,DA,2,SM-102,DSPC,,,,,,,,,,8.295136446354498,21.299737923960283,42.664163536335195,3.5031823464498757,,,,,,,,,,,,,
51,DA,2,SM-102,DSPC,,,,,,,,,,8.245258320720623,54.49991560239244,36.53852638162558,2.1580928083470496,,,,,,,,,,,,,
52,DA,2,SM-102,DSPC,,,,,,,,,,8.311913728132987,47.815232375084435,48.73465354054988,3.6922608030598547,,,,,,,,,,,,,
