Formula_label,Helper_lipid,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),LnRLU_DeltaRAMOS
0,DSPC,0.018852757632268125,0.7911626161042793,0.08755623731191486,0.07709413195606707,-0.353870858
1,DSPC,0.018852757632268125,0.3734878483128374,0.0,0.07709413195606707,0.103045105
2,DSPC,0.018852757632268125,0.6867439241564188,0.0,0.07709413195606707,0.083763707
3,DSPC,0.018852757632268125,1.0000000000000002,0.0,0.07709413195606707,0.373801314
4,DSPC,0.018852757632268125,0.3734878483128374,0.26266858060145426,0.07709413195606707,0.056782371
5,DSPC,0.018852757632268125,0.6867439241564188,0.26266858060145426,0.07709413195606707,-0.065647289
6,DSPC,0.018852757632268125,1.0000000000000002,0.26266858060145426,0.07709413195606707,-0.186944816
7,DSPC,0.018852757632268125,0.3734878483128374,0.5253371612029086,0.07709413195606707,0.038710412
8,DSPC,0.018852757632268125,0.6867439241564188,0.5253371612029086,0.07709413195606707,-0.21984515
9,DSPC,0.018852757632268125,1.0000000000000002,0.5253371612029086,0.07709413195606707,-0.804546353
10,DSPC,0.018852757632268125,0.3734878483128374,0.6566714515036357,0.07709413195606707,0.029998754
11,DSPC,0.018852757632268125,0.6867439241564188,0.6566714515036357,0.07709413195606707,-0.064326632
12,DSPC,0.018852757632268125,1.0000000000000002,0.6566714515036357,0.07709413195606707,-0.031071825
13,DSPC,0.6418464896437368,0.3734878483128374,0.0,0.07709413195606707,0.107582587
14,DSPC,0.6418464896437368,0.6867439241564188,0.0,0.07709413195606707,0.147864672
15,DSPC,0.6418464896437368,1.0000000000000002,0.0,0.07709413195606707,0.227944233
16,DSPC,0.6418464896437368,0.3734878483128374,0.26266858060145426,0.07709413195606707,-0.075741047
17,DSPC,0.6418464896437368,0.6867439241564188,0.26266858060145426,0.07709413195606707,-0.151881784
18,DSPC,0.6418464896437368,1.0000000000000002,0.26266858060145426,0.07709413195606707,-0.326836938
19,DSPC,0.6418464896437368,0.3734878483128374,0.5253371612029086,0.07709413195606707,-0.047581602
20,DSPC,0.6418464896437368,0.6867439241564188,0.5253371612029086,0.07709413195606707,-0.687393323
21,DSPC,0.6418464896437368,1.0000000000000002,0.5253371612029086,0.07709413195606707,-1.039752056
22,DSPC,0.6418464896437368,0.3734878483128374,0.6566714515036357,0.07709413195606707,-0.029603275
23,DSPC,0.6418464896437368,0.6867439241564188,0.6566714515036357,0.07709413195606707,-0.724104248
24,DSPC,0.6418464896437368,1.0000000000000002,0.6566714515036357,0.07709413195606707,-0.587543482
25,DSPC,0.0020972639585969954,0.8619999562047123,0.8140486557247392,0.09038900996851496,-0.186770102
26,DSPC,0.0,0.8622877403848421,0.9999999999999999,0.30238517166258205,0.008535777
27,DSPC,0.8943395374708214,0.6969558001138083,0.8755721021007056,1.0,0.006839425
28,DSPC,0.8899456679648854,0.7918754259192764,0.7137013987597177,0.4667484715344469,-0.085604358
29,DSPC,0.5783590406069135,0.8252644253793804,0.8972277402065271,0.5902827786335182,0.057851793
30,DSPC,0.783030919902838,0.20403508200319925,0.508882688146713,0.2838350753341836,-0.058256938
31,DSPC,0.9999999999999998,0.3677881105746876,0.39077632202926427,0.0,-0.060491144
32,DSPC,0.659112899854037,0.5001107417658388,0.33086069735269186,0.8883714734419653,0.028333599
33,DSPC,0.7149369511715689,0.13714093378635223,0.36793392941482195,0.6979957071907151,0.007942695
34,DSPC,0.995625293988925,0.0,0.5131256819486235,0.9288202521340366,0.03564812
