Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,MAL_Mol_RNA,LnRLU_T,,TOTAL MOLES,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol
53,DA,2,SM-102,DSPC,4.252022198,30.28319613,21.28635364,6.422309279,12.75606659,3.449594284,34.91200811,2.284038114,0.112,4.71530548,,53.5137071,4.252022197,30.28319612,21.28635364,6.441647318
54,DA,2,SM-102,DSPC,5.484554319,30.92584021,26.23782836,4.608998311,16.45366296,5.852707086,47.52590714,2.184304912,0.112,4.871672543,,72.1285821,5.48455432,30.92584021,26.23782836,4.619382652
55,i-optimal,2,SM-102,DSPC,5.941447508,67.55793708,19.98708987,5.788003882,17.82434253,4.45249067,10.07840348,0.507176335,0.112,1.811546212,,32.97441302,5.94144751,67.55793709,19.98708986,5.84924346
56,i-optimal,2,SM-102,DSPC,9.291440703,49.0362083,41.82666134,9.727630113,27.87432211,20.04165237,44.95520887,4.732313316,0.112,3.805282895,,97.71549667,9.291440703,49.03620829,41.82666133,9.749557037
57,i-optimal,2,SM-102,DSPC,7.709445064,38.71735006,60.92104587,8.523731245,23.12833519,36.05527324,85.69229886,7.872782667,0.112,4.068059579,,152.86069,7.709445063,38.71735006,60.92104587,8.533934387
58,i-optimal,2,SM-102,DSPC,6.89173047,53.05611525,54.08685346,8.030363967,20.67519141,24.35590092,36.643802,3.087567595,0.112,3.072177961,,84.87446193,6.89173047,53.05611524,54.08685346,8.053001011
59,i-optimal,2,SM-102,DSPC,9.391520505,86.33215827,44.40346532,6.075588706,28.17456151,22.50226875,7.535555407,0.375444475,0.112,1.230822374,,58.69983014,9.391520503,86.33215827,44.40346532,6.161603871
60,i-optimal,2,SM-102,DSPC,9.285583084,57.16447856,17.58537,2.508342653,27.85674925,5.943984007,24.69285958,0.523317468,0.112,3.620533586,,59.12891031,9.285583083,57.16447856,17.58537,2.51948369
61,i-optimal,2,SM-102,DSPC,5.881325356,48.38761881,62.44855139,5.506501746,17.64397607,29.34216354,47.35778019,2.647721083,0.112,3.727491479,,97.10364088,5.881325357,48.38761882,62.44855139,5.518834954
62,i-optimal,2,SM-102,DSPC,5.21855484,61.46896085,30.20317772,5.664177122,15.65566452,6.774675441,13.26378118,0.684393179,0.112,2.597923622,,36.49051432,5.21855484,61.46896085,30.20317772,5.709658902
63,i-optimal,2,SM-102,DSPC,7.99085771,59.82424941,40.77976991,7.019825214,23.97257313,16.5078051,25.2767749,1.79634812,0.112,3.454320544,,67.66550125,7.99085771,59.82424941,40.77976991,7.048865839
64,i-optimal,2,SM-102,DSPC,4.356590666,58.49380353,40.88586149,5.015478233,13.069772,9.0396122,14.90158836,0.674850222,0.112,1.94381418,,37.79782278,4.356590667,58.49380354,40.88586149,5.051541261
4,cntrl,2,SM-102,DSPC,5,40,30,3.75,15,6.428571429,30.9375,1.093357143,0.112,4.839786611,,53.57142857,5,40,30,3.763112356
7,cntrl,2,SM-102,DSPC,5,40,50,3.75,15,15,43.3125,1.5755,0.112,3.852306186,,75,5,40,50,3.759356621
65,i-optimal,3,SM-102,DSPC,,,,,12.52139484,48.44729114,38.62297567,9.388596401,,,,108.980258,4.173798278,55.94470693,79.46258045,19.55486146
66,i-optimal,3,SM-102,DSPC,,,,,35.67875009,47.42251496,18.93959425,1.774903228,,,,103.8157625,11.8929167,80.04686671,57.06593628,8.568410746
67,i-optimal,3,SM-102,DSPC,,,,,34.15590796,35.54156187,13.37905311,1.802746556,,,,84.87926948,11.38530265,82.11365419,50.99404893,11.87439299
68,i-optimal,3,SM-102,DSPC,,,,,14.22182862,11.45000091,16.88843419,8.20663837,,,,50.76690209,4.740609541,50.56804428,44.60142155,32.70219024
