Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,MAL_(PEG+MAL),IL%,HL%,Chol%,PEG%,MAL%,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,MAL_Mol_RNA,Encapsulation,LnRLU_RAMOS
0,CONTROL,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,60.0,16.67,3.75,24.88789333,49.998,10.002,38.5,1.1266816,0.3733184,15.0,3.000720029,11.55046202,0.338018001,0.112,,3.625105266
1,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,56.79,5.0,3.75,24.86031937,53.9505,2.8395,41.589625,1.2175446,0.4028304,15.0,0.789473684,11.56327328,0.338517141,0.112,,2.59513491
2,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,64.07,30.0,3.75,24.85369948,44.849,19.221,34.582625,1.012502467,0.334872533,15.0,6.428571429,11.56635321,0.338637138,0.112,,4.750642258
3,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,71.4,50.0,3.75,24.85407925,35.7,35.7,27.5275,0.80594,0.26656,15.0,15.0,11.56617647,0.338630252,0.112,,5.129182663
4,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,80.62,70.0,3.75,24.84882009,24.186,56.434,18.65325,0.5461612,0.1805888,15.0,35.0,11.56862441,0.338725626,0.112,,4.262640824
5,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,83.44,75.0,3.75,25.08126677,20.86,62.58,15.939,0.465245333,0.155754667,15.0,45.0,11.4614094,0.334548418,0.112,,4.084637596
6,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.88,61.21,28.86,4.9,17.52658594,43.544794,17.665206,36.88929,1.567580428,0.333129572,14.64,5.939139724,12.40238283,0.527029189,0.112,,3.446166609
7,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.98,62.11,17.05,4.93,20.67634739,51.520245,10.589755,36.022023,1.481747586,0.386229414,14.94,3.07084991,10.44577765,0.429681748,0.112,,3.821622286
8,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,6.93,50.0,1.0,5.0,10.66666667,49.5,0.5,47.5,2.233333333,0.266666667,20.79,0.21,19.95,0.938,0.112,,2.445695971
9,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.92,73.56,25.39,3.96,39.77532977,54.883116,18.676884,25.392976,0.630566751,0.416457249,14.76,5.022870929,6.829064256,0.169581575,0.112,,2.703656216
10,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,3.5,50.0,50.0,5.0,10.66666667,25.0,25.0,47.5,2.233333333,0.266666667,10.5,10.5,19.95,0.938,0.112,,2.983898735
11,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.037498984,38.66871423,16.80597701,2.90898514,13.3631881,32.17005901,6.498655224,59.54716778,1.545702946,0.238415043,15.11249695,3.052866867,27.97341439,0.726123352,0.112,,3.352312934
12,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.032784065,28.87317712,16.77460413,2.807068685,8.927964736,24.02981596,4.843361162,69.13024411,1.818324923,0.178253849,15.0983522,3.043168235,43.43573728,1.142485242,0.112,,2.392363976
13,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,6.93,50.0,1.0,5.0,10.66666667,49.5,0.5,47.5,2.233333333,0.266666667,20.79,0.21,19.95,0.938,0.112,,1.955136355
14,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.916853637,73.56337875,25.39399436,3.960262704,39.80292601,54.8826985,18.68068025,25.3896616,0.630239076,0.416720576,14.75056091,5.020717265,6.823858159,0.169386348,0.112,,3.99458102
15,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,57.01510155,5.0,3.75,25.08956307,54.16434647,2.850755078,41.37296476,1.207506572,0.40442712,15.0,0.789473684,11.45761948,0.334400759,0.112,,3.075091347
16,RATIONALE,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,80.77019846,70.0,3.75,25.08956308,24.23105954,56.53913892,18.50868398,0.540192313,0.180925245,15.0,35.0,11.45761948,0.334400759,0.112,,3.879298806
17,i-optimal,1,SM-102,DSPC,,,,,,,,,,,,,,,,,,,,16.23434585087128,13.935356928322161,88.72488589911744,0.168347550668342,,,
18,i-optimal,1,SM-102,DSPC,,,,,,,,,,,,,,,,,,,,25.935137003630114,45.44617023728511,17.583935906968858,0.6410769140151962,,,
19,i-optimal,1,SM-102,DSPC,,,,,,,,,,,,,,,,,,,,53.20649324568549,54.11190573867835,23.884655264439992,0.4529837909594787,,,
20,i-optimal,1,SM-102,DSPC,,,,,,,,,,,,,,,,,,,,57.09764528026955,53.02568199420776,20.094832484740497,0.6646584797855398,,,
21,i-optimal,1,SM-102,DSPC,,,,,,,,,,,,,,,,,,,,16.91522225456386,47.80637171723507,58.296991409280444,2.290141376240609,,,
22,DA,1,SM-102,DSPC,,,,,,,,,,,,,,,,,,,,15.239941112875009,20.005085411902613,28.302225808026503,0.043620154793059716,,,
23,DA,1,SM-102,DSPC,,,,,,,,,,,,,,,,,,,,16.411454534341427,25.893131242193906,38.37281017770689,0.06098967907522688,,,
24,DA,1,SM-102,DSPC,,,,,,,,,,,,,,,,,,,,15.052195416665176,17.4025778599842,39.62368062168076,0.3370090251387483,,,
25,DA,1,SM-102,DSPC,,,,,,,,,,,,,,,,,,,,15.03733050106098,22.50250659901487,38.16056234956862,6.490660906873348,,,
26,DA,1,SM-102,DSPC,,,,,,,,,,,,,,,,,,,,14.757013386421212,32.57515905341968,34.01239336297761,0.18725388225993442,,,
