Formula_label,Helper_lipid,NP_ratio,PEG_PEG+Chol,IL+HL,HL_IL+HL,LnRLU_RAMOS
1,DSPC,4.0,9.090909091,20.0,50.0,4.276303998
2,DSPC,8.0,9.090909091,20.0,50.0,2.5
3,DSPC,12.0,9.090909091,20.0,50.0,2.5
4,DSPC,4.0,9.090909091,50.0,50.0,5.929686152
5,DSPC,8.0,9.090909091,50.0,50.0,5.678928633
6,DSPC,12.0,9.090909091,50.0,50.0,5.470249237
7,DSPC,4.0,9.090909091,80.0,50.0,2.766542169
8,DSPC,8.0,9.090909091,80.0,50.0,5.514832126
9,DSPC,12.0,9.090909091,80.0,50.0,5.748150005
10,DSPC,4.0,9.090909091,20.0,1.960784314,2.543880933
11,DSPC,8.0,9.090909091,20.0,1.960784314,2.811257013
12,DSPC,12.0,9.090909091,20.0,1.960784314,2.5
13,DSPC,4.0,9.090909091,50.0,1.960784314,4.230513334
14,DSPC,8.0,9.090909091,50.0,1.960784314,3.874693116
15,DSPC,12.0,9.090909091,50.0,1.960784314,3.820454676
16,DSPC,4.0,9.090909091,80.0,1.960784314,3.292407938
17,DSPC,8.0,9.090909091,80.0,1.960784314,2.913819753
18,DSPC,12.0,9.090909091,80.0,1.960784314,3.083499191
19,DSPC,4.0,9.090909091,20.0,0.497512438,2.5
20,DSPC,8.0,9.090909091,20.0,0.497512438,2.919602966
21,DSPC,12.0,9.090909091,20.0,0.497512438,2.940281429
22,DSPC,4.0,9.090909091,50.0,0.497512438,3.901790645
23,DSPC,8.0,9.090909091,50.0,0.497512438,4.011833566
24,DSPC,12.0,9.090909091,50.0,0.497512438,4.050241108
25,DSPC,4.0,9.090909091,80.0,0.497512438,2.5
26,DSPC,8.0,9.090909091,80.0,0.497512438,2.5
27,DSPC,12.0,9.090909091,80.0,0.497512438,2.5
28,DSPC,4.0,0.99009901,20.0,50.0,4.220933244
29,DSPC,8.0,0.99009901,20.0,50.0,5.34653068
30,DSPC,12.0,0.99009901,20.0,50.0,5.005730598
31,DSPC,4.0,0.99009901,50.0,50.0,7.804239252
32,DSPC,8.0,0.99009901,50.0,50.0,7.414203434
33,DSPC,12.0,0.99009901,50.0,50.0,6.909481842
34,DSPC,4.0,0.99009901,80.0,50.0,2.5
35,DSPC,8.0,0.99009901,80.0,50.0,4.389710467
36,DSPC,12.0,0.99009901,80.0,50.0,5.359672272
37,DSPC,4.0,0.99009901,20.0,1.960784314,5.88630068
38,DSPC,8.0,0.99009901,20.0,1.960784314,4.864324896
39,DSPC,12.0,0.99009901,20.0,1.960784314,4.36492835
40,DSPC,4.0,0.99009901,50.0,1.960784314,4.446086723
41,DSPC,8.0,0.99009901,50.0,1.960784314,3.27427658
42,DSPC,12.0,0.99009901,50.0,1.960784314,3.182906582
43,DSPC,4.0,0.99009901,80.0,1.960784314,2.589309769
44,DSPC,8.0,0.99009901,80.0,1.960784314,2.5
45,DSPC,12.0,0.99009901,80.0,1.960784314,2.5
46,DSPC,4.0,0.99009901,20.0,0.497512438,5.694297878
47,DSPC,8.0,0.99009901,20.0,0.497512438,4.925942401
48,DSPC,12.0,0.99009901,20.0,0.497512438,4.46789989
49,DSPC,4.0,0.99009901,50.0,0.497512438,3.893909504
50,DSPC,8.0,0.99009901,50.0,0.497512438,3.31156875
51,DSPC,12.0,0.99009901,50.0,0.497512438,2.66877875
52,DSPC,4.0,0.99009901,80.0,0.497512438,2.5
53,DSPC,8.0,0.99009901,80.0,0.497512438,2.5
54,DSPC,12.0,0.99009901,80.0,0.497512438,2.5
55,DSPC,4.0,0.199600798,20.0,50.0,2.963279053
56,DSPC,8.0,0.199600798,20.0,50.0,3.640932789
57,DSPC,12.0,0.199600798,20.0,50.0,4.034231638
58,DSPC,4.0,0.199600798,50.0,50.0,6.193730046
59,DSPC,8.0,0.199600798,50.0,50.0,7.402548303
60,DSPC,12.0,0.199600798,50.0,50.0,6.489810382
61,DSPC,4.0,0.199600798,80.0,50.0,2.5
62,DSPC,8.0,0.199600798,80.0,50.0,2.684192159
63,DSPC,12.0,0.199600798,80.0,50.0,2.553515516
64,DSPC,4.0,0.199600798,20.0,1.960784314,3.663516767
65,DSPC,8.0,0.199600798,20.0,1.960784314,2.824275127
66,DSPC,12.0,0.199600798,20.0,1.960784314,2.975000357
67,DSPC,4.0,0.199600798,50.0,1.960784314,4.147632297
68,DSPC,8.0,0.199600798,50.0,1.960784314,3.181473768
69,DSPC,12.0,0.199600798,50.0,1.960784314,2.538486905
70,DSPC,4.0,0.199600798,80.0,1.960784314,2.5
71,DSPC,8.0,0.199600798,80.0,1.960784314,2.5
72,DSPC,12.0,0.199600798,80.0,1.960784314,2.5
73,DSPC,4.0,0.199600798,20.0,0.497512438,4.41581434
74,DSPC,8.0,0.199600798,20.0,0.497512438,3.620134414
75,DSPC,12.0,0.199600798,20.0,0.497512438,3.093128937
76,DSPC,4.0,0.199600798,50.0,0.497512438,4.147006219
77,DSPC,8.0,0.199600798,50.0,0.497512438,3.051037313
78,DSPC,12.0,0.199600798,50.0,0.497512438,2.5
79,DSPC,4.0,0.199600798,80.0,0.497512438,2.5
80,DSPC,8.0,0.199600798,80.0,0.497512438,2.5
81,DSPC,12.0,0.199600798,80.0,0.497512438,2.5
82,DSPC,5.86614637,7.071970747,32.36709623,0.897891744,5.507598196
83,DSPC,6.862288098,2.786120272,31.06281228,0.497512438,4.627059117
84,DSPC,4.804562401,5.748717744,20.0,0.497512438,5.39241527
85,DSPC,4.531023632,2.520528877,33.94532913,0.497512438,5.778692401
