Formula_label,Opt_Method,Iter,Cell_Target,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,RLU_HB,RLU_NORM_HB,RAMOS_unblank,LnRLU_RAMOS
68,Grid-Search,0,,SM-102,DSPC,7.0,50.0,10.0,1.0,5.561962861,6.806481336,6.806481336,1.806481336
69,Grid-Search,0,,SM-102,DSPC,4.0,50.0,10.0,1.0,5.639303211,6.883821686,6.883821686,1.883821686
70,Grid-Search,0,,SM-102,DSPC,10.0,50.0,10.0,0.2,5.692833868,6.937352343,6.937352343,1.937352343
71,Grid-Search,0,,SM-102,DSPC,7.0,50.0,10.0,0.2,5.791080847,7.035599322,7.035599322,2.035599322
72,Grid-Search,0,,SM-102,DSPC,4.0,50.0,10.0,0.2,5.788327851,7.032846325,7.032846325,2.032846325
73,Grid-Search,0,,SM-102,DSPC,10.0,20.0,10.0,5.0,6.394426525,7.638945,7.638945,2.638945
74,Grid-Search,0,,SM-102,DSPC,7.0,20.0,10.0,5.0,6.50204014,7.746558614,7.746558614,2.746558614
75,Grid-Search,0,,SM-102,DSPC,4.0,20.0,10.0,5.0,6.397984654,7.642503129,7.642503129,2.642503129
76,Grid-Search,0,,SM-102,DSPC,10.0,20.0,10.0,1.0,7.375673402,8.620191877,8.620191877,3.620191877
77,Grid-Search,0,,SM-102,DSPC,7.0,20.0,10.0,1.0,7.173191742,8.417710217,8.417710217,3.417710217
78,Grid-Search,0,,SM-102,DSPC,4.0,20.0,10.0,1.0,7.088631347,8.333149822,8.333149822,3.333149822
79,Grid-Search,0,,SM-102,DSPC,10.0,20.0,10.0,0.2,5.165357239,6.409875714,6.409875714,1.409875714
80,Grid-Search,0,,SM-102,DSPC,7.0,20.0,10.0,0.2,5.217649463,6.462167938,6.462167938,1.462167938
81,Grid-Search,0,,SM-102,DSPC,4.0,20.0,10.0,0.2,5.257668968,6.502187443,6.502187443,1.502187443
82,Grid-Search,0,,SM-102,DSPC,10.0,80.0,1.0,5.0,5.237682328,6.482200803,6.482200803,1.482200803
83,Grid-Search,0,,SM-102,DSPC,7.0,80.0,1.0,5.0,5.260788555,6.505307029,6.505307029,1.505307029
84,Grid-Search,0,,SM-102,DSPC,4.0,80.0,1.0,5.0,5.302973178,6.547491653,6.547491653,1.547491653
85,Grid-Search,0,,SM-102,DSPC,10.0,80.0,1.0,1.0,5.014627315,6.25914579,6.25914579,1.25914579
86,Grid-Search,0,,SM-102,DSPC,7.0,80.0,1.0,1.0,5.025370638,6.269889113,6.269889113,1.269889113
87,Grid-Search,0,,SM-102,DSPC,4.0,80.0,1.0,1.0,5.048573133,6.293091608,6.293091608,1.293091608
88,Grid-Search,0,,SM-102,DSPC,10.0,80.0,1.0,0.2,5.720530332,6.965048807,6.965048807,1.965048807
89,Grid-Search,0,,SM-102,DSPC,7.0,80.0,1.0,0.2,5.093545681,6.338064156,6.338064156,1.338064156
90,Grid-Search,0,,SM-102,DSPC,4.0,80.0,1.0,0.2,5.144971918,6.389490393,6.389490393,1.389490393
91,Grid-Search,0,,SM-102,DSPC,10.0,50.0,1.0,5.0,7.613703509,8.858221984,9.053821844,4.053821844
92,Grid-Search,0,,SM-102,DSPC,7.0,50.0,1.0,5.0,7.582008419,8.826526894,9.56431589,4.56431589
93,Grid-Search,0,,SM-102,DSPC,4.0,50.0,1.0,5.0,6.597327586,7.841846061,7.841846061,2.841846061
94,Grid-Search,0,,SM-102,DSPC,10.0,50.0,1.0,1.0,6.285439279,7.529957754,7.529957754,2.529957754
95,Grid-Search,0,,SM-102,DSPC,7.0,50.0,1.0,1.0,6.514416351,7.758934825,7.758934825,2.758934825
96,Grid-Search,0,,SM-102,DSPC,4.0,50.0,1.0,1.0,6.340476875,7.58499535,7.58499535,2.58499535
97,Grid-Search,0,,SM-102,DSPC,10.0,50.0,1.0,0.2,5.469746482,6.714264957,6.714264957,1.714264957
98,Grid-Search,0,,SM-102,DSPC,7.0,50.0,1.0,0.2,5.786795127,7.031313601,7.031313601,2.031313601
99,Grid-Search,0,,SM-102,DSPC,4.0,50.0,1.0,0.2,6.14946495,7.393983425,7.393983425,2.393983425
100,Grid-Search,0,,SM-102,DSPC,10.0,20.0,1.0,5.0,6.525615996,7.770134471,7.770134471,2.770134471
101,Grid-Search,0,,SM-102,DSPC,7.0,20.0,1.0,5.0,6.656897889,7.901416364,7.901416364,2.901416364
102,Grid-Search,0,,SM-102,DSPC,4.0,20.0,1.0,5.0,5.965633787,7.210152262,7.210152262,2.210152262
103,Grid-Search,0,,SM-102,DSPC,10.0,20.0,1.0,1.0,6.115376908,7.359895383,7.359895383,2.359895383
104,Grid-Search,0,,SM-102,DSPC,7.0,20.0,1.0,1.0,6.284258531,7.528777006,7.528777006,2.528777006
105,Grid-Search,0,,SM-102,DSPC,4.0,20.0,1.0,1.0,6.247913917,7.492432392,7.492432392,2.492432392
106,Grid-Search,0,,SM-102,DSPC,10.0,20.0,1.0,0.2,5.455890754,6.700409228,6.700409228,1.700409228
107,Grid-Search,0,,SM-102,DSPC,7.0,20.0,1.0,0.2,5.326742841,6.571261316,6.571261316,1.571261316
108,Grid-Search,0,,SM-102,DSPC,4.0,20.0,1.0,0.2,5.234489704,6.479008179,6.479008179,1.479008179
109,Grid-Search,0,,SM-102,DSPC,6.590426058,73.56337875,25.39399436,3.960262704,7.557298822,9.223614288,9.223614288,4.223614288
110,Grid-Search,0,,SM-102,DSPC,6.858764172,61.20785132,28.85595517,4.903677225,9.003152187,10.66946765,10.66946765,5.669467653
111,Grid-Search,0,,SM-102,DSPC,6.592133619,65.05110938,23.27285161,3.765907478,8.369234413,10.03554988,10.03554988,5.035549879
112,Grid-Search,0,,SM-102,DSPC,6.841976404,62.06232846,25.13830369,4.525252008,8.57998018,10.24629565,10.24629565,5.246295645
113,Grid-Search,0,,SM-102,DSPC,6.406520978,67.85655003,22.05446754,3.810142612,8.194551537,9.860867002,9.860867002,4.860867002
114,Grid-Search,0,,SM-102,DSPC,6.927086229,71.01568386,19.05493098,4.443747044,8.004755157,9.671070623,9.671070623,4.671070623
115,Grid-Search,0,,SM-102,DSPC,6.631447539,72.78344333,24.10730786,4.662748981,7.512890582,9.179206048,9.179206048,4.179206048
116,Grid-Search,0,,SM-102,DSPC,6.257630672,63.34984533,28.91382197,4.274929845,8.551852234,10.2181677,10.2181677,5.2181677
117,Grid-Search,0,,SM-102,DSPC,6.086399376,61.27010584,29.77992564,4.281802344,8.502282579,10.16859804,10.16859804,5.168598045
118,Grid-Search,0,,SM-102,DSPC,6.547343345,66.21537127,25.11733166,4.875042963,10.05082939,8.17219838,8.17219838,3.17219838
119,Grid-Search,0,,SM-102,DSPC,6.236377653,68.74565974,19.84424851,4.146977174,9.609865652,7.731234642,7.731234642,2.731234642
120,Grid-Search,0,,SM-102,DSPC,6.168560445,67.58308798,17.20878256,4.412485361,10.77906045,8.900429441,8.900429441,3.900429441
121,Grid-Search,0,,SM-102,DSPC,6.62815848,63.4013328,22.57070976,4.844201064,10.80208942,8.923458411,8.923458411,3.923458411
122,Grid-Search,0,,SM-102,DSPC,6.667564198,65.27160842,29.44132268,4.669384408,10.12989245,8.251261436,8.251261436,3.251261436
123,Grid-Search,0,,SM-102,DSPC,6.163562923,70.22302147,19.54212379,4.859822392,9.821463717,7.942832707,7.942832707,2.942832707
124,Grid-Search,0,,SM-102,DSPC,6.288518041,69.24869673,18.64168955,4.288398192,10.33727013,8.458639122,8.458639122,3.458639122
125,Grid-Search,0,,SM-102,DSPC,6.062129377,71.09381012,23.80620904,3.788995683,10.01249142,8.133860413,8.133860413,3.133860413
126,Grid-Search,0,,SM-102,DSPC,6.329817556,72.06880249,29.04594126,4.07190969,10.19789695,8.319265936,8.319265936,3.319265936
