Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_RAMOS
1,CONTROL,0,SM-102,DSPC,6,60,16.66667,3.75,3.751797919
2,N/A,0,SM-102,DSPC,10,80,50,5,0.636278186
3,N/A,0,SM-102,DSPC,7,80,50,5,0.654339555
4,N/A,0,SM-102,DSPC,4,80,50,5,0.559526938
5,N/A,0,SM-102,DSPC,10,80,50,1,0.693298294
6,N/A,0,SM-102,DSPC,7,80,50,1,0.502543562
7,N/A,0,SM-102,DSPC,4,80,50,1,0.581553842
8,N/A,0,SM-102,DSPC,10,80,50,0.2,0.518872924
9,N/A,0,SM-102,DSPC,7,80,50,0.2,0.465799454
10,N/A,0,SM-102,DSPC,4,80,50,0.2,0.519472624
11,N/A,0,SM-102,DSPC,10,50,50,5,1.737140194
12,N/A,0,SM-102,DSPC,7,50,50,5,2.160326321
13,N/A,0,SM-102,DSPC,4,50,50,5,0.868484388
14,N/A,0,SM-102,DSPC,10,50,50,1,0.382165699
15,N/A,0,SM-102,DSPC,7,50,50,1,0.324845447
16,N/A,0,SM-102,DSPC,4,50,50,1,0.206698179
17,N/A,0,SM-102,DSPC,10,50,50,0.2,0.313000873
18,N/A,0,SM-102,DSPC,7,50,50,0.2,0.116103639
19,N/A,0,SM-102,DSPC,4,50,50,0.2,0.422051905
20,N/A,0,SM-102,DSPC,10,20,50,5,0.841191131
21,N/A,0,SM-102,DSPC,7,20,50,5,0.734187468
22,N/A,0,SM-102,DSPC,4,20,50,5,0.565079317
23,N/A,0,SM-102,DSPC,10,20,50,1,0.230724169
24,N/A,0,SM-102,DSPC,7,20,50,1,0.323509279
25,N/A,0,SM-102,DSPC,4,20,50,1,0.621861102
26,N/A,0,SM-102,DSPC,10,20,50,0.2,0.124147776
27,N/A,0,SM-102,DSPC,7,20,50,0.2,0.191834156
28,N/A,0,SM-102,DSPC,4,20,50,0.2,0.193496667
29,N/A,0,SM-102,DSPC,10,80,30,5,0.252882818
30,N/A,0,SM-102,DSPC,7,80,30,5,0.491610024
31,N/A,0,SM-102,DSPC,4,80,30,5,0.249092707
32,N/A,0,SM-102,DSPC,10,80,30,1,0.716457661
33,N/A,0,SM-102,DSPC,7,80,30,1,0.590156045
34,N/A,0,SM-102,DSPC,4,80,30,1,0.204373073
35,N/A,0,SM-102,DSPC,10,80,30,0.2,0.407406131
36,N/A,0,SM-102,DSPC,7,80,30,0.2,0.588199006
37,N/A,0,SM-102,DSPC,4,80,30,0.2,0.062808878
38,N/A,0,SM-102,DSPC,10,50,30,5,1.621874685
39,N/A,0,SM-102,DSPC,7,50,30,5,1.632075318
40,N/A,0,SM-102,DSPC,4,50,30,5,-0.087929635
41,N/A,0,SM-102,DSPC,10,50,30,1,0.632447958
42,N/A,0,SM-102,DSPC,7,50,30,1,0.271748864
43,N/A,0,SM-102,DSPC,4,50,30,1,0.192942804
44,N/A,0,SM-102,DSPC,10,50,30,0.2,0.216621457
45,N/A,0,SM-102,DSPC,7,50,30,0.2,0.199018492
46,N/A,0,SM-102,DSPC,4,50,30,0.2,0.105427648
47,N/A,0,SM-102,DSPC,10,20,30,5,2.065384026
48,N/A,0,SM-102,DSPC,7,20,30,5,1.355747293
49,N/A,0,SM-102,DSPC,4,20,30,5,1.090047892
50,N/A,0,SM-102,DSPC,10,20,30,1,1.264080451
51,N/A,0,SM-102,DSPC,7,20,30,1,0.999863762
52,N/A,0,SM-102,DSPC,4,20,30,1,0.61234542
53,N/A,0,SM-102,DSPC,10,20,30,0.2,-0.167498623
54,N/A,0,SM-102,DSPC,7,20,30,0.2,0.013995051
55,N/A,0,SM-102,DSPC,4,20,30,0.2,-0.1667045
56,N/A,0,SM-102,DSPC,10,80,10,5,0.382051066
57,N/A,0,SM-102,DSPC,7,80,10,5,0.125334015
58,N/A,0,SM-102,DSPC,4,80,10,5,0.133010463
59,N/A,0,SM-102,DSPC,10,80,10,1,0.186411828
60,N/A,0,SM-102,DSPC,7,80,10,1,-0.036452939
61,N/A,0,SM-102,DSPC,4,80,10,1,0.024376622
62,N/A,0,SM-102,DSPC,10,80,10,0.2,-0.268015981
63,N/A,0,SM-102,DSPC,7,80,10,0.2,-0.044147975
64,N/A,0,SM-102,DSPC,4,80,10,0.2,-0.197538176
65,N/A,0,SM-102,DSPC,10,50,10,5,1.035321581
66,N/A,0,SM-102,DSPC,7,50,10,5,0.915971462
67,N/A,0,SM-102,DSPC,4,50,10,5,0.392088792
68,N/A,0,SM-102,DSPC,10,50,10,1,0.106787268
69,N/A,0,SM-102,DSPC,7,50,10,1,0.271492815
70,N/A,0,SM-102,DSPC,4,50,10,1,0.348833164
71,N/A,0,SM-102,DSPC,10,50,10,0.2,0.402363821
72,N/A,0,SM-102,DSPC,7,50,10,0.2,0.500610801
73,N/A,0,SM-102,DSPC,4,50,10,0.2,0.497857804
74,N/A,0,SM-102,DSPC,10,20,10,5,1.103956478
75,N/A,0,SM-102,DSPC,7,20,10,5,1.211570093
76,N/A,0,SM-102,DSPC,4,20,10,5,1.107514607
77,N/A,0,SM-102,DSPC,10,20,10,1,2.085203355
78,N/A,0,SM-102,DSPC,7,20,10,1,1.882721696
79,N/A,0,SM-102,DSPC,4,20,10,1,1.798161301
80,N/A,0,SM-102,DSPC,10,20,10,0.2,-0.125112807
81,N/A,0,SM-102,DSPC,7,20,10,0.2,-0.072820583
82,N/A,0,SM-102,DSPC,4,20,10,0.2,-0.032801079
83,N/A,0,SM-102,DSPC,10,80,1,5,-0.052787719
84,N/A,0,SM-102,DSPC,7,80,1,5,-0.029681492
85,N/A,0,SM-102,DSPC,4,80,1,5,0.012503131
86,N/A,0,SM-102,DSPC,10,80,1,1,-0.275842731
87,N/A,0,SM-102,DSPC,7,80,1,1,-0.265099408
88,N/A,0,SM-102,DSPC,4,80,1,1,-0.241896913
89,N/A,0,SM-102,DSPC,10,80,1,0.2,0.430060285
90,N/A,0,SM-102,DSPC,7,80,1,0.2,-0.196924366
91,N/A,0,SM-102,DSPC,4,80,1,0.2,-0.145498129
92,N/A,0,SM-102,DSPC,10,50,1,5,2.518833323
93,N/A,0,SM-102,DSPC,7,50,1,5,3.029327368
94,N/A,0,SM-102,DSPC,4,50,1,5,1.30685754
95,N/A,0,SM-102,DSPC,10,50,1,1,0.994969233
96,N/A,0,SM-102,DSPC,7,50,1,1,1.223946304
97,N/A,0,SM-102,DSPC,4,50,1,1,1.050006828
98,N/A,0,SM-102,DSPC,10,50,1,0.2,0.179276436
99,N/A,0,SM-102,DSPC,7,50,1,0.2,0.49632508
100,N/A,0,SM-102,DSPC,4,50,1,0.2,0.858994903
101,N/A,0,SM-102,DSPC,10,20,1,5,1.23514595
102,N/A,0,SM-102,DSPC,7,20,1,5,1.366427843
103,N/A,0,SM-102,DSPC,4,20,1,5,0.67516374
104,N/A,0,SM-102,DSPC,10,20,1,1,0.824906862
105,N/A,0,SM-102,DSPC,7,20,1,1,0.993788485
106,N/A,0,SM-102,DSPC,4,20,1,1,0.957443871
107,N/A,0,SM-102,DSPC,10,20,1,0.2,0.165420707
108,N/A,0,SM-102,DSPC,7,20,1,0.2,0.036272794
109,N/A,0,SM-102,DSPC,4,20,1,0.2,-0.055980343
110,SA,0,SM-102,DSPC,6.590426058,73.56337875,25.39399436,3.960262704,2.688625767
111,SA,0,SM-102,DSPC,6.858764172,61.20785132,28.85595517,4.903677225,4.134479132
112,SA,0,SM-102,DSPC,6.592133619,65.05110938,23.27285161,3.765907478,3.500561358
113,SA,0,SM-102,DSPC,6.841976404,62.06232846,25.13830369,4.525252008,3.711307124
114,SA,0,SM-102,DSPC,6.406520978,67.85655003,22.05446754,3.810142612,3.325878481
115,SA,0,SM-102,DSPC,6.927086229,71.01568386,19.05493098,4.443747044,3.136082102
116,SA,0,SM-102,DSPC,6.631447539,72.78344333,24.10730786,4.662748981,2.644217527
117,SA,0,SM-102,DSPC,6.257630672,63.34984533,28.91382197,4.274929845,3.683179178
118,SA,0,SM-102,DSPC,6.086399376,61.27010584,29.77992564,4.281802344,3.633609523
119,SA,0,SM-102,DSPC,6.547343345,66.21537127,25.11733166,4.875042963,1.637209859
120,SA,0,SM-102,DSPC,6.236377653,68.74565974,19.84424851,4.146977174,1.19624612
121,SA,0,SM-102,DSPC,6.168560445,67.58308798,17.20878256,4.412485361,2.365440919
122,SA,0,SM-102,DSPC,6.62815848,63.4013328,22.57070976,4.844201064,2.38846989
123,SA,0,SM-102,DSPC,6.667564198,65.27160842,29.44132268,4.669384408,1.716272915
124,SA,0,SM-102,DSPC,6.163562923,70.22302147,19.54212379,4.859822392,1.407844185
125,SA,0,SM-102,DSPC,6.288518041,69.24869673,18.64168955,4.288398192,1.9236506
126,SA,0,SM-102,DSPC,6.062129377,71.09381012,23.80620904,3.788995683,1.598871891
127,SA,0,SM-102,DSPC,6.329817556,72.06880249,29.04594126,4.07190969,1.784277414
128,SA,0,SM-102,DSPC,6.002865642,62.11306344,17.04948642,4.925478792,3.919835688
129,SA,0,SM-102,DSPC,6.059814738,64.16091442,16.82629003,4.993490674,2.717238967
130,SA,0,SM-102,DSPC,6.022781134,63.63116838,17.20803111,4.928453438,2.380454984
131,SA,0,SM-102,DSPC,6.004616328,60.88778643,16.95584753,4.924662144,2.928059003
132,SA,0,SM-102,DSPC,6.007446006,63.17687616,16.79386882,4.9366875,2.477254113
133,SA,0,SM-102,DSPC,6.040590018,64.73296911,17.16032936,4.956588054,2.152775548
134,SA,0,SM-102,DSPC,6.009975856,61.55935296,16.67410453,4.980542981,3.069807582
135,SA,0,SM-102,DSPC,6.021719694,61.50862002,17.18468345,4.947013447,3.022752493
136,SA,0,SM-102,DSPC,6.024333999,60.20415395,17.08617871,4.907686202,3.172768158
137,i-optimal,1,SM-102,DSPC,4.727,36.977,25.351,8.888,7.558527772
138,i-optimal,1,SM-102,DSPC,4.626,29.87,25.169,14.904,4.236856792
139,i-optimal,1,SM-102,DSPC,4.706,32.901,23.878,8.364,6.599585191
140,i-optimal,1,SM-102,DSPC,5.123,36.625,23.948,11.268,4.406362174
141,i-optimal,1,SM-102,DSPC,3.815,31.652,24.166,11.452,3.605974048
142,i-optimal,1,SM-102,DSPC,4.16,20.261,24.89,7.459,2.077516469
143,i-optimal,1,SM-102,DSPC,3.958,27.439,25.054,9.075,4.860471193
144,i-optimal,1,SM-102,DSPC,4.873,24.025,23.443,6.084,3.433445913
145,i-optimal,1,SM-102,DSPC,5.005,37.575,23.297,9.409,7.106721984
146,i-optimal,1,SM-102,DSPC,4.885,21.992,23.376,11.829,4.11236273
147,NSGAII,1,SM-102,DSPC,4.165,33.14,28.162,3.879,7.599580053
148,NSGAII,1,SM-102,DSPC,4.178,26.002,14.174,3.955,7.646217159
149,NSGAII,1,SM-102,DSPC,4.189,37.733,15.782,3.926,7.613034651
150,NSGAII,1,SM-102,DSPC,4.122,35.241,13.81,1.395,4.930603529
151,NSGAII,1,SM-102,DSPC,4.177,25.186,27.279,3.879,5.074962272
152,NSGAII,1,SM-102,DSPC,4.159,37.597,23.324,3.987,6.81817798
153,NSGAII,1,SM-102,DSPC,4.12,28.076,13.778,1.39,3.188455888
154,NSGAII,1,SM-102,DSPC,4.189,31.605,16.117,3.795,5.07931078
155,NSGAII,1,SM-102,DSPC,4.167,37.898,28.112,3.827,5.725042181
156,NSGAII,1,SM-102,DSPC,4.157,29.263,27.647,3.938,5.789284449
157,N/A,1,SM-102,DSPC,6,60,16.66667,3.75,4.185923274
158,N/A,1,SM-102,DSPC,6.858764172,61.20785132,28.85595517,4.903677225,3.868305367
159,N/A,1,SM-102,DSPC,6.002865642,62.11306344,17.04948642,4.925478792,4.838106459
160,N/A,1,SM-102,DSPC,6,60,16.66667,3.75,2.444881394
161,i-optimal,2,SM-102,DSPC,4.496,78.795,24.888,6.896,4.05200236
162,i-optimal,2,SM-102,DSPC,3.806,63.661,36.577,4.94,3.580843083
