Formula_label,Iter,Cell_Target,NP_ratio,HL_IL+HL,IL+HL,PEG_PEG+Chol,Opt_Method
123,5,RAMOS,7.516144276,64.60556709,53.42556804,5.198099116,DA
124,5,RAMOS,5.99849771,68.29431281,62.78230555,6.673351783,DA
125,5,RAMOS,6.400298476,51.43315521,65.00914723,3.601475519,DA
126,5,RAMOS,5.580599785,74.43033447,66.8009308,8.526558754,DA
127,5,RAMOS,6.759463429,50.97101795,54.11584526,2.026533316,DA
128,5,RAMOS,4.82907638,73.76053805,59.3888516,6.626226422,DA
129,5,RAMOS,6.331223488,79.14556348,52.65980944,3.720655647,DA
130,5,RAMOS,4.950589418,99.91004244,72.94915736,6.135094188,DA
131,5,RAMOS,5.113616407,51.47791806,56.54241607,8.126335791,DA
132,1,THP1,14.91698122,72.6343072,52.93962246,0.263109874,DA
133,1,THP1,19.86358619,84.69174298,74.97757748,0.454164814,DA
134,1,THP1,21.58572134,63.69259873,72.12714557,0.902627403,DA
135,1,THP1,17.46852016,66.61711123,56.30596548,0.957693651,DA
136,1,THP1,17.85374796,50.53578664,79.47394729,0.964319711,DA
137,1,THP1,18.16961561,65.57520269,59.07190993,0.94327494,DA
138,1,THP1,24.08231935,99.11107419,66.29738674,0.979751484,DA
139,1,THP1,19.10780251,99.93989234,50.17085135,0.252913513,DA
140,1,THP1,21.38605356,89.46754201,62.7871865,0.674102884,DA
141,1,THP1,17.31580089,79.37577201,73.63476641,0.902777432,DA
142,2,THP1,18.01688957,83.79098328,67.13362798,0.821141591,DA
143,2,THP1,26.34242766,95.60854863,67.07610885,0.625329172,DA
144,2,THP1,13.71065038,84.12371851,51.45942345,0.716041296,DA
145,2,THP1,16.73907506,88.36603548,50.99206865,0.47698384,DA
146,2,THP1,14.53428364,99.9896472,65.4115966,0.807165135,DA
147,2,THP1,20.46569082,55.04286342,74.61397365,0.39167022,DA
148,2,THP1,16.6766915,70.63788994,54.80639696,0.282599539,DA
149,2,THP1,27.0416384,66.06206469,71.60469919,0.337890607,DA
150,2,THP1,18.83287704,92.42930842,78.74188617,0.47147613,DA
151,2,THP1,26.93021249,65.88041852,59.51709776,0.446012194,DA
152,3,THP1,17.17021428,85.03538585,72.74627373,0.926192617,DA
153,3,THP1,27.30067342,99.69525266,70.91770411,0.961853862,DA
154,3,THP1,15.40904427,81.77135271,78.77508834,0.705850201,DA
155,3,THP1,26.00962138,56.82551572,51.15245759,0.320238623,DA
156,3,THP1,14.75815195,98.24555444,58.95362671,0.893760074,DA
157,3,THP1,12.82927489,68.53240326,50.26633441,0.618462073,DA
158,3,THP1,21.74351934,66.67754018,66.13564864,0.455562194,DA
159,3,THP1,22.70762205,78.5526625,76.20153069,0.551335302,DA
160,3,THP1,12.1735,78.27373881,75.45406207,0.469859676,DA
161,3,THP1,16.74145631,71.50841933,56.06151029,0.696318149,DA
162,4,THP1,19.11933112,51.85583512,52.41343737,0.922344372,DA
163,4,THP1,14.49256563,61.58202516,51.27959967,0.701508345,DA
164,4,THP1,14.15721017,80.23248014,76.65019989,0.362544829,DA
165,4,THP1,12.6675401,54.28210017,55.68673082,0.504734207,DA
166,4,THP1,22.69972433,84.82180023,65.28454974,0.367974535,DA
167,4,THP1,23.21015871,57.03739674,63.51349117,0.440557477,DA
168,4,THP1,16.31707757,91.70243607,65.43265931,0.967015307,DA
169,4,THP1,18.74695462,74.61215832,55.4008165,0.97440432,DA
170,4,THP1,19.85187286,98.26473661,57.79413015,0.979736744,DA
171,4,THP1,27.32476538,84.53383302,53.8082853,0.767966137,DA
172,5,THP1,19.19031975,65.06385052,57.48752773,0.414224083,DA
173,5,THP1,23.59147218,57.79138833,62.75297672,0.69728149,DA
174,5,THP1,12.36206627,70.86710966,56.10699296,0.322988238,DA
175,5,THP1,26.73010394,58.49887072,56.12102348,0.260948419,DA
176,5,THP1,26.29864514,97.9578289,50.27642131,0.916956699,DA
177,5,THP1,15.94138634,64.78539745,55.11510961,0.954808663,DA
178,5,THP1,14.71801841,69.92877011,79.15977341,0.988347322,DA
179,5,THP1,26.99063492,97.62668883,76.97182469,0.888242397,DA
180,5,THP1,17.48852775,83.92728672,63.9752797,0.775480618,DA
181,5,THP1,19.66706238,67.96294979,72.57500758,0.721858818,DA
