Formula_label,Lipid_Formula_label,Opt_Method,Ionizable_Lipid,Helper_lipid,SORT_lipid,Iter,IL_NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),SORT_of_total,on_target,NORM_RLU_HEPG2
1,0,CONTROL,SM-102,DSPC,18PG,0,4.9999998,60,16.66667,3.75,0,5.326786441,
2,1,N/A,SM-102,DSPC,18PG,0,5,80,50,5,0,2.211266707,
3,2,N/A,SM-102,DSPC,18PG,0,3.5,80,50,5,0,2.229328077,
4,3,N/A,SM-102,DSPC,18PG,0,2,80,50,5,0,2.134515459,
5,4,N/A,SM-102,DSPC,18PG,0,5,80,50,1,0,2.268286815,
6,5,N/A,SM-102,DSPC,18PG,0,3.5,80,50,1,0,2.077532083,
7,6,N/A,SM-102,DSPC,18PG,0,2,80,50,1,0,2.156542363,
8,7,N/A,SM-102,DSPC,18PG,0,5,80,50,0.2,0,2.093861445,
9,8,N/A,SM-102,DSPC,18PG,0,3.5,80,50,0.2,0,2.040787976,
10,9,N/A,SM-102,DSPC,18PG,0,2,80,50,0.2,0,2.094461145,
11,10,N/A,SM-102,DSPC,18PG,0,5,50,50,5,0,3.312128716,
12,11,N/A,SM-102,DSPC,18PG,0,3.5,50,50,5,0,3.735314842,
13,12,N/A,SM-102,DSPC,18PG,0,2,50,50,5,0,2.443472909,
14,13,N/A,SM-102,DSPC,18PG,0,5,50,50,1,0,1.95715422,
15,14,N/A,SM-102,DSPC,18PG,0,3.5,50,50,1,0,1.899833968,
16,15,N/A,SM-102,DSPC,18PG,0,2,50,50,1,0,1.7816867,
17,16,N/A,SM-102,DSPC,18PG,0,5,50,50,0.2,0,1.887989395,
18,17,N/A,SM-102,DSPC,18PG,0,3.5,50,50,0.2,0,1.69109216,
19,18,N/A,SM-102,DSPC,18PG,0,2,50,50,0.2,0,1.997040427,
20,19,N/A,SM-102,DSPC,18PG,0,5,20,50,5,0,2.416179652,
21,20,N/A,SM-102,DSPC,18PG,0,3.5,20,50,5,0,2.309175989,
22,21,N/A,SM-102,DSPC,18PG,0,2,20,50,5,0,2.140067838,
23,22,N/A,SM-102,DSPC,18PG,0,5,20,50,1,0,1.80571269,
24,23,N/A,SM-102,DSPC,18PG,0,3.5,20,50,1,0,1.8984978,
25,24,N/A,SM-102,DSPC,18PG,0,2,20,50,1,0,2.196849623,
26,25,N/A,SM-102,DSPC,18PG,0,5,20,50,0.2,0,1.699136297,
27,26,N/A,SM-102,DSPC,18PG,0,3.5,20,50,0.2,0,1.766822677,
28,27,N/A,SM-102,DSPC,18PG,0,2,20,50,0.2,0,1.768485188,
29,28,N/A,SM-102,DSPC,18PG,0,7,80,30,5,0,1.827871339,
30,29,N/A,SM-102,DSPC,18PG,0,4.9,80,30,5,0,2.066598546,
31,30,N/A,SM-102,DSPC,18PG,0,2.8,80,30,5,0,1.824081228,
32,31,N/A,SM-102,DSPC,18PG,0,7,80,30,1,0,2.291446182,
33,32,N/A,SM-102,DSPC,18PG,0,4.9,80,30,1,0,2.165144567,
34,33,N/A,SM-102,DSPC,18PG,0,2.8,80,30,1,0,1.779361595,
35,34,N/A,SM-102,DSPC,18PG,0,7,80,30,0.2,0,1.982394653,
36,35,N/A,SM-102,DSPC,18PG,0,4.9,80,30,0.2,0,2.163187528,
37,36,N/A,SM-102,DSPC,18PG,0,2.8,80,30,0.2,0,1.637797399,
38,37,N/A,SM-102,DSPC,18PG,0,7,50,30,5,0,3.196863206,
39,38,N/A,SM-102,DSPC,18PG,0,4.9,50,30,5,0,3.207063839,
40,39,N/A,SM-102,DSPC,18PG,0,2.8,50,30,5,0,1.487058886,
41,40,N/A,SM-102,DSPC,18PG,0,7,50,30,1,0,2.207436479,
42,41,N/A,SM-102,DSPC,18PG,0,4.9,50,30,1,0,1.846737385,
43,42,N/A,SM-102,DSPC,18PG,0,2.8,50,30,1,0,1.767931325,
44,43,N/A,SM-102,DSPC,18PG,0,7,50,30,0.2,0,1.791609979,
45,44,N/A,SM-102,DSPC,18PG,0,4.9,50,30,0.2,0,1.774007013,
46,45,N/A,SM-102,DSPC,18PG,0,2.8,50,30,0.2,0,1.68041617,
47,46,N/A,SM-102,DSPC,18PG,0,7,20,30,5,0,3.640372548,
48,47,N/A,SM-102,DSPC,18PG,0,4.9,20,30,5,0,2.930735814,
49,48,N/A,SM-102,DSPC,18PG,0,2.8,20,30,5,0,2.665036414,
50,49,N/A,SM-102,DSPC,18PG,0,7,20,30,1,0,2.839068972,
51,50,N/A,SM-102,DSPC,18PG,0,4.9,20,30,1,0,2.574852284,
52,51,N/A,SM-102,DSPC,18PG,0,2.8,20,30,1,0,2.187333941,
53,52,N/A,SM-102,DSPC,18PG,0,7,20,30,0.2,0,1.407489898,
54,53,N/A,SM-102,DSPC,18PG,0,4.9,20,30,0.2,0,1.588983572,
55,54,N/A,SM-102,DSPC,18PG,0,2.8,20,30,0.2,0,1.408284022,
56,55,N/A,SM-102,DSPC,18PG,0,9,80,10,5,0,1.957039588,
