Formula_label,Iter,Opt_Method,Cell_Target,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,RLU_INS,RLU_RAW,RLU_HEPG2,RLU_KELLY,selectivity,weighted_selectivity,NORM_RLU_INS,NORM_RLU_HEPG2,on_target,off_target,LnRLU_HEPG2
27,0,N/A,N/A,SM-102,DSPC,4,20,50,0.2,9.154686463,8.005164929,14.44111655,11.89514426,0.384474378,3.444385781,8.958687442,14.34244251,8.958687442,14.34244251,9.342442508
28,0,N/A,N/A,SM-102,DSPC,10,80,30,5,7.695030488,8.035421669,11.46941544,12.26467175,0.397409737,2.980188121,7.499031467,11.3707414,7.499031467,11.3707414,6.370741398
29,0,N/A,N/A,SM-102,DSPC,7,80,30,5,8.29838202,7.54251034,11.40416415,12.00387955,0.417479183,3.382576231,8.102382999,11.30549011,8.102382999,11.30549011,6.305490108
30,0,N/A,N/A,SM-102,DSPC,4,80,30,5,7.566712912,7.589348036,11.6357208,12.34948896,0.389824794,2.87328702,7.370713891,11.53704676,7.370713891,11.53704676,6.537046758
31,0,N/A,N/A,SM-102,DSPC,10,80,30,1,7.494232349,7.816645169,12.01355765,13.36606127,0.379856811,2.772283637,7.298233328,11.91488361,7.298233328,11.91488361,6.914883608
32,0,N/A,N/A,SM-102,DSPC,7,80,30,1,8.136785215,7.876162603,11.99599651,13.23706264,0.400279398,3.178533118,7.940786194,11.89732247,7.940786194,11.89732247,6.897322468
33,0,N/A,N/A,SM-102,DSPC,4,80,30,1,7.632492513,7.47723526,11.40698533,12.48805365,0.39672291,2.950227335,7.436493492,11.30831129,7.436493492,11.30831129,6.308311288
34,0,N/A,N/A,SM-102,DSPC,10,80,30,0.2,7.564817294,8.326790362,10.65239822,12.49590329,0.411148044,3.02967522,7.368818273,10.55372418,7.368818273,10.55372418,5.553724178
35,0,N/A,N/A,SM-102,DSPC,7,80,30,0.2,7.927199273,8.234888317,10.73960929,12.27989107,0.420811193,3.253375599,7.731200252,10.64093525,7.731200252,10.64093525,5.640935248
36,0,N/A,N/A,SM-102,DSPC,4,80,30,0.2,7.972488434,8.03601927,10.61974534,11.47997371,0.425001427,3.305019097,7.776489413,10.5210713,7.776489413,10.5210713,5.521071298
37,0,N/A,N/A,SM-102,DSPC,10,50,30,5,10.72630596,10.816408,13.58704393,13.33521532,0.438421609,4.616714111,10.53030694,13.48836989,10.53030694,13.48836989,8.488369888
38,0,N/A,N/A,SM-102,DSPC,7,50,30,5,10.59587576,9.80093594,13.88807926,13.57355205,0.42993739,4.471295856,10.39987674,13.78940522,10.39987674,13.78940522,8.789405218
39,0,N/A,N/A,SM-102,DSPC,4,50,30,5,10.51165831,9.269840017,13.66339148,13.57954394,0.431972217,4.456078218,10.31565929,13.56471744,10.31565929,13.56471744,8.564717438
40,0,N/A,N/A,SM-102,DSPC,10,50,30,1,8.821469722,10.14752217,15.82362763,14.87733231,0.354222604,3.055336693,8.625470701,15.72495359,8.625470701,15.72495359,10.72495359
41,0,N/A,N/A,SM-102,DSPC,7,50,30,1,9.075985662,9.871583394,15.8725921,14.68552535,0.36018581,3.198445183,8.879986641,15.77391806,8.879986641,15.77391806,10.77391806
42,0,N/A,N/A,SM-102,DSPC,4,50,30,1,9.894164764,8.930550695,14.9603498,14.21120603,0.394879004,3.829602026,9.698165743,14.86167576,9.698165743,14.86167576,9.861675758
43,0,N/A,N/A,SM-102,DSPC,10,50,30,0.2,8.894597094,10.14472873,11.931587,12.50737641,0.423670623,3.685340466,8.698598073,11.83291296,8.698598073,11.83291296,6.832912958
44,0,N/A,N/A,SM-102,DSPC,7,50,30,0.2,9.207627831,9.726018397,11.73403413,12.11494776,0.436462133,3.93323473,9.01162881,11.63536009,9.01162881,11.63536009,6.635360088
45,0,N/A,N/A,SM-102,DSPC,4,50,30,0.2,9.871778626,9.214168627,10.7589791,11.13605479,0.475793633,4.603674331,9.675779605,10.66030506,9.675779605,10.66030506,5.660305058
46,0,N/A,N/A,SM-102,DSPC,10,20,30,5,12.58590099,8.724589979,13.35886848,12.88023314,0.483035298,5.984759993,12.38990197,13.26019444,12.38990197,13.26019444,8.260194438
47,0,N/A,N/A,SM-102,DSPC,7,20,30,5,12.27839167,8.546264372,13.52795158,12.70815477,0.473602573,5.72225225,12.08239265,13.42927754,12.08239265,13.42927754,8.429277538
48,0,N/A,N/A,SM-102,DSPC,4,20,30,5,12.21591632,9.180530683,13.35386474,12.42821122,0.47556344,5.716233216,12.0199173,13.2551907,12.0199173,13.2551907,8.255190698
49,0,N/A,N/A,SM-102,DSPC,10,20,30,1,14.37107201,11.50326359,15.96022797,14.67395139,0.475208038,6.845373889,14.17507299,15.86155393,14.40500442,15.90804431,10.90804431
50,0,N/A,N/A,SM-102,DSPC,7,20,30,1,14.03920939,10.05333751,16.24854571,14.66865242,0.461546778,6.389289139,13.84321037,16.14987167,13.84321037,16.14987167,11.14987167
51,0,N/A,N/A,SM-102,DSPC,4,20,30,1,13.44601543,8.950926439,15.94191809,14.59954672,0.455432502,6.034488128,13.25001641,15.84324405,13.25001641,15.84324405,10.84324405
52,0,N/A,N/A,SM-102,DSPC,10,20,30,0.2,11.20774091,9.213353813,16.47137572,15.5637553,0.402116693,4.428005233,11.01174189,16.37270168,11.01174189,16.37270168,11.37270168
53,0,N/A,N/A,SM-102,DSPC,7,20,30,0.2,12.52012391,8.869332777,15.33090955,15.52989421,0.447233405,5.511760337,12.32412489,15.23223551,12.32412489,15.23223551,10.23223551
54,0,N/A,N/A,SM-102,DSPC,4,20,30,0.2,11.87811819,8.499322169,16.18627814,14.9063365,0.420678271,4.914413693,11.68211917,16.0876041,11.68211917,16.0876041,11.0876041
55,0,N/A,N/A,SM-102,DSPC,10,80,10,5,7.718510179,9.251532296,11.00243205,11.54274735,0.408249282,3.071059779,7.522511158,10.90375801,7.522511158,10.90375801,5.903758008
56,0,N/A,N/A,SM-102,DSPC,7,80,10,5,7.56962701,8.528846561,10.46759713,11.00450761,0.415590067,3.064406549,7.373627989,10.36892309,7.373627989,10.36892309,5.368923088
57,0,N/A,N/A,SM-102,DSPC,4,80,10,5,6.579925761,7.497620013,9.864203308,10.33768355,0.395302897,2.523584733,6.38392674,9.765529266,6.38392674,9.765529266,4.765529266
58,0,N/A,N/A,SM-102,DSPC,10,80,10,1,8.440317136,9.267924665,12.21409535,13.31956641,0.404932398,3.338391507,8.244318115,12.11542131,8.244318115,12.11542131,7.115421308
59,0,N/A,N/A,SM-102,DSPC,7,80,10,1,7.867426745,8.697034998,12.01414261,13.1574055,0.391661221,3.004600752,7.671427724,11.91546857,7.671427724,11.91546857,6.915468568
60,0,N/A,N/A,SM-102,DSPC,4,80,10,1,7.290452479,8.485370718,10.33406574,11.44650445,0.409377775,2.904311574,7.094453458,10.2353917,7.094453458,10.2353917,5.235391698
61,0,N/A,N/A,SM-102,DSPC,10,80,10,0.2,8.819786295,10.69596184,10.5014758,11.15527446,0.453249253,3.908725143,8.623787274,10.40280176,8.623787274,10.40280176,5.402801758
62,0,N/A,N/A,SM-102,DSPC,7,80,10,0.2,8.506749276,9.171715244,10.11877548,9.065076478,0.45337502,3.767886564,8.310750255,10.02010144,8.310750255,10.02010144,5.020101438
63,0,N/A,N/A,SM-102,DSPC,4,80,10,0.2,8.26928465,7.816326275,10.99528959,12.67891822,0.425583958,3.435860853,8.073285629,10.89661555,8.073285629,10.89661555,5.896615548
64,0,N/A,N/A,SM-102,DSPC,10,50,10,5,11.73830211,9.054000738,14.18035184,13.83893321,0.450449255,5.199221822,11.54230309,14.0816778,11.54230309,14.0816778,9.081677798
65,0,N/A,N/A,SM-102,DSPC,7,50,10,5,11.35986567,8.659225178,14.24176467,13.7557305,0.441138242,4.92480851,11.16386665,14.14309063,11.16386665,14.14309063,9.143090628
66,0,N/A,N/A,SM-102,DSPC,4,50,10,5,10.59677612,8.331183734,14.18952545,13.80187641,0.42466662,4.416862857,10.4007771,14.09085141,10.4007771,14.09085141,9.090851408
67,0,N/A,N/A,SM-102,DSPC,10,50,10,1,10.9989861,10.15831198,16.1264774,15.45070584,0.402633948,4.349649337,10.80298708,16.02780336,10.80298708,16.02780336,11.02780336
68,0,N/A,N/A,SM-102,DSPC,7,50,10,1,10.93573086,9.750595774,15.64155873,15.24474774,0.408624911,4.388521967,10.73973184,15.54288469,10.73973184,15.54288469,10.54288469
69,0,N/A,N/A,SM-102,DSPC,4,50,10,1,11.34329558,8.850726022,15.29272072,14.86224234,0.423186337,4.717383599,11.14729656,15.19404668,11.14729656,15.19404668,10.19404668
70,0,N/A,N/A,SM-102,DSPC,10,50,10,0.2,11.11917394,10.17644182,15.98034364,15.42164681,0.40750749,4.451275598,10.92317492,15.8816696,10.92317492,15.8816696,10.8816696
71,0,N/A,N/A,SM-102,DSPC,7,50,10,0.2,10.9785131,9.888324706,15.87002835,14.84204325,0.406061894,4.378368084,10.78251408,15.77135431,10.78251408,15.77135431,10.77135431
72,0,N/A,N/A,SM-102,DSPC,4,50,10,0.2,11.24199522,10.24133785,15.60466265,14.60085376,0.416013954,4.59528856,11.0459962,15.50598861,11.0459962,15.50598861,10.50598861
73,0,N/A,N/A,SM-102,DSPC,10,20,10,5,13.28763016,10.17201569,12.90286379,12.76060757,0.505549957,6.618473561,13.09163114,12.80418975,13.09163114,12.80418975,7.804189748
74,0,N/A,N/A,SM-102,DSPC,7,20,10,5,12.78675823,9.486000996,13.44189035,12.99245257,0.485492832,6.11272334,12.59075921,13.34321631,12.59075921,13.34321631,8.343216308
75,0,N/A,N/A,SM-102,DSPC,4,20,10,5,12.46220063,9.189242152,13.73779645,13.01112054,0.473501185,5.808060992,12.26620161,13.63912241,12.26620161,13.63912241,8.639122408
76,0,N/A,N/A,SM-102,DSPC,10,20,10,1,13.89566927,10.89671937,14.92723988,14.12092008,0.480214417,6.578779156,13.69967025,14.82856584,13.69967025,14.82856584,9.828565838
77,0,N/A,N/A,SM-102,DSPC,7,20,10,1,13.75534226,10.3061644,14.8664366,14.0993329,0.478670265,6.490454421,13.55934324,14.76776256,13.55934324,14.76776256,9.767762558
78,0,N/A,N/A,SM-102,DSPC,4,20,10,1,13.03885574,8.967774009,14.41256938,14.0073033,0.472915785,6.073589668,12.84285672,14.31389534,12.84285672,14.31389534,9.313895338
79,0,N/A,N/A,SM-102,DSPC,10,20,10,0.2,11.85902915,10.57771601,16.4276495,15.48610291,0.416655752,4.859468585,11.66303013,16.32897546,11.66303013,16.32897546,11.32897546
80,0,N/A,N/A,SM-102,DSPC,7,20,10,0.2,11.8954018,10.25339914,14.32359959,15.82189104,0.451290488,5.279829188,11.69940278,14.22492555,11.69940278,14.22492555,9.224925548
81,0,N/A,N/A,SM-102,DSPC,4,20,10,0.2,12.36904789,8.980732144,16.17630977,15.29423141,0.430893943,5.245293021,12.17304887,16.07763573,12.17304887,16.07763573,11.07763573
82,0,N/A,N/A,SM-102,DSPC,10,80,1,5,10.10570312,8.55514017,11.27974693,10.58150476,0.469859603,4.656169632,9.909704099,11.18107289,9.909704099,11.18107289,6.181072888
83,0,N/A,N/A,SM-102,DSPC,7,80,1,5,9.12820166,7.791133856,10.63600205,10.24066905,0.458778529,4.097902791,8.932202639,10.53732801,8.932202639,10.53732801,5.537328008
84,0,N/A,N/A,SM-102,DSPC,4,80,1,5,8.12548566,7.182815122,9.688187131,9.616643033,0.452622111,3.589060981,7.929486639,9.589513089,7.929486639,9.589513089,4.589513089
85,0,N/A,N/A,SM-102,DSPC,10,80,1,1,10.50641841,10.61510786,12.41255562,13.36790848,0.455723225,4.69869757,10.31041939,12.31388158,10.31041939,12.31388158,7.313881578
86,0,N/A,N/A,SM-102,DSPC,7,80,1,1,9.568763329,8.609787237,12.39459976,12.65263591,0.432548728,4.054177279,9.372764308,12.29592572,9.372764308,12.29592572,7.295925718
87,0,N/A,N/A,SM-102,DSPC,4,80,1,1,8.728485094,7.754717754,11.46149445,11.55056752,0.428869295,3.65932129,8.532486073,11.36282041,8.532486073,11.36282041,6.362820408
88,0,N/A,N/A,SM-102,DSPC,10,80,1,0.2,10.55871268,9.731671679,12.2496076,13.08224563,0.460285868,4.769810655,10.36271366,12.15093356,10.36271366,12.15093356,7.150933558
89,0,N/A,N/A,SM-102,DSPC,7,80,1,0.2,10.19587535,9.004082826,12.06362872,12.48071827,0.45526762,4.552619893,9.999876329,11.96495468,9.999876329,11.96495468,6.964954678
90,0,N/A,N/A,SM-102,DSPC,4,80,1,0.2,9.516032331,7.798520377,10.94836259,11.29262385,0.462080408,4.306604796,9.32003331,10.84968855,9.32003331,10.84968855,5.849688548
91,0,N/A,N/A,SM-102,DSPC,10,50,1,5,11.26340098,8.782914696,12.98571866,12.08629948,0.462018687,5.113346523,11.06740196,12.88704462,11.06740196,12.88704462,7.887044618
92,0,N/A,N/A,SM-102,DSPC,7,50,1,5,11.14047382,8.516676876,12.73440423,12.25018513,0.464138238,5.079749251,10.9444748,12.63573019,10.9444748,12.63573019,7.635730188
93,0,N/A,N/A,SM-102,DSPC,4,50,1,5,10.87979758,8.100787132,12.57867528,12.05190328,0.461228238,4.927669581,10.68379856,12.48000124,10.68379856,12.48000124,7.480001238
94,0,N/A,N/A,SM-102,DSPC,10,50,1,1,12.74546049,11.55740229,14.79483076,14.1315414,0.460604762,5.780341708,12.54946147,14.69615672,12.54946147,14.69615672,9.696156718
95,0,N/A,N/A,SM-102,DSPC,7,50,1,1,12.17250383,10.44504819,14.81306288,14.33151942,0.448711271,5.373992693,11.97650481,14.71438884,11.97650481,14.71438884,9.714388838
96,0,N/A,N/A,SM-102,DSPC,4,50,1,1,11.50707926,9.290134669,10.02649631,8.961057402,0.532564253,6.023876993,11.31108024,9.927822268,11.31108024,9.927822268,4.927822268
97,0,N/A,N/A,SM-102,DSPC,10,50,1,0.2,13.33850119,11.79455423,15.36358491,15.23725373,0.462643401,6.080291895,13.14250217,15.26491087,13.14250217,15.26491087,10.26491087
98,0,N/A,N/A,SM-102,DSPC,7,50,1,0.2,13.0120147,11.04375567,15.22780017,15.27378255,0.458613371,5.877596149,12.81601568,15.12912613,12.81601568,15.12912613,10.12912613
99,0,N/A,N/A,SM-102,DSPC,4,50,1,0.2,12.42505857,9.78547513,15.02805655,14.93413778,0.450285754,5.506571295,12.22905955,14.92938251,12.22905955,14.92938251,9.929382508
100,0,N/A,N/A,SM-102,DSPC,10,20,1,5,12.20786259,9.338269443,12.97604386,13.04929325,0.482612838,5.797079571,12.01186357,12.87736982,12.01186357,12.87736982,7.877369818
