Formula_label,Iter,Opt_Method,Cell_Target,Ionizable_Lipid,Helper_lipid,NP_ratio,HL_IL+HL,IL+HL,PEG_PEG+Chol,SM-102_PcntMolar,18PG_PcntMolar,Cholesterol_PcntMolar,DMG-PEG2000_PcntMolar,LnRLU_RAMOS,LnRLU_DC,LnRLU_3T3,LnRLU_C2C12,LnRLU_Selectivity
1,0,Grid-Search,N/A,SM-102,18PG,10,80,50,5,40,40,19,1,3.297587512,6.872449055,2.588296281,6.267700526,-1.945227775
2,0,Grid-Search,N/A,SM-102,18PG,7,80,50,5,40,40,19,1,3.521808554,6.832331677,2.961373473,6.530906659,-1.919728716
3,0,Grid-Search,N/A,SM-102,18PG,4,80,50,5,40,40,19,1,3.332919659,6.506940579,3.847793485,5.63732251,-1.997765866
4,0,Grid-Search,N/A,SM-102,18PG,10,80,50,1,40,40,19.8,0.2,3.522873731,8.347627448,4.451180337,8.25722335,-3.495803314
5,0,Grid-Search,N/A,SM-102,18PG,7,80,50,1,40,40,19.8,0.2,3.349230888,8.309963325,3.236932997,8.802801174,-3.434001611
6,0,Grid-Search,N/A,SM-102,18PG,4,80,50,1,40,40,19.8,0.2,3.365292329,5.482794243,4.904895124,3.681076352,-1.324296244
7,0,Grid-Search,N/A,SM-102,18PG,10,80,50,0.2,40,40,19.96,0.04,3.412101966,9.077478986,4.896117805,8.811620367,-4.18297042
8,0,Grid-Search,N/A,SM-102,18PG,7,80,50,0.2,40,40,19.96,0.04,3.570560042,8.918656884,5.092092265,6.983401662,-3.427490228
9,0,Grid-Search,N/A,SM-102,18PG,4,80,50,0.2,40,40,19.96,0.04,3.327846538,4.769013559,4.550678,3.995665877,-1.110605941
10,0,Grid-Search,N/A,SM-102,18PG,10,50,50,5,25,25,47.5,2.5,3.378028532,7.081576971,5.625097924,5.097223676,-2.556604325
11,0,Grid-Search,N/A,SM-102,18PG,7,50,50,5,25,25,47.5,2.5,3.223738344,6.80399805,5.524319666,5.191196063,-2.616099582
12,0,Grid-Search,N/A,SM-102,18PG,4,50,50,5,25,25,47.5,2.5,3.283864308,6.30879229,5.803288234,4.99186316,-2.417450253
13,0,Grid-Search,N/A,SM-102,18PG,10,50,50,1,25,25,49.5,0.5,3.201690564,8.646954432,7.57277151,6.493759531,-4.36947126
14,0,Grid-Search,N/A,SM-102,18PG,7,50,50,1,25,25,49.5,0.5,3.135253736,8.522196778,7.223170135,7.241261182,-4.526955629
15,0,Grid-Search,N/A,SM-102,18PG,4,50,50,1,25,25,49.5,0.5,3.450856541,7.570580398,7.082601214,6.049335684,-3.449982558
16,0,Grid-Search,N/A,SM-102,18PG,10,50,50,0.2,25,25,49.9,0.1,3.839594526,10.43153973,8.198394183,8.477117304,-5.196089213
17,0,Grid-Search,N/A,SM-102,18PG,7,50,50,0.2,25,25,49.9,0.1,3.673214386,9.992890677,8.383616287,6.583163725,-4.646675844
18,0,Grid-Search,N/A,SM-102,18PG,4,50,50,0.2,25,25,49.9,0.1,3.577214355,7.023819324,8.382668039,4.072299103,-2.915714467
19,0,Grid-Search,N/A,SM-102,18PG,10,20,50,5,10,10,76,4,3.75437411,4.306158723,2.945110085,2.993971486,0.339294012
20,0,Grid-Search,N/A,SM-102,18PG,7,20,50,5,10,10,76,4,3.924411699,9.434109,5.635745281,5.746019356,-3.014212847
21,0,Grid-Search,N/A,SM-102,18PG,4,20,50,5,10,10,76,4,3.800413049,8.169307424,5.335278113,4.059927811,-2.054424734
22,0,Grid-Search,N/A,SM-102,18PG,10,20,50,1,10,10,79.2,0.8,3.6724541,9.228904596,4.506217083,7.780961094,-3.499573491
23,0,Grid-Search,N/A,SM-102,18PG,7,20,50,1,10,10,79.2,0.8,3.762506374,9.60183805,6.631839765,7.438463711,-4.128207468
24,0,Grid-Search,N/A,SM-102,18PG,4,20,50,1,10,10,79.2,0.8,3.374481558,8.34771495,4.436607372,4.088559624,-2.249812424
25,0,Grid-Search,N/A,SM-102,18PG,10,20,50,0.2,10,10,79.84,0.16,3.325573839,5.030285886,2.492402257,4.469533712,-0.671833446
26,0,Grid-Search,N/A,SM-102,18PG,7,20,50,0.2,10,10,79.84,0.16,3.287262975,9.114266306,6.34278914,7.069055442,-4.221440654
