Formula_label,Iter,Opt_Method,Cell_Target,Ionizable_Lipid,Helper_lipid,NP_ratio,HL_IL+HL,IL+HL,PEG_PEG+Chol,SM-102_PcntMolar,18PG_PcntMolar,Cholesterol_PcntMolar,DMG-PEG2000_PcntMolar,LnRLU_RAMOS,LnRLU_DC,LnRLU_3T3,LnRLU_C2C12,LnRLU_Selectivity
27,0,Grid-Search,N/A,SM-102,18PG,4,20,50,0.2,10,10,79.84,0.16,3.648967086,7.022980215,5.549438439,6.699281481,-2.774932959
28,0,Grid-Search,N/A,SM-102,18PG,10,80,30,5,56,24,19,1,9.761652417,7.841079864,6.209959823,6.984961551,2.749652004
29,0,Grid-Search,N/A,SM-102,18PG,7,80,30,5,56,24,19,1,9.000788317,7.638836197,5.985192889,6.519268369,2.286355832
30,0,Grid-Search,N/A,SM-102,18PG,4,80,30,5,56,24,19,1,7.762084347,6.770905935,5.406703036,6.787156683,1.440495796
31,0,Grid-Search,N/A,SM-102,18PG,10,80,30,1,56,24,19.8,0.2,8.217283537,8.759661104,6.12910709,8.600260676,0.387607247
32,0,Grid-Search,N/A,SM-102,18PG,7,80,30,1,56,24,19.8,0.2,9.857074827,8.599814561,5.70439506,8.994401745,2.090871038
33,0,Grid-Search,N/A,SM-102,18PG,4,80,30,1,56,24,19.8,0.2,8.687048317,7.540616004,4.291034822,5.064335809,3.055052772
34,0,Grid-Search,N/A,SM-102,18PG,10,80,30,0.2,56,24,19.96,0.04,8.589521617,9.137029349,5.785389408,9.274592921,0.523851058
35,0,Grid-Search,N/A,SM-102,18PG,7,80,30,0.2,56,24,19.96,0.04,9.353391437,9.158502811,5.18809165,6.483518037,2.410020604
36,0,Grid-Search,N/A,SM-102,18PG,4,80,30,0.2,56,24,19.96,0.04,8.019094097,3.768233285,2.222092185,3.55186462,4.838364067
37,0,Grid-Search,N/A,SM-102,18PG,10,50,30,5,35,15,47.5,2.5,8.270547727,7.872485502,4.763306167,5.75824258,2.139202977
38,0,Grid-Search,N/A,SM-102,18PG,7,50,30,5,35,15,47.5,2.5,7.752022187,7.735848863,5.951738504,5.702021687,1.288819169
39,0,Grid-Search,N/A,SM-102,18PG,4,50,30,5,35,15,47.5,2.5,7.555878354,6.910949677,5.652923165,5.175001377,1.642920281
40,0,Grid-Search,N/A,SM-102,18PG,10,50,30,1,35,15,49.5,0.5,7.431479013,9.140479087,6.850479389,7.22440441,-0.306975282
41,0,Grid-Search,N/A,SM-102,18PG,7,50,30,1,35,15,49.5,0.5,8.275007597,7.54657089,7.025296265,7.891271669,0.787294656
42,0,Grid-Search,N/A,SM-102,18PG,4,50,30,1,35,15,49.5,0.5,5.931533747,5.797658477,6.728168594,7.121882872,-0.617702901
43,0,Grid-Search,N/A,SM-102,18PG,10,50,30,0.2,35,15,49.9,0.1,9.637435457,8.514530262,6.301360133,8.072603171,2.007937602
44,0,Grid-Search,N/A,SM-102,18PG,7,50,30,0.2,35,15,49.9,0.1,9.917694417,6.840158368,6.321475249,7.058146618,3.177767672
45,0,Grid-Search,N/A,SM-102,18PG,4,50,30,0.2,35,15,49.9,0.1,6.556913278,5.681485939,5.099304627,4.963692283,1.308752328
46,0,Grid-Search,N/A,SM-102,18PG,10,20,30,5,14,6,76,4,5.122479972,9.384016962,2.723451317,6.150715529,-0.963581297
47,0,Grid-Search,N/A,SM-102,18PG,7,20,30,5,14,6,76,4,6.556759063,8.925798093,6.125087367,6.553784607,-0.644797626
48,0,Grid-Search,N/A,SM-102,18PG,4,20,30,5,14,6,76,4,7.431522571,6.722751243,5.075828877,5.448294712,1.682564294
49,0,Grid-Search,N/A,SM-102,18PG,10,20,30,1,14,6,79.2,0.8,8.782997347,9.130063783,5.750993105,7.243498897,1.408145419
50,0,Grid-Search,N/A,SM-102,18PG,7,20,30,1,14,6,79.2,0.8,8.016679957,10.31363861,6.034598215,7.516676353,0.061708898
51,0,Grid-Search,N/A,SM-102,18PG,4,20,30,1,14,6,79.2,0.8,6.716888396,8.153694027,7.256940861,7.711286352,-0.990418684
52,0,Grid-Search,N/A,SM-102,18PG,10,20,30,0.2,14,6,79.84,0.16,7.325236333,9.711331587,2.968107709,8.007253876,0.429671942
53,0,Grid-Search,N/A,SM-102,18PG,7,20,30,0.2,14,6,79.84,0.16,8.005119997,9.583287939,8.40651441,8.044908157,-0.673116838
54,0,Grid-Search,N/A,SM-102,18PG,4,20,30,0.2,14,6,79.84,0.16,6.69056453,5.378169014,5.59807726,7.867972471,0.409158282
55,0,Grid-Search,N/A,SM-102,18PG,10,80,10,5,72,8,19,1,8.107562467,4.940356056,3.773412302,3.450328201,4.052863614
56,0,Grid-Search,N/A,SM-102,18PG,7,80,10,5,72,8,19,1,7.853560287,4.467339117,3.288316557,2.42527848,4.459915569
57,0,Grid-Search,N/A,SM-102,18PG,4,80,10,5,72,8,19,1,6.80104627,3.758117566,2.954500377,2.101491403,3.863009821
58,0,Grid-Search,N/A,SM-102,18PG,10,80,10,1,72,8,19.8,0.2,7.730232072,7.798262642,4.493697946,4.143475382,2.251753415
59,0,Grid-Search,N/A,SM-102,18PG,7,80,10,1,72,8,19.8,0.2,7.593119239,6.766413854,4.489557106,2.865590319,2.885932146
60,0,Grid-Search,N/A,SM-102,18PG,4,80,10,1,72,8,19.8,0.2,7.67126673,3.739394142,3.064001733,1.619653316,4.863583666
61,0,Grid-Search,N/A,SM-102,18PG,10,80,10,0.2,72,8,19.96,0.04,8.433521867,7.218353962,4.592392246,4.864846449,2.874990981
62,0,Grid-Search,N/A,SM-102,18PG,7,80,10,0.2,72,8,19.96,0.04,7.723014872,6.928349005,4.186203712,3.631376683,2.807705072
63,0,Grid-Search,N/A,SM-102,18PG,4,80,10,0.2,72,8,19.96,0.04,6.846630654,3.903388321,3.483488729,2.040866781,3.704049377
64,0,Grid-Search,N/A,SM-102,18PG,10,50,10,5,45,5,47.5,2.5,7.663875704,6.544765137,3.878696618,3.537975508,3.010063283
65,0,Grid-Search,N/A,SM-102,18PG,7,50,10,5,45,5,47.5,2.5,7.556052943,6.238496466,3.944638532,3.523890768,2.987044354
66,0,Grid-Search,N/A,SM-102,18PG,4,50,10,5,45,5,47.5,2.5,7.389248203,5.652448305,3.780479704,3.419317964,3.105166212
67,0,Grid-Search,N/A,SM-102,18PG,10,50,10,1,45,5,49.5,0.5,8.613754067,8.058155359,6.033452552,5.189856478,2.186599271
68,0,Grid-Search,N/A,SM-102,18PG,7,50,10,1,45,5,49.5,0.5,8.294849987,7.606159912,5.91776777,4.915490182,2.148377366
69,0,Grid-Search,N/A,SM-102,18PG,4,50,10,1,45,5,49.5,0.5,7.894735697,7.486822994,5.328722052,4.433064032,2.145199338
70,0,Grid-Search,N/A,SM-102,18PG,10,50,10,0.2,45,5,49.9,0.1,8.782979097,9.486022249,7.2226932,5.850303197,1.263306215
71,0,Grid-Search,N/A,SM-102,18PG,7,50,10,0.2,45,5,49.9,0.1,8.528981187,8.942721122,6.912198419,5.367475305,1.454849572
72,0,Grid-Search,N/A,SM-102,18PG,4,50,10,0.2,45,5,49.9,0.1,8.408808837,8.072957376,6.452205415,4.781706805,1.973185638
73,0,Grid-Search,N/A,SM-102,18PG,10,20,10,5,18,2,76,4,7.921037187,6.11581091,3.586873706,3.537975508,3.507483812
74,0,Grid-Search,N/A,SM-102,18PG,7,20,10,5,18,2,76,4,8.075771477,6.398205042,4.083257621,3.354254371,3.463865799
75,0,Grid-Search,N/A,SM-102,18PG,4,20,10,5,18,2,76,4,7.514975161,5.370815674,4.504937491,3.495111804,3.058020171
76,0,Grid-Search,N/A,SM-102,18PG,10,20,10,1,18,2,79.2,0.8,8.119362667,7.913913049,7.068486337,6.661541153,0.904715821
77,0,Grid-Search,N/A,SM-102,18PG,7,20,10,1,18,2,79.2,0.8,7.949030117,8.12474412,7.712771243,7.007201816,0.334124391
78,0,Grid-Search,N/A,SM-102,18PG,4,20,10,1,18,2,79.2,0.8,7.658313023,7.483486877,8.368662805,7.127884245,-0.001698286
79,0,Grid-Search,N/A,SM-102,18PG,10,20,10,0.2,18,2,79.84,0.16,8.160749397,8.483994653,8.293986545,7.198484265,0.168594243
80,0,Grid-Search,N/A,SM-102,18PG,7,20,10,0.2,18,2,79.84,0.16,7.809366277,7.942427904,8.334269534,6.932155317,0.073082025
81,0,Grid-Search,N/A,SM-102,18PG,4,20,10,0.2,18,2,79.84,0.16,6.950646464,6.690038415,7.924982634,5.376413912,0.28683481
82,0,Grid-Search,N/A,SM-102,18PG,10,80,1,5,79.2,0.8,19,1,3.478301141,4.550815115,3.860867056,1.570863151,0.150786034
83,0,Grid-Search,N/A,SM-102,18PG,7,80,1,5,79.2,0.8,19,1,3.415570873,3.741854178,3.757148914,1.465502636,0.427402297
84,0,Grid-Search,N/A,SM-102,18PG,4,80,1,5,79.2,0.8,19,1,3.187612835,3.015758386,3.080265121,0.65457242,0.937414193
85,0,Grid-Search,N/A,SM-102,18PG,10,80,1,1,79.2,0.8,19.8,0.2,3.268724088,4.438996924,3.101777961,1.666173331,0.199741349
86,0,Grid-Search,N/A,SM-102,18PG,7,80,1,1,79.2,0.8,19.8,0.2,2.774999137,4.100856858,2.396508233,0.772355455,0.351758955
87,0,Grid-Search,N/A,SM-102,18PG,4,80,1,1,79.2,0.8,19.8,0.2,3.053607268,3.317532286,2.492402257,0.877715971,0.82439043
88,0,Grid-Search,N/A,SM-102,18PG,10,80,1,0.2,79.2,0.8,19.96,0.04,3.234135217,4.633912509,2.261353197,1.519569857,0.429190029
89,0,Grid-Search,N/A,SM-102,18PG,7,80,1,0.2,79.2,0.8,19.96,0.04,3.176029302,4.179762067,2.492402257,1.666173331,0.396583417
90,0,Grid-Search,N/A,SM-102,18PG,4,80,1,0.2,79.2,0.8,19.96,0.04,3.001394524,3.256197738,2.684190305,1.570863151,0.497644126
91,0,Grid-Search,N/A,SM-102,18PG,10,50,1,5,49.5,0.5,47.5,2.5,5.849970858,6.714598982,6.917812453,3.705029593,0.070823849
92,0,Grid-Search,N/A,SM-102,18PG,7,50,1,5,49.5,0.5,47.5,2.5,5.233249606,6.936744643,6.650873098,3.017782134,-0.301883686
93,0,Grid-Search,N/A,SM-102,18PG,4,50,1,5,49.5,0.5,47.5,2.5,4.892406557,6.1653266,6.465667304,3.572343152,-0.508705795
94,0,Grid-Search,N/A,SM-102,18PG,10,50,1,1,49.5,0.5,49.5,0.5,6.371415562,8.240120405,10.17638633,7.025543036,-2.109267695
95,0,Grid-Search,N/A,SM-102,18PG,7,50,1,1,49.5,0.5,49.5,0.5,6.646587392,7.53566337,9.818560758,6.147119327,-1.18719376
96,0,Grid-Search,N/A,SM-102,18PG,4,50,1,1,49.5,0.5,49.5,0.5,6.669794479,5.985667122,8.539450685,4.862989438,0.207092064
97,0,Grid-Search,N/A,SM-102,18PG,10,50,1,0.2,49.5,0.5,49.9,0.1,5.100598158,7.029494269,8.466026979,4.913724956,-1.70248391
98,0,Grid-Search,N/A,SM-102,18PG,7,50,1,0.2,49.5,0.5,49.9,0.1,5.128900308,6.216391625,8.69029679,5.136632908,-1.5522068
99,0,Grid-Search,N/A,SM-102,18PG,4,50,1,0.2,49.5,0.5,49.9,0.1,5.139814445,5.106213863,8.186458439,4.343451874,-0.738893614
100,0,Grid-Search,N/A,SM-102,18PG,10,20,1,5,19.8,0.2,76,4,5.798188402,3.625751947,4.84827025,3.342986646,1.859185454
101,0,Grid-Search,N/A,SM-102,18PG,7,20,1,5,19.8,0.2,76,4,5.859777176,2.396125462,4.82540788,3.009908078,2.449296703
102,0,Grid-Search,N/A,SM-102,18PG,4,20,1,5,19.8,0.2,76,4,5.919627858,2.710328142,4.825078103,1.907335388,2.772047314
103,0,Grid-Search,N/A,SM-102,18PG,10,20,1,1,19.8,0.2,79.2,0.8,5.828352253,5.496914254,7.339866,7.262066844,-0.871263446
104,0,Grid-Search,N/A,SM-102,18PG,7,20,1,1,19.8,0.2,79.2,0.8,5.973549605,5.1727465,7.62991873,7.214541702,-0.698852706
105,0,Grid-Search,N/A,SM-102,18PG,4,20,1,1,19.8,0.2,79.2,0.8,5.851384162,4.883410757,7.341551453,7.16922338,-0.613344368
106,0,Grid-Search,N/A,SM-102,18PG,10,20,1,0.2,19.8,0.2,79.84,0.16,4.397648058,5.955420519,8.648266866,7.09445513,-2.835066114
107,0,Grid-Search,N/A,SM-102,18PG,7,20,1,0.2,19.8,0.2,79.84,0.16,4.371131316,5.687203632,8.608293831,7.17947988,-2.787194465
108,0,Grid-Search,N/A,SM-102,18PG,4,20,1,0.2,19.8,0.2,79.84,0.16,4.775740681,4.513358733,8.108342061,7.334380964,-1.876286572
109,1,DA,RAMOS,SM-102,18PG,8.29057321,77.1915099,36.18050986,0.766987658,49.26322805,27.92828185,22.6335518,0.174938304,8.668995526,9.022989147,3.561316324,3.487821746,3.311619787
110,1,DA,RAMOS,SM-102,18PG,15.72494722,70.20686977,31.39760724,0.329565895,48.16359254,22.04327723,29.69494223,0.098187996,7.602272225,7.574202302,3.735269631,4.211428134,2.428638869
111,1,DA,RAMOS,SM-102,18PG,17.84809986,63.38837303,43.27633341,0.932786619,35.95620937,27.43216366,36.27011861,0.341508357,7.632717252,6.795537698,4.317438303,4.924377942,2.286932604
112,1,DA,RAMOS,SM-102,18PG,8.387413472,59.01742935,45.81590526,0.595293129,31.97805983,27.03936952,40.73860422,0.243966427,6.540958999,4.957630634,3.058789503,4.077896741,2.50952004
113,1,DA,RAMOS,SM-102,18PG,14.19924536,66.20349141,35.18225486,0.463450646,42.91161034,23.29188107,33.63987845,0.156630138,7.990382077,8.274549002,5.169753736,6.88246851,1.214791661
114,1,DA,RAMOS,SM-102,18PG,19.13930477,73.51711288,31.03384745,0.532369399,50.70192422,22.81518866,26.34190033,0.140986787,7.614953809,8.82325382,4.135116747,4.333645767,1.850948364
115,1,DA,RAMOS,SM-102,18PG,7.638777733,53.22820395,39.77579458,0.717851591,32.05626289,21.17194106,46.43604397,0.335752082,8.840753317,9.631632676,9.029503039,9.682626805,-0.607167523
116,1,DA,RAMOS,SM-102,18PG,15.98615053,67.49112219,46.00744841,0.663168216,36.44017897,31.05094322,32.29328927,0.215588545,8.105468135,7.980863556,4.417857051,5.814847974,2.034278608
117,1,DA,RAMOS,SM-102,18PG,18.13346508,69.99960139,45.8237121,0.306596637,37.92318558,32.07641581,29.9084184,0.091980213,7.904664067,8.853911447,4.644814975,6.626895384,1.196123465
118,1,DA,RAMOS,SM-102,18PG,21.5590637,69.93398786,33.52983843,0.876646984,46.48523472,23.44875314,29.80243935,0.263572789,7.437047024,8.092385869,4.550857517,5.920711381,1.249062102
119,1,DA,RAMOS,SM-102,18PG,12.54198726,58.97241258,39.26085088,0.776666784,35.81934162,23.15307096,40.70893978,0.318647644,8.278544988,9.607404007,8.443777279,9.792986476,-1.002844266
120,1,DA,RAMOS,SM-102,18PG,12.75364415,60.41180298,36.00072625,0.680955732,38.66311517,21.74868781,39.31861892,0.269578097,8.523993448,9.708696299,7.69752234,7.956333416,0.06980943
121,1,NSGAII,RAMOS,SM-102,18PG,7.620888098,58.10226869,48.7645256,0.450754569,29.768973,28.33329569,41.70887537,0.188855938,5.300820919,3.915063681,2.525678834,3.189776887,2.090647785
122,1,NSGAII,RAMOS,SM-102,18PG,4.832568834,38.66716446,1.083432061,7.148747866,38.248232,0.418932457,56.94830577,4.384529772,8.165527763,5.870030311,6.924292492,7.589698011,1.370854158
123,1,NSGAII,RAMOS,SM-102,18PG,12.1365038,33.90407095,1.075499623,3.378067564,33.53943279,0.364638155,63.86316391,2.23276514,8.620810293,6.609481508,7.76712772,8.783765163,0.900685496
124,1,NSGAII,RAMOS,SM-102,18PG,10.69082329,22.56607699,44.58426756,6.758123004,12.50515685,10.06092014,72.20084325,5.233079764,3.262994258,2.984034927,2.897727945,3.733392333,0.057942523
125,1,NSGAII,RAMOS,SM-102,18PG,6.370744862,94.02679055,24.95482754,7.217808165,70.56256713,23.46422342,5.542074651,0.431134799,8.068083869,6.791958146,3.887016463,4.083594763,3.147227412
126,1,NSGAII,RAMOS,SM-102,18PG,4.68771441,61.26742352,3.635999757,0.361837401,59.03974015,2.22768337,38.59242753,0.140148948,7.415402621,6.450589272,5.408983425,6.085535345,1.43369994
127,1,NSGAII,RAMOS,SM-102,18PG,10.22356773,50.48177375,4.357484759,7.252593145,48.28203815,2.199735597,45.92687077,3.591355483,8.540110193,6.060078599,6.353401254,6.817814681,2.129678682
128,1,NSGAII,RAMOS,SM-102,18PG,9.709625422,66.79764619,9.407602642,0.767986577,60.51358906,6.284057128,32.94736419,0.254989621,9.014945586,8.756223978,6.090239859,5.737484438,2.153629494
129,1,NSGAII,RAMOS,SM-102,18PG,7.203701771,26.81721499,5.479720509,0.793314684,25.34770656,1.46950843,72.60221523,0.58056978,7.849734787,8.08104821,9.177341689,10.48837233,-1.399185956
130,1,NSGAII,RAMOS,SM-102,18PG,4.421771574,75.68350795,2.278013984,5.746129558,73.95942706,1.724080895,22.91923491,1.397257137,5.167694139,4.143357458,4.002791869,4.848004963,0.836309376
131,1,NSGAII,RAMOS,SM-102,18PG,11.73957952,84.89497255,24.95229557,6.839420919,63.71172808,21.18324447,14.07193104,1.033096407,8.978160961,7.227652416,4.983219112,5.452696723,3.090304877
132,1,NSGAII,RAMOS,SM-102,18PG,9.643694835,87.90899392,13.60562164,3.247029131,75.94842882,11.9605651,11.69840759,0.39259849,8.742454951,7.268073126,4.259451046,4.473792399,3.408682761
133,2,DA,RAMOS,SM-102,18PG,8.087853924,67.39792355,30.15926588,0.247188122,47.07120459,20.32671896,32.52148799,0.080588461,8.40675003,10.46127815,2.349157552,4.981827613,2.475995592
134,2,DA,RAMOS,SM-102,18PG,7.754156303,67.42737747,30.790562,0.227143249,46.66610901,20.76126846,32.49863602,0.073986513,8.327046248,9.670058525,2.02638416,5.024087422,2.753536212
135,2,DA,RAMOS,SM-102,18PG,12.04834142,85.89052235,30.75188621,0.280012616,59.47756665,26.4129557,14.06996933,0.039508317,7.416612048,8.731375792,2.873682021,4.616896688,2.009293881
136,2,DA,RAMOS,SM-102,18PG,7.998692205,67.21174266,31.0097906,0.27180984,46.369522,20.84222066,32.69913563,0.08912171,8.172813985,9.443617274,2.913687355,4.999653397,2.38716131
137,2,DA,RAMOS,SM-102,18PG,8.330537947,66.99215119,30.92402056,0.227395915,46.27548458,20.71666661,32.93279031,0.0750585,8.213384663,9.438610086,2.537209784,5.180206607,2.494709171
138,2,DA,RAMOS,SM-102,18PG,12.06522961,87.621102,30.15877752,0.215881054,61.19564879,26.42545321,12.3521743,0.026723696,7.572325635,8.588452464,1.926300702,4.324019799,2.62606798
139,2,DA,RAMOS,SM-102,18PG,12.01764084,86.39422529,30.5185409,0.200698575,60.02796831,26.36625698,13.57846811,0.027306596,7.009320456,8.753528809,2.200737547,4.324019799,1.916558404
140,2,DA,RAMOS,SM-102,18PG,11.9896685,86.36520448,30.93209471,0.26252722,59.65063763,26.71456685,13.59900047,0.03579505,6.973967937,8.851358717,2.415848927,4.397631616,1.75235485
141,2,DA,RAMOS,SM-102,18PG,11.89103873,86.81456885,30.29517838,0.226518574,60.51394036,26.30062849,13.1555637,0.029867451,7.340161825,8.504185236,2.743061838,4.30296639,2.156757337
142,2,DA,RAMOS,SM-102,18PG,7.894314733,67.28436663,30.43086196,0.261711635,46.8091539,20.47521273,32.63001275,0.085620619,8.140014644,9.852141098,3.66399295,4.941455158,1.987484909
143,2,DA,RAMOS,SM-102,18PG,8.217810971,67.29624894,30.78063304,0.264953353,46.5820375,20.71421144,32.61710137,0.086649685,8.144724691,9.891841763,4.057035538,4.715498665,1.923266036
144,2,DA,RAMOS,SM-102,18PG,12.10080088,85.86517532,30.74627351,0.26702972,59.46483367,26.40034165,14.0970805,0.037744183,7.550219472,9.929043122,2.743061838,4.466194288,1.837453056
145,2,NSGAII,RAMOS,SM-102,18PG,7.588788897,46.61036626,14.52931954,0.212594878,39.83819721,6.772169053,53.27613011,0.113503627,9.133452186,10.23954773,8.002735069,10.29068279,-0.377536344
146,2,NSGAII,RAMOS,SM-102,18PG,7.632274155,62.54788019,17.96963287,6.970668614,51.30825575,11.23962444,34.84145665,2.610663161,8.823227723,6.582514617,4.08172815,4.79662421,3.669605397
147,2,NSGAII,RAMOS,SM-102,18PG,17.93952212,82.01756665,1.019813975,5.693631379,81.18114004,0.836426607,16.95857988,1.023853468,3.882925483,4.20877233,4.50332264,5.307449834,-0.790256118
148,2,NSGAII,RAMOS,SM-102,18PG,4.207198528,87.55594864,1.580417346,3.305807934,86.17219924,1.3837494,12.03267492,0.411376437,4.576072664,4.370040478,3.916335656,4.237008422,0.401611145
149,2,NSGAII,RAMOS,SM-102,18PG,6.328458581,84.06539295,1.083274367,10.07902069,83.1547341,0.910658853,14.32855471,1.606052341,4.477632591,4.233464943,3.503650299,4.490004936,0.401925865
150,2,NSGAII,RAMOS,SM-102,18PG,4.015567452,85.4583975,18.40254518,0.211292239,69.73187729,15.72652021,14.51087722,0.030725278,7.517766651,5.352198635,3.299349836,3.067778566,3.611324305
151,2,NSGAII,RAMOS,SM-102,18PG,11.92250547,71.46424092,12.64878761,4.15810974,62.42488087,9.039360051,27.3492109,1.186548178,8.844312175,6.107141534,4.580283681,4.903282584,3.647409575
152,2,NSGAII,RAMOS,SM-102,18PG,8.302405151,87.64352762,1.013452562,6.724221221,86.75530204,0.888225576,11.52559584,0.830876538,3.538084997,3.904283139,2.766051356,3.343190546,0.200243317
153,2,NSGAII,RAMOS,SM-102,18PG,8.358526541,66.9357049,30.67940756,0.224129236,46.40022719,20.53547771,32.99018835,0.074106752,7.319597253,8.764489632,4.265065451,5.744447167,1.061596503
154,2,NSGAII,RAMOS,SM-102,18PG,11.85420905,68.51997455,4.761048167,8.531192977,65.25770556,3.262268992,28.79440373,2.68562172,7.905669611,5.256091324,3.972294309,4.95632532,3.177432627
155,2,NSGAII,RAMOS,SM-102,18PG,7.634359284,71.68868528,4.871651736,0.464605045,68.1962622,3.492423081,28.17977892,0.131535797,6.982454551,7.173400859,4.740763496,4.813792014,1.406469095
156,2,NSGAII,RAMOS,SM-102,18PG,4.347658915,86.75200282,12.72794307,5.374900761,75.71025729,11.04174553,12.53593048,0.712066701,8.224564057,4.782572753,2.383059104,3.286032132,4.740676061
157,3,DA,RAMOS,SM-102,18PG,19.70797332,55.5516034,21.71314018,0.583020282,43.48960588,12.06199752,44.18925343,0.259143167,8.797652216,9.919531636,8.13800511,7.271456943,0.35465432
158,3,DA,RAMOS,SM-102,18PG,25.80021008,51.99898754,15.9758305,0.757648287,43.69171743,8.307270111,47.63733361,0.363678849,8.745743216,8.049183169,7.967170974,5.753359201,1.489172101
159,3,DA,RAMOS,SM-102,18PG,17.42876589,41.55728055,26.5668045,0.483208405,30.51683907,11.04044148,58.16031932,0.282400132,8.364424538,8.096152239,8.310816201,5.246210052,1.146698374
160,3,DA,RAMOS,SM-102,18PG,9.978564951,35.01855987,29.91933012,0.598385135,24.54124134,10.47731853,64.59260085,0.388839278,8.310309602,7.986273146,8.553504752,5.174920968,1.072076647
161,3,DA,RAMOS,SM-102,18PG,24.77071209,47.24916402,16.01530501,0.373006432,39.68206629,7.567097732,52.55407197,0.196764011,8.56363671,8.591863162,9.191769817,5.672855982,0.744807056
162,3,DA,RAMOS,SM-102,18PG,35.42919872,63.73159743,17.15877083,0.861526528,52.79603868,10.93555875,35.95594066,0.312461909,8.127625332,9.306432368,7.366432788,6.043799896,0.555403648
