Formula_ label,Iter,Opt_Method,Cell_Target,Ionizable_Lipid,Helper_lipid,NP_ratio,HL_IL+HL,IL+HL,PEG_PEG+Chol,Dlin-MC3-DMA_PcntMolar,DSPC_PcntMolar,Cholesterol_PcntMolar,DMG-PEG2000_PcntMolar,Signal_1_norm,Signal_2_norm,Signal_3_norm,LnRLU_RAMOS_norm
138,3,DA,RAMOS,Dlin-MC3-DMA,DSPC,10.54485728,47.87589388,58.83700941,5.142617045,30.66826523,28.16874419,39.04613562,2.11685497,3487.848673,3249.376793,3323.603141,8.117354552
139,3,DA,RAMOS,Dlin-MC3-DMA,DSPC,10.44278713,47.5535706,59.20215396,3.282832551,31.04941588,28.15273808,39.45852107,1.33932497,2748.743772,2566.33647,2597.132508,7.877099058
140,3,DA,RAMOS,Dlin-MC3-DMA,DSPC,10.57781094,46.59266015,62.43475109,3.288149399,33.3447397,29.09001139,36.3300474,1.235201506,2211.787217,1752.215578,1616.397155,7.519382482
141,3,DA,RAMOS,Dlin-MC3-DMA,DSPC,10.45748354,46.6545629,58.83537111,3.323188072,31.38598589,27.44938522,39.79665085,1.367978037,3407.30519,3291.227818,4231.691428,8.194350007
142,3,BO,RAMOS,Dlin-MC3-DMA,DSPC,10.46220294,36.95882176,52.69834103,6.664436038,33.2216551,19.47668593,44.14927017,3.152388807,4209.581456,3486.269391,3882.669669,8.255328087
143,3,BO,RAMOS,Dlin-MC3-DMA,DSPC,9.205744712,28.40703284,61.02504522,4.177398984,43.68964058,17.33540464,37.34681542,1.628139365,1802.752665,1961.470706,2114.661252,7.578389926
144,3,BO,RAMOS,Dlin-MC3-DMA,DSPC,11.45628064,37.52241839,63.84558916,5.61028917,39.88918007,23.95640909,34.12604385,2.028366996,1685.88565,1684.306366,2842.711167,7.603889644
145,3,BO,RAMOS,Dlin-MC3-DMA,DSPC,10.6677323,33.20165113,68.11019134,5.967507709,45.49648323,22.61370811,29.98678187,1.90302679,905.7193637,822.0173123,1086.547379,6.837083789
146,3,BO,RAMOS,Dlin-MC3-DMA,DSPC,10.43830446,33.71042789,74.39511927,2.676417236,49.31620623,25.07891304,24.91958729,0.685293441,311.9085865,270.057561,295.3261046,5.676475154
147,3,BO,RAMOS,Dlin-MC3-DMA,DSPC,10.23676545,36.92332953,52.32562398,2.692415778,33.00526141,19.32036257,46.3907836,1.283592422,4980.272035,4834.977909,4473.321878,8.467586065
148,3,BO,RAMOS,Dlin-MC3-DMA,DSPC,10.53376093,39.54787421,58.52133092,6.07539728,35.37738858,23.14394234,38.95867515,2.519993933,1626.662502,844.9169301,1531.11582,7.155758669
149,3,BO,RAMOS,Dlin-MC3-DMA,DSPC,11.36133324,35.0971746,54.95398613,6.523120085,35.66668967,19.28729646,42.10760829,2.938405578,1544.539734,1415.038447,2081.496287,7.412745168
150,3,BO,RAMOS,Dlin-MC3-DMA,DSPC,8.560306876,31.17341212,55.76682562,3.33635708,38.38240325,17.38442238,42.75739773,1.475776645,2349.974566,2177.04297,3803.705469,7.897204526
151,3,BO,RAMOS,Dlin-MC3-DMA,DSPC,10.36003628,40.6039453,60.22272018,5.225351243,35.76991981,24.45280036,37.69877724,2.078502586,1230.262222,1194.728333,1372.397781,7.141657136
152,3,BO,RAMOS,Dlin-MC3-DMA,DSPC,8.850495772,31.81785405,68.27000019,3.251867228,46.54795117,21.72204902,30.69818235,1.031817465,346.6528341,430.3548849,631.7135925,6.1204567
153,3,BO,RAMOS,Dlin-MC3-DMA,DSPC,10.43100082,37.04836374,51.32509351,6.877556411,32.30998617,19.01510733,45.32726234,3.347644152,2480.265493,3603.926048,3389.933067,8.044821814
