Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_T
0,CONTROL,0,SM-102,DSPC,5,60,16.66667,3.75,3.5555288
1,N/A,0,SM-102,DSPC,5,40,10,3.75,3.932919413
2,N/A,0,SM-102,DSPC,5,55,10,3.75,2.935019781
3,N/A,0,SM-102,DSPC,5,70,10,3.75,1.127480654
4,N/A,0,SM-102,DSPC,5,40,30,3.75,4.843355392
5,N/A,0,SM-102,DSPC,5,55,30,3.75,4.021709872
6,N/A,0,SM-102,DSPC,5,70,30,3.75,1.116217314
7,N/A,0,SM-102,DSPC,5,40,50,3.75,4.218961745
8,N/A,0,SM-102,DSPC,5,55,50,3.75,3.411778998
9,N/A,0,SM-102,DSPC,5,70,50,3.75,1.738142548
10,N/A,0,SM-102,DSPC,5,40,60,3.75,3.811197857
11,N/A,0,SM-102,DSPC,5,55,60,3.75,3.190245482
12,N/A,0,SM-102,DSPC,5,70,60,3.75,1.273533489
13,N/A,0,SM-102,DSPC,8,40,10,3.75,2.560950848
14,N/A,0,SM-102,DSPC,8,55,10,3.75,2.883050082
15,N/A,0,SM-102,DSPC,8,70,10,3.75,0.801623882
16,N/A,0,SM-102,DSPC,8,40,30,3.75,4.311782755
17,N/A,0,SM-102,DSPC,8,55,30,3.75,2.631173509
18,N/A,0,SM-102,DSPC,8,70,30,3.75,1.935147695
19,N/A,0,SM-102,DSPC,8,40,50,3.75,3.940271984
20,N/A,0,SM-102,DSPC,8,55,50,3.75,3.106099215
21,N/A,0,SM-102,DSPC,8,70,50,3.75,2.035689278
22,N/A,0,SM-102,DSPC,8,40,60,3.75,3.368182593
23,N/A,0,SM-102,DSPC,8,55,60,3.75,3.449989777
24,N/A,0,SM-102,DSPC,8,70,60,3.75,2.741642412
