Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_RAMOS
1,N/A,0,SM-102,DSPC,7,80,50,0.2,0.583727918
2,CONTROL,0,SM-102,DSPC,6,60,16.66667,3.75,3.869726383
3,N/A,0,SM-102,DSPC,10,80,50,5,0.75420665
4,N/A,0,SM-102,DSPC,7,80,50,5,0.772268019
5,N/A,0,SM-102,DSPC,4,80,50,5,0.677455402
6,N/A,0,SM-102,DSPC,10,80,50,1,0.811226758
7,N/A,0,SM-102,DSPC,7,80,50,1,0.620472026
8,N/A,0,SM-102,DSPC,4,80,50,1,0.699482306
9,N/A,0,SM-102,DSPC,10,80,50,0.2,0.636801388
10,N/A,0,SM-102,DSPC,4,20,50,5,0.68300778
11,N/A,0,SM-102,DSPC,4,80,50,0.2,0.637401088
12,N/A,0,SM-102,DSPC,10,50,50,5,1.855068658
13,N/A,0,SM-102,DSPC,7,50,50,5,2.278254784
14,N/A,0,SM-102,DSPC,4,50,50,5,0.986412852
15,N/A,0,SM-102,DSPC,10,50,50,1,0.500094163
16,N/A,0,SM-102,DSPC,7,50,50,1,0.442773911
17,N/A,0,SM-102,DSPC,4,50,50,1,0.324626643
18,N/A,0,SM-102,DSPC,10,50,50,0.2,0.430929337
19,N/A,0,SM-102,DSPC,7,50,50,0.2,0.234032103
20,N/A,0,SM-102,DSPC,4,50,50,0.2,0.539980369
21,N/A,0,SM-102,DSPC,10,20,50,5,0.959119595
22,N/A,0,SM-102,DSPC,7,20,50,5,0.852115932
23,N/A,0,SM-102,DSPC,10,80,30,0.2,0.525334595
24,N/A,0,SM-102,DSPC,7,80,30,0.2,0.70612747
25,N/A,0,SM-102,DSPC,4,80,30,0.2,0.180737342
26,N/A,0,SM-102,DSPC,10,50,30,5,1.739803149
27,N/A,0,SM-102,DSPC,7,50,30,5,1.750003782
28,N/A,0,SM-102,DSPC,4,50,30,5,0.029998828
29,N/A,0,SM-102,DSPC,10,50,30,1,0.750376422
30,N/A,0,SM-102,DSPC,7,50,30,1,0.389677328
31,N/A,0,SM-102,DSPC,4,50,30,1,0.310871268
32,N/A,0,SM-102,DSPC,10,50,30,0.2,0.334549921
33,N/A,0,SM-102,DSPC,7,50,30,0.2,0.316946956
34,N/A,0,SM-102,DSPC,4,50,30,0.2,0.223356112
35,N/A,0,SM-102,DSPC,10,20,30,5,2.18331249
36,N/A,0,SM-102,DSPC,7,20,30,5,1.473675757
37,N/A,0,SM-102,DSPC,4,20,30,5,1.207976356
38,N/A,0,SM-102,DSPC,10,20,30,1,1.382008915
39,N/A,0,SM-102,DSPC,7,20,30,1,1.117792226
40,N/A,0,SM-102,DSPC,4,20,30,1,0.730273883
41,N/A,0,SM-102,DSPC,10,20,30,0.2,-0.049570159
42,N/A,0,SM-102,DSPC,7,20,30,0.2,0.131923514
43,N/A,0,SM-102,DSPC,4,20,30,0.2,-0.048776036
44,N/A,0,SM-102,DSPC,10,80,10,5,0.49997953
45,N/A,0,SM-102,DSPC,7,80,10,5,0.243262479
46,N/A,0,SM-102,DSPC,4,80,10,5,0.250938927
47,N/A,0,SM-102,DSPC,10,80,10,1,0.304340292
48,N/A,0,SM-102,DSPC,7,80,10,1,0.081475525
49,N/A,0,SM-102,DSPC,4,80,10,1,0.142305086
50,N/A,0,SM-102,DSPC,10,80,10,0.2,-0.150087517
51,N/A,0,SM-102,DSPC,10,20,50,1,0.348652633
52,N/A,0,SM-102,DSPC,7,20,50,1,0.441437743
53,N/A,0,SM-102,DSPC,4,20,50,1,0.739789565
54,N/A,0,SM-102,DSPC,10,20,50,0.2,0.24207624
55,N/A,0,SM-102,DSPC,7,20,50,0.2,0.30976262
56,N/A,0,SM-102,DSPC,4,20,50,0.2,0.311425131
57,N/A,0,SM-102,DSPC,10,80,30,5,0.370811282
58,N/A,0,SM-102,DSPC,7,80,30,5,0.609538488
59,N/A,0,SM-102,DSPC,4,80,30,5,0.367021171
60,N/A,0,SM-102,DSPC,10,80,30,1,0.834386124
61,N/A,0,SM-102,DSPC,7,80,30,1,0.708084509
62,N/A,0,SM-102,DSPC,4,80,30,1,0.322301537
63,N/A,0,SM-102,DSPC,7,20,10,5,1.329498557
64,N/A,0,SM-102,DSPC,4,20,10,5,1.225443071
65,N/A,0,SM-102,DSPC,10,20,10,1,2.203131819
66,N/A,0,SM-102,DSPC,7,20,10,1,2.00065016
67,N/A,0,SM-102,DSPC,4,20,10,1,1.916089764
68,N/A,0,SM-102,DSPC,10,20,10,0.2,-0.007184343
69,N/A,0,SM-102,DSPC,7,20,10,0.2,0.045107881
70,N/A,0,SM-102,DSPC,4,20,10,0.2,0.085127385
71,N/A,0,SM-102,DSPC,10,80,1,5,0.065140745
72,N/A,0,SM-102,DSPC,7,80,1,5,0.088246972
73,N/A,0,SM-102,DSPC,4,80,1,5,0.130431595
74,N/A,0,SM-102,DSPC,10,80,1,1,-0.157914267
75,N/A,0,SM-102,DSPC,7,80,1,1,-0.147170945
76,N/A,0,SM-102,DSPC,4,80,1,1,-0.123968449
77,N/A,0,SM-102,DSPC,10,80,1,0.2,0.547988749
78,N/A,0,SM-102,DSPC,7,80,1,0.2,-0.078995902
79,N/A,0,SM-102,DSPC,4,80,1,0.2,-0.027569665
80,N/A,0,SM-102,DSPC,10,50,1,5,2.636761787
81,N/A,0,SM-102,DSPC,7,50,1,5,3.147255832
82,N/A,0,SM-102,DSPC,4,50,1,5,1.424786004
83,N/A,0,SM-102,DSPC,10,50,1,1,1.112897696
84,N/A,0,SM-102,DSPC,7,50,1,1,1.341874768
85,N/A,0,SM-102,DSPC,4,50,1,1,1.167935292
86,N/A,0,SM-102,DSPC,10,50,1,0.2,0.297204899
87,N/A,0,SM-102,DSPC,7,50,1,0.2,0.614253544
88,N/A,0,SM-102,DSPC,4,50,1,0.2,0.976923367
89,N/A,0,SM-102,DSPC,10,20,1,5,1.353074413
90,N/A,0,SM-102,DSPC,7,20,1,5,1.484356306
91,N/A,0,SM-102,DSPC,7,80,10,0.2,0.073780489
92,N/A,0,SM-102,DSPC,4,80,10,0.2,-0.079609713
93,N/A,0,SM-102,DSPC,10,50,10,5,1.153250045
94,N/A,0,SM-102,DSPC,7,50,10,5,1.033899926
95,N/A,0,SM-102,DSPC,4,50,10,5,0.510017256
96,N/A,0,SM-102,DSPC,10,50,10,1,0.224715732
97,N/A,0,SM-102,DSPC,7,50,10,1,0.389421278
98,N/A,0,SM-102,DSPC,4,50,10,1,0.466761628
99,N/A,0,SM-102,DSPC,10,50,10,0.2,0.520292285
100,N/A,0,SM-102,DSPC,7,50,10,0.2,0.618539265
101,N/A,0,SM-102,DSPC,4,50,10,0.2,0.615786268
102,N/A,0,SM-102,DSPC,10,20,10,5,1.221884942
103,SA,0,SM-102,DSPC,6.927086229,71.01568386,19.05493098,4.443747044,3.254010566
104,SA,0,SM-102,DSPC,6.631447539,72.78344333,24.10730786,4.662748981,2.762145991
105,SA,0,SM-102,DSPC,6.257630672,63.34984533,28.91382197,4.274929845,3.801107642
106,SA,0,SM-102,DSPC,6.086399376,61.27010584,29.77992564,4.281802344,3.751537987
107,SA,0,SM-102,DSPC,6.547343345,66.21537127,25.11733166,4.875042963,1.755138323
108,SA,0,SM-102,DSPC,6.236377653,68.74565974,19.84424851,4.146977174,1.314174584
109,SA,0,SM-102,DSPC,6.168560445,67.58308798,17.20878256,4.412485361,2.483369383
110,SA,0,SM-102,DSPC,6.62815848,63.4013328,22.57070976,4.844201064,2.506398354
111,SA,0,SM-102,DSPC,6.667564198,65.27160842,29.44132268,4.669384408,1.834201379
112,SA,0,SM-102,DSPC,6.163562923,70.22302147,19.54212379,4.859822392,1.525772649
113,SA,0,SM-102,DSPC,6.288518041,69.24869673,18.64168955,4.288398192,2.041579064
114,SA,0,SM-102,DSPC,6.062129377,71.09381012,23.80620904,3.788995683,1.716800355
115,SA,0,SM-102,DSPC,6.329817556,72.06880249,29.04594126,4.07190969,1.902205878
116,SA,0,SM-102,DSPC,6.002865642,62.11306344,17.04948642,4.925478792,4.037764151
117,SA,0,SM-102,DSPC,6.059814738,64.16091442,16.82629003,4.993490674,2.835167431
118,SA,0,SM-102,DSPC,6.022781134,63.63116838,17.20803111,4.928453438,2.498383448
119,SA,0,SM-102,DSPC,6.004616328,60.88778643,16.95584753,4.924662144,3.045987467
120,SA,0,SM-102,DSPC,6.007446006,63.17687616,16.79386882,4.9366875,2.595182577
121,SA,0,SM-102,DSPC,6.040590018,64.73296911,17.16032936,4.956588054,2.270704012
122,SA,0,SM-102,DSPC,6.009975856,61.55935296,16.67410453,4.980542981,3.187736046
123,SA,0,SM-102,DSPC,6.021719694,61.50862002,17.18468345,4.947013447,3.140680956
124,SA,0,SM-102,DSPC,6.024333999,60.20415395,17.08617871,4.907686202,3.290696622
