SORT_LNP,Formula_label,Opt_Method,Ionizable_Lipid,Helper_lipid,SORT_lipid,IL_NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),SORT_of_total,on_target
B67,HB_C67,N/A,SM_102,DOPE,18PG,9,50,10,1,0,7.72677108
B68,HB_C68,N/A,SM_102,DOPE,18PG,6.3,50,10,1,0,7.215696401
B69,HB_C69,N/A,SM_102,DOPE,18PG,3.6,50,10,1,0,8.06332782
B70,HB_C70,N/A,SM_102,DOPE,18PG,9,50,10,0.2,0,7.557301446
B71,HB_C71,N/A,SM_102,DOPE,18PG,6.3,50,10,0.2,0,7.358718824
B72,HB_C72,N/A,SM_102,DOPE,18PG,3.6,50,10,0.2,0,7.845994034
B73,HB_C73,N/A,SM_102,DOPE,18PG,9,20,10,5,0,8.442219738
B74,HB_C74,N/A,SM_102,DOPE,18PG,6.3,20,10,5,0,8.137820625
B75,HB_C75,N/A,SM_102,DOPE,18PG,3.6,20,10,5,0,7.913840017
B76,HB_C76,N/A,SM_102,DOPE,18PG,9,20,10,1,0,7.756774132
B77,HB_C77,N/A,SM_102,DOPE,18PG,6.3,20,10,1,0,7.649318588
B78,HB_C78,N/A,SM_102,DOPE,18PG,3.6,20,10,1,0,7.706764252
B79,HB_C79,N/A,SM_102,DOPE,18PG,9,20,10,0.2,0,7.484547381
B80,HB_C80,N/A,SM_102,DOPE,18PG,6.3,20,10,0.2,0,7.024058797
B81,HB_C81,N/A,SM_102,DOPE,18PG,3.6,20,10,0.2,0,7.225157037
B82,HB_C82,N/A,SM_102,DOPE,18PG,9.9,80,1,5,0,6.638992486
B83,HB_C83,N/A,SM_102,DOPE,18PG,6.93,80,1,5,0,6.414959904
B84,HB_C84,N/A,SM_102,DOPE,18PG,3.96,80,1,5,0,6.669919503
B85,HB_C85,N/A,SM_102,DOPE,18PG,9.9,80,1,1,0,6.54783189
B86,HB_C86,N/A,SM_102,DOPE,18PG,6.93,80,1,1,0,6.110183554
B87,HB_C87,N/A,SM_102,DOPE,18PG,3.96,80,1,1,0,6.385637404
B88,HB_C88,N/A,SM_102,DOPE,18PG,9.9,80,1,0.2,0,6.421624389
B89,HB_C89,N/A,SM_102,DOPE,18PG,6.93,80,1,0.2,0,6.610326048
