Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_T
1,CONTROL,0,SM-102,DSPC,5,60,16.66667,3.75,1.0000000
2,LIBRARY,0,SM-102,DSPC,5,40,10,3.75,1.458473896
3,LIBRARY,0,SM-102,DSPC,5,55,10,3.75,0.537670683
4,LIBRARY,0,SM-102,DSPC,5,70,10,3.75,0.088208835
5,LIBRARY,0,SM-102,DSPC,5,40,30,3.75,3.624899598
6,LIBRARY,0,SM-102,DSPC,5,55,30,3.75,1.593895582
7,LIBRARY,0,SM-102,DSPC,5,70,30,3.75,0.087220884
8,LIBRARY,0,SM-102,DSPC,5,40,50,3.75,1.941445783
9,LIBRARY,0,SM-102,DSPC,5,55,50,3.75,0.866104418
10,LIBRARY,0,SM-102,DSPC,5,70,50,3.75,0.162449799
11,LIBRARY,0,SM-102,DSPC,5,40,60,3.75,1.291325301
12,LIBRARY,0,SM-102,DSPC,5,55,60,3.75,0.694
13,LIBRARY,0,SM-102,DSPC,5,70,60,3.75,0.102080321
14,LIBRARY,0,SM-102,DSPC,8,40,10,3.75,0.369879518
15,LIBRARY,0,SM-102,DSPC,8,55,10,3.75,0.510441767
16,LIBRARY,0,SM-102,DSPC,8,70,10,3.75,0.063678715
17,LIBRARY,0,SM-102,DSPC,8,40,30,3.75,2.130281124
18,LIBRARY,0,SM-102,DSPC,8,55,30,3.75,0.396787149
19,LIBRARY,0,SM-102,DSPC,8,70,30,3.75,0.197823293
20,LIBRARY,0,SM-102,DSPC,8,40,50,3.75,1.469236948
21,LIBRARY,0,SM-102,DSPC,8,55,50,3.75,0.637991968
22,LIBRARY,0,SM-102,DSPC,8,70,50,3.75,0.218746988
23,LIBRARY,0,SM-102,DSPC,8,40,60,3.75,0.829156627
24,LIBRARY,0,SM-102,DSPC,8,55,60,3.75,0.899839357
25,LIBRARY,0,SM-102,DSPC,8,70,60,3.75,0.44313253
26,DA,1,SM-102,DSPC,6.324350953,31.2082224,44.60332734,3.914758226,5.274589421
27,DA,1,SM-102,DSPC,5.879832032,31.25941314,44.01879946,9.642407477,3.01375149
28,DA,1,SM-102,DSPC,4.683059845,45.23359377,41.25226137,2.62426339,0.110252551
29,DA,1,SM-102,DSPC,6.322055152,45.36384447,39.26790476,3.238514084,0.054640412
30,DA,1,SM-102,DSPC,7.758338467,44.47699964,46.96689549,7.083999008,1.380481342
31,DA,1,SM-102,DSPC,5.555543947,35.24528034,35.87996698,4.710013166,1.51190915
32,DA,1,SM-102,DSPC,4.472554723,49.97080609,36.7067211,2.576518372,0.06576284
33,DA,1,SM-102,DSPC,4.94244829,38.16619322,30.86941688,4.937801927,1.563501556
34,DA,1,SM-102,DSPC,4.343354343,52.95052886,45.96796053,4.333219156,0.464471466
35,DA,1,SM-102,DSPC,5.599815017,53.45884235,48.67940612,7.550825235,0.985219201
36,i-optimal,1,SM-102,DSPC,9.073844404,68.46508227,8.399639246,3.487445104,0.305506736
37,i-optimal,1,SM-102,DSPC,8.67803576,79.05523484,61.95578228,2.291000098,0.097410376
38,i-optimal,1,SM-102,DSPC,9.302556245,56.56030459,25.15052381,4.704748181,2.061948508
39,i-optimal,1,SM-102,DSPC,5.845599336,57.73841431,9.171312119,2.56149891,0.254536515
40,i-optimal,1,SM-102,DSPC,9.162253826,57.13327622,19.54036439,8.587812843,1.608103121
41,i-optimal,1,SM-102,DSPC,8.444795687,63.26871254,48.92271686,8.360677363,0.150449886
42,i-optimal,1,SM-102,DSPC,9.405599359,81.82581138,63.71501281,7.141697217,0.747880154
43,i-optimal,1,SM-102,DSPC,9.410352512,85.9242985,73.33163149,3.469802151,0.244889155
44,i-optimal,1,SM-102,DSPC,8.616780154,67.39558041,38.15359054,4.249632145,1.111194153
45,i-optimal,1,SM-102,DSPC,8.794185677,81.76957255,62.28467776,4.283339491,0.325843092
46,cntrl,1,SM-102,DSPC,5,40,30,3.75,4.334321326
47,cntrl,1,SM-102,DSPC,5,55,30,3.75,0.049872659
48,cntrl,1,SM-102,DSPC,5,40,50,3.75,2.036222214
49,cntrl,1,SM-102,DSPC,8,40,30,3.75,1.490656994
50,cntrl,1,SM-102,DSPC,8,40,50,3.75,1.780846798
