Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_T
1,CONTROL,0,SM-102,DSPC,5,60,16.66667,3.75,3.208993
2,CONTROL,1,SM-102,DSPC,5,60,16.66667,3.75,3.208993
3,LIBRARY,0,SM-102,DSPC,5,40,10,3.75,3.677172
4,LIBRARY,0,SM-102,DSPC,5,55,10,3.75,3.409722
5,LIBRARY,0,SM-102,DSPC,5,70,10,3.75,1.913855
6,LIBRARY,0,SM-102,DSPC,5,40,30,3.75,2.651148
7,LIBRARY,0,SM-102,DSPC,5,55,30,3.75,3.623234
8,LIBRARY,0,SM-102,DSPC,5,70,30,3.75,2.968042
9,LIBRARY,0,SM-102,DSPC,5,40,50,3.75,1.92245
10,LIBRARY,0,SM-102,DSPC,5,55,50,3.75,2.964978
11,LIBRARY,0,SM-102,DSPC,5,70,50,3.75,3.199654
12,LIBRARY,0,SM-102,DSPC,5,40,60,3.75,1.924478
13,LIBRARY,0,SM-102,DSPC,5,55,60,3.75,2.011357
14,LIBRARY,0,SM-102,DSPC,5,70,60,3.75,2.076725
15,LIBRARY,0,SM-102,DSPC,8,40,10,3.75,3.281543
16,LIBRARY,0,SM-102,DSPC,8,55,10,3.75,2.827127
17,LIBRARY,0,SM-102,DSPC,8,70,10,3.75,0.394393
18,LIBRARY,0,SM-102,DSPC,8,40,30,3.75,2.816386
19,LIBRARY,0,SM-102,DSPC,8,55,30,3.75,3.746231
20,LIBRARY,0,SM-102,DSPC,8,70,30,3.75,3.264556
21,LIBRARY,0,SM-102,DSPC,8,40,50,3.75,1.115851
22,LIBRARY,0,SM-102,DSPC,8,55,50,3.75,1.828531
23,LIBRARY,0,SM-102,DSPC,8,70,50,3.75,1.01317
24,LIBRARY,0,SM-102,DSPC,8,40,60,3.75,0.480808
25,LIBRARY,0,SM-102,DSPC,8,55,60,3.75,1.043424
26,LIBRARY,0,SM-102,DSPC,8,70,60,3.75,1.866673
27,DA,1,SM-102,DSPC,8.737060596,58.04795818,32.60466621,5.854269316,4.626044
28,DA,1,SM-102,DSPC,9.870449501,56.11298391,38.5797491,7.601162223,3.50995
29,DA,1,SM-102,DSPC,9.392470492,56.70148783,37.29050298,7.483743701,3.515653
30,DA,1,SM-102,DSPC,9.712161499,58.30323132,46.87605091,8.230777461,2.979834
31,DA,1,SM-102,DSPC,8.469702942,56.04473257,39.8490839,2.89412871,4.206428
32,DA,1,SM-102,DSPC,9.251610565,57.3530189,42.42695459,5.852828085,3.80712
33,DA,1,SM-102,DSPC,8.383138253,55.99451561,33.54840185,6.326297848,4.24029
34,DA,1,SM-102,DSPC,8.19911375,58.10092582,43.26295456,9.078226158,3.725053
35,DA,1,SM-102,DSPC,9.096410799,55.6173338,33.51948425,9.597126924,3.96213
36,DA,1,SM-102,DSPC,9.619348081,59.56354174,34.58355448,2.629117221,3.495063
37,i-optimal,1,SM-102,DSPC,7.302396753,72.81384374,87.17393207,4.0205377,2.038116
38,i-optimal,1,SM-102,DSPC,4.484190324,72.10983952,69.68058927,7.733571997,2.541186
39,i-optimal,1,SM-102,DSPC,9.468687557,69.30240692,13.55193963,8.592494036,2.108866
40,i-optimal,1,SM-102,DSPC,8.001109228,66.05900246,15.88142362,6.165611856,3.125975
41,i-optimal,1,SM-102,DSPC,8.459872221,64.5408577,16.01947022,4.638128116,2.763098
42,i-optimal,1,SM-102,DSPC,4.571888849,80.27196727,68.08322761,3.197685455,3.191681
43,i-optimal,1,SM-102,DSPC,7.259150239,74.57122806,71.56554469,9.688452314,2.916307
44,i-optimal,1,SM-102,DSPC,7.119937702,84.34343683,79.8060538,5.803663961,2.11859
45,i-optimal,1,SM-102,DSPC,5.249117653,71.573131,81.17280841,7.310312856,3.135447
46,i-optimal,1,SM-102,DSPC,6.35319852,83.24348152,64.10400704,8.132123402,3.153581
