Formula_label,Opt_Method,Iter,Cell_Target,NP_ratio,HL_IL+HL,IL+HL,PEG_PEG+Chol
125,DA,3,RAMOS,14.62675038,25.0389183,52.4283311,0.709108876
126,DA,3,RAMOS,14.29911638,25.23607001,52.4240839,0.699037028
127,DA,3,RAMOS,14.63740502,26.43956361,52.43966111,0.586804587
128,DA,3,RAMOS,24.29676996,26.42909035,52.46956021,0.589952208
129,DA,3,RAMOS,14.3505991,25.85332987,52.49067415,0.800557557
130,DA,3,RAMOS,14.66026487,25.34618385,52.44193004,0.558110799
131,DA,3,RAMOS,14.5736902,25.60814953,52.41973407,0.964271572
132,NSGAII,3,RAMOS,14.35822291,26.29216105,52.43623931,0.539934453
133,NSGAII,3,RAMOS,4.857269494,75.39018764,35.99836088,9.604971085
134,NSGAII,3,RAMOS,4.000007032,26.26585361,52.47084237,7.814130391
135,NSGAII,3,RAMOS,5.772291548,73.14337321,70.88151566,4.10249426
136,NSGAII,3,RAMOS,24.78240929,25.69633487,56.07689019,3.000713294
137,NSGAII,3,RAMOS,4.006952393,54.48619378,52.37488235,2.469914941
138,NSGAII,3,RAMOS,4.00009166,27.06523097,52.4719621,0.540436198
139,NSGAII,3,RAMOS,6.939277218,75.56930401,52.38988532,2.936280453
140,NSGAII,3,RAMOS,5.790544918,55.71668329,69.76366845,7.66939598
141,NSGAII,3,RAMOS,4.466618502,72.36863766,52.69554989,10.52265397
142,NSGAII,3,RAMOS,5.808384464,38.58717542,61.87946667,2.529430301
143,NSGAII,3,RAMOS,4.996358131,56.09336495,52.40123117,7.631056393
144,NSGAII,3,RAMOS,7.151936423,23.34916927,55.62675744,4.22699223
145,NSGAII,3,RAMOS,4.851788998,40.77387559,50.62369577,6.098139662
146,NSGAII,3,RAMOS,4.709202886,23.34916927,61.96256125,6.311921229
147,NSGAII,3,RAMOS,6.82628315,58.2940475,52.39235395,4.233003028
148,NSGAII,3,RAMOS,4.748933795,74.82706902,52.52706975,6.889293105
149,NSGAII,3,RAMOS,4.007601813,23.34916927,52.38832656,4.148903022
