Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_HEPG2
1,CONTROL,0,SM-102,DSPC,6,60,16.66666667,3.75,6.137877343
2,N/A,0,SM-102,DSPC,10,80,50,5,6.315791575
3,N/A,0,SM-102,DSPC,7,80,50,5,6.433748975
4,N/A,0,SM-102,DSPC,4,80,50,5,5.217296985
5,N/A,0,SM-102,DSPC,10,80,50,1,6.475676395
6,N/A,0,SM-102,DSPC,7,80,50,1,6.615349645
7,N/A,0,SM-102,DSPC,4,80,50,1,4.668450355
8,N/A,0,SM-102,DSPC,10,80,50,0.2,5.591725605
9,N/A,0,SM-102,DSPC,7,80,50,0.2,6.049689165
10,N/A,0,SM-102,DSPC,4,80,50,0.2,3.055747135
11,N/A,0,SM-102,DSPC,10,50,50,5,5.052497835
12,N/A,0,SM-102,DSPC,7,50,50,5,5.662184965
13,N/A,0,SM-102,DSPC,4,50,50,5,4.892082785
14,N/A,0,SM-102,DSPC,10,50,50,1,5.675447065
15,N/A,0,SM-102,DSPC,7,50,50,1,7.208421025
16,N/A,0,SM-102,DSPC,4,50,50,1,5.789360405
17,N/A,0,SM-102,DSPC,10,50,50,0.2,4.930438395
18,N/A,0,SM-102,DSPC,7,50,50,0.2,4.690415975
19,N/A,0,SM-102,DSPC,4,50,50,0.2,3.911362135
20,N/A,0,SM-102,DSPC,10,20,50,5,6.054693775
21,N/A,0,SM-102,DSPC,7,20,50,5,6.256845255
22,N/A,0,SM-102,DSPC,4,20,50,5,6.038362265
23,N/A,0,SM-102,DSPC,10,20,50,1,8.943796895
24,N/A,0,SM-102,DSPC,7,20,50,1,8.504338385
25,N/A,0,SM-102,DSPC,4,20,50,1,7.599807095
26,N/A,0,SM-102,DSPC,10,20,50,0.2,8.792932485
27,N/A,0,SM-102,DSPC,7,20,50,0.2,8.194079515
28,N/A,0,SM-102,DSPC,4,20,50,0.2,7.427345495
29,N/A,0,SM-102,DSPC,10,80,30,5,4.455644385
30,N/A,0,SM-102,DSPC,7,80,30,5,4.390393095
31,N/A,0,SM-102,DSPC,4,80,30,5,4.621949745
32,N/A,0,SM-102,DSPC,10,80,30,1,4.999786595
33,N/A,0,SM-102,DSPC,7,80,30,1,4.982225455
34,N/A,0,SM-102,DSPC,4,80,30,1,4.393214275
35,N/A,0,SM-102,DSPC,10,80,30,0.2,3.638627165
36,N/A,0,SM-102,DSPC,7,80,30,0.2,3.725838235
37,N/A,0,SM-102,DSPC,4,80,30,0.2,3.605974285
38,N/A,0,SM-102,DSPC,10,50,30,5,6.573272875
39,N/A,0,SM-102,DSPC,7,50,30,5,6.874308205
40,N/A,0,SM-102,DSPC,4,50,30,5,6.649620425
41,N/A,0,SM-102,DSPC,10,50,30,1,8.809856575
42,N/A,0,SM-102,DSPC,7,50,30,1,8.858821045
43,N/A,0,SM-102,DSPC,4,50,30,1,7.946578745
44,N/A,0,SM-102,DSPC,10,50,30,0.2,4.917815945
45,N/A,0,SM-102,DSPC,7,50,30,0.2,4.720263075
46,N/A,0,SM-102,DSPC,4,50,30,0.2,3.745208045
47,N/A,0,SM-102,DSPC,10,20,30,5,6.345097425
48,N/A,0,SM-102,DSPC,7,20,30,5,6.514180525
49,N/A,0,SM-102,DSPC,4,20,30,5,6.340093685
50,N/A,0,SM-102,DSPC,10,20,30,1,8.992947298
51,N/A,0,SM-102,DSPC,7,20,30,1,9.234774655
52,N/A,0,SM-102,DSPC,4,20,30,1,8.928147035
53,N/A,0,SM-102,DSPC,10,20,30,0.2,9.457604665
54,N/A,0,SM-102,DSPC,7,20,30,0.2,8.317138495
55,N/A,0,SM-102,DSPC,4,20,30,0.2,9.172507085
