Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,MAL_Mol_RNA,LnRLU_T
7,cntrl,1,SM-102,DSPC,5,40,50,3.75,15,15,43.3125,1.5755,0.112,4.172767096
16,cntrl,1,SM-102,DSPC,8,40,30,3.75,24,10.28571429,49.5,1.816571429,0.112,3.860887819
19,cntrl,1,SM-102,DSPC,8,40,50,3.75,24,24,69.3,2.588,0.112,4.038759841
45,DA,2,SM-102,DSPC,5.510740828,30.51599654,23.13539621,6.888534378,16.53222248,4.976016248,45.60004669,3.261564009,0.112,4.933490958
46,DA,2,SM-102,DSPC,6.532484928,30.74227835,34.72186945,6.083054915,19.59745478,10.42401583,63.51964617,4.002204263,0.112,5.46163287
47,DA,2,SM-102,DSPC,8.413861936,30.78895688,36.87871467,5.081546173,25.24158581,14.74743798,85.32413158,4.455905363,0.112,5.320924985
48,DA,2,SM-102,DSPC,4.741294183,30.21711636,25.53286266,8.717134268,14.22388255,4.877002832,40.26601576,3.733237143,0.112,4.668130547
49,DA,2,SM-102,DSPC,4.223350775,31.09347402,22.24975196,2.637328182,12.67005232,3.625782923,35.16091883,0.840427459,0.112,4.785470767
50,DA,2,SM-102,DSPC,4.338597801,31.19196765,30.78986414,4.706141807,13.0157934,5.79040202,39.53322302,1.840370879,0.112,5.072693417
51,DA,2,SM-102,DSPC,8.320162938,30.80162317,37.4630055,7.35462297,24.96048881,14.95266821,83.07342913,6.482757015,0.112,5.027060804
52,DA,2,SM-102,DSPC,6.896730875,30.17937067,35.7792809,9.023497136,20.69019262,11.52712433,67.809757,6.613705307,0.112,4.898674461
53,DA,2,SM-102,DSPC,4.252022198,30.28319613,21.28635364,6.422309279,12.75606659,3.449594284,34.91200811,2.284038114,0.112,4.71530548
54,DA,2,SM-102,DSPC,5.484554319,30.92584021,26.23782836,4.608998311,16.45366296,5.852707086,47.52590714,2.184304912,0.112,4.871672543
55,i-optimal,2,SM-102,DSPC,5.941447508,67.55793708,19.98708987,5.788003882,17.82434253,4.45249067,10.07840348,0.507176335,0.112,1.811546212
56,i-optimal,2,SM-102,DSPC,9.291440703,49.0362083,41.82666134,9.727630113,27.87432211,20.04165237,44.95520887,4.732313316,0.112,3.805282895
57,i-optimal,2,SM-102,DSPC,7.709445064,38.71735006,60.92104587,8.523731245,23.12833519,36.05527324,85.69229886,7.872782667,0.112,4.068059579
58,i-optimal,2,SM-102,DSPC,6.89173047,53.05611525,54.08685346,8.030363967,20.67519141,24.35590092,36.643802,3.087567595,0.112,3.072177961
59,i-optimal,2,SM-102,DSPC,9.391520505,86.33215827,44.40346532,6.075588706,28.17456151,22.50226875,7.535555407,0.375444475,0.112,1.230822374
60,i-optimal,2,SM-102,DSPC,9.285583084,57.16447856,17.58537,2.508342653,27.85674925,5.943984007,24.69285958,0.523317468,0.112,3.620533586
61,i-optimal,2,SM-102,DSPC,5.881325356,48.38761881,62.44855139,5.506501746,17.64397607,29.34216354,47.35778019,2.647721083,0.112,3.727491479
62,i-optimal,2,SM-102,DSPC,5.21855484,61.46896085,30.20317772,5.664177122,15.65566452,6.774675441,13.26378118,0.684393179,0.112,2.597923622
63,i-optimal,2,SM-102,DSPC,7.99085771,59.82424941,40.77976991,7.019825214,23.97257313,16.5078051,25.2767749,1.79634812,0.112,3.454320544
64,i-optimal,2,SM-102,DSPC,4.356590666,58.49380353,40.88586149,5.015478233,13.069772,9.0396122,14.90158836,0.674850222,0.112,1.94381418
4,cntrl,2,SM-102,DSPC,5,40,30,3.75,15,6.428571429,30.9375,1.093357143,0.112,4.839786611
7,cntrl,2,SM-102,DSPC,5,40,50,3.75,15,15,43.3125,1.5755,0.112,3.852306186
