Formula_label,Lipid_Formula_label,Opt_Method,Ionizable_Lipid,Helper_lipid,SORT_lipid,Iter,IL_NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),SORT_of_total,on_target,NORM_RLU_HEPG2
1,HB_C1,N/A,SM_102,DOPE,18PG,0,10,80,50,5,0,1.468970649,
2,HB_C2,N/A,SM_102,DOPE,18PG,0,3.5,80,50,5,0,1.080828308,
3,HB_C3,N/A,SM_102,DOPE,18PG,0,2,80,50,5,0,1.01292678,
4,HB_C4,N/A,SM_102,DOPE,18PG,0,5,80,50,1,0,1.109567061,
5,HB_C5,N/A,SM_102,DOPE,18PG,0,3.5,80,50,1,0,0.935699213,
6,HB_C6,N/A,SM_102,DOPE,18PG,0,2,80,50,1,0,1.842215571,
7,HB_C7,N/A,SM_102,DOPE,18PG,0,5,80,50,0.2,0,0.768167847,
8,HB_C8,N/A,SM_102,DOPE,18PG,0,3.5,80,50,0.2,0,1.15219283,
9,HB_C9,N/A,SM_102,DOPE,18PG,0,2,80,50,0.2,0,2.104896823,
10,HB_C10,N/A,SM_102,DOPE,18PG,0,5,50,50,5,0,1.200311887,
11,HB_C11,N/A,SM_102,DOPE,18PG,0,3.5,50,50,5,0,0.834445792,
12,HB_C12,N/A,SM_102,DOPE,18PG,0,2,50,50,5,0,0.751155356,
13,HB_C13,N/A,SM_102,DOPE,18PG,0,5,50,50,1,0,0.498337317,
14,HB_C14,N/A,SM_102,DOPE,18PG,0,3.5,50,50,1,0,0.635971191,
15,HB_C15,N/A,SM_102,DOPE,18PG,0,2,50,50,1,0,0.827967283,
16,HB_C16,N/A,SM_102,DOPE,18PG,0,5,50,50,0.2,0,0.607182723,
17,HB_C17,N/A,SM_102,DOPE,18PG,0,3.5,50,50,0.2,0,0.987336109,
18,HB_C18,N/A,SM_102,DOPE,18PG,0,2,50,50,0.2,0,0.842837635,
19,HB_C19,N/A,SM_102,DOPE,18PG,0,5,20,50,5,0,1.272065649,
20,HB_C20,N/A,SM_102,DOPE,18PG,0,3.5,20,50,5,0,1.641431926,
21,HB_C21,N/A,SM_102,DOPE,18PG,0,2,20,50,5,0,1.107538046,
22,HB_C22,N/A,SM_102,DOPE,18PG,0,5,20,50,1,0,0.820922256,
23,HB_C23,N/A,SM_102,DOPE,18PG,0,3.5,20,50,1,0,1.069661369,
24,HB_C24,N/A,SM_102,DOPE,18PG,0,2,20,50,1,0,0.763315093,
25,HB_C25,N/A,SM_102,DOPE,18PG,0,5,20,50,0.2,0,0.557770032,
26,HB_C26,N/A,SM_102,DOPE,18PG,0,3.5,20,50,0.2,0,0.870702725,
27,HB_C27,N/A,SM_102,DOPE,18PG,0,2,20,50,0.2,0,0.661674578,
28,HB_C28,N/A,SM_102,DOPE,18PG,0,7,80,30,5,0,0.649505121,
29,HB_C29,N/A,SM_102,DOPE,18PG,0,4.9,80,30,5,0,0.618814632,
30,HB_C30,N/A,SM_102,DOPE,18PG,0,2.8,80,30,5,0,1.484035199,
31,HB_C31,N/A,SM_102,DOPE,18PG,0,7,80,30,1,0,1.454409988,
32,HB_C32,N/A,SM_102,DOPE,18PG,0,4.9,80,30,1,0,1.081454979,
33,HB_C33,N/A,SM_102,DOPE,18PG,0,2.8,80,30,1,0,1.083993478,
34,HB_C34,N/A,SM_102,DOPE,18PG,0,7,80,30,0.2,0,1.670926814,
35,HB_C35,N/A,SM_102,DOPE,18PG,0,4.9,80,30,0.2,0,0.818587656,
36,HB_C36,N/A,SM_102,DOPE,18PG,0,2.8,80,30,0.2,0,0.957213666,
37,HB_C37,N/A,SM_102,DOPE,18PG,0,7,50,30,5,0,2.113177273,
38,HB_C38,N/A,SM_102,DOPE,18PG,0,4.9,50,30,5,0,2.16735057,
39,HB_C39,N/A,SM_102,DOPE,18PG,0,2.8,50,30,5,0,1.580043771,
40,HB_C40,N/A,SM_102,DOPE,18PG,0,7,50,30,1,0,0.435691849,
41,HB_C41,N/A,SM_102,DOPE,18PG,0,4.9,50,30,1,0,0.933281446,
42,HB_C42,N/A,SM_102,DOPE,18PG,0,2.8,50,30,1,0,1.476089931,
43,HB_C43,N/A,SM_102,DOPE,18PG,0,7,50,30,0.2,0,1.36511799,
44,HB_C44,N/A,SM_102,DOPE,18PG,0,4.9,50,30,0.2,0,1.069638774,
45,HB_C45,N/A,SM_102,DOPE,18PG,0,2.8,50,30,0.2,0,1.78835768,
46,HB_C46,N/A,SM_102,DOPE,18PG,0,7,20,30,5,0,3.105879298,
47,HB_C47,N/A,SM_102,DOPE,18PG,0,4.9,20,30,5,0,1.571635205,
48,HB_C48,N/A,SM_102,DOPE,18PG,0,2.8,20,30,5,0,1.886447938,
49,HB_C49,N/A,SM_102,DOPE,18PG,0,7,20,30,1,0,1.126401912,
50,HB_C50,N/A,SM_102,DOPE,18PG,0,4.9,20,30,1,0,1.252200347,
51,HB_C51,N/A,SM_102,DOPE,18PG,0,2.8,20,30,1,0,1.545475563,
52,HB_C52,N/A,SM_102,DOPE,18PG,0,7,20,30,0.2,0,0.689803717,
53,HB_C53,N/A,SM_102,DOPE,18PG,0,4.9,20,30,0.2,0,0.770400369,
54,HB_C54,N/A,SM_102,DOPE,18PG,0,2.8,20,30,0.2,0,1.283119727,
55,HB_C55,N/A,SM_102,DOPE,18PG,0,9,80,10,5,0,0.374594211,
56,HB_C56,N/A,SM_102,DOPE,18PG,0,6.3,80,10,5,0,1.821399424,
57,HB_C57,N/A,SM_102,DOPE,18PG,0,3.6,80,10,5,0,1.190432261,
58,HB_C58,N/A,SM_102,DOPE,18PG,0,9,80,10,1,0,1.016731604,
59,HB_C59,N/A,SM_102,DOPE,18PG,0,6.3,80,10,1,0,0.774132917,
60,HB_C60,N/A,SM_102,DOPE,18PG,0,3.6,80,10,1,0,0.283811759,
61,HB_C61,N/A,SM_102,DOPE,18PG,0,9,80,10,0.2,0,0.654705431,
