Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_HEPG2
57,N/A,0,SM-102,DSPC,7,80,10,5,3.385258042
58,N/A,0,SM-102,DSPC,4,80,10,5,2.78186422
59,N/A,0,SM-102,DSPC,10,80,10,1,5.131756262
60,N/A,0,SM-102,DSPC,7,80,10,1,4.931803522
61,N/A,0,SM-102,DSPC,4,80,10,1,3.251726652
62,N/A,0,SM-102,DSPC,10,80,10,0.2,3.419136712
63,N/A,0,SM-102,DSPC,7,80,10,0.2,3.036436392
64,N/A,0,SM-102,DSPC,4,80,10,0.2,3.912950502
65,N/A,0,SM-102,DSPC,10,50,10,5,7.098012752
66,N/A,0,SM-102,DSPC,7,50,10,5,7.159425582
67,N/A,0,SM-102,DSPC,4,50,10,5,7.107186362
68,N/A,0,SM-102,DSPC,10,50,10,1,9.044138312
69,N/A,0,SM-102,DSPC,7,50,10,1,8.559219642
70,N/A,0,SM-102,DSPC,4,50,10,1,8.210381632
71,N/A,0,SM-102,DSPC,10,50,10,0.2,8.898004552
72,N/A,0,SM-102,DSPC,7,50,10,0.2,8.787689262
73,N/A,0,SM-102,DSPC,4,50,10,0.2,8.522323562
74,N/A,0,SM-102,DSPC,10,20,10,5,5.820524702
75,N/A,0,SM-102,DSPC,7,20,10,5,6.359551262
76,N/A,0,SM-102,DSPC,4,20,10,5,6.655457362
77,N/A,0,SM-102,DSPC,10,20,10,1,7.844900792
78,N/A,0,SM-102,DSPC,7,20,10,1,7.784097512
79,N/A,0,SM-102,DSPC,4,20,10,1,7.330230292
80,N/A,0,SM-102,DSPC,10,20,10,0.2,9.345310412
81,N/A,0,SM-102,DSPC,7,20,10,0.2,7.241260502
82,N/A,0,SM-102,DSPC,4,20,10,0.2,9.093970682
83,N/A,0,SM-102,DSPC,10,80,1,5,4.197407842
84,N/A,0,SM-102,DSPC,7,80,1,5,3.553662962
85,N/A,0,SM-102,DSPC,4,80,1,5,2.605848043
86,N/A,0,SM-102,DSPC,10,80,1,1,5.330216532
87,N/A,0,SM-102,DSPC,7,80,1,1,5.312260672
88,N/A,0,SM-102,DSPC,4,80,1,1,4.379155362
89,N/A,0,SM-102,DSPC,10,80,1,0.2,5.167268512
90,N/A,0,SM-102,DSPC,7,80,1,0.2,4.981289632
91,N/A,0,SM-102,DSPC,4,80,1,0.2,3.866023502
92,N/A,0,SM-102,DSPC,10,50,1,5,5.903379572
93,N/A,0,SM-102,DSPC,7,50,1,5,5.652065142
94,N/A,0,SM-102,DSPC,4,50,1,5,5.496336192
95,N/A,0,SM-102,DSPC,10,50,1,1,7.712491672
96,N/A,0,SM-102,DSPC,7,50,1,1,7.730723792
97,N/A,0,SM-102,DSPC,4,50,1,1,2.944157222
98,N/A,0,SM-102,DSPC,10,50,1,0.2,8.281245822
99,N/A,0,SM-102,DSPC,7,50,1,0.2,8.145461082
100,N/A,0,SM-102,DSPC,4,50,1,0.2,7.945717462
101,N/A,0,SM-102,DSPC,10,20,1,5,5.893704772
102,N/A,0,SM-102,DSPC,7,20,1,5,5.407910562
103,N/A,0,SM-102,DSPC,4,20,1,5,5.638022782
104,N/A,0,SM-102,DSPC,10,20,1,1,5.397227972
105,N/A,0,SM-102,DSPC,7,20,1,1,5.412350792
106,N/A,0,SM-102,DSPC,4,20,1,1,5.549357152
107,N/A,0,SM-102,DSPC,10,20,1,0.2,5.641911322
108,N/A,0,SM-102,DSPC,7,20,1,0.2,5.705465632
109,N/A,0,SM-102,DSPC,4,20,1,0.2,4.800108372
110,quad,0,SM-102,DSPC,4.919292154,80.44226923,65.43243245,5.633056837,4.289133832
111,quad,0,SM-102,DSPC,12.56072079,22.03585478,6.915956019,1.029633898,5.092635532
112,quad,0,SM-102,DSPC,4.74625234,25.33078247,2.074657614,7.251480448,0.511499743
113,quad,0,SM-102,DSPC,12.14331071,21.98258594,41.26171714,7.194415916,8.694050642
114,quad,0,SM-102,DSPC,4.348972324,25.23066662,40.21264949,1.084754183,3.189046672
115,quad,0,SM-102,DSPC,5.229549341,88.07168479,58.40941019,0.454162943,3.668028372
116,quad,0,SM-102,DSPC,5.212242624,20.47914538,52.01592416,6.70330653,9.252581482
117,quad,0,SM-102,DSPC,6.853624706,65.02867329,2.695930756,3.46746327,5.816395562
118,quad,0,SM-102,DSPC,11.78338396,41.42511975,1.321285004,5.800971406,3.647326172
119,quad,0,SM-102,DSPC,6.545190646,20.04508946,19.95337581,1.226563301,8.889594252
120,quad,0,SM-102,DSPC,5.301862661,74.54774528,2.394676902,10.45777841,2.731056376
121,quad,0,SM-102,DSPC,5.892291867,25.1984844,65.85889519,10.52827278,2.554222486
122,quad,0,SM-102,DSPC,5.196926894,48.899178,89.19245318,4.884674398,2.291810459
123,quad,0,SM-102,DSPC,4.758993473,48.59253163,1.941069572,7.78349513,4.997581342
124,quad,0,SM-102,DSPC,4.520969927,64.39482187,2.077902657,1.082141882,6.136164722
125,quad,0,SM-102,DSPC,4.955190306,20.00345473,53.81494513,4.304594135,6.015845462
126,quad,0,SM-102,DSPC,6.591477057,20.16197575,17.89671518,10.32352945,4.821381452
127,quad,0,SM-102,DSPC,8.972250855,25.29621263,88.02500789,8.332641456,3.055630772
128,quad,0,SM-102,DSPC,14.24928317,20.0022155,15.13896604,1.009185936,7.909186192
129,quad,0,SM-102,DSPC,12.98987669,49.88239419,1.080227665,15.6128387,3.507452702
130,quad,0,SM-102,DSPC,4.436141849,20.31056541,1.633899679,7.92277606,3.993633992
131,quad,0,SM-102,DSPC,5.201588542,64.67257311,1.002371882,15.32644506,2.240213118
132,quad,0,SM-102,DSPC,4.38924108,49.39497635,1.061217752,0.566464535,7.556392332
133,quad,0,SM-102,DSPC,5.720516438,20.00052066,47.47537039,15.55448956,2.312051485
134,quad,0,SM-102,DSPC,10.87369505,20.00074286,1.790774984,9.780442384,2.656780639
135,quad,0,SM-102,DSPC,4.394550223,22.00542571,1.003305021,14.04182105,2.799190743
136,quad,0,SM-102,DSPC,9.232962676,43.2248516,1.010982512,5.441540843,4.670070022
137,MO,0,SM-102,DSPC,9.002044382,20.00000308,16.65435838,0.477590223,9.594705872
138,MO,0,SM-102,DSPC,11.96920045,42.58505017,1.443055259,5.685163661,4.571149289
139,MO,0,SM-102,DSPC,4.937286054,20.00000054,16.29212021,0.481141499,8.536191468
140,MO,0,SM-102,DSPC,12.5571625,20.00000009,1.35729106,0.746351216,7.46574139
141,MO,0,SM-102,DSPC,11.98066785,20.00003991,1.329607624,5.798669171,3.927671427
142,SO,0,SM-102,DSPC,11.97831,21.80244,33.11976,6.251056,5.28252082
143,SO,0,SM-102,DSPC,12.32386,20.08868,27.90927,0.571112,9.231240225
144,SO,0,SM-102,DSPC,11.98652,21.06642,37.99319,7.092342,5.214902777
145,SO,0,SM-102,DSPC,12.05481,20.01895,18.85935,0.809778,9.02468507
146,SO,0,SM-102,DSPC,9.211139,20.0003,18.72326,0.803894,9.091633581
147,MO,0,SM-102,DSPC,6.279867148,20.0000008,15.64182211,0.517372067,8.158844287
148,MO,0,SM-102,DSPC,6.296342365,20.00000184,1.00002702,22.06260504,3.361844287
149,MO,0,SM-102,DSPC,4.603673162,74.748184,1.000001614,9.97956289,2.985844287
150,MO,0,SM-102,DSPC,4.525299513,25.16310809,1.000010095,11.29223043,2.654844287
151,MO,0,SM-102,DSPC,6.098981832,40.31687192,1.000206908,16.56618189,2.411844287
152,SO,0,SM-102,DSPC,28.43580087,20.00044501,24.79553656,0.928105477,7.759844287
153,SO,0,SM-102,DSPC,32.32215068,20.00183246,22.61372429,0.62241835,7.725844287
154,SO,0,SM-102,DSPC,20.47934214,20.01210597,16.37248117,0.971439065,7.093844287
155,SO,0,SM-102,DSPC,17.89712661,20.01502011,22.13928053,0.992833938,7.781844287
156,SO,0,SM-102,DSPC,10.82142219,20.12734312,23.96090789,0.486055845,7.821844287
157,MO,0,SM-102,DSPC,4.837891,42.3039,1.910757,10.59721,3.604344287
158,MO,0,SM-102,DSPC,40.77384,42.42788,2.016498,7.580691,4.396344287
159,MO,0,SM-102,DSPC,5.388958,20.00002,2.062696,29.51383,2.811344287
160,MO,0,SM-102,DSPC,19.52035,21.45652,2.03501,7.787085,3.460344287
161,MO,0,SM-102,DSPC,4.433352,20,16.23404,0.807818,8.431344287
162,SO,0,SM-102,DSPC,4.729987946,20.02489015,18.27411066,0.492107672,8.742344287
163,SO,0,SM-102,DSPC,4.930919945,20.08757696,23.64763395,0.788137695,8.987344287
164,SO,0,SM-102,DSPC,8.973242379,20.00001834,21.73144842,0.657253419,9.117344287
165,SO,0,SM-102,DSPC,8.991510748,20.00000148,16.26601278,0.826320152,8.699344287
166,i-optimal,1,SM-102,DSPC,4.727,36.977,25.351,8.888,10.74208351
167,i-optimal,1,SM-102,DSPC,4.626,29.87,25.169,14.904,8.816534778
168,i-optimal,1,SM-102,DSPC,4.706,32.901,23.878,8.364,11.0956136
169,i-optimal,1,SM-102,DSPC,5.123,36.625,23.948,11.268,9.171750289
170,i-optimal,1,SM-102,DSPC,3.815,31.652,24.166,11.452,8.805622479
171,i-optimal,1,SM-102,DSPC,4.16,20.261,24.89,7.459,4.45687774
172,i-optimal,1,SM-102,DSPC,3.958,27.439,25.054,9.075,9.421544568
173,i-optimal,1,SM-102,DSPC,4.873,24.025,23.443,6.084,7.798541595
174,i-optimal,1,SM-102,DSPC,5.005,37.575,23.297,9.409,10.59689609
175,i-optimal,1,SM-102,DSPC,4.885,21.992,23.376,11.829,8.389930386
176,NSGAII,1,SM-102,DSPC,4.165,33.14,28.162,3.879,10.57752789
177,NSGAII,1,SM-102,DSPC,4.178,26.002,14.174,3.955,11.49794881
178,NSGAII,1,SM-102,DSPC,4.189,37.733,15.782,3.926,11.07225256
179,NSGAII,1,SM-102,DSPC,4.122,35.241,13.81,1.395,8.719000659
180,NSGAII,1,SM-102,DSPC,4.177,25.186,27.279,3.879,9.825372383
181,NSGAII,1,SM-102,DSPC,4.159,37.597,23.324,3.987,10.00359411
182,NSGAII,1,SM-102,DSPC,4.12,28.076,13.778,1.39,6.544839527
183,NSGAII,1,SM-102,DSPC,4.189,31.605,16.117,3.795,9.975841512
184,NSGAII,1,SM-102,DSPC,4.167,37.898,28.112,3.827,8.965317263
185,NSGAII,1,SM-102,DSPC,4.157,29.263,27.647,3.938,9.67742716
186,N/A,1,SM-102,DSPC,6,60,16.66667,3.75,6.06930931
187,N/A,1,SM-102,DSPC,6.858764172,61.20785132,28.85595517,4.903677225,3.604965909
188,N/A,1,SM-102,DSPC,6.002865642,62.11306344,17.04948642,4.925478792,5.765224901
189,N/A,1,SM-102,DSPC,6,60,16.66667,3.75,5.16169705
190,i-optimal,2,SM-102,DSPC,4.496,78.795,24.888,6.896,3.947778507
191,i-optimal,2,SM-102,DSPC,3.806,63.661,36.577,4.94,5.417368244
192,i-optimal,2,SM-102,DSPC,4.383,73.11,25.324,7.411,5.057822373
193,i-optimal,2,SM-102,DSPC,4.781,87.726,37.667,8.197,1.957240203
194,i-optimal,2,SM-102,DSPC,4.014,60.442,27.409,7.782,5.871784623
195,i-optimal,2,SM-102,DSPC,5.002,86.261,34.958,6.544,2.18988001
196,i-optimal,2,SM-102,DSPC,5.159,77.988,27.19,7.936,3.957620858
197,i-optimal,2,SM-102,DSPC,5.133,72.7,33.417,7.713,4.88599301
198,i-optimal,2,SM-102,DSPC,3.623,33.229,33.2,7.113,7.079306283
199,i-optimal,2,SM-102,DSPC,3.977,34.186,36.861,7.035,7.184102043
200,NSGAII,2,SM-102,DSPC,4.884,46.974,19.258,8.586,7.179305391
201,NSGAII,2,SM-102,DSPC,3.867,23.939,1.473,36.323,5.715063025
202,NSGAII,2,SM-102,DSPC,3.873,22.94,50.17,31.714,4.85187241
203,NSGAII,2,SM-102,DSPC,4.162,24.606,49.746,10.686,6.240167233
204,NSGAII,2,SM-102,DSPC,4.222,22.649,1.008,10.127,2.47656865
205,NSGAII,2,SM-102,DSPC,4.323,37.048,0.527,3.887,5.558230361
206,NSGAII,2,SM-102,DSPC,3.579,37.56,0.914,8.462,5.860612571
207,NSGAII,2,SM-102,DSPC,4.874,24.606,49.412,8.616,6.29111458
208,NSGAII,2,SM-102,DSPC,4.161,37.247,0.488,10.569,5.504787892
209,NSGAII,2,SM-102,DSPC,4.867,37.084,19.258,8.586,6.972382373
210,N/A,2,SM-102,DSPC,6,60,16.66667,3.75,6.06930931
