Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_HEPG2
1,CONTROL,0,SM-102,DSPC,6,60,16.66666667,3.75,6.06930931
2,N/A,0,SM-102,DSPC,10,80,50,5,6.247223542
3,N/A,0,SM-102,DSPC,7,80,50,5,6.365180942
4,N/A,0,SM-102,DSPC,4,80,50,5,5.148728952
5,N/A,0,SM-102,DSPC,10,80,50,1,6.407108362
6,N/A,0,SM-102,DSPC,7,80,50,1,6.546781612
7,N/A,0,SM-102,DSPC,4,80,50,1,4.599882322
8,N/A,0,SM-102,DSPC,10,80,50,0.2,5.523157572
9,N/A,0,SM-102,DSPC,7,80,50,0.2,5.981121132
10,N/A,0,SM-102,DSPC,4,80,50,0.2,2.987179102
11,N/A,0,SM-102,DSPC,10,50,50,5,4.983929802
12,N/A,0,SM-102,DSPC,7,50,50,5,5.593616932
13,N/A,0,SM-102,DSPC,4,50,50,5,4.823514752
14,N/A,0,SM-102,DSPC,10,50,50,1,5.606879032
15,N/A,0,SM-102,DSPC,7,50,50,1,7.139852992
16,N/A,0,SM-102,DSPC,4,50,50,1,5.720792372
17,N/A,0,SM-102,DSPC,10,50,50,0.2,4.861870362
18,N/A,0,SM-102,DSPC,7,50,50,0.2,4.621847942
19,N/A,0,SM-102,DSPC,4,50,50,0.2,3.842794102
20,N/A,0,SM-102,DSPC,10,20,50,5,5.986125742
21,N/A,0,SM-102,DSPC,7,20,50,5,6.188277222
22,N/A,0,SM-102,DSPC,4,20,50,5,5.969794232
23,N/A,0,SM-102,DSPC,10,20,50,1,8.875228862
24,N/A,0,SM-102,DSPC,7,20,50,1,8.435770352
25,N/A,0,SM-102,DSPC,4,20,50,1,7.531239062
26,N/A,0,SM-102,DSPC,10,20,50,0.2,8.724364452
27,N/A,0,SM-102,DSPC,7,20,50,0.2,8.125511482
28,N/A,0,SM-102,DSPC,4,20,50,0.2,7.358777462
29,N/A,0,SM-102,DSPC,10,80,30,5,4.387076352
30,N/A,0,SM-102,DSPC,7,80,30,5,4.321825062
31,N/A,0,SM-102,DSPC,4,80,30,5,4.553381712
32,N/A,0,SM-102,DSPC,10,80,30,1,4.931218562
33,N/A,0,SM-102,DSPC,7,80,30,1,4.913657422
34,N/A,0,SM-102,DSPC,4,80,30,1,4.324646242
35,N/A,0,SM-102,DSPC,10,80,30,0.2,3.570059132
36,N/A,0,SM-102,DSPC,7,80,30,0.2,3.657270202
37,N/A,0,SM-102,DSPC,4,80,30,0.2,3.537406252
38,N/A,0,SM-102,DSPC,10,50,30,5,6.504704842
39,N/A,0,SM-102,DSPC,7,50,30,5,6.805740172
40,N/A,0,SM-102,DSPC,4,50,30,5,6.581052392
41,N/A,0,SM-102,DSPC,10,50,30,1,8.741288542
42,N/A,0,SM-102,DSPC,7,50,30,1,8.790253012
43,N/A,0,SM-102,DSPC,4,50,30,1,7.878010712
44,N/A,0,SM-102,DSPC,10,50,30,0.2,4.849247912
45,N/A,0,SM-102,DSPC,7,50,30,0.2,4.651695042
46,N/A,0,SM-102,DSPC,4,50,30,0.2,3.676640012
47,N/A,0,SM-102,DSPC,10,20,30,5,6.276529392
48,N/A,0,SM-102,DSPC,7,20,30,5,6.445612492
49,N/A,0,SM-102,DSPC,4,20,30,5,6.271525652
50,N/A,0,SM-102,DSPC,10,20,30,1,8.924379265
51,N/A,0,SM-102,DSPC,7,20,30,1,9.166206622
52,N/A,0,SM-102,DSPC,4,20,30,1,8.859579002
53,N/A,0,SM-102,DSPC,10,20,30,0.2,9.389036632
54,N/A,0,SM-102,DSPC,7,20,30,0.2,8.248570462
55,N/A,0,SM-102,DSPC,4,20,30,0.2,9.103939052
56,N/A,0,SM-102,DSPC,10,80,10,5,3.920092962
