Formula_label,FALCON_ID,Iter,Opt_Method,Max_Cell_Target,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,SM102_PcntMolar,18PG_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_RAMOS,nLnLE_HEPG2,nLnLE_Selectivity
39,F1039,0,N/A,N/A,SM-102,18PG,4,48.1,24.3,5,36.4,11.7,49.4,2.6,3.481819854,3.40193208,0.079887774
40,F1040,0,N/A,N/A,SM-102,18PG,10,48.1,24.3,1,36.4,11.7,51.4,0.5,3.051459996,4.695881189,-1.644421193
41,F1041,0,N/A,N/A,SM-102,18PG,7,48.1,24.3,1,36.4,11.7,51.4,0.5,3.506353891,5.428470431,-1.92211654
42,F1042,0,N/A,N/A,SM-102,18PG,4,48.1,24.3,1,36.4,11.7,51.4,0.5,3.788490361,4.39083179,-0.602341428
43,F1043,0,N/A,N/A,SM-102,18PG,10,48.1,24.3,0.2,36.4,11.7,51.8,0.1,3.455984732,6.071079986,-2.615095254
44,F1044,0,N/A,N/A,SM-102,18PG,7,48.1,24.3,0.2,36.4,11.7,51.8,0.1,3.995009742,6.628824414,-2.633814672
45,F1045,0,N/A,N/A,SM-102,18PG,4,48.1,24.3,0.2,36.4,11.7,51.8,0.1,4.150619003,6.059798934,-1.909179931
46,F1046,0,N/A,N/A,SM-102,18PG,10,18.8,24.3,5,14.2,4.6,77.2,4.1,1.340669589,4.345051333,-3.004381744
47,F1047,0,N/A,N/A,SM-102,18PG,7,18.8,24.3,5,14.2,4.6,77.2,4.1,1.533573255,3.366731987,-1.833158732
48,F1048,0,N/A,N/A,SM-102,18PG,4,18.8,24.3,5,14.2,4.6,77.2,4.1,2.657362991,3.769143015,-1.111780024
49,F1049,0,N/A,N/A,SM-102,18PG,10,18.8,24.3,1,14.2,4.6,80.4,0.8,3.678649209,6.280071641,-2.601422432
50,F1050,0,N/A,N/A,SM-102,18PG,7,18.8,24.3,1,14.2,4.6,80.4,0.8,3.614913578,6.55420504,-2.939291462
51,F1051,0,N/A,N/A,SM-102,18PG,4,18.8,24.3,1,14.2,4.6,80.4,0.8,3.790083792,5.687182674,-1.897098882
52,F1052,0,N/A,N/A,SM-102,18PG,10,18.8,24.3,0.2,14.2,4.6,81.1,0.2,3.266521759,5.834327271,-2.567805512
53,F1053,0,N/A,N/A,SM-102,18PG,7,18.8,24.3,0.2,14.2,4.6,81.1,0.2,3.451699134,5.384425163,-1.93272603
54,F1054,0,N/A,N/A,SM-102,18PG,4,18.8,24.3,0.2,14.2,4.6,81.1,0.2,3.001878696,4.945836124,-1.943957428
55,F1055,0,N/A,N/A,SM-102,18PG,10,79.6,7.7,5,73.5,6.1,19.4,1,1.157155833,4.881715595,-3.724559763
56,F1056,0,N/A,N/A,SM-102,18PG,7,79.6,7.7,5,73.5,6.1,19.4,1,1.443558969,4.454317807,-3.010758838
57,F1057,0,N/A,N/A,SM-102,18PG,4,79.6,7.7,5,73.5,6.1,19.4,1,0.551823501,2.800469554,-2.248646053
