Formula_label,FALCON_ID,Iter,Opt_Method,Max_Cell_Target,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,SM102_PcntMolar,DSPC_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_THP1,nLnLE_HEPG2,nLnLE_Selectivity
43,F2043,1,NSGAII,THP1,SM-102,DSPC,9.139352022,84.16610782,14.90988916,15.95090444,71.61703443,12.54907339,13.30824317,2.525649011,3.473170562,3.74782915,-0.274658588
44,F2044,1,NSGAII,THP1,SM-102,DSPC,6.907927829,89.05815356,10.10299054,9.19374428,80.06061673,8.997536829,9.935881059,1.005965381,4.066262374,3.878541791,0.187720583
45,F2045,1,NSGAII,THP1,SM-102,DSPC,20.07100775,88.94153352,13.72237658,11.11147629,76.73664135,12.20489217,9.829707599,1.228758881,5.034578746,5.702432942,-0.667854196
46,F2046,1,NSGAII,THP1,SM-102,DSPC,11.47302814,82.80740661,6.881575993,6.983741122,77.108952,5.698454614,15.99190718,1.200686215,4.567189164,4.457699182,0.109489982
47,F2047,1,i-optimal,N/A,SM-102,DSPC,5.94669488,58.89946833,18.11433021,4.484008983,48.23022414,10.66924419,39.25758014,1.842951532,5.73356221,5.852393804,-0.118831594
48,F2048,1,i-optimal,N/A,SM-102,DSPC,7.459572362,59.52098047,32.55276444,4.309860783,40.14525591,19.37572456,38.73443014,1.744589388,5.195258675,4.711601644,0.48365703
49,F2049,1,i-optimal,N/A,SM-102,DSPC,5.821484473,52.05133774,15.69998603,4.385169058,43.87928499,8.172052754,45.84603236,2.102629901,5.588878324,6.75381786,-1.164939536
50,F2050,1,i-optimal,N/A,SM-102,DSPC,6.217170859,65.22073628,20.67286358,4.11795502,51.73774244,13.48299384,33.34706928,1.432194436,4.872680819,5.019387369,-0.14670655
51,F2051,1,i-optimal,N/A,SM-102,DSPC,7.302553752,61.62341182,20.45399242,4.502458819,49.01896384,12.60444798,36.6486981,1.727890079,5.176480554,5.479549962,-0.303069409
52,F2052,1,i-optimal_minCT,N/A,SM-102,DSPC,6.643037745,44.64554359,23.71301417,4.44651999,34.05873951,10.58680408,52.89310944,2.46134697,5.432437897,6.868265838,-1.435827941
53,F2053,1,i-optimal_minCT,N/A,SM-102,DSPC,6.190671463,65.44533514,28.14777787,4.46650996,47.02392758,18.42140756,33.01127731,1.543387548,4.24486257,4.587793626,-0.342931055
