Formula_label,Iter,Opt_Method,Max_Cell_Target,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,SM102_PcntMolar,DSPC_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_HEPG2,nLnLE_RAMOS,nLnLE_Selectivity
1,0,N/A,N/A,SM-102,DSPC,10,80,50,5,40,40,19,1,8.230888588,2.171266707,-6.059621881
2,0,N/A,N/A,SM-102,DSPC,7,80,50,5,40,40,19,1,8.348845988,2.189328077,-6.159517911
3,0,N/A,N/A,SM-102,DSPC,4,80,50,5,40,40,19,1,4.632426237,2.094515459,-2.537910778
4,0,N/A,N/A,SM-102,DSPC,10,80,50,1,40,40,19.8,0.2,8.390773408,2.228286815,-6.162486593
5,0,N/A,N/A,SM-102,DSPC,7,80,50,1,40,40,19.8,0.2,8.530446658,2.037532083,-6.492914575
6,0,N/A,N/A,SM-102,DSPC,4,80,50,1,40,40,19.8,0.2,4.75367965,2.116542363,-2.637137287
7,0,N/A,N/A,SM-102,DSPC,10,80,50,0.2,40,40,19.96,0.04,7.506822618,2.053861445,-5.452961173
8,0,N/A,N/A,SM-102,DSPC,7,80,50,0.2,40,40,19.96,0.04,7.964786178,2.000787976,-5.963998202
9,0,N/A,N/A,SM-102,DSPC,4,80,50,0.2,40,40,19.96,0.04,4.970844148,2.054461145,-2.916383003
10,0,N/A,N/A,SM-102,DSPC,10,50,50,5,25,25,47.5,2.5,7.6821206,2.456930316,-5.225190284
11,0,N/A,N/A,SM-102,DSPC,7,50,50,5,25,25,47.5,2.5,7.577281978,2.471968146,-5.105313832
12,0,N/A,N/A,SM-102,DSPC,4,50,50,5,25,25,47.5,2.5,6.807179798,2.403472909,-4.403706889
13,0,N/A,N/A,SM-102,DSPC,10,50,50,1,25,25,49.5,0.5,7.590544078,1.91715422,-5.673389858
14,0,N/A,N/A,SM-102,DSPC,7,50,50,1,25,25,49.5,0.5,8.37016354,1.859833968,-6.510329572
15,0,N/A,N/A,SM-102,DSPC,4,50,50,1,25,25,49.5,0.5,7.704457418,3.47862666,-4.225830758
16,0,N/A,N/A,SM-102,DSPC,10,50,50,0.2,25,25,49.9,0.1,6.845535408,1.847989395,-4.997546013
17,0,N/A,N/A,SM-102,DSPC,7,50,50,0.2,25,25,49.9,0.1,8.192894645,1.65109216,-6.541802485
18,0,N/A,N/A,SM-102,DSPC,4,50,50,0.2,25,25,49.9,0.1,6.927295635,3.768116653,-3.159178982
19,0,N/A,N/A,SM-102,DSPC,10,20,50,5,10,10,76,4,7.969790788,2.376179652,-5.593611136
20,0,N/A,N/A,SM-102,DSPC,7,20,50,5,10,10,76,4,8.171942268,2.269175989,-5.902766279
21,0,N/A,N/A,SM-102,DSPC,4,20,50,5,10,10,76,4,7.953459278,3.755335801,-4.198123477
22,0,N/A,N/A,SM-102,DSPC,10,20,50,1,10,10,79.2,0.8,9.146806332,1.76571269,-7.381093642
23,0,N/A,N/A,SM-102,DSPC,7,20,50,1,10,10,79.2,0.8,8.607454846,1.8584978,-6.748957046
24,0,N/A,N/A,SM-102,DSPC,4,20,50,1,10,10,79.2,0.8,7.994382477,4.031213795,-3.963168682
25,0,N/A,N/A,SM-102,DSPC,10,20,50,0.2,10,10,79.84,0.16,8.938901297,1.659136297,-7.279765
26,0,N/A,N/A,SM-102,DSPC,7,20,50,0.2,10,10,79.84,0.16,8.305458088,1.726822677,-6.578635411
27,0,N/A,N/A,SM-102,DSPC,4,20,50,0.2,10,10,79.84,0.16,7.740962206,4.343607824,-3.397354382
28,0,N/A,N/A,SM-102,DSPC,10,80,30,5,56,24,19,1,6.370741398,1.787871339,-4.582870059
29,0,N/A,N/A,SM-102,DSPC,7,80,30,5,56,24,19,1,5.024541344,2.026598546,-2.997942798
30,0,N/A,N/A,SM-102,DSPC,4,80,30,5,56,24,19,1,5.266609574,1.784081228,-3.482528346
31,0,N/A,N/A,SM-102,DSPC,10,80,30,1,56,24,19.8,0.2,6.914883608,2.251446182,-4.663437426
32,0,N/A,N/A,SM-102,DSPC,7,80,30,1,56,24,19.8,0.2,4.811049883,2.125144567,-2.685905316
33,0,N/A,N/A,SM-102,DSPC,4,80,30,1,56,24,19.8,0.2,5.054870043,1.739361595,-3.315508448
34,0,N/A,N/A,SM-102,DSPC,10,80,30,0.2,56,24,19.96,0.04,7.317339725,1.942394653,-5.374945072
35,0,N/A,N/A,SM-102,DSPC,7,80,30,0.2,56,24,19.96,0.04,5.640935248,2.123187528,-3.51774772
36,0,N/A,N/A,SM-102,DSPC,4,80,30,0.2,56,24,19.96,0.04,5.521071298,1.597797399,-3.923273899
37,0,N/A,N/A,SM-102,DSPC,10,50,30,5,35,15,47.5,2.5,8.488369888,3.156863206,-5.331506682
38,0,N/A,N/A,SM-102,DSPC,7,50,30,5,35,15,47.5,2.5,7.82169938,3.167063839,-4.654635541
39,0,N/A,N/A,SM-102,DSPC,4,50,30,5,35,15,47.5,2.5,7.478343674,3.323341026,-4.155002648
40,0,N/A,N/A,SM-102,DSPC,10,50,30,1,35,15,49.5,0.5,8.531084013,2.167436479,-6.363647534
41,0,N/A,N/A,SM-102,DSPC,7,50,30,1,35,15,49.5,0.5,7.660415073,3.00369187,-4.656723203
42,0,N/A,N/A,SM-102,DSPC,4,50,30,1,35,15,49.5,0.5,7.29728138,3.636054716,-3.661226664
43,0,N/A,N/A,SM-102,DSPC,10,50,30,0.2,35,15,49.9,0.1,8.242881978,1.751609979,-6.491271999
44,0,N/A,N/A,SM-102,DSPC,7,50,30,0.2,35,15,49.9,0.1,7.141497909,3.203184284,-3.938313625
45,0,N/A,N/A,SM-102,DSPC,4,50,30,0.2,35,15,49.9,0.1,6.869882316,3.954075281,-2.915807035
46,0,N/A,N/A,SM-102,DSPC,10,20,30,5,14,6,76,4,8.260194438,3.600372548,-4.65982189
47,0,N/A,N/A,SM-102,DSPC,7,20,30,5,14,6,76,4,8.158434248,2.890735814,-5.267698434
48,0,N/A,N/A,SM-102,DSPC,4,20,30,5,14,6,76,4,8.255190698,2.625036414,-5.630154284
49,0,N/A,N/A,SM-102,DSPC,10,20,30,1,14,6,79.2,0.8,9.410285458,2.241948428,-7.16833703
50,0,N/A,N/A,SM-102,DSPC,7,20,30,1,14,6,79.2,0.8,8.207015691,2.534852284,-5.672163407
51,0,N/A,N/A,SM-102,DSPC,4,20,30,1,14,6,79.2,0.8,7.987452438,2.147333941,-5.840118497
52,0,N/A,N/A,SM-102,DSPC,10,20,30,0.2,14,6,79.84,0.16,9.126008144,1.367489898,-7.758518246
53,0,N/A,N/A,SM-102,DSPC,7,20,30,0.2,14,6,79.84,0.16,7.630053501,2.705271255,-4.924782246
54,0,N/A,N/A,SM-102,DSPC,4,20,30,0.2,14,6,79.84,0.16,7.51148717,2.807418661,-4.704068509
55,0,N/A,N/A,SM-102,DSPC,10,80,10,5,72,8,19,1,6.511311516,1.917039588,-4.594271928
56,0,N/A,N/A,SM-102,DSPC,7,80,10,5,72,8,19,1,6.183783583,1.660322537,-4.523461046
57,0,N/A,N/A,SM-102,DSPC,4,80,10,5,72,8,19,1,5.449926426,1.667998984,-3.781927442
58,0,N/A,N/A,SM-102,DSPC,10,80,10,1,72,8,19.8,0.2,7.115421308,1.721400349,-5.394020959
59,0,N/A,N/A,SM-102,DSPC,7,80,10,1,72,8,19.8,0.2,6.915468568,1.498535582,-5.416932986
60,0,N/A,N/A,SM-102,DSPC,4,80,10,1,72,8,19.8,0.2,5.235391698,1.559365143,-3.676026555
61,0,N/A,N/A,SM-102,DSPC,10,80,10,0.2,72,8,19.96,0.04,6.612570434,1.26697254,-5.345597894
62,0,N/A,N/A,SM-102,DSPC,7,80,10,0.2,72,8,19.96,0.04,6.319593665,1.490840546,-4.828753119
63,0,N/A,N/A,SM-102,DSPC,4,80,10,0.2,72,8,19.96,0.04,5.896615548,1.337450345,-4.559165203
64,0,N/A,N/A,SM-102,DSPC,10,50,10,5,45,5,47.5,2.5,9.806543826,2.570310102,-7.236233724
65,0,N/A,N/A,SM-102,DSPC,7,50,10,5,45,5,47.5,2.5,9.143090628,2.450959984,-6.692130644
66,0,N/A,N/A,SM-102,DSPC,4,50,10,5,45,5,47.5,2.5,9.090851408,1.927077313,-7.163774095
67,0,N/A,N/A,SM-102,DSPC,10,50,10,1,45,5,49.5,0.5,9.927354831,1.641775789,-8.285579042
68,0,N/A,N/A,SM-102,DSPC,7,50,10,1,45,5,49.5,0.5,10.54288469,1.806481336,-8.736403354
69,0,N/A,N/A,SM-102,DSPC,4,50,10,1,45,5,49.5,0.5,8.688015451,1.883821686,-6.804193765
70,0,N/A,N/A,SM-102,DSPC,10,50,10,0.2,45,5,49.9,0.1,9.743946743,1.937352343,-7.8065944
71,0,N/A,N/A,SM-102,DSPC,7,50,10,0.2,45,5,49.9,0.1,9.656095796,2.035599322,-7.620496474
72,0,N/A,N/A,SM-102,DSPC,4,50,10,0.2,45,5,49.9,0.1,8.437010247,2.032846325,-6.404163922
73,0,N/A,N/A,SM-102,DSPC,10,20,10,5,18,2,76,4,7.804189748,2.638945,-5.165244748
74,0,N/A,N/A,SM-102,DSPC,7,20,10,5,18,2,76,4,8.343216308,2.746558614,-5.596657694
75,0,N/A,N/A,SM-102,DSPC,4,20,10,5,18,2,76,4,8.639122408,2.642503129,-5.996619279
76,0,N/A,N/A,SM-102,DSPC,10,20,10,1,18,2,79.2,0.8,8.640928375,2.416575279,-6.224353096
77,0,N/A,N/A,SM-102,DSPC,7,20,10,1,18,2,79.2,0.8,8.302104423,3.417710217,-4.884394206
78,0,N/A,N/A,SM-102,DSPC,4,20,10,1,18,2,79.2,0.8,9.313895338,3.333149822,-5.980745516
79,0,N/A,N/A,SM-102,DSPC,10,20,10,0.2,18,2,79.84,0.16,8.442988797,2.215972513,-6.227016284
80,0,N/A,N/A,SM-102,DSPC,7,20,10,0.2,18,2,79.84,0.16,8.057828067,2.437981909,-5.619846158
81,0,N/A,N/A,SM-102,DSPC,4,20,10,0.2,18,2,79.84,0.16,8.28498015,3.049930759,-5.235049391
82,0,N/A,N/A,SM-102,DSPC,10,80,1,5,79.2,0.8,19,1,6.181072888,1.482200803,-4.698872085
83,0,N/A,N/A,SM-102,DSPC,7,80,1,5,79.2,0.8,19,1,6.536175703,1.505307029,-5.030868674
84,0,N/A,N/A,SM-102,DSPC,4,80,1,5,79.2,0.8,19,1,5.563992619,1.547491653,-4.016500966
