Formula_label,FALCON_ID,Opt_Method,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,MC3_PcntMolar,DSPC_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_RAMOS
1,U0001,URS,Dlin-MC3-DMA,DSPC,24.88536302,26.60904803,3.99848776,8.951574793,38.68713422,14.01638656,46.78089174,0.515587483,4.776491288
2,U0002,URS,Dlin-MC3-DMA,DSPC,8.502935073,43.08838189,32.13079412,8.820128216,74.8038799,0.75939402,24.38738097,0.049345108,6.981625128
3,U0003,URS,Dlin-MC3-DMA,DSPC,16.76589996,52.80873223,3.733491804,8.794104555,49.74358974,10.25641026,38.46153846,1.538461538,6.782075763
4,U0004,URS,Dlin-MC3-DMA,DSPC,5.460958535,44.99436329,84.53941685,8.391008941,37.3478959,6.787617495,55.094398,0.770088607,6.260365586
5,U0005,URS,Dlin-MC3-DMA,DSPC,17.19941363,40.8469425,38.0815809,8.281193279,35.86203507,10.68720915,51.5365598,1.914195981,8.001741499
6,U0006,URS,Dlin-MC3-DMA,DSPC,18.38523102,22.53278205,10.89709254,8.255977988,27.42248073,18.99997652,51.67762401,1.899918741,3.155908718
7,U0007,URS,Dlin-MC3-DMA,DSPC,4.006373109,23.51269806,40.88363352,7.967749884,48.58866567,5.698598845,44.60548001,1.107255471,3.957045397
8,U0008,URS,Dlin-MC3-DMA,DSPC,19.0489426,41.28947746,87.75615945,7.929574176,56.1422426,10.41691697,31.97073156,1.470108874,3.894015689
9,U0009,URS,Dlin-MC3-DMA,DSPC,11.1667488,71.86438451,25.67302374,7.837483733,54.10880072,17.23262004,27.6151715,1.043407745,4.076276327
10,U0010,URS,Dlin-MC3-DMA,DSPC,7.917796527,26.15174236,76.87556091,7.788831314,36.76669016,4.85382002,55.62325605,2.756233774,4.879805986
11,U0011,URS,Dlin-MC3-DMA,DSPC,20.84838735,63.39806775,87.46228828,7.703112984,27.58859264,21.60122762,49.05804049,1.752139247,4.278018481
12,U0012,URS,Dlin-MC3-DMA,DSPC,18.76661212,70.42117973,38.46833761,7.694269025,23.5013267,12.24481727,60.05763011,4.196225922,6.150165299
13,U0013,URS,Dlin-MC3-DMA,DSPC,19.53965303,51.21856487,88.99026835,7.658917304,36.61820194,12.74720662,48.21844667,2.416144772,8.097551141
14,U0014,URS,Dlin-MC3-DMA,DSPC,24.44952849,45.81173001,59.87037902,7.640281779,25.29178105,15.55516145,54.25447848,4.898579022,3.822715288
15,U0015,URS,Dlin-MC3-DMA,DSPC,20.82277514,66.46038734,90.50748739,7.492642846,53.75157004,11.7172578,32.38539501,2.145777148,4.57073799
16,U0016,URS,Dlin-MC3-DMA,DSPC,7.658346131,72.0471533,3.030442594,7.469896661,26.95770394,21.76483895,48.81708782,2.460369293,4.917826257
17,U0017,URS,Dlin-MC3-DMA,DSPC,8.889154886,72.10027486,42.32834861,7.432491789,52.57049479,6.557688754,40.35503868,0.516777778,4.53215826
18,U0018,URS,Dlin-MC3-DMA,DSPC,5.588739472,44.50480478,42.54737695,7.365648044,47.5695979,3.374129585,46.21337298,2.842899528,5.228637446
19,U0019,URS,Dlin-MC3-DMA,DSPC,12.83763118,29.66421557,80.05450965,7.327962368,23.22798138,18.00572034,57.41904329,1.347254991,3.613755187
20,U0020,URS,Dlin-MC3-DMA,DSPC,24.57238967,74.7984483,59.37898089,7.305168199,52.69942169,7.800308763,39.0639582,0.436311352,5.158760531
21,U0021,URS,Dlin-MC3-DMA,DSPC,6.721721365,74.23050414,42.07669377,7.220395502,29.24374262,13.84463927,51.89194042,5.019677687,6.774370396
22,U0022,URS,Dlin-MC3-DMA,DSPC,17.99738227,31.72242398,68.54481629,7.213382688,51.82016723,21.67747056,24.61808479,1.88427742,3.373114413
23,U0023,URS,Dlin-MC3-DMA,DSPC,13.5754054,76.00126643,75.54937938,7.150059283,27.968895,6.142921836,63.94556082,1.942622343,7.528056019
24,U0024,URS,Dlin-MC3-DMA,DSPC,7.816212383,47.05924184,41.63248047,7.131349443,49.27996186,6.475274094,41.97157035,2.2731937,5.001085567
25,U0025,URS,Dlin-MC3-DMA,DSPC,21.62986134,73.49763779,29.49410513,7.109847057,46.66271519,24.20394988,28.84739943,0.285935503,4.441262661
26,U0026,URS,Dlin-MC3-DMA,DSPC,16.85902491,33.58825074,50.29278753,6.965755032,23.97093469,18.44905939,54.43315154,3.146854383,6.401874673
27,U0027,URS,Dlin-MC3-DMA,DSPC,24.66081163,74.71658729,32.02452116,6.866327607,43.33132256,27.08985717,27.30294626,2.275874006,5.91093561
28,U0028,URS,Dlin-MC3-DMA,DSPC,14.17626645,64.56994745,43.8108648,6.801607791,50.78895798,23.92762931,23.54737076,1.736041947,6.191103242
29,U0029,URS,Dlin-MC3-DMA,DSPC,21.17621099,46.6156888,93.01280124,6.755007479,19.82553682,12.92391618,65.21468133,2.035865675,5.672618111
30,U0030,URS,Dlin-MC3-DMA,DSPC,10.48086103,46.45156698,83.48857332,6.734606426,34.10885709,26.74888869,37.08627437,2.055979847,3.408860254
