Formula_label,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,LnRLU_RAMOS
0,DSPC,0.35327405012126123,0.6666666666666667,0.3197279591836734,0.24143090315560392,4.031294115
1,DSPC,1.0,1.0,1.0,0.32644178454842215,0.915774381
2,DSPC,0.5149555375909458,1.0,1.0,0.32644178454842215,0.933835751
3,DSPC,0.029911075181891733,1.0,1.0,0.32644178454842215,0.839023133
4,DSPC,1.0,1.0,1.0,0.0544069640914037,0.972794489
5,DSPC,0.5149555375909458,1.0,1.0,0.0544069640914037,0.782039757
6,DSPC,0.029911075181891733,1.0,1.0,0.0544069640914037,0.861050037
7,DSPC,1.0,1.0,1.0,0.0,0.798369119
8,DSPC,0.5149555375909458,1.0,1.0,0.0,0.74529565
9,DSPC,0.029911075181891733,1.0,1.0,0.0,0.798968819
10,DSPC,1.0,0.5,1.0,0.32644178454842215,2.01663639
11,DSPC,0.5149555375909458,0.5,1.0,0.32644178454842215,2.439822516
12,DSPC,0.029911075181891733,0.5,1.0,0.32644178454842215,1.147980583
13,DSPC,1.0,0.5,1.0,0.0544069640914037,0.661661895
14,DSPC,0.5149555375909458,0.5,1.0,0.0544069640914037,0.604341642
15,DSPC,0.029911075181891733,0.5,1.0,0.0544069640914037,0.486194374
16,DSPC,1.0,0.5,1.0,0.0,0.592497069
17,DSPC,0.5149555375909458,0.5,1.0,0.0,0.395599834
18,DSPC,0.029911075181891733,0.5,1.0,0.0,0.701548101
19,DSPC,1.0,0.0,1.0,0.32644178454842215,1.120687327
20,DSPC,0.5149555375909458,0.0,1.0,0.32644178454842215,1.013683663
21,DSPC,0.029911075181891733,0.0,1.0,0.32644178454842215,0.844575512
22,DSPC,1.0,0.0,1.0,0.0544069640914037,0.510220365
23,DSPC,0.5149555375909458,0.0,1.0,0.0544069640914037,0.603005474
24,DSPC,0.029911075181891733,0.0,1.0,0.0544069640914037,0.901357297
25,DSPC,1.0,0.0,1.0,0.0,0.403643971
26,DSPC,0.5149555375909458,0.0,1.0,0.0,0.471330352
27,DSPC,0.029911075181891733,0.0,1.0,0.0,0.472992862
28,DSPC,1.0,1.0,0.5918367346938774,0.32644178454842215,0.532379013
29,DSPC,0.5149555375909458,1.0,0.5918367346938774,0.32644178454842215,0.77110622
30,DSPC,0.029911075181891733,1.0,0.5918367346938774,0.32644178454842215,0.528588902
31,DSPC,1.0,1.0,0.5918367346938774,0.0544069640914037,0.995953856
32,DSPC,0.5149555375909458,1.0,0.5918367346938774,0.0544069640914037,0.869652241
33,DSPC,0.029911075181891733,1.0,0.5918367346938774,0.0544069640914037,0.483869269
34,DSPC,1.0,1.0,0.5918367346938774,0.0,0.686902327
35,DSPC,0.5149555375909458,1.0,0.5918367346938774,0.0,0.867695202
36,DSPC,0.029911075181891733,1.0,0.5918367346938774,0.0,0.342305074
37,DSPC,1.0,0.5,0.5918367346938774,0.32644178454842215,1.90137088
38,DSPC,0.5149555375909458,0.5,0.5918367346938774,0.32644178454842215,1.911571513
39,DSPC,0.029911075181891733,0.5,0.5918367346938774,0.32644178454842215,0.19156656
40,DSPC,1.0,0.5,0.5918367346938774,0.0544069640914037,0.911944154
41,DSPC,0.5149555375909458,0.5,0.5918367346938774,0.0544069640914037,0.551245059
42,DSPC,0.029911075181891733,0.5,0.5918367346938774,0.0544069640914037,0.472438999
43,DSPC,1.0,0.5,0.5918367346938774,0.0,0.496117653
44,DSPC,0.5149555375909458,0.5,0.5918367346938774,0.0,0.478514688
45,DSPC,0.029911075181891733,0.5,0.5918367346938774,0.0,0.384923844
46,DSPC,1.0,0.0,0.5918367346938774,0.32644178454842215,2.344880222
47,DSPC,0.5149555375909458,0.0,0.5918367346938774,0.32644178454842215,1.635243489
48,DSPC,0.029911075181891733,0.0,0.5918367346938774,0.32644178454842215,1.369544088
49,DSPC,1.0,0.0,0.5918367346938774,0.0544069640914037,1.543576646
50,DSPC,0.5149555375909458,0.0,0.5918367346938774,0.0544069640914037,1.279359958
51,DSPC,0.029911075181891733,0.0,0.5918367346938774,0.0544069640914037,0.891841615
52,DSPC,1.0,0.0,0.5918367346938774,0.0,0.111997572
53,DSPC,0.5149555375909458,0.0,0.5918367346938774,0.0,0.293491246
54,DSPC,0.029911075181891733,0.0,0.5918367346938774,0.0,0.112791696
55,DSPC,1.0,1.0,0.18367346938775508,0.32644178454842215,0.661547262
56,DSPC,0.5149555375909458,1.0,0.18367346938775508,0.32644178454842215,0.404830211
57,DSPC,0.029911075181891733,1.0,0.18367346938775508,0.32644178454842215,0.412506658
58,DSPC,1.0,1.0,0.18367346938775508,0.0544069640914037,0.465908023
59,DSPC,0.5149555375909458,1.0,0.18367346938775508,0.0544069640914037,0.243043257
60,DSPC,0.029911075181891733,1.0,0.18367346938775508,0.0544069640914037,0.303872817
61,DSPC,1.0,1.0,0.18367346938775508,0.0,0.011480214
62,DSPC,0.5149555375909458,1.0,0.18367346938775508,0.0,0.23534822
63,DSPC,0.029911075181891733,1.0,0.18367346938775508,0.0,0.081958019
64,DSPC,1.0,0.5,0.18367346938775508,0.32644178454842215,1.314817776
65,DSPC,0.5149555375909458,0.5,0.18367346938775508,0.32644178454842215,1.195467658
66,DSPC,0.029911075181891733,0.5,0.18367346938775508,0.32644178454842215,0.671584987
67,DSPC,1.0,0.5,0.18367346938775508,0.0544069640914037,0.386283463
68,DSPC,0.5149555375909458,0.5,0.18367346938775508,0.0544069640914037,0.55098901
69,DSPC,0.029911075181891733,0.5,0.18367346938775508,0.0544069640914037,0.62832936
70,DSPC,1.0,0.5,0.18367346938775508,0.0,0.681860017
71,DSPC,0.5149555375909458,0.5,0.18367346938775508,0.0,0.780106996
72,DSPC,0.029911075181891733,0.5,0.18367346938775508,0.0,0.777354
73,DSPC,1.0,0.0,0.18367346938775508,0.32644178454842215,1.383452674
74,DSPC,0.5149555375909458,0.0,0.18367346938775508,0.32644178454842215,1.491066289
75,DSPC,0.029911075181891733,0.0,0.18367346938775508,0.32644178454842215,1.387010803
76,DSPC,1.0,0.0,0.18367346938775508,0.0544069640914037,2.364699551
77,DSPC,0.5149555375909458,0.0,0.18367346938775508,0.0544069640914037,2.162217891
78,DSPC,0.029911075181891733,0.0,0.18367346938775508,0.0544069640914037,2.077657496
79,DSPC,1.0,0.0,0.18367346938775508,0.0,0.154383388
80,DSPC,0.5149555375909458,0.0,0.18367346938775508,0.0,0.206675612
81,DSPC,0.029911075181891733,0.0,0.18367346938775508,0.0,0.246695117
82,DSPC,1.0,1.0,0.0,0.32644178454842215,0.226708477
83,DSPC,0.5149555375909458,1.0,0.0,0.32644178454842215,0.249814704
84,DSPC,0.029911075181891733,1.0,0.0,0.32644178454842215,0.291999327
85,DSPC,1.0,1.0,0.0,0.0544069640914037,0.003653464
86,DSPC,0.5149555375909458,1.0,0.0,0.0544069640914037,0.014396787
87,DSPC,0.029911075181891733,1.0,0.0,0.0544069640914037,0.037599282
