Iter (CV Fold),Valid Score (MAE),Test Score (MAE),Spearmans Rank,Pearsons Correlation,Model HyperParms,Formulation_Index (Hold out set),Experimental_Transfection,Predicted_Transfection,Score_difference
4,0.059840672016308084,0.06047692975763918,"SignificanceResult(statistic=0.9131668208448968, pvalue=9.22533709399924e-19)","PearsonRResult(statistic=0.9237874878418696, pvalue=5.842525041953688e-20)","{'subsample': 0.5, 'reg_lambda': 0.01, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 2.0, 'max_depth': 6, 'max_delta_step': 6, 'learning_rate': 0.1, 'gamma': 0}","[248  79 234 115 243  50 198 189  56  62 220 240  69 170 226  21 216  34
 180  41  53 273 231 172 132   8 213 254 168 266 136  55  77  30  29  48
 215 121 269  32 212 111 241  17 256  70]","[[0.74591085]
 [0.32128875]
 [0.79368627]
 [0.24931286]
 [0.76401483]
 [0.57308087]
 [0.7805662 ]
 [0.91114151]
 [0.45643751]
 [0.46927019]
 [0.75615476]
 [0.78115876]
 [0.68255205]
 [0.42829415]
 [0.82584336]
 [0.09416908]
 [0.56514413]
 [0.27607558]
 [0.94831655]
 [0.5453308 ]
 [0.26397485]
 [0.39902988]
 [0.78097207]
 [0.41314524]
 [0.90592787]
 [0.31778782]
 [0.77505721]
 [0.67527151]
 [0.44988354]
 [0.61135602]
 [0.92650105]
 [0.35988161]
 [0.64033297]
 [0.45635827]
 [0.44341793]
 [0.62272116]
 [0.18693828]
 [0.33136689]
 [0.36900696]
 [0.56337571]
 [0.7464797 ]
 [0.31402315]
 [0.77366272]
 [0.16127838]
 [0.67615299]
 [0.39629443]]","[0.77043766 0.36358875 0.82393134 0.29587612 0.7724511  0.6118493
 0.76306605 0.9249669  0.4674904  0.42799464 0.49896315 0.8148014
 0.6580699  0.28720215 0.80367064 0.14560595 0.32218572 0.37484422
 0.9014184  0.6324683  0.37233454 0.61115175 0.78795415 0.29988915
 0.90817595 0.28904328 0.7620735  0.6361982  0.26947504 0.4442738
 0.92322457 0.37628996 0.602641   0.5356165  0.53068364 0.5420057
 0.21542805 0.39888388 0.31534427 0.5685425  0.7427462  0.3525156
 0.77041405 0.20767204 0.6425373  0.44176224]",0.0006362577413310949
5,0.06208999663812085,0.05717002034042958,"SignificanceResult(statistic=0.9609004008633981, pvalue=3.598320391838974e-26)","PearsonRResult(statistic=0.9533755121281245, pvalue=1.6008000508918464e-24)","{'subsample': 0.5, 'reg_lambda': 0.001, 'reg_alpha': 0.1, 'n_estimators': 400, 'min_child_weight': 5.0, 'max_depth': 4, 'max_delta_step': 1, 'learning_rate': 0.1, 'gamma': 0}","[ 36 176 107 143 211  19 135 237 138 272 219   4 217 156   1 158  44  98
 230  89  60 227  47 249 183  67  80 242  24 204 228  84  16  91   2 160
 174 164  57  12  85 161 162 195  93 201]","[[0.40596179]
 [0.71262951]
 [0.33072713]
 [0.82298351]
 [0.76100973]
 [0.10444942]
 [0.92914207]
 [0.81340468]
 [0.91369984]
 [0.39608165]
 [0.47234801]
 [0.24506741]
 [0.24163044]
 [0.74648011]
 [0.1984809 ]
 [0.57294374]
 [0.44793957]
 [0.41328989]
 [0.75396885]
 [0.7358971 ]
 [0.70182445]
 [0.81986693]
 [0.58993059]
 [0.73722587]
 [0.93818313]
 [0.59716072]
 [0.35053387]
 [0.78072997]
 [0.33315409]
 [0.77093252]
 [0.82073651]
 [0.4923902 ]
 [0.10547462]
 [1.        ]
 [0.2040422 ]
 [0.77448623]
 [0.40104813]
 [0.76935436]
 [0.54946304]
 [0.05078282]
 [0.62754141]
 [0.72404317]
 [0.57966531]
 [0.38126977]
 [0.81497864]
 [0.75796023]]","[0.39670193 0.63644135 0.22312517 0.90504396 0.753182   0.18453436
 0.8998976  0.83605254 0.89758044 0.58071136 0.5152556  0.24497795
 0.15020126 0.72888803 0.22257806 0.7181222  0.42224824 0.44441208
 0.8314494  0.75865847 0.6049323  0.844229   0.5057363  0.8094958
 0.9191624  0.55289817 0.38930574 0.7677297  0.2554798  0.77625483
 0.78481597 0.5936996  0.15004015 0.81956005 0.24759395 0.76834124
 0.4974991  0.7622001  0.41639838 0.22823375 0.68821865 0.7492152
 0.66481286 0.3749798  0.7649181  0.7645966 ]",0.004919976297691267
3,0.06017830016841097,0.054747266868493134,"SignificanceResult(statistic=0.9231575701510946, pvalue=6.956629140983388e-20)","PearsonRResult(statistic=0.9361850560424898, pvalue=1.3371707091958761e-21)","{'subsample': 0.7, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 1.0, 'max_depth': 8, 'max_delta_step': 10, 'learning_rate': 0.1, 'gamma': 0}","[137 264 173  68 177 119 223  58  65  40 270 182 200  14 179 186 210  66
  78  87  37 203 110 184 128 194 218 171 105 239 157 155  59  64  76 127
 259  39  38 197  28  86 152 263 101 123]","[[0.92635361]
 [0.35620578]
 [0.50562089]
 [0.65678341]
 [0.44916091]
 [0.2858042 ]
 [0.19520863]
 [0.41079328]
 [0.44259981]
 [0.55049679]
 [0.63511173]
 [0.84679023]
 [0.36885744]
 [0.35214189]
 [0.94223199]
 [0.84182094]
 [0.73150326]
 [0.4090229 ]
 [0.67695072]
 [0.4544466 ]
 [0.58666759]
 [0.77394385]
 [0.17796462]
 [0.94805366]
 [0.42088089]
 [0.78134093]
 [0.72027275]
 [0.47357606]
 [0.45897373]
 [0.67561558]
 [0.76163345]
 [0.70419752]
 [0.60805536]
 [0.44826062]
 [0.55287006]
 [0.18773211]
 [0.64105288]
 [0.5496198 ]
 [0.56099979]
 [0.51281126]
 [0.4246044 ]
 [0.48090815]
 [0.65295635]
 [0.32453938]
 [0.78204795]
 [0.22503262]]","[0.9000256  0.37498894 0.3783464  0.64542156 0.29799363 0.2711876
 0.22714345 0.57791656 0.4414444  0.5678731  0.39829838 0.8657005
 0.3820741  0.29353148 0.8243468  0.8663152  0.66330856 0.5340181
 0.66343457 0.41610828 0.4857613  0.75866556 0.1562786  0.94058913
 0.36743775 0.77884614 0.60112596 0.5537864  0.45975053 0.70959985
 0.64753014 0.6356122  0.66511637 0.39041716 0.5944469  0.2262321
 0.6468805  0.48656106 0.4706046  0.56235296 0.4426246  0.4989215
 0.57837    0.25771534 0.78629225 0.1923268 ]",0.005431033299917835
1,0.05459169791095514,0.060814182358293924,"SignificanceResult(statistic=0.9470397779833488, pvalue=7.857796163503478e-24)","PearsonRResult(statistic=0.9436090608525289, pvalue=3.1110657601046393e-23)","{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.001, 'n_estimators': 400, 'min_child_weight': 5.0, 'max_depth': 9, 'max_delta_step': 2, 'learning_rate': 0.05, 'gamma': 0}","[140  27 229 114 268 265 188 167 251 100 122 199  46 260  13 224  81   7
 196 139  99  25   9 116  15 209  90 202 262 134 190 142  75 221 102 257
 258  45 120 159 271 192  52 108 145  72  74]","[[0.92540299]
 [0.12438664]
 [0.8156915 ]
 [0.12332036]
 [0.40154094]
 [0.3508639 ]
 [0.92034776]
 [0.36115458]
 [0.6842503 ]
 [0.45215344]
 [0.46577179]
 [0.94342989]
 [0.57302026]
 [0.6602587 ]
 [0.26124212]
 [0.37502958]
 [0.39808232]
 [0.23161411]
 [0.77033249]
 [0.89402194]
 [0.50877319]
 [0.        ]
 [0.32936928]
 [0.17038837]
 [0.32718414]
 [0.78568767]
 [0.54935351]
 [0.71353609]
 [0.63154598]
 [0.90949621]
 [0.91776868]
 [0.51026107]
 [0.47189658]
 [0.3803387 ]
 [0.53132716]
 [0.66272281]
 [0.66846148]
 [0.48818394]
 [0.14685436]
 [0.7469976 ]
 [0.40827492]
 [0.69953243]
 [0.3824283 ]
 [0.26756692]
 [0.88165016]
 [0.49397707]
 [0.34611124]]","[0.92085266 0.15787427 0.80375165 0.25393438 0.6201511  0.28653002
 0.93852204 0.29437518 0.68431634 0.48727116 0.38905472 0.88882065
 0.5481373  0.63084406 0.26639923 0.3732769  0.38055673 0.18875396
 0.8534227  0.92335534 0.58163786 0.07857088 0.31488964 0.24182378
 0.30460975 0.8021078  0.74374884 0.76235455 0.39973453 0.93855244
 0.9552577  0.44722566 0.48449326 0.33099774 0.5706017  0.6588383
 0.64915484 0.42139062 0.24966845 0.7324147  0.63245225 0.83230424
 0.25627032 0.3471846  0.89618737 0.4614253  0.45600295]",0.006222484447338784
2,0.0552465373247944,0.06490716823034168,"SignificanceResult(statistic=0.9042553191489362, pvalue=3.0443096454840177e-18)","PearsonRResult(statistic=0.9259939833920444, pvalue=1.1695903828721403e-20)","{'subsample': 0.9, 'reg_lambda': 0.01, 'reg_alpha': 0.001, 'n_estimators': 400, 'min_child_weight': 4.0, 'max_depth': 3, 'max_delta_step': 2, 'learning_rate': 0.05, 'gamma': 0}","[ 73 117 124 261 148  88  51 250  92 187  26 112 193  61 255 246 166 165
 233 205 109  82 126 169   5  63 154 267 235 191 129 106  54 178  42 153
 181 214 252   6 118   3 208 131 247 103  22]","[[0.39259477]
 [0.18773211]
 [0.18992335]
 [0.68738853]
 [0.85045275]
 [0.52433379]
 [0.57093565]
 [0.66692696]
 [0.78520409]
 [0.8665867 ]
 [0.1430871 ]
 [0.21884237]
 [0.5398441 ]
 [0.33839006]
 [0.67829194]
 [0.7513257 ]
 [0.66026021]
 [0.73069429]
 [0.78468642]
 [0.80306348]
 [0.3617971 ]
 [0.52030412]
 [0.17396561]
 [0.6546114 ]
 [0.28283441]
 [0.46381869]
 [0.78246284]
 [0.64358824]
 [0.81312347]
 [0.39543143]
 [0.32544718]
 [0.29563463]
 [0.33844404]
 [0.89432798]
 [0.56225865]
 [0.90085077]
 [0.95573556]
 [0.48890155]
 [0.6486569 ]
 [0.31810469]
 [0.67812118]
 [0.24340347]
 [0.79367678]
 [0.94436522]
 [0.74766981]
 [0.86780627]
 [0.21759531]]","[0.43226203 0.23728135 0.1659484  0.67483145 0.83683944 0.7225804
 0.6377867  0.6218445  0.7140756  0.9058248  0.07539664 0.33426085
 0.5120874  0.31860852 0.6602436  0.77297336 0.58506316 0.72057194
 0.8401082  0.75660473 0.38839883 0.54675204 0.1148065  0.584337
 0.37459573 0.5103053  0.73438984 0.4082896  0.82237905 0.4350451
 0.19308975 0.3810889  0.3730374  0.89193517 0.6107499  0.637261
 0.9426866  0.7408733  0.66086286 0.38564044 0.78551775 0.19644026
 0.75845236 0.9041831  0.771661   0.6646193  0.22922288]",0.00966063090554728
