Formula_label,Helper_lipid,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),Fold_T
0,DSPC,0.16254347817859915,0.53664536610345,0.08638499842610506,0.20351319549656832,0.0
1,DSPC,0.16254347817859915,0.21098860343194353,0.0,0.20351319549656832,0.4681789026989849
2,DSPC,0.16254347817859915,0.4552311754355734,0.0,0.20351319549656832,0.20072897349207786
3,DSPC,0.16254347817859915,0.6994737474392034,0.0,0.20351319549656832,-1.2951379419097497
4,DSPC,0.16254347817859915,0.21098860343194353,0.2591548657008823,0.20351319549656832,-0.5578443792026415
5,DSPC,0.16254347817859915,0.4552311754355734,0.2591548657008823,0.20351319549656832,0.4142412933665689
6,DSPC,0.16254347817859915,0.6994737474392034,0.2591548657008823,0.20351319549656832,-0.24095081511553396
7,DSPC,0.16254347817859915,0.21098860343194353,0.5183097314017646,0.20351319549656832,-1.2865429439909897
8,DSPC,0.16254347817859915,0.4552311754355734,0.5183097314017646,0.20351319549656832,-0.24401454300218361
9,DSPC,0.16254347817859915,0.6994737474392034,0.5183097314017646,0.20351319549656832,-0.009339090500928293
10,DSPC,0.16254347817859915,0.21098860343194353,0.6478871642522057,0.20351319549656832,-1.2845142518012307
11,DSPC,0.16254347817859915,0.4552311754355734,0.6478871642522057,0.20351319549656832,-1.1976355800072036
12,DSPC,0.16254347817859915,0.6994737474392034,0.6478871642522057,0.20351319549656832,-1.1322679401752578
13,DSPC,0.6783828405917528,0.21098860343194353,0.0,0.20351319549656832,0.07254985761497856
14,DSPC,0.6783828405917528,0.4552311754355734,0.0,0.20351319549656832,-0.3818656600246957
15,DSPC,0.6783828405917528,0.6994737474392034,0.0,0.20351319549656832,-2.8146000874025194
16,DSPC,0.6783828405917528,0.21098860343194353,0.2591548657008823,0.20351319549656832,-0.39260639473550185
17,DSPC,0.6783828405917528,0.4552311754355734,0.2591548657008823,0.20351319549656832,0.5372386727677121
18,DSPC,0.6783828405917528,0.6994737474392034,0.2591548657008823,0.20351319549656832,0.05556335373158028
19,DSPC,0.6783828405917528,0.21098860343194353,0.5183097314017646,0.20351319549656832,-2.0931418229357757
20,DSPC,0.6783828405917528,0.4552311754355734,0.5183097314017646,0.20351319549656832,-1.3804615772148767
21,DSPC,0.6783828405917528,0.6994737474392034,0.5183097314017646,0.20351319549656832,-2.195823203761001
22,DSPC,0.6783828405917528,0.21098860343194353,0.6478871642522057,0.20351319549656832,-2.7281850416005677
23,DSPC,0.6783828405917528,0.4552311754355734,0.6478871642522057,0.20351319549656832,-2.1655689146418897
24,DSPC,0.6783828405917528,0.6994737474392034,0.6478871642522057,0.20351319549656832,-1.3423200361471017
0,DSPC,0.16254347817859915,0.53664536610345,0.08638499842610506,0.20351319549656832,0.0
25,DSPC,0.8051177965909236,0.5048605850737662,0.2929054617859311,0.48574544300573286,1.417051382891426
26,DSPC,1.0,0.4733537122747092,0.3703290520517828,0.7200450679046941,0.3009569575168327
27,DSPC,0.917813204152469,0.4829362264381489,0.3536233317261813,0.7042964690356555,0.30666039503070275
28,DSPC,0.9727829392161137,0.509017156282243,0.4778304010867092,0.8044913516248204,-0.22915903201867516
