Formula_label,Opt_Method,Iter,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),MAL_(PEG+MAL),IL%,HL%,Chol%,PEG%,MAL%,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,MAL_Mol_RNA,LnRLU_RAMOS,RLU_Fold_over_Mod,Encapsulation,Flow_validation,NORM_RLU_T
23,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,55.0,60.0,3.75,6.083950617,22.0,33.0,43.3125,1.584833333,0.102666667,24,36.0,47.25,1.728909091,0.112,1.379964973,,,,3.387245534
24,LIBRARY,0,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,70.0,60.0,3.75,11.61481481,28.0,42.0,28.875,0.994333333,0.130666667,24,36.0,24.75,0.852285714,0.112,1.115531268,,,,2.678898168
25,i-optimal,1,SM-102,DSPC,,,,,,,,,,4.919314628281453,63.39198560540243,71.98294853655689,3.824576783071471,,,,,,,,,,,,,,,,
26,i-optimal,1,SM-102,DSPC,,,,,,,,,,4.909215342210513,63.405765914441744,86.14157716721297,5.0137559344687865,,,,,,,,,,,,,,,,
27,i-optimal,1,SM-102,DSPC,,,,,,,,,,9.21586960566558,55.488986967552904,76.66744078254945,8.926982487705384,,,,,,,,,,,,,,,,
28,i-optimal,1,SM-102,DSPC,,,,,,,,,,9.1947111127603,60.034132294105454,64.34235012587553,5.93574153911416,,,,,,,,,,,,,,,,
29,i-optimal,1,SM-102,DSPC,,,,,,,,,,7.694278871444262,61.63293605138585,78.31633522316685,6.628699473732826,,,,,,,,,,,,,,,,
30,i-optimal,1,SM-102,DSPC,,,,,,,,,,9.58895339614849,57.86519799179415,88.61789366073789,9.948481491817612,,,,,,,,,,,,,,,,
31,DA,1,SM-102,DSPC,,,,,,,,,,8.679867659788494,31.885898820524183,48.74713047316394,4.909700334072113,,,,,,,,,,,,,,,,
32,DA,1,SM-102,DSPC,,,,,,,,,,9.724673099522324,39.72707291882105,39.75432547577993,3.317545309662819,,,,,,,,,,,,,,,,
33,DA,1,SM-102,DSPC,,,,,,,,,,8.083145668741338,46.06322924608888,35.192255324146984,8.30080928094685,,,,,,,,,,,,,,,,
34,DA,1,SM-102,DSPC,,,,,,,,,,8.351964029839758,28.682729586261303,38.015069680172985,7.232908379519358,,,,,,,,,,,,,,,,
35,DA,1,SM-102,DSPC,,,,,,,,,,9.703606888333727,22.11585295119598,49.070198710373504,8.527704164385796,,,,,,,,,,,,,,,,
36,DA,1,SM-102,DSPC,,,,,,,,,,8.889279296330058,20.680224631051537,33.49333859615455,8.791371166706085,,,,,,,,,,,,,,,,
