Iter (CV Fold),Valid Score (MAE),Test Score (MAE),Spearmans Rank,Pearsons Correlation,Model HyperParms,Formulation_Index (Hold out set),Experimental_Transfection,Predicted_Transfection,Score_difference
1,0.06812833672453732,0.05407716429185509,"SignificanceResult(statistic=0.9211066466223659, pvalue=4.68050686075091e-20)","PearsonRResult(statistic=0.9606184205397038, pvalue=1.1548886913985539e-26)","{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 150, 'min_child_weight': 4.0, 'max_depth': 10, 'max_delta_step': 4, 'learning_rate': 0.1, 'gamma': 0}","[156  70 256 124 230 248 208 153 233 103  92 213  10 241  25 196  77  54
 216 159 101  72   9 128  35 181 102 179 226 163 215 177  44 194 112 235
 243  65 126 135 232 222  76 100 172  71  38]","[[0.70323972]
 [0.2933263 ]
 [0.62091759]
 [0.05175654]
 [0.71200574]
 [0.70257336]
 [0.75848625]
 [0.88393986]
 [0.7479625 ]
 [0.84525928]
 [0.74856846]
 [0.73669093]
 [0.        ]
 [0.7350586 ]
 [0.        ]
 [0.73116036]
 [0.5789881 ]
 [0.22560894]
 [0.49097504]
 [0.70384547]
 [0.74487401]
 [0.40766971]
 [0.21498639]
 [0.32210623]
 [0.32709925]
 [0.94818581]
 [0.45139024]
 [0.93237907]
 [0.79613918]
 [0.69916969]
 [0.04826233]
 [0.3552097 ]
 [0.35378005]
 [0.7440464 ]
 [0.08560799]
 [0.78124977]
 [0.72376516]
 [0.34752954]
 [0.03307704]
 [0.91705653]
 [0.75821081]
 [0.16621404]
 [0.47660751]
 [0.35871264]
 [0.31305119]
 [0.32665178]
 [0.48612384]]","[0.72551316 0.2761284  0.4865508  0.12158413 0.7542658  0.7305919
 0.735752   0.62425417 0.7700919  0.6727054  0.7451676  0.73156434
 0.00821095 0.6976737  0.01161286 0.76011217 0.5187932  0.39134094
 0.28337932 0.725751   0.7522468  0.37632513 0.14133649 0.2863892
 0.34428206 0.89674366 0.553988   0.8641295  0.7862014  0.76235247
 0.07712875 0.22778665 0.4055331  0.78131664 0.19409615 0.78456014
 0.73493123 0.3371842  0.02466402 0.90646744 0.78525275 0.15122364
 0.38363165 0.41098237 0.22405759 0.37052974 0.46411216]",0.014051172432682224
2,0.06444818696617159,0.06789749611934255,"SignificanceResult(statistic=0.9155560698804321, pvalue=2.036548126076034e-19)","PearsonRResult(statistic=0.9352539531008013, pvalue=6.376464799897912e-22)","{'subsample': 0.9, 'reg_lambda': 0.001, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 2.0, 'max_depth': 8, 'max_delta_step': 8, 'learning_rate': 0.05, 'gamma': 0}","[ 21 119 122 242 166  91  56 240  84 204  69  98 225  78 239 262 142 133
 266 185  87 111 129 132  11  58 130 227 258 224 104  86  75 201  42 173
 211 189 247  13 113  74 183 154 271 125  32]","[[0.        ]
 [0.16399084]
 [0.37465374]
 [0.74333124]
 [0.60231413]
 [1.        ]
 [0.3637274 ]
 [0.74383316]
 [0.40581219]
 [0.73186273]
 [0.62840808]
 [0.31322051]
 [0.19727943]
 [0.62185138]
 [0.62028852]
 [0.5687024 ]
 [0.42673111]
 [0.91738093]
 [0.54506884]
 [0.85169397]
 [0.36139692]
 [0.19702282]
 [0.21039534]
 [0.88988291]
 [0.        ]
 [0.31029808]
 [0.94382789]
 [0.78914341]
 [0.61191421]
 [0.26843452]
 [0.82677209]
 [0.39237176]
 [0.38182317]
 [0.71667788]
 [0.48759741]
 [0.4212995 ]
 [0.72024751]
 [0.89598579]
 [0.70463233]
 [0.13523945]
 [0.06530609]
 [0.23458386]
 [0.92763964]
 [0.74535967]
 [0.30735019]
 [0.47764429]
 [0.488905  ]]","[0.02145779 0.10644244 0.22575425 0.70301473 0.6578492  0.8687472
 0.31712565 0.7270181  0.4856353  0.7405623  0.6014325  0.40222257
 0.3291863  0.5829013  0.66557354 0.29645184 0.42930815 0.9104439
 0.33523682 0.88123065 0.40371594 0.30410683 0.12034835 0.79176545
 0.01118003 0.5703783  0.90021014 0.78520995 0.6074552  0.3717749
 0.67344946 0.37840578 0.36370116 0.7856301  0.45981228 0.34140527
 0.6889452  0.9105038  0.7103012  0.1387566  0.12362379 0.35728294
 0.93690604 0.72940457 0.48717964 0.6175672  0.46514273]",0.0034493091531709597
3,0.06369043175447112,0.060751668188087006,"SignificanceResult(statistic=0.9526306123181654, pvalue=2.2514255363363896e-24)","PearsonRResult(statistic=0.9594387666948561, pvalue=7.948042879778991e-26)","{'subsample': 0.7, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'n_estimators': 300, 'min_child_weight': 1.0, 'max_depth': 8, 'max_delta_step': 10, 'learning_rate': 0.1, 'gamma': 0}","[164 246 146  43 148  94 199   6  52  20 228 205 223  34 214 200 182  47
  62  96   8 188 121 209 109 219 191 143 117 273 145 139   3  36  28 114
 244  23  18 221  26 105 176 249 107 106]","[[0.7300154 ]
 [0.70891177]
 [0.85396623]
 [0.31034101]
 [0.82494594]
 [0.8318597 ]
 [0.93378129]
 [0.20180051]
 [0.27709517]
 [0.        ]
 [0.7901613 ]
 [0.76947396]
 [0.05794328]
 [0.15260291]
 [0.40172851]
 [0.26120966]
 [0.82065874]
 [0.51998908]
 [0.37874882]
 [0.31639982]
 [0.20142959]
 [0.90676226]
 [0.21732472]
 [0.74913452]
 [0.25294511]
 [0.3823516 ]
 [0.29231611]
 [0.79279155]
 [0.04919157]
 [0.29652832]
 [0.8614644 ]
 [0.8759463 ]
 [0.11435824]
 [0.30464253]
 [0.32646483]
 [0.        ]
 [0.71501666]
 [0.1797493 ]
 [0.03916814]
 [0.27464916]
 [0.        ]
 [0.3666962 ]
 [0.66361556]
 [0.69240707]
 [0.21657583]
 [0.17549795]]","[ 0.7534635   0.71446234  0.8638046   0.36314225  0.78413886  0.7665309
  0.86802375  0.2504351   0.2860577  -0.00315035  0.7646174   0.7538555
  0.13047174  0.3035379   0.7011469   0.41031855  0.84836143  0.49920008
  0.30793548  0.36224818  0.1129671   0.93593013  0.2630735   0.6178591
  0.29212812  0.34991053  0.4176933   0.8244609   0.07477566  0.5670658
  0.77189445  0.9058226   0.13380757  0.34146512  0.3619388   0.14377865
  0.75680447  0.23493895  0.02533855  0.180258    0.00741438  0.3855775
  0.6428674   0.6989059   0.21363674  0.33139154]",0.0029387635663841102
4,0.06406518106412004,0.07089803719641448,"SignificanceResult(statistic=0.922901382461425, pvalue=7.465201288418784e-20)","PearsonRResult(statistic=0.9270330323556472, pvalue=2.3198469126926053e-20)","{'subsample': 0.5, 'reg_lambda': 0.001, 'reg_alpha': 0.1, 'n_estimators': 400, 'min_child_weight': 5.0, 'max_depth': 4, 'max_delta_step': 1, 'learning_rate': 0.1, 'gamma': 0}","[268  81 252 120 265  39 218 206  37  55 192 260  60 149 251  49 197  66
 212  41  80 234 250 152 168  12 190 237 151 229 158  48  46  16  15  19
 207 108 245   2 178  85 264  51 236  63]","[[0.29946766]
 [0.29541914]
 [0.58873176]
 [0.0013417 ]
 [0.24014714]
 [0.47280288]
 [0.67256242]
 [0.7094866 ]
 [0.51616955]
 [0.25070291]
 [0.64828463]
 [0.60231237]
 [0.65096757]
 [0.59414541]
 [0.63039598]
 [0.48228977]
 [0.42971626]
 [0.30822575]
 [0.70323923]
 [0.46778235]
 [0.23976082]
 [0.75849737]
 [0.61011797]
 [0.59376453]
 [0.35605559]
 [0.        ]
 [0.9037433 ]
 [0.78157895]
 [0.84996659]
 [0.78425581]
 [0.50010495]
 [0.55837241]
 [0.50019453]
 [0.        ]
 [0.21242855]
 [0.        ]
 [0.74338518]
 [0.142643  ]
 [0.64678464]
 [0.0682835 ]
 [0.87630454]
 [0.56401481]
 [0.24640013]
 [0.49775437]
 [0.78268858]
 [0.37236752]]","[ 0.54526967  0.3264827   0.59618235  0.17861904  0.09616333  0.39504105
  0.70310134  0.74901724  0.38920575  0.2523119   0.73267233  0.6203449
  0.49060223  0.3410965   0.6443585   0.5392177   0.39470795  0.3869158
  0.6660295   0.61868566  0.29002297  0.8205396   0.6006255   0.5023392
  0.2370735  -0.00090141  0.85638356  0.80091834  0.798143    0.7980237
  0.70360625  0.42606002  0.4054853   0.05195355  0.16512266  0.00565998
  0.7355336   0.11793311  0.7055148   0.11627626  0.85419494  0.7134997
  0.29735976  0.59671724  0.80611247  0.36663952]",0.0068328561322944376
5,0.0702661427061043,0.07171812046134461,"SignificanceResult(statistic=0.9170803914440723, pvalue=3.484320362315112e-19)","PearsonRResult(statistic=0.9229200615950601, pvalue=7.42695658928115e-20)","{'subsample': 0.5, 'reg_lambda': 0.001, 'reg_alpha': 0.001, 'n_estimators': 300, 'min_child_weight': 4.0, 'max_depth': 10, 'max_delta_step': 6, 'learning_rate': 0.1, 'gamma': 0}","[ 14 131  93 170 186  61 160 259 155 238 193   7 203 136  24 144  64  97
 255  90   5 261  17 269 210  27  79 267  29 180 257  89  40  99  73 141
 147 140  30  68  82 138 134 217  83 220]","[[0.2416431 ]
 [0.93487615]
 [0.78342136]
 [0.3307839 ]
 [0.81484189]
 [0.22554575]
 [0.73602256]
 [0.5798308 ]
 [0.6537454 ]
 [0.74502045]
 [0.46135984]
 [0.10055809]
 [0.73538768]
 [0.91396506]
 [0.21941674]
 [0.84932795]
 [0.35415586]
 [0.73408006]
 [0.62342136]
 [0.47249116]
 [0.16051453]
 [0.63406946]
 [0.01822588]
 [0.26138468]
 [0.68570842]
 [0.        ]
 [0.20552764]
 [0.58279859]
 [0.34848719]
 [0.93950141]
 [0.60519676]
 [0.69085166]
 [0.47382945]
 [0.42498946]
 [0.28899563]
 [0.92111169]
 [0.7641324 ]
 [0.91267971]
 [0.36363464]
 [0.59824433]
 [0.43848711]
 [0.89898047]
 [0.89405987]
 [0.11228279]
 [0.85283672]
 [0.71456447]]","[ 0.18684229  0.891391    0.7115272   0.25626105  0.83593404  0.21112481
  0.73281765  0.51813877  0.61108375  0.7257595   0.4817117   0.06049591
  0.6833249   0.8613759   0.17224774  0.6518671   0.30342925  0.8693578
  0.50484467  0.8272515   0.2193261   0.6337487   0.05205728  0.25645307
  0.55642205 -0.00876628  0.2467972   0.3330235   0.4742182   0.9000004
  0.62107223  0.7226094   0.46573773  0.7481191   0.30158785  0.8611806
  0.63422114  0.88221717  0.47613725  0.5881522   0.5287851   0.8611806
  0.9039144   0.06217729  0.84966284  0.50940657]",0.001451977755240308
