Formula_label,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,nLnLE_RAMOS
31,DSPC,0.0,0.3937886618582515,0.5163959489651009,0.02965133267656129,4.699289223
32,DSPC,0.167125132547256,0.3937886618582515,0.5163959489651009,0.02965133267656129,4.341236342
59,DSPC,0.167125132547256,0.3937886618582515,0.5163959489651009,0.0,4.330536932
33,DSPC,0.33425026509451194,0.3937886618582515,0.5163959489651009,0.02965133267656129,3.877901921
60,DSPC,0.33425026509451194,0.3937886618582515,0.5163959489651009,0.0,3.49264352
58,DSPC,0.0,0.3937886618582515,0.5163959489651009,0.0,3.220841772
4,DSPC,0.0,0.3937886618582515,0.5163959489651009,0.3335101030255225,2.978449476
37,DSPC,0.0,0.0,0.015264438338670725,0.02965133267656129,2.938621614
9,DSPC,0.33425026509451194,0.7875773237165031,0.5163959489651009,0.3335101030255225,2.811799294
46,DSPC,0.0,0.0,0.0,0.02965133267656129,2.762363042
5,DSPC,0.167125132547256,0.3937886618582515,0.5163959489651009,0.3335101030255225,2.748254075
8,DSPC,0.167125132547256,0.7875773237165031,0.5163959489651009,0.3335101030255225,2.597613481
6,DSPC,0.33425026509451194,0.3937886618582515,0.5163959489651009,0.3335101030255225,2.556686389
36,DSPC,0.33425026509451194,0.7875773237165031,0.5163959489651009,0.02965133267656129,2.455176735
29,DSPC,0.167125132547256,0.0,0.5163959489651009,0.02965133267656129,2.443112754
30,DSPC,0.33425026509451194,0.0,0.5163959489651009,0.02965133267656129,2.130258279
47,DSPC,0.167125132547256,0.0,0.0,0.02965133267656129,2.057012714
38,DSPC,0.167125132547256,0.0,0.015264438338670725,0.02965133267656129,2.000447844
48,DSPC,0.33425026509451194,0.0,0.0,0.02965133267656129,1.636529689
40,DSPC,0.0,0.3937886618582515,0.015264438338670725,0.02965133267656129,1.616505202
73,DSPC,0.0,0.0,0.0,0.0,1.588715154
35,DSPC,0.167125132547256,0.7875773237165031,0.5163959489651009,0.02965133267656129,1.564751799
39,DSPC,0.33425026509451194,0.0,0.015264438338670725,0.02965133267656129,1.542001815
1,DSPC,0.0,0.0,0.5163959489651009,0.3335101030255225,1.46064466
13,DSPC,0.0,0.3937886618582515,0.015264438338670725,0.3335101030255225,1.41860883
28,DSPC,0.0,0.0,0.5163959489651009,0.02965133267656129,1.409814308
67,DSPC,0.0,0.3937886618582515,0.015264438338670725,0.0,1.342524038
76,DSPC,0.0,0.3937886618582515,0.0,0.0,1.341949299
24,DSPC,0.33425026509451194,0.3937886618582515,0.0,0.3335101030255225,1.253118927
57,DSPC,0.33425026509451194,0.0,0.5163959489651009,0.0,1.238422233
23,DSPC,0.167125132547256,0.3937886618582515,0.0,0.3335101030255225,1.217860803
22,DSPC,0.0,0.3937886618582515,0.0,0.3335101030255225,1.116841402
49,DSPC,0.0,0.3937886618582515,0.0,0.02965133267656129,1.109606514
14,DSPC,0.167125132547256,0.3937886618582515,0.015264438338670725,0.3335101030255225,1.09196587
15,DSPC,0.33425026509451194,0.3937886618582515,0.015264438338670725,0.3335101030255225,1.042174982
64,DSPC,0.0,0.0,0.015264438338670725,0.0,0.898105982
56,DSPC,0.167125132547256,0.0,0.5163959489651009,0.0,0.87737389
74,DSPC,0.167125132547256,0.0,0.0,0.0,0.858280982
50,DSPC,0.167125132547256,0.3937886618582515,0.0,0.02965133267656129,0.575017701
16,DSPC,0.0,0.7875773237165031,0.015264438338670725,0.3335101030255225,0.557428077
41,DSPC,0.167125132547256,0.3937886618582515,0.015264438338670725,0.02965133267656129,0.54078349
42,DSPC,0.33425026509451194,0.3937886618582515,0.015264438338670725,0.02965133267656129,0.456905832
68,DSPC,0.167125132547256,0.3937886618582515,0.015264438338670725,0.0,0.455590509
75,DSPC,0.33425026509451194,0.0,0.0,0.0,0.374489954
18,DSPC,0.33425026509451194,0.7875773237165031,0.015264438338670725,0.3335101030255225,0.365649847
77,DSPC,0.167125132547256,0.3937886618582515,0.0,0.0,0.335849843
66,DSPC,0.33425026509451194,0.0,0.015264438338670725,0.0,0.266047918
55,DSPC,0.0,0.0,0.5163959489651009,0.0,0.25528776
21,DSPC,0.33425026509451194,0.0,0.0,0.3335101030255225,0.234175942
20,DSPC,0.167125132547256,0.0,0.0,0.3335101030255225,0.215193113
17,DSPC,0.167125132547256,0.7875773237165031,0.015264438338670725,0.3335101030255225,0.209884123
65,DSPC,0.167125132547256,0.0,0.015264438338670725,0.0,0.127682156
11,DSPC,0.167125132547256,0.0,0.015264438338670725,0.3335101030255225,0.115731528
7,DSPC,0.0,0.7875773237165031,0.5163959489651009,0.3335101030255225,0.074683301
62,DSPC,0.167125132547256,0.7875773237165031,0.5163959489651009,0.0,-0.000914008
51,DSPC,0.33425026509451194,0.3937886618582515,0.0,0.02965133267656129,-0.015063518
43,DSPC,0.0,0.7875773237165031,0.015264438338670725,0.02965133267656129,-0.088016042
63,DSPC,0.33425026509451194,0.7875773237165031,0.5163959489651009,0.0,-0.120875166
10,DSPC,0.0,0.0,0.015264438338670725,0.3335101030255225,-0.129719713
69,DSPC,0.33425026509451194,0.3937886618582515,0.015264438338670725,0.0,-0.134671431
19,DSPC,0.0,0.0,0.0,0.3335101030255225,-0.171993717
78,DSPC,0.33425026509451194,0.3937886618582515,0.0,0.0,-0.22246224
70,DSPC,0.0,0.7875773237165031,0.015264438338670725,0.0,-0.438426527
44,DSPC,0.167125132547256,0.7875773237165031,0.015264438338670725,0.02965133267656129,-0.585175889
45,DSPC,0.33425026509451194,0.7875773237165031,0.015264438338670725,0.02965133267656129,-0.585175889
34,DSPC,0.0,0.7875773237165031,0.5163959489651009,0.02965133267656129,-0.702266922
71,DSPC,0.167125132547256,0.7875773237165031,0.015264438338670725,0.0,-0.721739743
12,DSPC,0.33425026509451194,0.0,0.015264438338670725,0.3335101030255225,-0.763723286
26,DSPC,0.167125132547256,0.7875773237165031,0.0,0.3335101030255225,-1.035238063
27,DSPC,0.33425026509451194,0.7875773237165031,0.0,0.3335101030255225,-1.123268778
72,DSPC,0.33425026509451194,0.7875773237165031,0.015264438338670725,0.0,-1.123268778
