Iter,Formula_label,Opt_Method,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),MAL_(PEG+MAL),IL%,HL%,Chol%,PEG%,MAL%,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,MAL_Mol_RNA,RLU_T,LnRLU_T
0,21,LIBRARY,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,70.0,50.0,3.75,14.51851851851852,35.0,35.0,28.875,0.9616666666666667,0.1633333333333333,24.0,24.0,19.8,0.6594285714285714,0.112,2.055179386127275,1.035528844365237
0,18,LIBRARY,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,70.0,30.0,3.75,20.32592592592593,49.0,21.0,28.875,0.8963333333333333,0.2286666666666667,24.0,10.28571428571428,14.14285714285714,0.4390204081632653,0.112,4.306565943619856,3.286915401857819
0,19,LIBRARY,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,40.0,50.0,3.75,4.148148148148148,20.0,20.0,57.75,2.156666666666667,0.09333333333333332,24.0,24.0,69.3,2.588,0.112,2.1578607669525,1.138210225190462
0,20,LIBRARY,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,55.0,50.0,3.75,7.604938271604938,27.5,27.5,43.3125,1.559166666666667,0.1283333333333333,24.0,24.0,37.8,1.360727272727273,0.112,2.870541012673399,1.850890470911361
0,22,LIBRARY,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,40.0,60.0,3.75,3.318518518518518,16.0,24.0,57.75,2.175333333333334,0.07466666666666666,24.0,36.0,86.625,3.263,0.112,1.522817548287708,0.5031670065256699
0,23,LIBRARY,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,55.0,60.0,3.75,6.08395061728395,22.0,33.0,43.3125,1.584833333333333,0.1026666666666667,24.0,36.0,47.25,1.728909090909091,0.112,2.085433675246386,1.065783133484348
0,24,LIBRARY,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,70.0,60.0,3.75,11.61481481481482,28.0,42.0,28.875,0.9943333333333333,0.1306666666666667,24.0,35.99999999999999,24.75,0.8522857142857141,0.112,2.908682553741174,1.889032011979137
1,0,cntrl,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,60.0,16.66667,3.75,24.88888789333333,49.999998,10.000002,38.5,1.1266666816,0.3733333183999999,15.0,3.000000720000029,11.55000046200002,0.3380000180000008,0.112,2.16698291081983,3.07215409173954
1,25,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.73706059618807,58.0479581772576,32.604666209432,5.85426931583788,6.806477236192142,39.12161517217207,18.92634300508552,39.49605631094612,2.288819417011692,0.167166094784591,26.21118178856421,12.68050449644752,26.4620544765739,1.533491435782102,0.112,3.584034293711256,4.489205474630966
1,26,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,9.87044950139334,56.112983909222,38.5797491048629,7.60116222314536,3.907677657023398,34.46473550179206,21.64824840742994,40.55109280282006,3.205566158978971,0.1303571289789729,29.61134850418002,18.59970252968099,34.84061385433277,2.754152478024862,0.112,2.467939868336663,3.373111049256373
1,27,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,9.39247049182502,56.701487834939996,37.2905029793525,7.48374370113015,4.361670179036436,35.5572178245145,21.1442700104255,40.05816248822426,3.099016311284701,0.1413333655510484,28.17741147547506,16.75583279245053,31.744196999686,2.45582368685985,0.112,2.473643305850533,3.378814486770243
1,28,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,9.71216149876848,58.3032313166439,46.8760509122158,8.23077746108174,3.469130118405126,30.97297892118696,27.33025239545694,38.26480044456703,3.312908794963133,0.1190594438259293,29.13648449630544,25.70974775227818,35.99594884768104,3.116475040639008,0.112,1.937823878801155,2.842995059720865
1,29,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.46970294249499,56.0447325705803,39.8490839033646,2.8941287100315,11.68091512565907,33.71142006511345,22.33331250546685,42.68314541517373,1.123526521467065,0.1485954927788952,25.40910882748497,16.83315525817582,32.17131419734708,0.846828985530195,0.112,3.164418006056848,4.069589186976557
1,30,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,9.2516105654791,57.3530189034527,42.4269545850331,5.85282808542251,5.33827384555861,33.01987962013938,24.33313928331333,40.15092660934374,2.36280826334227,0.1332462238612791,27.7548316964373,20.4531995035625,33.74882717072842,1.986056473689203,0.112,2.765109677993554,3.670280858913264
1,31,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.38313825338365,55.994515605235,33.5484018549087,6.32629784825258,5.952297378559885,37.2092504932812,18.7852651119538,41.22156638238585,2.618210933507042,0.1657070788721002,25.14941476015095,12.69680032295267,27.86130481722311,1.769626418791219,0.112,3.198279968667024,4.103451149586734
1,32,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.19911374960429,58.1009258179755,43.2629545555878,9.07822615839541,3.946155556115202,32.96474868496898,25.13617713300652,38.09538146950646,3.653593081205466,0.1500996313125799,24.59734124881287,18.75588776786544,28.42567091786808,2.726205397819101,0.112,2.68304356011078,3.58821474103049
1,33,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,9.09641079870855,55.6173337962156,33.5194842484327,9.59712692350149,3.562678410459772,36.97469035499488,18.64264344122072,40.12320539617321,4.10770991701643,0.1517508905947593,27.28923239612566,13.75923434276588,29.61299921706418,3.031702212110301,0.112,2.92011996397189,3.8252911448916
1,34,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,9.61934808060016,59.5635417385082,34.5835544751269,2.62911722064018,14.22445135770629,38.96435183405627,20.59918990445193,39.37333637392194,0.911898631799356,0.1512232557705036,28.85804424180047,15.25631264545637,29.16094916361006,0.6753765896729824,0.112,2.45305363906219,3.3582248199819
1,35,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,7.30239675309369,72.8138437388106,87.1739320653315,4.02053769997392,4.368243993035851,9.339153063783215,63.47469067502739,26.09312659953446,1.045283459117598,0.047746202537342,21.90719025928107,148.8948854108981,61.20759398325438,2.451959343355314,0.112,0.9961063106186012,1.901277491538311
1,36,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.4841903244404,72.109839515998,69.6805892721838,7.73357199662506,8.439114313946723,21.86327841802455,50.24656109797345,25.73325484299743,1.974881908316226,0.1820237326883407,13.4525709733212,30.91692912708572,15.83378441837833,1.215153488309852,0.112,1.499176078643821,2.404347259563531
1,37,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,9.46868755667204,69.3024069163226,13.5519396251751,8.59249403616053,8.95544125085749,59.91058657222938,9.391820344093212,28.0599042287176,2.401472179173467,0.2362166757863413,28.40606267001612,4.453046657425117,13.30434975919719,1.138636309955982,0.112,1.066856031848813,1.972027212768523
1,38,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.00110922759274,66.0590024649848,15.8814236234177,6.16561185581341,12.38995447886807,55.56789244211662,10.49111002286818,31.84832736701497,1.833389286792153,0.259280881208081,24.00332768277822,4.531781584073908,13.75733007572987,0.7919581234218722,0.112,2.083965246201319,2.989136427121029
1,39,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.45987222130481,64.5408577021052,16.019470219672,4.63812811607104,14.54371447715923,54.20175422299558,10.33910347910963,33.8145018492585,1.405448637610764,0.2391918110255336,25.37961666391443,4.841217534561266,15.83341917467512,0.6580921258863752,0.112,1.721088180084512,2.626259361004222
1,40,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,4.57188884948763,80.2719672722097,68.0832276068061,3.19768545454152,33.16381291771096,25.62022108981026,54.65174618239943,19.09719229478657,0.4216296919931029,0.2092107410106386,13.71566654846289,29.25755887513192,10.2235933331326,0.2257175003305695,0.112,2.14967081987725,3.05484200079696
1,41,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,7.25915023887372,74.5712280609548,71.565544688883,9.68845231357523,4.426366790530478,21.20392251794333,53.36730554301146,22.96511749580301,2.354604061133092,0.109050382109101,21.77745071662116,54.81079575528099,23.58628287021177,2.418291891752091,0.112,1.874297196260486,2.779468377180196
