Iter (CV Fold),Valid Score (MAE),Test Score (MAE),Spearmans Rank,Pearsons Correlation,Model HyperParms,Formulation_Index (Hold out set),Experimental_Transfection,Predicted_Transfection,Score_difference
1,0.09208589145814385,0.09156766772049599,"SignificanceResult(statistic=0.8373347435219459, pvalue=4.126107286137593e-17)","PearsonRResult(statistic=0.8371968976450818, pvalue=4.2218212173410125e-17)","{'subsample': 0.8, 'reg_lambda': 0.01, 'reg_alpha': 0.001, 'n_estimators': 150, 'min_child_weight': 5.0, 'max_depth': 5, 'max_delta_step': 2, 'learning_rate': 0.05, 'gamma': 0}","[336 255 279  89 340 301 116 117 122 221 112  43  48 128 271 259 213 266
   7 145  27 299 155 293  40  91 343 268 182 167 310 313 275 119  70 322
 349 147  15 217 284  16 345  66 315 168 159 132 287 309 262 138  25 321
  26  55 107 267 134 120 214]","[[0.35700234]
 [0.77739217]
 [0.59730722]
 [0.19640353]
 [0.60175149]
 [0.41709391]
 [0.65283978]
 [0.5863785 ]
 [0.54870989]
 [0.00116007]
 [0.78774429]
 [0.26580791]
 [0.50816588]
 [0.47018244]
 [0.63693081]
 [0.76223145]
 [0.66836957]
 [0.63181499]
 [0.29699315]
 [0.57768872]
 [0.24586389]
 [0.13629523]
 [0.63800745]
 [0.12214251]
 [0.44961672]
 [0.20248027]
 [0.84885245]
 [0.58014589]
 [0.69939675]
 [0.33990003]
 [0.40868789]
 [0.95611348]
 [0.4120043 ]
 [0.72006624]
 [0.26577331]
 [0.65994342]
 [0.24763083]
 [0.43909716]
 [0.28072756]
 [0.56299457]
 [0.07578543]
 [0.27298238]
 [0.71896791]
 [0.3689827 ]
 [0.94351465]
 [0.60641249]
 [0.46421118]
 [0.62473147]
 [0.15866223]
 [0.50411636]
 [0.78174942]
 [0.50382112]
 [0.27280184]
 [0.74677913]
 [0.31311546]
 [0.23097993]
 [0.35845978]
 [0.65296982]
 [0.51997431]
 [0.45031051]
 [0.67976555]]","[0.5523506  0.6782381  0.61519736 0.21887608 0.46567294 0.39304298
 0.5233316  0.5164668  0.6199496  0.25305727 0.6041997  0.3503776
 0.38101658 0.50910425 0.58413064 0.72050756 0.63006216 0.6195781
 0.31184474 0.63297546 0.20353068 0.2242771  0.5586894  0.34411758
 0.4384062  0.21290731 0.857712   0.6700542  0.5935708  0.41907573
 0.37209183 0.7669511  0.30853057 0.5901044  0.41576532 0.7825293
 0.35644892 0.44124597 0.3449047  0.59858525 0.45680633 0.31528637
 0.52690643 0.41145682 0.7009107  0.5676304  0.5709622  0.64423025
 0.40382534 0.48223788 0.6563892  0.42081323 0.34397712 0.39896062
 0.30715558 0.22246028 0.41047454 0.65108174 0.6006132  0.55751574
 0.6567292 ]",0.0005182237376478577
2,0.09278992210972285,0.11068820985897723,"SignificanceResult(statistic=0.6894692970269521, pvalue=1.1167808023072179e-09)","PearsonRResult(statistic=0.6925229013750154, pvalue=8.799421309539862e-10)","{'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 150, 'min_child_weight': 4.0, 'max_depth': 10, 'max_delta_step': 4, 'learning_rate': 0.1, 'gamma': 0}","[237 238 105 228 344 133 304 350 211 272 232 273 265  56 140 254 121 281
  17 248 342  47 330  34 319  75 347 339 100 234  33  80 278   6 242 186
 243  72 298  42 157 283  58 258  73 114 206 290 329 176 320 135  90  98
 311  10 250 166  35 129]","[[0.19290894]
 [0.27339504]
 [0.34055123]
 [0.59456345]
 [0.17930897]
 [0.56381822]
 [0.19674017]
 [0.18062469]
 [0.47232966]
 [0.65005877]
 [0.69722847]
 [0.61818194]
 [0.63972346]
 [0.20656361]
 [0.47075333]
 [0.00598254]
 [0.390727  ]
 [0.57912789]
 [0.25701819]
 [0.10200446]
 [0.65507418]
 [0.24333441]
 [0.62928931]
 [0.30883144]
 [0.86720852]
 [0.37825672]
 [0.22179556]
 [0.96549566]
 [0.2961529 ]
 [0.40364868]
 [0.32589746]
 [0.47205845]
 [0.67703881]
 [0.32276814]
 [0.46322736]
 [0.63562365]
 [0.51618646]
 [0.28345675]
 [0.79448972]
 [0.31454597]
 [0.13563773]
 [0.00815529]
 [0.24602418]
 [0.78563577]
 [0.29673199]
 [0.73056482]
 [0.64950072]
 [0.53912988]
 [0.53953619]
 [0.6090279 ]
 [0.8284012 ]
 [0.6438847 ]
 [0.28719913]
 [0.37096699]
 [0.36947155]
 [0.29202824]
 [0.45029668]
 [0.40925634]
 [0.25670402]
 [0.75874143]]","[0.45640525 0.4767602  0.4959844  0.5889246  0.33961916 0.6408869
 0.13817641 0.17347449 0.4445518  0.33828324 0.59686416 0.668403
 0.66760653 0.21937668 0.48590532 0.5438507  0.46386606 0.6484665
 0.29625103 0.461273   0.5287509  0.22336723 0.63011837 0.27797702
 0.6833358  0.4110273  0.3689042  0.6672567  0.23902489 0.2979715
 0.28130892 0.31911173 0.24386048 0.30626872 0.526686   0.60214514
 0.2504395  0.15730757 0.63511604 0.20899874 0.37232572 0.32084328
 0.23284626 0.7700684  0.11942855 0.7313566  0.56963176 0.5252134
 0.54504555 0.5455583  0.80671996 0.63936836 0.19922712 0.36337835
 0.61659193 0.29882106 0.66461563 0.4491244  0.26142997 0.6306119 ]",0.01789828774925438
3,0.10067805071298656,0.10250024603541998,"SignificanceResult(statistic=0.7511635338809644, pvalue=4.733413228319055e-12)","PearsonRResult(statistic=0.7612504131997158, pvalue=1.662905570448289e-12)","{'subsample': 0.5, 'reg_lambda': 0.01, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 2.0, 'max_depth': 6, 'max_delta_step': 6, 'learning_rate': 0.1, 'gamma': 0}","[ 97 337 261 139 285 222 308 302 236  94 346  83 144 142 325 219 196 163
 141 300 246 200   5 328 106 327 251 245  78 331 333  36  52  62 260  24
  92  44 231 288 189 353  67 263 294 274 227  85 276 205 296  60 355 149
  81 102 130 108 230  69]","[[0.39446988]
 [0.6642064 ]
 [0.72042376]
 [0.49906215]
 [0.45104768]
 [0.15676891]
 [0.93614582]
 [0.57732565]
 [0.        ]
 [0.63841496]
 [0.18280291]
 [0.22465679]
 [0.7326533 ]
 [0.55552764]
 [0.57425948]
 [0.16799694]
 [0.58637336]
 [0.65250041]
 [0.58806737]
 [0.07446989]
 [0.47411731]
 [0.5353569 ]
 [0.3046928 ]
 [0.50849563]
 [0.3633707 ]
 [0.52037778]
 [0.47166202]
 [0.        ]
 [0.51084388]
 [0.64179666]
 [0.57635237]
 [0.28413807]
 [0.3641916 ]
 [0.2323827 ]
 [0.77964085]
 [0.26026461]
 [0.20942904]
 [0.25515955]
 [0.65833696]
 [0.38794801]
 [0.57993659]
 [0.03227579]
 [0.35285598]
 [0.74236837]
 [0.11774377]
 [0.64727892]
 [0.14395389]
 [0.22507831]
 [0.06758642]
 [0.67713812]
 [0.10503577]
 [0.25427708]
 [0.04611092]
 [0.5900777 ]
 [0.21218352]
 [0.39598319]
 [0.59624523]
 [0.25144073]
 [0.62504542]
 [0.24351812]]","[0.37029037 0.8375258  0.7402881  0.42676875 0.37622988 0.33408135
 0.8721667  0.52860636 0.48478833 0.49031326 0.20393208 0.33687505
 0.56926215 0.533537   0.26661775 0.39221552 0.4489547  0.53136575
 0.50791454 0.17501763 0.47659916 0.31006005 0.27958488 0.5330204
 0.39043933 0.51361275 0.5288382  0.44336575 0.3911889  0.23579936
 0.24821423 0.2465944  0.3446945  0.19186126 0.7815082  0.3237994
 0.21386899 0.21603134 0.50848436 0.30480313 0.5993014  0.15883628
 0.45612356 0.808053   0.35352802 0.6898797  0.13247752 0.31865326
 0.0971314  0.6434412  0.22519666 0.25133255 0.18119776 0.51301074
 0.29738098 0.38579547 0.54875326 0.33414912 0.5547923  0.31855306]",0.001822195322433412
4,0.09992070868620681,0.06995694487918341,"SignificanceResult(statistic=0.8066685190330648, pvalue=7.24610582545997e-15)","PearsonRResult(statistic=0.8107151224137263, pvalue=4.166799682676845e-15)","{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0.01, 'n_estimators': 100, 'min_child_weight': 5.0, 'max_depth': 8, 'max_delta_step': 2, 'learning_rate': 0.05, 'gamma': 0}","[136  30  39  61 247  77  14  65  76  11 104 224  54 158 269 190 101  29
 160 161  28 131 324 225 187 178 335 109 180  12 173 172 297 316 171 148
 215 277 164 203 233 156   9  19 185 113 193 291 124 170 174  84 192 351
  63 154 201  86  38 270]","[[0.63752656]
 [0.26325871]
 [0.4482384 ]
 [0.22416334]
 [0.49249067]
 [0.3787375 ]
 [0.34643947]
 [0.20239733]
 [0.39279759]
 [0.29928062]
 [0.32031778]
 [0.21209452]
 [0.20645631]
 [0.28464361]
 [0.61970989]
 [0.60495791]
 [0.34515724]
 [0.25523439]
 [0.64839435]
 [0.4093058 ]
 [0.25500975]
 [0.55073861]
 [0.58128091]
 [0.16605673]
 [0.62701157]
 [0.61234296]
 [0.62910865]
 [0.23399012]
 [0.60553704]
 [0.46381321]
 [0.56447793]
 [0.7360212 ]
 [0.58988853]
 [0.86643144]
 [0.66427189]
 [0.48326082]
 [0.58482033]
 [0.05981736]
 [0.52951304]
 [0.55574167]
 [0.59159808]
 [0.34687093]
 [0.29919959]
 [0.24477696]
 [0.49762636]
 [0.70208862]
 [0.33361582]
 [0.1022112 ]
 [0.4609936 ]
 [0.54989687]
 [0.50628613]
 [0.22195617]
 [0.29491673]
 [0.27082301]
 [0.19287429]
 [0.61223297]
 [0.48253333]
 [0.23077834]
 [0.23757571]
 [0.65217841]]","[0.6645312  0.39144135 0.49772778 0.23568435 0.45005292 0.34855908
 0.35104874 0.24610831 0.39513493 0.30115548 0.3951544  0.11296298
 0.30560234 0.3737584  0.6412348  0.63189304 0.20348874 0.24206252
 0.53138405 0.58975065 0.25138208 0.6376517  0.56109464 0.2165056
 0.6593402  0.68288845 0.5823876  0.23872483 0.68920344 0.41755036
 0.54140407 0.59511685 0.42016813 0.87998277 0.62883395 0.4366223
 0.70030487 0.46735302 0.56876546 0.5217124  0.47448254 0.23324464
 0.28477657 0.28615373 0.49857602 0.5641563  0.431006   0.5991962
 0.5016781  0.5317291  0.4623347  0.27549455 0.36094087 0.31207684
 0.23620366 0.59602517 0.4788114  0.13156742 0.28372872 0.6821592 ]",0.029963763807023397
5,0.09171202529691341,0.10002695983256919,"SignificanceResult(statistic=0.7418099974992357, pvalue=1.195623296574179e-11)","PearsonRResult(statistic=0.6650564066361583, pvalue=6.798431637905417e-09)","{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0.01, 'n_estimators': 100, 'min_child_weight': 5.0, 'max_depth': 8, 'max_delta_step': 2, 'learning_rate': 0.05, 'gamma': 0}","[220  79 239 179  20 194 216 348 292 318   3 111 210 326 153  68 125 103
  64  41  87 143 197  21  37  32 235   2  49 183 118  13 264 352 240  71
  46  82  18 226 229 126 209 257   8 305 204 249 212 332 151 181 303 207
 317  93 282 286 252 338]","[[0.51135428]
 [0.48348434]
 [0.40443927]
 [0.65046548]
 [0.28611702]
 [0.21312347]
 [0.60131113]
 [0.        ]
 [0.26421546]
 [0.67818757]
 [0.31506352]
 [0.59237899]
 [0.39068881]
 [0.51633482]
 [0.61181436]
 [0.28206838]
 [0.41931837]
 [0.41372214]
 [0.22312358]
 [0.21720776]
 [0.19181673]
 [0.63315931]
 [0.46952562]
 [0.34275158]
 [0.308567  ]
 [0.26274659]
 [0.28870143]
 [0.75546513]
 [0.41227898]
 [0.31971321]
 [0.72676414]
 [0.52099458]
 [0.7467263 ]
 [0.25460773]
 [0.61099553]
 [0.27622363]
 [0.2559805 ]
 [0.21924931]
 [0.27138193]
 [0.12434052]
 [0.59190521]
 [0.4890147 ]
 [0.60173973]
 [0.60861974]
 [0.3076691 ]
 [1.        ]
 [0.58586638]
 [0.39888512]
 [0.5552497 ]
 [0.67489227]
 [0.51993539]
 [0.6783707 ]
 [0.54309109]
 [0.62594263]
 [0.72065252]
 [0.56943645]
 [0.03433973]
 [0.        ]
 [0.4049145 ]
 [0.55058362]]","[0.17229058 0.40699667 0.32261628 0.64955443 0.2635792  0.32759887
 0.61612415 0.17496108 0.48391128 0.5846926  0.2986617  0.46467292
 0.4164223  0.46092656 0.59774536 0.4375882  0.43783543 0.39912784
 0.22209652 0.34870464 0.268783   0.43116584 0.5210643  0.3839482
 0.26868683 0.26354483 0.39537844 0.5529309  0.42960876 0.39964733
 0.61141115 0.3670305  0.69041574 0.33102763 0.4564902  0.38651508
 0.22209927 0.25658682 0.24124311 0.17249054 0.59703165 0.57373965
 0.586447   0.66257584 0.29072988 0.39907527 0.62073666 0.38037112
 0.46114945 0.7589483  0.6375204  0.6532089  0.34365937 0.581861
 0.5846926  0.45264867 0.5641411  0.36851653 0.41644785 0.44026762]",0.00831493453565578
