Iter (CV Fold),Valid Score (MAE),Test Score (MAE),Spearmans Rank,Pearsons Correlation,Model HyperParms,Formulation_Index (Hold out set),Experimental_Transfection,Predicted_Transfection,Score_difference
1,0.11348057116256469,0.1439786677230311,"SignificanceResult(statistic=0.7585139318885449, pvalue=0.00026364612959071276)","PearsonRResult(statistic=0.6261795610779048, pvalue=0.005433071730067095)","{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.001, 'n_estimators': 400, 'min_child_weight': 5.0, 'max_depth': 9, 'max_delta_step': 2, 'learning_rate': 0.05, 'gamma': 0}",[88  2 77 46 51 44 11 50 26 92 24 65 25  0 83 66 73 15],"[[0.29244325]
 [0.71256555]
 [0.69203863]
 [0.40895718]
 [0.67857026]
 [0.65203585]
 [0.38211193]
 [0.49761287]
 [0.73625086]
 [0.28515199]
 [0.34792091]
 [0.48223997]
 [1.        ]
 [0.66513041]
 [0.39935579]
 [0.32747699]
 [0.26818151]
 [0.        ]]","[0.44745475 0.5603356  0.79063153 0.45115244 0.74600357 0.469278
 0.51587737 0.5865466  0.6680657  0.1983124  0.04824014 0.3827762
 0.70316863 0.6664471  0.6260044  0.31872347 0.37398344 0.47717467]",0.030498096560466426
2,0.12923028201122855,0.11664645035809257,"SignificanceResult(statistic=0.8670489430398209, pvalue=3.2075146708805605e-06)","PearsonRResult(statistic=0.8188646716465208, pvalue=3.2441792887600204e-05)","{'subsample': 0.5, 'reg_lambda': 0.001, 'reg_alpha': 0.1, 'n_estimators': 400, 'min_child_weight': 5.0, 'max_depth': 4, 'max_delta_step': 1, 'learning_rate': 0.1, 'gamma': 0}",[14 39 41 17 75  0 63 17 93 17  0 10 60 91 76 32 20 22],"[[0.57489007]
 [0.55975909]
 [0.59596458]
 [0.78619716]
 [0.39601532]
 [0.66513041]
 [0.96263689]
 [0.79208762]
 [0.16832117]
 [0.81545732]
 [0.67102402]
 [0.36158125]
 [0.51260591]
 [0.13622319]
 [0.14934989]
 [0.78708295]
 [0.33890752]
 [0.02042112]]","[0.6080359  0.5005636  0.5120826  0.70032936 0.20128748 0.67092913
 0.71474195 0.70032936 0.2550353  0.70032936 0.67092913 0.28074685
 0.38250524 0.41331774 0.5643157  0.74863267 0.2712634  0.10675951]",0.01258383165313598
3,0.1390675670380354,0.13284466277952994,"SignificanceResult(statistic=0.6202270381836945, pvalue=0.006032002847171171)","PearsonRResult(statistic=0.6532289163191165, pvalue=0.0032870386867913)","{'subsample': 0.5, 'reg_lambda': 0.001, 'reg_alpha': 0.001, 'n_estimators': 300, 'min_child_weight': 4.0, 'max_depth': 10, 'max_delta_step': 6, 'learning_rate': 0.1, 'gamma': 0}",[ 7 37  5 29 21 84 49 69 28 30 16 59  3 58 57  6 78 40],"[[0.36110184]
 [0.40515464]
 [0.76302158]
 [0.90083865]
 [0.14622586]
 [0.87352104]
 [0.67585397]
 [0.24531497]
 [0.61097684]
 [0.80647636]
 [0.57235188]
 [0.63740823]
 [0.35907072]
 [0.5394314 ]
 [0.35838641]
 [0.60819028]
 [0.74427379]
 [0.66103932]]","[0.41303226 0.3898515  0.7284076  0.7058864  0.4885774  0.74851114
 0.72924966 0.40467438 0.7448947  0.75894684 0.629609   0.6456413
 0.09527528 0.77726835 0.5664656  0.38943627 0.74681515 0.42469615]",0.006222904258505468
4,0.12271380991346689,0.13632609473888274,"SignificanceResult(statistic=0.6053921568627452, pvalue=0.010017774633180284)","PearsonRResult(statistic=0.5313720701503684, pvalue=0.02815977079160775)","{'subsample': 0.8, 'reg_lambda': 0.01, 'reg_alpha': 0.001, 'n_estimators': 150, 'min_child_weight': 5.0, 'max_depth': 5, 'max_delta_step': 2, 'learning_rate': 0.05, 'gamma': 0}",[79 64 36 48  4  0 71  8 82 85 45 62 68 56 33 74 94],"[[0.86336994]
 [0.44878529]
 [0.50731807]
 [0.58797815]
 [0.53330378]
 [0.66513041]
 [0.69411685]
 [0.60746627]
 [0.61341439]
 [0.27611075]
 [0.6403632 ]
 [0.64732333]
 [0.29361775]
 [0.576822  ]
 [0.84310751]
 [0.38696064]
 [0.18641135]]","[0.7935489  0.43635365 0.6600448  0.47340184 0.6681813  0.68057543
 0.69277996 0.46926743 0.7086024  0.64483637 0.7389971  0.27369472
 0.32126215 0.47136292 0.80706704 0.11061513 0.48287535]",0.013612284825415849
5,0.11422129070003688,0.16736572647397735,"SignificanceResult(statistic=0.7647058823529413, pvalue=0.00034961095004698486)","PearsonRResult(statistic=0.6990825526278762, pvalue=0.0017918531962873793)","{'subsample': 0.5, 'reg_lambda': 0.001, 'reg_alpha': 0.1, 'n_estimators': 400, 'min_child_weight': 5.0, 'max_depth': 4, 'max_delta_step': 1, 'learning_rate': 0.1, 'gamma': 0}",[53 70 31 13 19 72 23 61 18 81 38 89 12 27 96 34 42],"[[0.69828398]
 [0.26814317]
 [0.90884071]
 [0.68227499]
 [0.17049095]
 [0.79411156]
 [0.15337538]
 [0.30902614]
 [0.67826083]
 [0.84243731]
 [0.64551215]
 [0.78983901]
 [0.39755924]
 [0.73759867]
 [0.09827732]
 [0.73273303]
 [0.40745261]]","[0.94110125 0.3886129  0.9327842  0.42803398 0.13105561 0.589722
 0.2807797  0.44038227 0.3722658  0.62315685 0.38281044 0.61636156
 0.5389473  0.78305525 0.40167075 0.6550139  0.5792013 ]",0.05314443577394047
