Formula_label,Helper_lipid,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),Fold_T
63,DSPC,0.9657185741633542,0.1660406314743989,0.20715416447693774,0.6091799684038588,1.258943737399127
31,DSPC,0.7442621047055901,0.47142471205692965,0.30513414600896355,0.5490556251146266,1.031297057847194
29,DSPC,0.7591465960518188,0.4722423867752065,0.38677676651354104,0.0887206278683152,0.9974350952370177
84,DSPC,0.8056516074419343,0.3842179796652411,0.12733223500110363,0.5111946570685106,0.8818364853087557
79,DSPC,0.9271034636536687,0.17385972101725294,0.09641658221888266,0.5184863984191965,0.8388805725466755
33,DSPC,0.8669067897079913,0.4652831217137376,0.30475943908782965,0.987751106808826,0.7531370531520598
81,DSPC,0.9025897287163626,0.3287078752970501,0.27397680933757895,0.5329574046908785,0.7503010113725415
17,DSPC,0.6783828405917528,0.4552311754355734,0.2591548657008823,0.20351319549656832,0.6361310787571672
30,DSPC,0.893592839287188,0.4935450013657366,0.42018015302864314,0.48555213994502344,0.5981267671737238
87,DSPC,0.853306235642722,0.0,0.19414660141083534,0.3260447515717214,0.5829942915833275
25,DSPC,0.8051177965909236,0.5048605850737662,0.2929054617859311,0.48574544300573286,0.5566457700891435
72,DSPC,0.10926583220803543,0.7992189343736988,0.7864139490731417,0.9923124395319569,0.545803263421992
17,DSPC,0.6783828405917528,0.4552311754355734,0.2591548657008823,0.20351319549656832,0.5372386727677121
32,DSPC,0.7126197438062759,0.505723048593893,0.43101282603339536,0.918154250518689,0.5160606492909499
17,DSPC,0.6783828405917528,0.4552311754355734,0.2591548657008823,0.20351319549656832,0.5133025174385133
17,DSPC,0.6783828405917528,0.4552311754355734,0.2591548657008823,0.20351319549656832,0.5123123
1,DSPC,0.16254347817859915,0.21098860343194353,0.0,0.20351319549656832,0.4681789026989849
5,DSPC,0.16254347817859915,0.4552311754355734,0.2591548657008823,0.20351319549656832,0.4142412933665689
78,DSPC,0.9763127038684426,0.4007995258483988,0.13950569696953347,0.5189076318089461,0.3349071837862025
27,DSPC,0.917813204152469,0.4829362264381489,0.3536233317261813,0.7042964690356555,0.3066603950307027
26,DSPC,1.0,0.4733537122747092,0.3703290520517828,0.7200450679046941,0.3009569575168327
2,DSPC,0.16254347817859915,0.4552311754355734,0.0,0.20351319549656832,0.2007289734920779
53,DSPC,0.7631688054598859,0.4914688308275777,0.41684385465704626,0.6255527502605468,0.1402943485018611
71,DSPC,0.7670294941280004,0.5993564524677828,0.2336044126425873,0.4345929584360563,0.122660480900791
77,DSPC,0.9058712613225665,0.44524380580943984,0.2523252559923876,0.517533770554566,0.1138661913589374
13,DSPC,0.6783828405917528,0.21098860343194353,0.0,0.20351319549656832,0.07254985761497856
51,DSPC,0.8309448641068563,0.6101993771975884,0.30426054876216624,0.6133655910316814,0.05687274036278911
18,DSPC,0.6783828405917528,0.6994737474392034,0.2591548657008823,0.20351319549656832,0.05556335373158028
49,DSPC,0.5818945791204012,0.519349927304124,0.2949239003389342,0.3451082459057371,0.04537836093705305
37,DSPC,0.9309184581976985,0.6881149521745824,0.04602512182699478,0.8530060931445651,0.03908043374547598
54,DSPC,0.23846646703711794,0.4684739516913619,0.3454863002217855,0.4218110439173173,0.03521124358160899
0,DSPC,0.16254347817859915,0.53664536610345,0.08638499842610506,0.20351319549656832,0.02493969325977918
55,DSPC,0.6284539958227554,0.036737335469560206,0.2487025655195253,0.7531676170148678,0.02134521323439061
0,DSPC,0.16254347817859915,0.53664536610345,0.08638499842610506,0.20351319549656832,0.0
0,DSPC,0.16254347817859915,0.53664536610345,0.08638499842610506,0.20351319549656832,0.0
0,DSPC,0.16254347817859915,0.53664536610345,0.08638499842610506,0.20351319549656832,0.0
0,DSPC,0.16254347817859915,0.53664536610345,0.08638499842610506,0.20351319549656832,0.0
44,DSPC,0.39522116541468144,0.9151152133181693,0.7010658339403235,0.7912595107442821,-0.05541161908506931
52,DSPC,0.0,0.4674333903147276,0.3006314573390105,0.0,-0.06885246528076605
43,DSPC,0.20537837534967396,0.7250887849390508,0.9222389802414945,0.6810352938600339,-0.07354585232815625
38,DSPC,0.6785735683431563,0.6353031224917316,0.07620997746284053,0.5275038358792787,-0.08301766461851123
86,DSPC,0.7986018433788854,0.4293789984378796,0.2690345510370881,0.17569666064900186,-0.09162812010323755
45,DSPC,0.37473774896646106,0.5013791306373532,0.29682206638992775,0.5231967206399658,-0.1048062058852621
82,DSPC,0.9292361452728223,0.16750761462627622,0.11293080669518124,0.12983727248241195,-0.2188441685082365
28,DSPC,0.9727829392161137,0.509017156282243,0.4778304010867092,0.8044913516248204,-0.2291590320186752
6,DSPC,0.16254347817859915,0.6994737474392034,0.2591548657008823,0.20351319549656832,-0.240950815115534
8,DSPC,0.16254347817859915,0.4552311754355734,0.5183097314017646,0.20351319549656832,-0.2440145430021836
80,DSPC,0.9134897067858098,0.44302610182403696,0.20691766672847844,0.21607791579320412,-0.2564196133882508
41,DSPC,0.5509963511173136,0.7739063140273876,0.7977505232824571,1.0,-0.2926857145593442
48,DSPC,0.37224908779711485,0.5569819458408771,0.29789562923914553,0.13927000350911267,-0.326481482158556
14,DSPC,0.6783828405917528,0.4552311754355734,0.0,0.20351319549656832,-0.3818656600246957
16,DSPC,0.6783828405917528,0.21098860343194353,0.2591548657008823,0.20351319549656832,-0.3926063947355019
34,DSPC,0.9568240010656698,0.5295385868795173,0.31854738792259185,0.05317632386515503,-0.4125520030631574
85,DSPC,0.9369961937320695,0.42346898219338064,0.2654268371037978,0.0029113292136925817,-0.4209509718412118
90,DSPC,0.1380085817083524,0.23443055411865382,0.5631964120320763,0.7737953578065169,-0.4433991909723365
39,DSPC,0.7574562384015507,0.6105834170544278,0.0779987498184779,0.3226321658622995,-0.4458947307353183
91,DSPC,0.18053754120574983,0.6809682076505668,0.04992560702186438,0.48433200348604055,-0.5214514180360371
